Gene	sample	counts
MDH1B	GSM1022678	14.15029203887398
MDH1B	GSM1022679	1.0847894030308278
MDH1B	GSM1022680	4.091267295220133
MDH1B	GSM1022681	4.095467944714419
MDH1B	GSM1022682	1.0100156499625657
MDH1B	GSM1022683	1.0146118150553114
MDH1B	GSM1022684	6.28030967880944
MDH1B	GSM1022685	1.027880340996568
MDH1B	GSM1022686	5.243824038937608
MDH1B	GSM1022687	5.473738859476544
MDH1B	GSM1022688	2.0990038761379832
MDH1B	GSM1022689	5.1051756523111465
MDH1B	GSM1022690	3.2711348152018616
MDH1B	GSM1022691	5.367719603219092
MDH1B	GSM1022692	3.048445539687565
MDH1B	GSM1022693	3.0254646791329467
MDH1B	GSM1022694	2.0849689230502753
MDH1B	GSM1022695	3.065030014351562
MDH1B	GSM1385778	3
MDH1B	GSM1385779	1.078610408176517
MDH1B	GSM1385780	5.3245683313517835
MDH1B	GSM1385781	2.0157099336078814
MDH1B	GSM1385782	6.027303527977508
MDH1B	GSM1385783	5.31152900102492
MDH1B	GSM1415906	10
MDH1B	GSM1415907	5.030360238808427
MDH1B	GSM1415908	6.078464644769783
MDH1B	GSM1415909	7.042504334331798
MDH1B	GSM1415910	6.041778676083074
MDH1B	GSM1415911	7.021220003697548
MDH1B	GSM1415912	1.150105681887296
MDH1B	GSM1415913	2.326806558504732
MDH1B	GSM1415914	1.1043156152702678
MDH1B	GSM1415915	2.1599911212200253
MDH1B	GSM1415916	3.255290456398521
MDH1B	GSM1415917	1.107408486899727
MDH1B	GSM1415918	1.1164525767485525
MDH1B	GSM1415919	6.68107800167644
MDH1B	GSM1415920	1.0918758521094598
MDH1B	GSM1415921	1.0614142933872277
MDH1B	GSM2769390	1.075066242001491
MDH1B	GSM2769391	3.169003271192163
MDH1B	GSM2769392	1.043823220986215
MDH1B	GSM2769393	1.0324123095438906
MDH1B	GSM2769394	4.071797157457929
MDH1B	GSM2769395	2.1130033338212395
MDH1B	GSM2769396	11.183080860746124
MDH1B	GSM2769397	4.174704569003568
MDH1B	GSM2769398	5.237665938488238
MDH1B	GSM3103946	1.0100156499625657
MDH1B	GSM3103947	1.8282662695783525
MDH1B	GSM3103948	0.7164755720990154
MDH1B	GSM3103949	6.779863243453767
MDH1B	GSM3103950	3.992246877813073
MDH1B	GSM3103951	1
MDH1B	GSM3103952	1.004257750689395
MDH1B	GSM3103953	4.040062599850263
MDH1B	GSM3103954	8.024251432797197
MDH1B	GSM3103955	2.119358315205155
MDH1B	GSM3103956	1.027880340996568
MDH1B	GSM3103957	6.09689107937513
MDH1B	GSM3103958	6.148264689102761
MDH1B	GSM3103959	2.006062858199299
MDH1B	GSM3103960	10
MDH1B	GSM3103961	0.8963505923475755
MDH1B	GSM3103962	2.0151916237615466
MDH1B	GSM3103963	6.163409427244529
MDH1B	GSM3103964	1.010650267145594
MDH1B	GSM3103965	1
MDH1B	GSM4260265	5.092944457222081
MDH1B	GSM4260266	4.042601068582376
MDH1B	GSM4260267	6.31285280756651
MDH1B	GSM4260268	2.0947519162635633
MDH1B	GSM4260269	1.0157440832984626
MDH1B	GSM4260270	10.121809652873912
MDH1B	GSM4260271	1.0903486973623564
MDH1B	GSM4260272	1.0692201985423029
MDH1B	GSM4260273	3.020889338041537
MDH1B	GSM4260274	5.22106361322087
MDH1B	GSM4260275	1.0621650136918133
MDH1B	GSM4260276	5.054551038392682
MDH1B	GSM4735785	2.1773837644292593
MDH1B	GSM4735786	2.093462727751958
MDH1B	GSM4735787	2.0792022255759854
MDH1B	GSM4735788	2.1073988856673886
MDH1B	GSM4735789	8.33463883768214
MDH1B	GSM4735790	2.1006898274051973
MDH1B	GSM4735791	2.1109659017162814
MDH1B	GSM4735792	2.1377207757465926
MDH1B	GSM4735793	2.1476400750087192
MDH1B	GSM4735794	2.1003227308775996
MDH1B	GSM4735795	5.188950910463815
MDH1B	GSM4735796	2.1769577797740154
MDH1B	GSM4735797	3.2220014831591017
MDH1B	GSM4735798	3.3333603097626656
MDH1B	GSM4735799	3.2364644083521386
MDH1B	GSM4735800	6.656454819645993
MDH1B	GSM4735801	6.3622831647685025
MDH1B	GSM4735802	7.232446073284862
MDH1B	GSM4735803	14.46285398723323
MDH1B	GSM4735804	2.124522785167899
MDH1B	GSM5282507	8
MDH1B	GSM5282508	1.029701907789125
MDH1B	GSM5282509	1.0030314290996496
MDH1B	GSM5282510	1.0775306673725653
MDH1B	GSM5282511	7.341900473411877
MDH1B	GSM5282512	1.0334723239435966
MDH1B	GSM5282513	5.09708964250133
MDH1B	GSM5282514	1
MDH1B	GSM5282515	1.027880340996568
MDH1B	GSM5282516	1.052874215300532
MDH1B	GSM5282517	2.086744472208071
MDH1B	GSM5282518	2
MDH1B	GSM5282519	2.188492684337836
MDH1B	GSM5282520	4.165773802579487
MDH1B	GSM5282521	2.0544698090815094
MDH1B	GSM5282522	5.142630914978335
MDH1B	GSM5282523	1
MDH1B	GSM5282524	1.0100156499625657
MDH1B	GSM5282525	1
MDH1B	GSM5282526	1
MDH1B	GSM5282527	1.0060720477616854
MDH1B	GSM5282528	7.158070900270198
MDH1B	GSM5282529	4
MDH1B	GSM5282530	2.040263226338608
MDH1B	GSM5282531	4.132243996352352
MDH1B	GSM5282532	5.0195990049105035
MDH1B	GSM5282533	6.561414965898967
MDH1B	GSM5282534	11.033345720096143
MDH1B	GSM5282535	7
MDH1B	GSM5282536	1.013974710299226
MDH1B	GSM4260927	2
MDH1B	GSM4260928	2.8061494877630344
MDH1B	GSM4260929	7.7373114761844
MDH1B	GSM4260930	6
MDH1B	GSM4260931	2.003029135184658
MDH1B	GSM4260932	2
MDH1B	GSM4260933	0.8302476912189328
MDH1B	GSM4260934	1
MDH1B	GSM4260935	2.0149076754554565
MDH1B	GSM4260936	2.029223630110623
MDH1B	GSM4260937	1
MDH1B	GSM4260938	1.047526139363344
MDH1B	GSM4260939	4
MDH1B	GSM4260940	1.0060720477616854
MDH1B	GSM4260941	4
MDH1B	GSM4260942	1.895965957708203
MDH1B	GSM4260943	1.013974710299226
MDH1B	GSM4260944	0.8025630114693115
MDH1B	GSM4260945	4.018202351985005
MDH1B	GSM4260946	0.6059853841925994
MDH1B	GSM4260947	2.0456891329147155
MDH1B	GSM4260948	1.530446774339411
MDH1B	GSM4260949	1.0282263565448555
MDH1B	GSM4260950	4
MDH1B	GSM4260951	5.922100195939924
MDH1B	GSM4260952	6.415748898125476
MDH1B	GSM4260953	0.9520515186840464
MDH1B	GSM4260954	2.0121440955233707
MDH1B	GSM4260955	1.043823220986215
MDH1B	GSM4260956	2.0415451729117953
MDH1B	GSM4260957	1.746982729776943
MDH1B	GSM4260958	2.08764644197243
MDH1B	GSM4260959	9.147688811262093
MDH1B	GSM4260960	4.021761221511862
MDH1B	GSM4260961	1.0024015960102846
MDH1B	GSM4260962	2.006062858199299
MDH1B	GSM4260963	2
MDH1B	GSM4260964	7
MDH1B	GSM4260965	4.18891351520813
MDH1B	GSM4260966	1.8945980101258264
MDH1B	GSM4260967	3.4081696449357906
MDH1B	GSM4260968	4
MDH1B	GSM4260969	4.006058270369316
MDH1B	GSM4260970	7.128268782521895
MDH1B	GSM4260971	9.781933203364858
MDH1B	GSM4260972	2.022285578120139
MDH1B	GSM4260973	4.012125716398598
MDH1B	GSM4260974	1.0151698046629003
MDH1B	GSM4260975	11
MDH1B	GSM4260976	6
MDH1B	GSM4260977	2.070075175266022
MDH1B	GSM4260978	4
MDH1B	GSM4260979	0.946152115770898
MDH1B	GSM4260980	1.6497866777922043
MDH1B	GSM4260981	2.9020418452969254
MDH1B	GSM4260982	2.006062858199299
MDH1B	GSM4260983	4.055898841196904
MDH1B	GSM4260984	0.7938751985839487
MDH1B	GSM4260985	4.471199418227086
MDH1B	GSM4260986	3.1218954289776946
MDH1B	GSM4260987	1.0530740031895578
MDH1B	GSM4260988	7.095997872424914
MDH1B	GSM4260989	2
MDH1B	GSM4260990	3.670573714119603
MDH1B	GSM4260991	4
MDH1B	GSM4260992	2.97780997594935
MDH1B	GSM4260993	2.0328197358360205
MDH1B	GSM4260994	0.9439154572420274
MDH1B	GSM4260995	1.027880340996568
MDH1B	GSM4260996	1.6609619934343034
MDH1B	GSM4260997	4
MDH1B	GSM4260998	5.697883432984853
MDH1B	GSM4260999	9
MDH1B	GSM4261000	2.038457790803514
MDH1B	GSM4261001	1
MDH1B	GSM4261002	2.154262044479875
MDH1B	GSM4261003	2.003029135184658
MDH1B	GSM4261004	1.0449521566895354
MDH1B	GSM4261005	6
MDH1B	GSM4261006	2.0397386029780273
MDH1B	GSM4261007	1.0629893282146623
MDH1B	GSM4261008	1
MDH1B	GSM4261009	1.0287907212368814
MDH1B	GSM4261010	2.120851997335549
MDH1B	GSM4261011	2.0274279635499752
MDH1B	GSM4261012	1.1829871654168171
MDH1B	GSM4261013	7.2469300402181345
MDH1B	GSM4261014	2.06040742834411
MDH1B	GSM4261015	1.012441299517841
MDH1B	GSM4261016	1
MDH1B	GSM4261017	4.048723861149565
MDH1B	GSM4261018	4.271407019837039
MDH1B	GSM4261019	2.03665395290417
MDH1B	GSM4261020	4.3535975123089035
MDH1B	GSM4261021	2.06978349365492
MDH1B	GSM4261022	2.0091011759925026
MDH1B	GSM4261023	4
MDH1B	GSM4261024	1.0451353516683393
MDH1B	GSM4261025	1.0303488943225554
MDH1B	GSM4261026	2.0966072107729183
MDH1B	GSM4261027	12.45112741829235
MDH1B	GSM4818000	2.016976452755298
MDH1B	GSM4818001	2.070075175266022
MDH1B	GSM4818002	2.0513628813413236
MDH1B	GSM4818003	2.0801952553732797
MDH1B	GSM4818004	2.2788646108582644
MDH1B	GSM4818005	13.729899771152224
MDH1B	GSM4818006	2.286629510261415
MDH1B	GSM4818007	2.293921339741047
MDH1B	GSM4818008	2.0200312999251313
MDH1B	GSM4818009	2.0674201924391293
MDH1B	GSM4818010	2.1409584983549865
MDH1B	GSM4818011	2.206001146142598
MDH1B	GSM4818012	6.063901602873563
MDH1B	GSM4818013	2.050764886985703
MDH1B	GSM4818014	2.2573661842877777
MDH1B	GSM4818015	6.371638208949169
MDH1B	GSM4818016	2.087352284501784
MDH1B	GSM4818017	2.0322970264583766
MDH1B	GSM4818018	2.048260652136954
MDH1B	GSM4818019	2.021300534291188
MDH1B	GSM4818020	6.04557487128464
MDH1B	GSM4818021	2.0243619305747824
MDH1B	GSM4818022	2.0945135671757127
MDH1B	GSM4818023	2.145371586787276
MDH1B	GSM3056394	6.304927242856333
MDH1B	GSM3056395	6.5812294627220345
MDH1B	GSM3056396	6.998523063157656
MDH1B	GSM3056397	2.1003227308775996
MDH1B	GSM3056398	2.029223630110623
MDH1B	GSM3056399	2.151630279854054
MDH1B	GSM3056400	6.335968315099711
MDH1B	GSM3056401	6.230242123123237
MDH1B	GSM3056402	2.1005669168269305
MDH1B	GSM3056403	6.203134623015021
MDH1B	GSM3056404	10.146118150553114
MDH1B	GSM3056405	6.672925657415759
MDH1B	GSM3056406	2.137171092625867
MDH1B	GSM3056407	10.730501078714106
MDH1B	GSM3056408	2.072677348792304
MDH1B	GSM3056409	2.0737436764007984
MDH1B	GSM3056410	2.339275601837309
MDH1B	GSM3056411	2.4089607845334267
MDH1B	GSM3056412	2.3168257356313156
MDH1B	GSM3056413	2.2469166251725574
MDH1B	GSM3056414	2.0415451729117953
MDH1B	GSM3056415	2.0822434906755647
MDH1B	GSM3056416	2.3359035911434143
MDH1B	GSM3056417	6.29125832165416
MDH1B	GSM3056418	14.16360508573066
MDH1B	GSM3056419	6.491057635693941
MDH1B	GSM3056420	6.118519540562112
MDH1B	GSM3056421	2.193944099337475
MDH1B	GSM3056422	2.206365876303394
MDH1B	GSM3056423	2.364561690021367
MDH1B	GSM3056424	2.1470878412876364
MDH1B	GSM3056425	2.3177106971275676
MDH1B	GSM3056426	2.068243359040794
MDH1B	GSM3056427	6.822153638156486
MDH1B	GSM3056428	2.0536521243909864
MDH1B	GSM3056429	2.1517492232338737
MDH1B	GSM3056430	6.236588504804452
MDH1B	GSM3056431	2.2037314054993566
MDH1B	GSM3056432	2.0855051797066526
MDH1B	GSM3056433	2.3013838214245013
MDH1B	GSM3056434	2.0513628813413236
MDH1B	GSM3056435	2.2481912050617
MDH1B	GSM3056436	2.2273947669187657
MDH1B	GSM3056437	6.630848059826653
MDH1B	GSM3056438	2.131128925626571
MDH1B	GSM3056439	2.1558662336233327
MDH1B	GSM3056440	2.3856712731677607
MDH1B	GSM3056441	2.4087369706328343
MDH1B	GSM3056442	6.073085791724347
MDH1B	GSM3056443	10.242216118889264
MDH1B	GSM3056444	2.235495597959807
MDH1B	GSM3056445	6.210225525798063
MDH1B	GSM3056446	10.121809652873912
MDH1B	GSM3056447	2.018338243500227
MDH1B	GSM3056448	6.100721903028372
MDH1B	GSM3056449	2.132899667999915
MDH1B	GSM3056450	2.0320106679347845
MDH1B	GSM3056451	2.163685878564647
MDH1B	GSM3056452	2.0635280546620742
MDH1B	GSM3056453	2.038457790803514
MDH1B	GSM3056454	2.145548377973659
MDH1B	GSM3056455	2.0415451729117953
MDH1B	GSM3056456	14.235017773732867
MDH1B	GSM3056457	6.584436704475148
MDH1B	GSM3056458	2.4270736039104412
MDH1B	GSM3056459	2.2357257418578413
MDH1B	GSM3056460	2.2747154517800157
MDH1B	GSM3056461	6.6966146710209085
MDH1B	GSM3056462	6.53230541701799
MDH1B	GSM3056463	6.9577050655973895
MDH1B	GSM3056464	6.858069343770708
MDH1B	GSM3056465	2.2989788537736873
MDH1B	GSM3056466	2.158426599530424
