Gene	sample	counts
MED14OS	GSM1022678	11.117152938601532
MED14OS	GSM1022679	8.678596581324518
MED14OS	GSM1022680	5.114222832286789
MED14OS	GSM1022681	8.190935889428838
MED14OS	GSM1022682	8.080125199700525
MED14OS	GSM1022683	7.1022827053871795
MED14OS	GSM1022684	7.327027958611013
MED14OS	GSM1022685	8.223042727972544
MED14OS	GSM1022686	1.0488429247731252
MED14OS	GSM1022687	1.094806600045286
MED14OS	GSM1022688	3.148505814206975
MED14OS	GSM1022689	4.0841405218489175
MED14OS	GSM1022690	1.0903218103458212
MED14OS	GSM1022691	1.0735439206438182
MED14OS	GSM1022692	1.0161485132291883
MED14OS	GSM1022693	8.067905811021191
MED14OS	GSM1022694	5.212563688190109
MED14OS	GSM1022695	1.0219117298859002
MED14OS	GSM1385778	8
MED14OS	GSM1385779	3.2362653445164953
MED14OS	GSM1385780	3.1950105975618937
MED14OS	GSM1385781	5.039274834019703
MED14OS	GSM1385782	6.027303527977508
MED14OS	GSM1385783	3.1875122554625483
MED14OS	GSM1415906	10
MED14OS	GSM1415907	8.048576382093483
MED14OS	GSM1415908	8.104619526359711
MED14OS	GSM1415909	6.036432286570113
MED14OS	GSM1415910	5.034815563402561
MED14OS	GSM1415911	3.009094287298949
MED14OS	GSM1415912	3.45046998424161
MED14OS	GSM1415913	3.490701691147406
MED14OS	GSM1415914	3.3130607636416953
MED14OS	GSM1415915	3.2400682666898835
MED14OS	GSM1415916	5.425181541778135
MED14OS	GSM1415917	3.322225460699181
MED14OS	GSM1415918	3.3495054760673764
MED14OS	GSM1415919	2.2269277670169383
MED14OS	GSM1415920	5.459043472836169
MED14OS	GSM1415921	3.1843214026585804
MED14OS	GSM2769390	5.37518541469331
MED14OS	GSM2769391	2.112705603466306
MED14OS	GSM2769392	5.219116104931075
MED14OS	GSM2769393	1.032437989175177
MED14OS	GSM2769394	7.126210862258177
MED14OS	GSM2769395	2.113075990814442
MED14OS	GSM2769396	12.199305094323517
MED14OS	GSM2769397	5.218845851434882
MED14OS	GSM2769398	6.2858720673546795
MED14OS	GSM3103946	10.100156499625658
MED14OS	GSM3103947	5.4873417961926085
MED14OS	GSM3103948	1.4331788090531223
MED14OS	GSM3103949	4.237414527158604
MED14OS	GSM3103950	3.327245718000227
MED14OS	GSM3103951	3
MED14OS	GSM3103952	5.022752939981257
MED14OS	GSM3103953	5.050078249812829
MED14OS	GSM3103954	5.015157145498248
MED14OS	GSM3103955	3.709092854009844
MED14OS	GSM3103956	2.055760681993136
MED14OS	GSM3103957	5.0807425661459416
MED14OS	GSM3103958	1.024773811842789
MED14OS	GSM3103959	1.0030314290996496
MED14OS	GSM3103960	4
MED14OS	GSM3103961	6.27213219005641
MED14OS	GSM3103962	1.0075958118807733
MED14OS	GSM3103963	8.217879236326038
MED14OS	GSM3103964	3.0319508014367815
MED14OS	GSM3103965	5
MED14OS	GSM4260265	4.074355565777664
MED14OS	GSM4260266	7.074551870019157
MED14OS	GSM4260267	4.208913105209237
MED14OS	GSM4260268	3.142127874395345
MED14OS	GSM4260269	13.204673082880012
MED14OS	GSM4260270	4.048723861149565
MED14OS	GSM4260271	2.1807565434679077
MED14OS	GSM4260272	2.138513928747764
MED14OS	GSM4260273	9.062668014124611
MED14OS	GSM4260274	5.2216044734996325
MED14OS	GSM4260275	4.248736093171254
MED14OS	GSM4260276	3.0327306230356093
MED14OS	GSM4735785	6.531616532265597
MED14OS	GSM4735786	9.420251527610812
MED14OS	GSM4735787	2.078877626659706
MED14OS	GSM4735788	4.214463107186204
MED14OS	GSM4735789	8.335813386078906
MED14OS	GSM4735790	4.201133833653861
MED14OS	GSM4735791	13.722370877086355
MED14OS	GSM4735792	2.13791132141245
MED14OS	GSM4735793	7.516740262530518
MED14OS	GSM4735794	2.1003227308775996
MED14OS	GSM4735795	11.416991073037766
MED14OS	GSM4735796	2.176970141800284
MED14OS	GSM4735797	2.14824542456174
MED14OS	GSM4735798	2.221954806547013
MED14OS	GSM4735799	4.315668366614646
MED14OS	GSM4735800	9.98300457230553
MED14OS	GSM4735801	4.241595849893746
MED14OS	GSM4735802	2.066526294610062
MED14OS	GSM4735803	2.066121998176176
MED14OS	GSM4735804	4.24889317773935
MED14OS	GSM5282507	5
MED14OS	GSM5282508	3.0883114057495
MED14OS	GSM5282509	2.006062858199299
MED14OS	GSM5282510	11.852022248105763
MED14OS	GSM5282511	6.29143938243506
MED14OS	GSM5282512	10.334723239435966
MED14OS	GSM5282513	3.0576866862052707
MED14OS	GSM5282514	5
MED14OS	GSM5282515	3.083641022989704
MED14OS	GSM5282516	11.579119561072943
MED14OS	GSM5282517	5.215838867623493
MED14OS	GSM5282518	4
MED14OS	GSM5282519	1.0939649729877647
MED14OS	GSM5282520	1.0412865799843114
MED14OS	GSM5282521	10.270901631634771
MED14OS	GSM5282522	1.0284996700603346
MED14OS	GSM5282523	9
MED14OS	GSM5282524	9.090140849663092
MED14OS	GSM5282525	3
MED14OS	GSM5282526	7
MED14OS	GSM5282527	5.030360238808427
MED14OS	GSM5282528	2.0446372310689633
MED14OS	GSM5282529	2
MED14OS	GSM5282530	3.0599636180198915
MED14OS	GSM5282531	14.46285398723323
MED14OS	GSM5282532	1.0039198009821009
MED14OS	GSM5282533	4.699109685935556
MED14OS	GSM5282534	3.009094287298949
MED14OS	GSM5282535	6
MED14OS	GSM5282536	2.0274279635499752
MED14OS	GSM4260927	5
MED14OS	GSM4260928	2.8065043388748276
MED14OS	GSM4260929	5.158107775279805
MED14OS	GSM4260930	5
MED14OS	GSM4260931	1.001514567592329
MED14OS	GSM4260932	5
MED14OS	GSM4260933	6.646522378610654
MED14OS	GSM4260934	13
MED14OS	GSM4260935	1.0073020868583835
MED14OS	GSM4260936	4.058447260221246
MED14OS	GSM4260937	1
MED14OS	GSM4260938	2.094995454543546
MED14OS	GSM4260939	5
MED14OS	GSM4260940	1.0060720477616854
MED14OS	GSM4260941	2
MED14OS	GSM4260942	3.792474372147417
MED14OS	GSM4260943	2.027949420598452
MED14OS	GSM4260944	4.012825485699005
MED14OS	GSM4260945	10.045505879962514
MED14OS	GSM4260946	6.666124771686811
MED14OS	GSM4260947	2.0456891329147155
MED14OS	GSM4260948	0.7652375074638559
MED14OS	GSM4260949	4.112905426179422
MED14OS	GSM4260950	4
MED14OS	GSM4260951	1.6917577940080877
MED14OS	GSM4260952	0.9166899881099466
MED14OS	GSM4260953	3.806651099125591
MED14OS	GSM4260954	4.024288191046741
MED14OS	GSM4260955	1.043823220986215
MED14OS	GSM4260956	4.0830903458235905
MED14OS	GSM4260957	4.364935363753972
MED14OS	GSM4260958	2.08764644197243
MED14OS	GSM4260959	2.0328197358360205
MED14OS	GSM4260960	2.010880610755931
MED14OS	GSM4260961	7.016811172071993
MED14OS	GSM4260962	2.006062858199299
MED14OS	GSM4260963	8
MED14OS	GSM4260964	7
MED14OS	GSM4260965	7.329764547351834
MED14OS	GSM4260966	1.8952121562434827
MED14OS	GSM4260967	5.96367335919837
MED14OS	GSM4260968	4
MED14OS	GSM4260969	2.003029135184658
MED14OS	GSM4260970	3.9609778687635337
MED14OS	GSM4260971	1.3966400571163509
MED14OS	GSM4260972	1.0111427890600695
MED14OS	GSM4260973	4.012125716398598
MED14OS	GSM4260974	4.060425070230685
MED14OS	GSM4260975	4
MED14OS	GSM4260976	5
MED14OS	GSM4260977	4.140150350532043
MED14OS	GSM4260978	5
MED14OS	GSM4260979	7.568876389424096
MED14OS	GSM4260980	3.301666440830336
MED14OS	GSM4260981	3.627395310319735
MED14OS	GSM4260982	10.030314290996497
MED14OS	GSM4260983	4.055898841196904
MED14OS	GSM4260984	7.935449143206539
MED14OS	GSM4260985	2.981506737939522
MED14OS	GSM4260986	8.587193046420728
MED14OS	GSM4260987	2.1061480063791156
MED14OS	GSM4260988	5.068569908874939
MED14OS	GSM4260989	4
MED14OS	GSM4260990	0.918009995083443
MED14OS	GSM4260991	5
MED14OS	GSM4260992	5.956149172332308
MED14OS	GSM4260993	5.082049339590051
MED14OS	GSM4260994	6.609286950743383
MED14OS	GSM4260995	2.055760681993136
MED14OS	GSM4260996	5.814854030754225
MED14OS	GSM4260997	1
MED14OS	GSM4260998	1.6282665539824854
MED14OS	GSM4260999	7
MED14OS	GSM4261000	7.134602267812298
MED14OS	GSM4261001	5
MED14OS	GSM4261002	1.0770752468138372
MED14OS	GSM4261003	7.0106019731463025
MED14OS	GSM4261004	4.179859925568138
MED14OS	GSM4261005	4
MED14OS	GSM4261006	8.15895441191211
MED14OS	GSM4261007	4.251876439406954
MED14OS	GSM4261008	5
MED14OS	GSM4261009	4.116109665642531
