Gene	sample	counts
MED30	GSM1022678	271.6942098399302
MED30	GSM1022679	101.01738795413723
MED30	GSM1022680	183.3259962810064
MED30	GSM1022681	245.7885016588523
MED30	GSM1022682	115.17417527311784
MED30	GSM1022683	216.79857233012223
MED30	GSM1022684	86.2877319814234
MED30	GSM1022685	143.80157150995095
MED30	GSM1022686	206.32881743931037
MED30	GSM1022687	105.46852014232176
MED30	GSM1022688	116.35631558017111
MED30	GSM1022689	178.95450915549893
MED30	GSM1022690	88.3902144598701
MED30	GSM1022691	136.60058927078575
MED30	GSM1022692	236.2561074997197
MED30	GSM1022693	207.43440121218552
MED30	GSM1022694	201.4127432218356
MED30	GSM1022695	207.47789455943655
MED30	GSM1385778	294.891240155297
MED30	GSM1385779	59.58803722310395
MED30	GSM1385780	132.31239154820398
MED30	GSM1385781	167.00985927241953
MED30	GSM1385782	191.4432042573469
MED30	GSM1385783	139.44958009711252
MED30	GSM1415906	259
MED30	GSM1415907	225.21862840466423
MED30	GSM1415908	229.6208028339599
MED30	GSM1415909	221.1968671831524
MED30	GSM1415910	245.48157965385124
MED30	GSM1415911	251.76088870401205
MED30	GSM1415912	125.6092481723998
MED30	GSM1415913	112.21406710187658
MED30	GSM1415914	129.01179839780664
MED30	GSM1415915	152.7547931478893
MED30	GSM1415916	138.20234961366276
MED30	GSM1415917	129.02329785990105
MED30	GSM1415918	100.091242528656
MED30	GSM1415919	127.48128506040143
MED30	GSM1415920	131.18146415405334
MED30	GSM1415921	148.8001178692031
MED30	GSM2769390	108.74704664280468
MED30	GSM2769391	186.1419023136714
MED30	GSM2769392	124.88976764787436
MED30	GSM2769393	162.69290143068176
MED30	GSM2769394	220.3015272547466
MED30	GSM2769395	125.64378393879193
MED30	GSM2769396	184.888348890462
MED30	GSM2769397	121.29478279389754
MED30	GSM2769398	109.99024463315112
MED30	GSM3103946	118
MED30	GSM3103947	142.046387015522
MED30	GSM3103948	145.30059354885603
MED30	GSM3103949	191.30364209874173
MED30	GSM3103950	157.7527954992043
MED30	GSM3103951	140.49963136977448
MED30	GSM3103952	129
MED30	GSM3103953	157
MED30	GSM3103954	122.85265965162633
MED30	GSM3103955	160.11829291339632
MED30	GSM3103956	95.19137791700211
MED30	GSM3103957	156.84868763896262
MED30	GSM3103958	73.7311424472673
MED30	GSM3103959	127.06455631582982
MED30	GSM3103960	199
MED30	GSM3103961	103.6631588567196
MED30	GSM3103962	136
MED30	GSM3103963	189.15898735661017
MED30	GSM3103964	134
MED30	GSM3103965	173
MED30	GSM4260265	134.44869303724522
MED30	GSM4260266	141.45856789824828
MED30	GSM4260267	97.56337826050456
MED30	GSM4260268	125.71274629807807
MED30	GSM4260269	153.4619840387713
MED30	GSM4260270	182.8801241896432
MED30	GSM4260271	54.608391002817584
MED30	GSM4260272	52.39574001364882
MED30	GSM4260273	168.7866393171183
MED30	GSM4260274	55.25468214788669
MED30	GSM4260275	95.2355936940035
MED30	GSM4260276	153.34779233017224
MED30	GSM4735785	253.51779605656333
MED30	GSM4735786	259.2386674052068
MED30	GSM4735787	292.24378626061974
MED30	GSM4735788	164.82024204335815
MED30	GSM4735789	265.53409154774425
MED30	GSM4735790	205.16826118727136
MED30	GSM4735791	209.45220919761744
MED30	GSM4735792	213.1827571840763
MED30	GSM4735793	239.7263536977188
MED30	GSM4735794	292.01956543060754
MED30	GSM4735795	110.28444427206314
MED30	GSM4735796	132.9033421910361
MED30	GSM4735797	103.2397971887137
MED30	GSM4735798	72.74688032532897
MED30	GSM4735799	132.03600805216595
MED30	GSM4735800	74.83947100862804
MED30	GSM4735801	105.55504093980292
MED30	GSM4735802	166.62124164529806
MED30	GSM4735803	147.6981274565753
MED30	GSM4735804	113.53333340676518
MED30	GSM5282507	184.83730819131023
MED30	GSM5282508	54.066975497973125
MED30	GSM5282509	133.32206579505868
MED30	GSM5282510	41.95371699092501
MED30	GSM5282511	55.59456028099671
MED30	GSM5282512	147.21388063696534
MED30	GSM5282513	54.88613286757256
MED30	GSM5282514	176.80090348734024
MED30	GSM5282515	116.7508571718064
MED30	GSM5282516	2.064349671565308
MED30	GSM5282517	76.04097200835805
MED30	GSM5282518	46.20932704782757
MED30	GSM5282519	1.0528894166961578
MED30	GSM5282520	1.0210351304622294
MED30	GSM5282521	35.812842443942834
MED30	GSM5282522	13.29356024335894
MED30	GSM5282523	169.5123115178408
MED30	GSM5282524	155.77798958779658
MED30	GSM5282525	64.44563921155279
MED30	GSM5282526	89.40500233166637
MED30	GSM5282527	255.06960325242255
MED30	GSM5282528	124.45605680665513
MED30	GSM5282529	132.8015103045425
MED30	GSM5282530	24.46149348964217
MED30	GSM5282531	22.559189442563977
MED30	GSM5282532	26.27690694578544
MED30	GSM5282533	87
MED30	GSM5282534	49.4469723083371
MED30	GSM5282535	196.7787673495048
MED30	GSM5282536	95.39804080332058
MED30	GSM4260927	179.2711075990269
MED30	GSM4260928	222.87290793742517
MED30	GSM4260929	197.62707673556832
MED30	GSM4260930	320.48466162954526
MED30	GSM4260931	203.14070369626435
MED30	GSM4260932	315.53118256712094
MED30	GSM4260933	299
MED30	GSM4260934	199.37869631074145
MED30	GSM4260935	206.17265449770113
MED30	GSM4260936	229.46515764604533
MED30	GSM4260937	237.28391206919983
MED30	GSM4260938	232.79076895459625
MED30	GSM4260939	260.1899624054334
MED30	GSM4260940	242.09139192794171
MED30	GSM4260941	273.4134769527058
MED30	GSM4260942	255
MED30	GSM4260943	229.3265014653953
MED30	GSM4260944	281.89621004206134
MED30	GSM4260945	241.18013023862383
MED30	GSM4260946	228.8372116960171
MED30	GSM4260947	228.41853394163743
MED30	GSM4260948	220.53107362834857
MED30	GSM4260949	157.5359882969776
MED30	GSM4260950	210.6366001109264
MED30	GSM4260951	266
MED30	GSM4260952	260
MED30	GSM4260953	270
MED30	GSM4260954	264.62410029019225
MED30	GSM4260955	250.59653500560648
MED30	GSM4260956	192.14566206191068
MED30	GSM4260957	289
MED30	GSM4260958	202.3813289838264
MED30	GSM4260959	153.7701603056165
MED30	GSM4260960	215.2685069020115
MED30	GSM4260961	123.26109136230902
MED30	GSM4260962	234.9777567459922
MED30	GSM4260963	286.4331663314061
MED30	GSM4260964	332.00377576135617
MED30	GSM4260965	162.21343335796047
MED30	GSM4260966	544
MED30	GSM4260967	230.8901564474143
MED30	GSM4260968	289.8760830097987
MED30	GSM4260969	291.19518963354346
MED30	GSM4260970	262.8403150084025
MED30	GSM4260971	135.63512774807677
MED30	GSM4260972	222.1999874971132
MED30	GSM4260973	286.96305838181644
MED30	GSM4260974	269.483962824357
MED30	GSM4260975	265.8382617476552
MED30	GSM4260976	257.38924387122853
MED30	GSM4260977	234.28840024196805
MED30	GSM4260978	271.0583462651672
MED30	GSM4260979	396
MED30	GSM4260980	283
MED30	GSM4260981	310.8140030748964
MED30	GSM4260982	225.034180097126
MED30	GSM4260983	272.02577754610616
MED30	GSM4260984	248.01949132479393
MED30	GSM4260985	242.73913790686396
MED30	GSM4260986	263.24597214839224
MED30	GSM4260987	132.9206080875438
MED30	GSM4260988	202.43619305747825
MED30	GSM4260989	258.39075843882085
MED30	GSM4260990	201
MED30	GSM4260991	225.7014618612932
MED30	GSM4260992	283.0852716469608
MED30	GSM4260993	218.14154023689196
MED30	GSM4260994	508
MED30	GSM4260995	177.81264100014664
MED30	GSM4260996	264.35970233899315
MED30	GSM4260997	261
MED30	GSM4260998	237.99682954998377
MED30	GSM4260999	209.26298593443056
MED30	GSM4261000	269.14563518536
MED30	GSM4261001	314.4755742239913
MED30	GSM4261002	135.74211506337193
MED30	GSM4261003	232.75463254445864
MED30	GSM4261004	208.5230433977217
MED30	GSM4261005	256.3877293036362
MED30	GSM4261006	254.71271845040403
MED30	GSM4261007	165.00444164297215
MED30	GSM4261008	251.74077817012807
MED30	GSM4261009	241.2420768472296
MED30	GSM4261010	241.85411182390985
MED30	GSM4261011	255.2135329433536
MED30	GSM4261012	61.43358500228642
MED30	GSM4261013	257.3230208924296
MED30	GSM4261014	178.8259785094141
MED30	GSM4261015	217.81164977091723
MED30	GSM4261016	247.71292571940603
MED30	GSM4261017	209.38989509528503
MED30	GSM4261018	176.1689688802146
MED30	GSM4261019	308.43863467743813
MED30	GSM4261020	170.91475687408655
MED30	GSM4261021	179.39335400294078
MED30	GSM4261022	329.7756500254912
MED30	GSM4261023	277.08884826721265
MED30	GSM4261024	215.80458039601896
MED30	GSM4261025	228.98131725994483
MED30	GSM4261026	274.2504708825778
MED30	GSM4261027	328
MED30	GSM4818000	337.5291729226875
MED30	GSM4818001	233.09459967547005
MED30	GSM4818002	228.3279976894827
MED30	GSM4818003	192.15735097405636
MED30	GSM4818004	183.45031261910893
MED30	GSM4818005	269.5795458524253
MED30	GSM4818006	197.3962307867833
MED30	GSM4818007	196.45578365019145
MED30	GSM4818008	313.84102334148423
MED30	GSM4818009	224.5356176044992
MED30	GSM4818010	211.9548913371437
MED30	GSM4818011	215.42719990988869
MED30	GSM4818012	436.3563086612794
MED30	GSM4818013	371.2925618855152
MED30	GSM4818014	183.7045840110476
MED30	GSM4818015	245.57743042614084
MED30	GSM4818016	227.8349795475389
MED30	GSM4818017	277.09258400805913
MED30	GSM4818018	254.89822435871056
MED30	GSM4818019	340.5883497165487
MED30	GSM4818020	294.2964961946526
MED30	GSM4818021	347.89618374115895
MED30	GSM4818022	297.15012581789887
MED30	GSM4818023	181.5760730615384
MED30	GSM3056394	268.8577141071177
MED30	GSM3056395	122.72673534998636
MED30	GSM3056396	145.408873415944
MED30	GSM3056397	178.5804262662817
MED30	GSM3056398	371.0193173296455
MED30	GSM3056399	168.21789148106814
