Gene	sample	counts
METTL17	GSM1022678	635.7524066036952
METTL17	GSM1022679	72.68089000306546
METTL17	GSM1022680	562.5492530927683
METTL17	GSM1022681	444.3582720015144
METTL17	GSM1022682	98.98153369633144
METTL17	GSM1022683	660.5122916010077
METTL17	GSM1022684	304.59501942225785
METTL17	GSM1022685	407.04061503464095
METTL17	GSM1022686	463.5540450420845
METTL17	GSM1022687	298.8661417274193
METTL17	GSM1022688	310.6525736684215
METTL17	GSM1022689	517.6648111443503
METTL17	GSM1022690	220.25641089025868
METTL17	GSM1022691	388.6228992730622
METTL17	GSM1022692	631.0282267153259
METTL17	GSM1022693	545.592130470308
METTL17	GSM1022694	474.3304299939376
METTL17	GSM1022695	642.6346263423775
METTL17	GSM1385778	664
METTL17	GSM1385779	247.00178347242243
METTL17	GSM1385780	313.08461788348484
METTL17	GSM1385781	432.36978075889056
METTL17	GSM1385782	616.7940610296984
METTL17	GSM1385783	312.31790526026526
METTL17	GSM1415906	864
METTL17	GSM1415907	560.3821306032588
METTL17	GSM1415908	449.806383712964
METTL17	GSM1415909	559.3760585554971
METTL17	GSM1415910	540.7391915094352
METTL17	GSM1415911	632.9128317618789
METTL17	GSM1415912	303.6279000182462
METTL17	GSM1415913	321.09930507365306
METTL17	GSM1415914	348.96373442540465
METTL17	GSM1415915	313.1987125769037
METTL17	GSM1415916	298.4016251698644
METTL17	GSM1415917	281.28175567253066
METTL17	GSM1415918	384.059686401502
METTL17	GSM1415919	346.30254308689547
METTL17	GSM1415920	337.3896383018231
METTL17	GSM1415921	354.51237399133396
METTL17	GSM2769390	262.3161630483638
METTL17	GSM2769391	368.6607138820216
METTL17	GSM2769392	422.7484044994171
METTL17	GSM2769393	555.4378225346131
METTL17	GSM2769394	621.9670158016986
METTL17	GSM2769395	423.65716843115854
METTL17	GSM2769396	605.9196539095174
METTL17	GSM2769397	254.65697870921764
METTL17	GSM2769398	268.16849605059775
METTL17	GSM3103946	296.9446010889943
METTL17	GSM3103947	396.7337804985025
METTL17	GSM3103948	421.287636394221
