Gene	sample	counts
METTL7B	GSM1022678	3.0413145565468964
METTL7B	GSM1022679	6.729314596475256
METTL7B	GSM1022680	3.0831980772880145
METTL7B	GSM1022681	6.179952726354101
METTL7B	GSM1022682	20.247231317540383
METTL7B	GSM1022683	3.053197109135842
METTL7B	GSM1022684	3.1867927143928823
METTL7B	GSM1022685	3.113198603811779
METTL7B	GSM1022686	3.1934037789314673
METTL7B	GSM1022687	12.444824950601886
METTL7B	GSM1022688	3.196276282228326
METTL7B	GSM1022689	3.0804271977207125
METTL7B	GSM1022690	6.7589204961913465
METTL7B	GSM1022691	3.3057127240012454
METTL7B	GSM1022692	11.210647830786682
METTL7B	GSM1022693	3.031915774002367
METTL7B	GSM1022694	3.16870346126417
METTL7B	GSM1022695	6.160854395441425
METTL7B	GSM1385778	7
METTL7B	GSM1385779	1.1010498670455962
METTL7B	GSM1385780	9.754418882974797
METTL7B	GSM1385781	1.0084216173196312
METTL7B	GSM1385782	6.031831337830029
METTL7B	GSM1385783	2.16096316090941
METTL7B	GSM1415906	17
METTL7B	GSM1415907	4.033686469278525
METTL7B	GSM1415908	6.1014849496652435
METTL7B	GSM1415909	3.0159156689150146
METTL7B	GSM1415910	8.053066725190497
METTL7B	GSM1415911	6.031831337830029
METTL7B	GSM1415912	4.857912809034238
METTL7B	GSM1415913	3.7130402220697993
METTL7B	GSM1415914	3.4300343742593906
METTL7B	GSM1415915	4.428397957260864
METTL7B	GSM1415916	3.344368154209306
METTL7B	GSM1415917	4.610177062289379
METTL7B	GSM1415918	3.492364810789715
METTL7B	GSM1415919	3.4905259952292145
METTL7B	GSM1415920	14.691782132837467
METTL7B	GSM1415921	3.248570926124131
METTL7B	GSM2769390	2.189129606147607
METTL7B	GSM2769391	2.1377133554787098
METTL7B	GSM2769392	2.104364095032676
METTL7B	GSM2769393	2.0766332361266744
METTL7B	GSM2769394	6.116447648531565
METTL7B	GSM2769395	2.13963625314103
METTL7B	GSM2769396	5.106951811469095
METTL7B	GSM2769397	5.288026238580401
METTL7B	GSM2769398	5.31608039685612
METTL7B	GSM3103946	3.031915774002367
METTL7B	GSM3103947	4.592098494022139
METTL7B	GSM3103948	4.954584287334009
METTL7B	GSM3103949	4.184357919425431
METTL7B	GSM3103950	4.599552801956207
METTL7B	GSM3103951	3
METTL7B	GSM3103952	10.053052229716716
METTL7B	GSM3103953	3.0356474853736453
METTL7B	GSM3103954	3.0159156689150146
METTL7B	GSM3103955	2.6185339270480723
METTL7B	GSM3103956	7.225795618656119
METTL7B	GSM3103957	7.124126587983632
METTL7B	GSM3103958	3.0831980772880145
METTL7B	GSM3103959	3
METTL7B	GSM3103960	10
METTL7B	GSM3103961	2.7087235097841966
METTL7B	GSM3103962	3.025264851958893
METTL7B	GSM3103963	7.225795618656119
METTL7B	GSM3103964	5.061807829385096
METTL7B	GSM3103965	7
METTL7B	GSM4260265	1.0213903622938192
METTL7B	GSM4260266	17.180856052680078
METTL7B	GSM4260267	1.061737358926767
METTL7B	GSM4260268	5.279811942006814
METTL7B	GSM4260269	5.095749013993946
METTL7B	GSM4260270	5.074825745016849
METTL7B	GSM4260271	1.1139413335812782
METTL7B	GSM4260272	1.084460786892387
METTL7B	GSM4260273	2.0106104459433434
METTL7B	GSM4260274	0.7554628862173641
METTL7B	GSM4260275	2.1490544014790443
METTL7B	GSM4260276	2.024723131754038
METTL7B	GSM4735786	1.0354564589203
METTL7B	GSM4735787	1.0285596084808206
METTL7B	GSM4735788	2.0837722651496535
METTL7B	GSM4735790	1.0409497863123298
METTL7B	GSM4735793	1.0628816047551497
METTL7B	GSM4735798	4.437793129425246
METTL7B	GSM4735800	4.415131235907314
METTL7B	GSM4735803	4.092526667435028
METTL7B	GSM4735804	4.176706707873868
METTL7B	GSM4735785	2.1623989688418694
METTL7B	GSM4735789	1.0363878638718522
METTL7B	GSM4735791	2.11364498314441
METTL7B	GSM4735792	2.158996752885524
METTL7B	GSM4735794	1.0497162670616038
METTL7B	GSM4735795	32.198655936889146
METTL7B	GSM4735796	4.402588701262759
METTL7B	GSM4735797	4.353185163369558
METTL7B	GSM4735799	4.380935203196902
METTL7B	GSM4735801	4.266047977550315
METTL7B	GSM4735802	4.1248193983982295
METTL7B	GSM5282507	1
METTL7B	GSM5282509	1
METTL7B	GSM5282510	1.0811994844209347
METTL7B	GSM5282511	1.0477400148936675
METTL7B	GSM5282512	1.0331850435179522
METTL7B	GSM5282515	1.0285596084808206
METTL7B	GSM5282516	1.0528865447675189
METTL7B	GSM5282519	1.100913956612852
METTL7B	GSM5282521	1.0275117075556537
METTL7B	GSM5282523	1
METTL7B	GSM5282524	5.053192956670611
METTL7B	GSM5282526	1
METTL7B	GSM5282528	1.0223091146302523
METTL7B	GSM5282529	1
METTL7B	GSM5282513	1.0191498027987893
METTL7B	GSM5282533	2.8920661423132508
METTL7B	GSM5282534	5
METTL7B	GSM5282536	1.013771518848965
METTL7B	GSM5282525	1
METTL7B	GSM5282530	1.0191498027987893
METTL7B	GSM5282514	1
METTL7B	GSM5282520	1.0409497863123298
METTL7B	GSM5282535	1
METTL7B	GSM5282522	1.028745445198491
METTL7B	GSM5282531	3.1020490396304
METTL7B	GSM5282508	1.0294848096363618
METTL7B	GSM5282518	1
METTL7B	GSM5282517	1.043238272186699
METTL7B	GSM5282527	1.0053052229716717
METTL7B	GSM5282532	1
