Gene	sample	counts
MIR4324	GSM1022678	2.0299857264361947
MIR4324	GSM1022679	1.0886816601851197
MIR4324	GSM1022680	1.0308436074633964
MIR4324	GSM1022681	1.0311088135197646
MIR4324	GSM1022682	1.0116578477926386
MIR4324	GSM1022683	1.020863922442935
MIR4324	GSM1022684	3.1734448271652407
MIR4324	GSM1022685	1.0371148636315564
MIR4324	GSM1022686	2.1209448991396775
MIR4324	GSM1022687	1.1088805228290193
MIR4324	GSM1022688	1.0595694172829608
MIR4324	GSM1022689	1.028213009709356
MIR4324	GSM1022690	1.1031801973034647
MIR4324	GSM1022691	2.1856653771637573
MIR4324	GSM1022692	1.0229984726241244
MIR4324	GSM1022693	1.0134855975762167
MIR4324	GSM1022694	1.0545664475046876
MIR4324	GSM1022695	1.0298210946342734
MIR4324	GSM1385778	1.0065008364545027
MIR4324	GSM1385779	1.08831673889073
MIR4324	GSM1385780	1.076969124990565
MIR4324	GSM1385781	1.0160593920172551
MIR4324	GSM1385782	1.010974028503044
MIR4324	GSM1385783	1.072602630214062
MIR4324	GSM1415906	1.006321233202252
MIR4324	GSM1415907	1.0141084146970722
MIR4324	GSM1415908	1.0241144897647825
MIR4324	GSM1415909	1.0137465254422466
MIR4324	GSM1415910	1.0149928632180971
MIR4324	GSM1415911	1.0101171841971937
MIR4324	GSM1415912	1.182512101984153
MIR4324	GSM1415913	1.1954362057291898
MIR4324	GSM1415914	2.274497060773547
MIR4324	GSM1415915	1.1104272564901518
MIR4324	GSM1415916	1.1091395235784829
MIR4324	GSM1415917	1.1335736061479336
MIR4324	GSM1415918	1.14248870104818
MIR4324	GSM1415919	1.1435660966331045
MIR4324	GSM1415920	1.1170792534511031
MIR4324	GSM1415921	1.0789086069095255
MIR4324	GSM2769390	1.049114201454456
MIR4324	GSM2769391	1.0447696856901132
MIR4324	GSM2769392	1.0329916712135618
MIR4324	GSM2769393	1.026969767993484
MIR4324	GSM2769394	1.017679101810684
MIR4324	GSM2769395	1.0389231941618595
MIR4324	GSM2769396	1.0203367258104672
MIR4324	GSM2769397	1.0478235991023386
MIR4324	GSM2769398	1.0511612257547172
MIR4324	GSM3103946	1.0096769883151675
MIR4324	GSM3103947	2.735350842226651
MIR4324	GSM3103948	0.6264670386727971
MIR4324	GSM3103949	0.8116746052912999
MIR4324	GSM3103950	0.5759736708637253
MIR4324	GSM3103951	2
MIR4324	GSM3103952	2.0108886820014096
MIR4324	GSM3103953	1.0101171841971937
MIR4324	GSM3103954	2.008777909040592
MIR4324	GSM3103955	1.4089599397396029
MIR4324	GSM3103956	1.0218297981950817
MIR4324	GSM3103957	1.0133047479406865
MIR4324	GSM3103958	2.041037660957477
MIR4324	GSM3103959	2.0063112751537355
MIR4324	GSM3103960	1.002102653483695
MIR4324	GSM3103961	0.8660659432922149
MIR4324	GSM3103962	2.0147573001443417
MIR4324	GSM3103963	3.06740910913374
MIR4324	GSM3103964	2.0202343683943873
MIR4324	GSM3103965	1.0027184754459773
MIR4324	GSM4260265	4.04471435902519
MIR4324	GSM4260266	1.007793796528983
MIR4324	GSM4260267	3.06289125946175
MIR4324	GSM4260268	1.0212022389679882
MIR4324	GSM4260269	1.0112256576006524
MIR4324	GSM4260270	2.0168743560979214
MIR4324	GSM4260271	2.0763382384922004
MIR4324	GSM4260272	1.031794725850175
MIR4324	GSM4260273	4.023530766184456
MIR4324	GSM4260274	1.5586716885732794
MIR4324	GSM4260275	1.0300705159989183
MIR4324	GSM4260276	2.017234317889231
MIR4324	GSM4735785	1.1241583234625787
MIR4324	GSM4735786	1.05207499443912
MIR4324	GSM4735787	3.1232908296958652
MIR4324	GSM4735788	3.1846486803191394
MIR4324	GSM4735789	1.0531587528031856
MIR4324	GSM4735790	1.0624726893191856
MIR4324	GSM4735791	1.0871027019164097
MIR4324	GSM4735792	1.119522653616255
MIR4324	GSM4735793	1.0950706995974604
MIR4324	GSM4735794	1.073004610131236
MIR4324	GSM4735795	1.0485009745543108
MIR4324	GSM4735796	1.1345222112631277
MIR4324	GSM4735797	1.1166577862322071
MIR4324	GSM4735798	1.1431313903741345
MIR4324	GSM4735799	1.1303004052343573
MIR4324	GSM4735800	1.1336053776903567
MIR4324	GSM4735801	1.08578255609448
MIR4324	GSM4735802	1.0404467493865326
MIR4324	GSM4735803	1.0290012974998244
MIR4324	GSM4735804	1.0579760419913706
MIR4324	GSM5282507	14.107086573085535
MIR4324	GSM5282508	6.051702953667694
MIR4324	GSM5282509	28
MIR4324	GSM5282510	1.0362709230555889
MIR4324	GSM5282511	12.21204811044967
MIR4324	GSM5282512	3.033535769268892
MIR4324	GSM5282513	6.018933825461207
MIR4324	GSM5282514	11.516324063806266
MIR4324	GSM5282515	4.04647776120769
MIR4324	GSM5282516	10.205188304787384
MIR4324	GSM5282517	13.203015885782255
MIR4324	GSM5282518	8.61509867818682
MIR4324	GSM5282519	8.351087947068457
MIR4324	GSM5282520	19.25622635394812
MIR4324	GSM5282521	10.101171841971937
MIR4324	GSM5282522	14.156500256588163
MIR4324	GSM5282523	7.726423308403913
MIR4324	GSM5282524	8
MIR4324	GSM5282525	6
MIR4324	GSM5282526	10.570531148085117
MIR4324	GSM5282527	6
MIR4324	GSM5282528	4.025284932809008
MIR4324	GSM5282529	9
MIR4324	GSM5282530	15.088240373191711
MIR4324	GSM5282531	5.064315814799967
MIR4324	GSM5282532	9
MIR4324	GSM5282533	11.769632712248768
MIR4324	GSM5282534	9
MIR4324	GSM5282535	9
MIR4324	GSM5282536	6.006258147157579
MIR4324	GSM4260927	2.00420530696739
MIR4324	GSM4260928	1.2909112142585406
MIR4324	GSM4260929	1.745849452088012
MIR4324	GSM4260930	2
MIR4324	GSM4260931	3.020818942822696
MIR4324	GSM4260932	3.0126291843571864
MIR4324	GSM4260933	1.6674377852952669
MIR4324	GSM4260934	2.0063112751537355
MIR4324	GSM4260935	1.0115205232858615
MIR4324	GSM4260936	1.019265707215034
MIR4324	GSM4260937	1
MIR4324	GSM4260938	1.0463449709305277
MIR4324	GSM4260939	1.0031556375768678
MIR4324	GSM4260940	1.009398108835883
MIR4324	GSM4260941	3
MIR4324	GSM4260942	2
MIR4324	GSM4260943	2.03635931734443
MIR4324	GSM4260944	2.370568874287339
MIR4324	GSM4260945	3.0239931428750455
MIR4324	GSM4260946	1.653101159747369
MIR4324	GSM4260947	3.0725566342139667
MIR4324	GSM4260948	1.47654332733663
MIR4324	GSM4260949	3.093317268627243
MIR4324	GSM4260950	3
MIR4324	GSM4260951	3.448842151657728
MIR4324	GSM4260952	1.9507215069219344
MIR4324	GSM4260953	4
MIR4324	GSM4260954	1.0101171841971937
MIR4324	GSM4260955	1.0443980245860167
MIR4324	GSM4260956	1.0217542627391865
MIR4324	GSM4260957	1.8305144702520075
MIR4324	GSM4260958	1.0450141253403695
MIR4324	GSM4260959	1.0185158160198071
MIR4324	GSM4260960	1.0094968183001447
MIR4324	GSM4260961	3.0157947788187207
MIR4324	GSM4260962	2.0142387224627405
MIR4324	GSM4260963	4
MIR4324	GSM4260964	2.00420530696739
MIR4324	GSM4260965	2.0960236439228592
MIR4324	GSM4260966	3
MIR4324	GSM4260967	2.565664005766635
MIR4324	GSM4260968	3.0094669127306033
MIR4324	GSM4260969	2.0105298525458135
MIR4324	GSM4260970	1.5353197089257835
MIR4324	GSM4260971	0.6280984158896301
MIR4324	GSM4260972	2.030609540583044
MIR4324	GSM4260973	4.0277585904302615
MIR4324	GSM4260974	3.0561657098522352
MIR4324	GSM4260975	2.007544213258549
MIR4324	GSM4260976	4
MIR4324	GSM4260977	2.0746659525090037
MIR4324	GSM4260978	2
MIR4324	GSM4260979	3
MIR4324	GSM4260980	2.5781463431466043
MIR4324	GSM4260981	1.3865995463082774
MIR4324	GSM4260982	3.018963699606756
MIR4324	GSM4260983	1.0171270414978684
MIR4324	GSM4260984	2.430136650081037
MIR4324	GSM4260985	0.710173072721408
MIR4324	GSM4260986	0.7514549828230019
MIR4324	GSM4260987	2.1072560948812544
MIR4324	GSM4260988	2.03337158794915
MIR4324	GSM4260989	3
MIR4324	GSM4260990	5
MIR4324	GSM4260991	5.026324631364534
MIR4324	GSM4260992	2.171934571221533
MIR4324	GSM4260993	2.0388952414663737
MIR4324	GSM4260994	2
MIR4324	GSM4260995	2.0611565579707287
MIR4324	GSM4260996	1.6419189913833896
MIR4324	GSM4260997	3
MIR4324	GSM4260998	3.155474688306502
MIR4324	GSM4260999	4.010873901783909
MIR4324	GSM4261000	1.022963108723893
MIR4324	GSM4261001	4
MIR4324	GSM4261002	3.205894670843444
MIR4324	GSM4261003	4.025284932809008
MIR4324	GSM4261004	3.1407610412620173
MIR4324	GSM4261005	2
MIR4324	GSM4261006	4.088875856234439
MIR4324	GSM4261007	4.236092550698692
MIR4324	GSM4261008	4.012622550307471
MIR4324	GSM4261009	2.0611177632470974
MIR4324	GSM4261010	1.0573527504378613
MIR4324	GSM4261011	1.0186397227305803
MIR4324	GSM4261012	1.1521636110377214
MIR4324	GSM4261013	2.071066459096542
MIR4324	GSM4261014	1.032686174919233
MIR4324	GSM4261015	2.0330047409602123
MIR4324	GSM4261016	2.009653689883078
MIR4324	GSM4261017	2.0291010851576097
MIR4324	GSM4261018	1.319755097787943
MIR4324	GSM4261019	1.0194476207331868
MIR4324	GSM4261020	2.1589209195295354
MIR4324	GSM4261021	2.0707358663481825
MIR4324	GSM4261022	4.032710467016048
MIR4324	GSM4261023	1.004388954520296
MIR4324	GSM4261024	2.092175001212198
MIR4324	GSM4261025	2.060967823651436
MIR4324	GSM4261026	4.184050626843139
MIR4324	GSM4261027	2.7887755490607566
MIR4324	GSM4818000	1.0148590600281953
MIR4324	GSM4818001	1.0529126092797554
MIR4324	GSM4818002	2.0716386594311977
MIR4324	GSM4818003	1.0573255696962722
MIR4324	GSM4818004	1.180393650637631
MIR4324	GSM4818005	1.0778621231566528
MIR4324	GSM4818006	1.1865753126452228
MIR4324	GSM4818007	1.1906613995587665
MIR4324	GSM4818008	1.0171270414978684
MIR4324	GSM4818009	2.099099067208964
MIR4324	GSM4818010	2.1942896843374973
MIR4324	GSM4818011	1.1446027103872318
MIR4324	GSM4818012	3.050051372434628
MIR4324	GSM4818013	1.0362709230555889
MIR4324	GSM4818014	2.336365458033869
MIR4324	GSM4818015	5.41746635756941
MIR4324	GSM4818016	2.1277724306545966
MIR4324	GSM4818017	1.0249978412128151
MIR4324	GSM4818018	1.0360041976426817
MIR4324	GSM4818019	1.0168461042644938
MIR4324	GSM4818020	4.0549861017689866
MIR4324	GSM4818021	5.093198613652901
MIR4324	GSM4818022	2.132547253234218
MIR4324	GSM4818023	1.0980352910845552
MIR4324	GSM3056394	3.2015914234682965
MIR4324	GSM3056395	1.133705193223047
MIR4324	GSM3056396	4.8140886230081
MIR4324	GSM3056397	1.0736079330791972
MIR4324	GSM3056398	5.102594152393692
MIR4324	GSM3056399	2.1994319297990126
MIR4324	GSM3056400	1.0751432370066922
MIR4324	GSM3056401	2.112072662874227
MIR4324	GSM3056402	3.227323760470082
MIR4324	GSM3056403	2.0876302569154817
MIR4324	GSM3056404	2.0435753960212173
MIR4324	GSM3056405	2.2815261046012667
MIR4324	GSM3056406	2.1840580563788032
MIR4324	GSM3056407	6.567712625868665
MIR4324	GSM3056408	1.051302402577222
MIR4324	GSM3056409	3.1548988601489536
MIR4324	GSM3056410	2.4126684864229966
MIR4324	GSM3056411	1.2456982018473386
MIR4324	GSM3056412	1.1918056890427493
MIR4324	GSM3056413	1.1508553648838002
MIR4324	GSM3056414	4.115367306664688
MIR4324	GSM3056415	1.0579799460345516
MIR4324	GSM3056416	3.629717125130405
MIR4324	GSM3056417	3.1929477067970975
MIR4324	GSM3056418	2.0342540829957367
MIR4324	GSM3056419	4.419920653332483
MIR4324	GSM3056420	2.05679304019589
MIR4324	GSM3056421	2.256270822335934
MIR4324	GSM3056422	2.275888476216275
MIR4324	GSM3056423	1.2189788698148885
MIR4324	GSM3056424	1.1011144214313489
MIR4324	GSM3056425	2.3950665579591988
MIR4324	GSM3056426	1.0466890534922917
MIR4324	GSM3056427	3.5209850613078584
MIR4324	GSM3056428	2.072916582578474
MIR4324	GSM3056429	3.3077316483207904
MIR4324	GSM3056430	4.2096682787756645
MIR4324	GSM3056431	1.142439781228339
MIR4324	GSM3056432	2.119699394191528
MIR4324	GSM3056433	1.184271708569342
MIR4324	GSM3056434	2.0734099457930375
MIR4324	GSM3056435	1.1519063682458093
MIR4324	GSM3056436	1.1394543927279692
MIR4324	GSM3056437	1.1397234185202714
MIR4324	GSM3056438	1.0890492244477346
MIR4324	GSM3056439	3.3346777108640606
MIR4324	GSM3056440	2.4548908289565547
MIR4324	GSM3056441	1.2448635470620568
MIR4324	GSM3056442	5.093436083081533
MIR4324	GSM3056443	1.0336459304989285
MIR4324	GSM3056444	3.43325972757368
MIR4324	GSM3056445	1.0494980139587593
MIR4324	GSM3056446	2.038119019878644
MIR4324	GSM3056447	4.061741506795952
MIR4324	GSM3056448	3.0725566342139667
MIR4324	GSM3056449	2.189524031714451
MIR4324	GSM3056450	3.0666568921758293
MIR4324	GSM3056451	1.103382198875546
