Gene	sample	counts
MKRN7P	GSM1022678	1.010650267145594
MKRN7P	GSM1022679	2.1616592862363277
MKRN7P	GSM1022680	1.0228445664573578
MKRN7P	GSM1022681	2.046974488715816
MKRN7P	GSM1022682	6.054731303061686
MKRN7P	GSM1022683	4.060997280478699
MKRN7P	GSM1022684	1.0419408454465733
MKRN7P	GSM1022685	2.0536521243909864
MKRN7P	GSM1022686	2.096555510328024
MKRN7P	GSM1022687	1.080412911353207
MKRN7P	GSM1022688	2.086521512494709
MKRN7P	GSM1022689	1.0212700412974676
MKRN7P	GSM1022690	1.079843385051915
MKRN7P	GSM1022691	1.067908644246083
MKRN7P	GSM1022692	1.0172824963691265
MKRN7P	GSM1022693	1.0091218838436145
MKRN7P	GSM1022694	1.0423146986582486
MKRN7P	GSM1022695	2.045163114362914
MKRN7P	GSM1385778	2.003029135184658
MKRN7P	GSM1385779	1.052358251410889
MKRN7P	GSM1385780	1.0469231004598798
MKRN7P	GSM1385781	2.0161736905247345
MKRN7P	GSM1385782	1.0050401373437077
MKRN7P	GSM1385783	1.0443602353553707
MKRN7P	GSM1415906	2.003029135184658
MKRN7P	GSM1415907	1.0069631126805123
MKRN7P	GSM1415908	1.013974710299226
MKRN7P	GSM1415909	1.0069631126805123
MKRN7P	GSM1415910	1.0075958118807733
MKRN7P	GSM1415911	5.022752939981257
MKRN7P	GSM1415912	1.1235925034328906
MKRN7P	GSM1415913	3.4002566712850637
MKRN7P	GSM1415914	1.086773852521356
MKRN7P	GSM1415915	1.0718539595694612
MKRN7P	GSM1415916	1.0717564809270177
MKRN7P	GSM1415917	1.087295576280627
MKRN7P	GSM1415918	1.0934321088575003
MKRN7P	GSM1415919	2.187059143779823
MKRN7P	GSM1415920	1.0760262278806771
MKRN7P	GSM1415921	2.1045859984777806
MKRN7P	GSM2769390	1.0476453445591134
MKRN7P	GSM2769391	1.0368437150858465
MKRN7P	GSM2769392	1.033326703689763
MKRN7P	GSM2769393	1.0303488943225554
MKRN7P	GSM2769394	1.0155104435348865
MKRN7P	GSM2769395	1.0397118660865767
MKRN7P	GSM2769396	1.0223186155344817
MKRN7P	GSM2769397	1.0460250461958456
MKRN7P	GSM2769398	1.0481558953476182
MKRN7P	GSM3103946	10.069631126805122
MKRN7P	GSM3103947	5.380214124401302
MKRN7P	GSM3103948	3.448124610411332
MKRN7P	GSM3103949	0.8376040364052322
MKRN7P	GSM3103950	5.150764474459754
MKRN7P	GSM3103951	5
MKRN7P	GSM3103952	10
MKRN7P	GSM3103953	8.055704901444098
MKRN7P	GSM3103954	9
MKRN7P	GSM3103955	6.8370065193016885
MKRN7P	GSM3103956	4.091267295220133
MKRN7P	GSM3103957	3.0427065176495165
MKRN7P	GSM3103958	8.153831163214056
MKRN7P	GSM3103959	10
MKRN7P	GSM3103960	2
MKRN7P	GSM3103961	8.663010885595584
MKRN7P	GSM3103962	2.0121440955233707
MKRN7P	GSM3103963	7.158639311866724
MKRN7P	GSM3103964	20.139262253610244
MKRN7P	GSM3103965	1
MKRN7P	GSM4260265	1.0263259010476733
MKRN7P	GSM4260266	2.0358985787289643
MKRN7P	GSM4260267	3.113370546278289
MKRN7P	GSM4260268	2.077896633026084
MKRN7P	GSM4260269	1.0234594842742062
MKRN7P	GSM4260270	2.043878895977324
MKRN7P	GSM4260271	5.253365711820207
MKRN7P	GSM4260272	2.097146460811687
MKRN7P	GSM4260273	6.102291016454016
MKRN7P	GSM4260274	3.608942285224838
MKRN7P	GSM4260275	2.0945135671757127
MKRN7P	GSM4260276	3.0677446715443706
MKRN7P	GSM4735785	2.1529093196505102
MKRN7P	GSM4735786	1.0407613618149296
MKRN7P	GSM4735787	1.0355419942618784
MKRN7P	GSM4735788	1.046061014447033
MKRN7P	GSM4735789	1.0406685081874067
MKRN7P	GSM4735790	1.0412038995555892
MKRN7P	GSM4735791	1.0533448551613187
MKRN7P	GSM4735792	1.0662995670872113
MKRN7P	GSM4735793	1.0633137867624505
MKRN7P	GSM4735794	1.0496557983164967
MKRN7P	GSM4735795	1.040400915749839
MKRN7P	GSM4735796	1.0902861903587755
MKRN7P	GSM4735797	1.076151327934158
MKRN7P	GSM4735798	1.1025281268115683
MKRN7P	GSM4735799	1.0835219303580144
MKRN7P	GSM4735800	1.1001966655378004
MKRN7P	GSM4735801	1.064077087569082
MKRN7P	GSM4735802	1.0375233297739646
MKRN7P	GSM4735803	1.0325222969875112
MKRN7P	GSM4735804	1.058682572589556
MKRN7P	GSM5282507	1.0030314290996496
MKRN7P	GSM5282508	1.0203939923164922
MKRN7P	GSM5282509	1.008488226377649
MKRN7P	GSM5282510	1.0507016405848535
MKRN7P	GSM5282511	1.030203714172055
MKRN7P	GSM5282512	1.022581557181457
MKRN7P	GSM5282513	1.0161485132291883
MKRN7P	GSM5282514	1.0039198009821009
MKRN7P	GSM5282515	1.0238669861786047
MKRN7P	GSM5282516	1.0330890196011069
MKRN7P	GSM5282517	1.0281447131263994
MKRN7P	GSM5282518	1.0030314290996496
MKRN7P	GSM5282519	1.0551829285636198
MKRN7P	GSM5282520	1.0221745668813695
MKRN7P	GSM5282521	1.0229609629673868
MKRN7P	GSM5282522	1.022581557181457
MKRN7P	GSM5282523	1.001514567592329
MKRN7P	GSM5282524	1.0111427890600695
MKRN7P	GSM5282525	1.0060720477616854
MKRN7P	GSM5282526	1.0040651293934055
MKRN7P	GSM5282527	1.011545386933744
MKRN7P	GSM5282528	1.0195819146668483
MKRN7P	GSM5282529	1.0045505879962513
MKRN7P	GSM5282530	1.018588891444416
MKRN7P	GSM5282531	1.0256814406706618
MKRN7P	GSM5282532	1.0100156499625657
MKRN7P	GSM5282533	1
MKRN7P	GSM5282534	1.008488226377649
MKRN7P	GSM5282535	4.031419867215763
MKRN7P	GSM5282536	1.0142079967347273
MKRN7P	GSM4260927	1
MKRN7P	GSM4260928	0.6809749253920263
MKRN7P	GSM4260929	0.6244373607233639
MKRN7P	GSM4260930	1
MKRN7P	GSM4260931	1.0030314290996496
MKRN7P	GSM4260932	1.000724198639998
MKRN7P	GSM4260933	0.8296147649577538
MKRN7P	GSM4260934	1
MKRN7P	GSM4260935	2.0121440955233707
MKRN7P	GSM4260936	2.0243619305747824
MKRN7P	GSM4260937	2
MKRN7P	GSM4260938	2.0805086384611613
MKRN7P	GSM4260939	1
MKRN7P	GSM4260940	1.0068977674964592
MKRN7P	GSM4260941	3
MKRN7P	GSM4260942	0.9348657973525818
MKRN7P	GSM4260943	1.0137139817749876
MKRN7P	GSM4260944	0.7975125307412431
MKRN7P	GSM4260945	1.0045505879962513
MKRN7P	GSM4260946	0.5928549582456735
MKRN7P	GSM4260947	1.020131613169304
MKRN7P	GSM4260948	0.7574044353089608
MKRN7P	GSM4260949	1.0254177019347264
MKRN7P	GSM4260950	1
MKRN7P	GSM4260951	0.8327314063362963
MKRN7P	GSM4260952	0.9188947423670424
MKRN7P	GSM4260953	0.950807715106774
MKRN7P	GSM4260954	1.0060720477616854
MKRN7P	GSM4260955	1.0380571030463166
MKRN7P	GSM4260956	1.018588891444416
MKRN7P	GSM4260957	0.8570770907697618
MKRN7P	GSM4260958	1.03802894778378
MKRN7P	GSM4260959	2.0266760112001068
MKRN7P	GSM4260960	1.0054403053779657
MKRN7P	GSM4260961	1.001514567592329
MKRN7P	GSM4260962	1.001514567592329
MKRN7P	GSM4260963	1
MKRN7P	GSM4260964	2
MKRN7P	GSM4260965	2.083659709420535
MKRN7P	GSM4260966	0.9575856393853734
MKRN7P	GSM4260967	0.8230482317965957
MKRN7P	GSM4260968	1
MKRN7P	GSM4260969	2.003029135184658
