Gene	sample	counts
MORC3	GSM1022678	2511.908921456901
MORC3	GSM1022679	491.4075018185635
MORC3	GSM1022680	2525.8248376494216
MORC3	GSM1022681	2128.4672322075717
MORC3	GSM1022682	663.0026437461217
MORC3	GSM1022683	3341.1293997417906
MORC3	GSM1022684	2140.757541062933
MORC3	GSM1022685	2382.414688278336
MORC3	GSM1022686	2033.3704958644037
MORC3	GSM1022687	1714.9181375141518
MORC3	GSM1022688	2005.8593163732155
MORC3	GSM1022689	2279.6364177649352
MORC3	GSM1022690	1783.5882560652358
MORC3	GSM1022691	1849.8430943998007
MORC3	GSM1022692	2956.750255232543
MORC3	GSM1022693	3277.6649317750675
MORC3	GSM1022694	2094.2814830923517
MORC3	GSM1022695	2110.375643190347
MORC3	GSM1385778	2759.339461453136
MORC3	GSM1385779	1695.6455504539406
MORC3	GSM1385780	2053.4466436339376
MORC3	GSM1385781	2135.7018367563956
MORC3	GSM1385782	2304.3716217713286
MORC3	GSM1385783	2019.9375743917567
MORC3	GSM1415906	3213
MORC3	GSM1415907	3180.207685910505
MORC3	GSM1415908	2820.1885387712787
MORC3	GSM1415909	2860.4776688003117
MORC3	GSM1415910	2674.1395029505597
MORC3	GSM1415911	3191.6460073950852
MORC3	GSM1415912	1436.926485558401
MORC3	GSM1415913	1366.1790305412935
MORC3	GSM1415914	1555.5438970751932
MORC3	GSM1415915	1663.5624733229042
MORC3	GSM1415916	1727.529370170785
MORC3	GSM1415917	1638.1728556146454
MORC3	GSM1415918	1564.191864623358
MORC3	GSM1415919	1590.329031128508
MORC3	GSM1415920	1874.3207598331144
MORC3	GSM1415921	1858.9681392131693
MORC3	GSM2769390	1808.9652951158855
MORC3	GSM2769391	2639.0785261360525
MORC3	GSM2769392	1601.891895781
MORC3	GSM2769393	2064.552325117196
MORC3	GSM2769394	3225.3361847388474
MORC3	GSM2769395	1811.9702725057184
MORC3	GSM2769396	2999.0728858695934
MORC3	GSM2769397	1802.6914270403392
MORC3	GSM2769398	1933.733253264733
MORC3	GSM3103946	1858
MORC3	GSM3103947	2410.7985122128766
MORC3	GSM3103948	1536.8578198713803
MORC3	GSM3103949	1434.7773157405632
MORC3	GSM3103950	1538.3908110704845
MORC3	GSM3103951	1767.6372541251358
MORC3	GSM3103952	1301
MORC3	GSM3103953	2544
MORC3	GSM3103954	1599.08217969312
MORC3	GSM3103955	1940.796887988492
MORC3	GSM3103956	1243.5639583199852
MORC3	GSM3103957	1873.1352889191496
MORC3	GSM3103958	1054.4563385609183
MORC3	GSM3103959	2047.8078494620945
MORC3	GSM3103960	1728
MORC3	GSM3103961	1875.993733041381
MORC3	GSM3103962	2249
MORC3	GSM3103963	2544.036648138366
MORC3	GSM3103964	2132
MORC3	GSM3103965	1739
MORC3	GSM4260265	2374.918135024316
MORC3	GSM4260266	2751.8271050134053
MORC3	GSM4260267	2142.242688613632
MORC3	GSM4260268	2178.6746197278494
MORC3	GSM4260269	2452.3225049395655
MORC3	GSM4260270	2427.503771366437
MORC3	GSM4260271	2096.122085415844
MORC3	GSM4260272	2071.727560139674
MORC3	GSM4260273	2536.883524675965
MORC3	GSM4260274	1067.6816185867688
MORC3	GSM4260275	2121.346685909287
MORC3	GSM4260276	2273.636600948687
MORC3	GSM4735785	1675.3301022737894
MORC3	GSM4735786	2534.548564989552
MORC3	GSM4735787	3471.9385029694754
MORC3	GSM4735788	2273.275413843298
MORC3	GSM4735789	2650.174882567953
MORC3	GSM4735790	2618.730569927986
MORC3	GSM4735791	2325.857367806379
MORC3	GSM4735792	2644.3063181748976
MORC3	GSM4735793	1863.3751510128361
MORC3	GSM4735794	1903.8428607433204
MORC3	GSM4735795	2162.3996643251257
MORC3	GSM4735796	1911.6816740758632
MORC3	GSM4735797	2014.229512498169
MORC3	GSM4735798	1361.8643919727028
MORC3	GSM4735799	1765.057355641355
MORC3	GSM4735800	1318.2438250519767
MORC3	GSM4735801	1962.696701831187
MORC3	GSM4735802	2404.6942158438696
MORC3	GSM4735803	2632.9242582015886
MORC3	GSM4735804	1965.4807352162009
MORC3	GSM5282507	2231.106855939674
MORC3	GSM5282508	1596.5059746099612
MORC3	GSM5282509	2972.476057839831
MORC3	GSM5282510	1606.827360752428
MORC3	GSM5282511	1330.151331167551
MORC3	GSM5282512	2166.2931463175664
MORC3	GSM5282513	2032.8197358360203
MORC3	GSM5282514	2621.877034670216
MORC3	GSM5282515	2640.207980604534
MORC3	GSM5282516	1573.0344497327644
MORC3	GSM5282517	1297.8344276561652
MORC3	GSM5282518	2597.767820558306
MORC3	GSM5282519	1007.6151717782228
