Gene	sample	counts
MROH2A	GSM1022678	79.16944333101159
MROH2A	GSM1022679	18.50758822314703
MROH2A	GSM1022680	8.246748859707171
MROH2A	GSM1022681	52.58654948950799
MROH2A	GSM1022682	51.59455023742456
MROH2A	GSM1022683	8.16691137954348
MROH2A	GSM1022684	5.289074711942068
MROH2A	GSM1022685	4.1484594545262254
MROH2A	GSM1022686	13.786141844407904
MROH2A	GSM1022687	3.326641568487058
MROH2A	GSM1022688	4.238277669131843
MROH2A	GSM1022689	11.310343106802916
MROH2A	GSM1022690	5.515900986517323
MROH2A	GSM1022691	6.556996131491272
MROH2A	GSM1022692	18.41397250723424
MROH2A	GSM1022693	7.094399183033517
MROH2A	GSM1022694	12.654797370056253
MROH2A	GSM1022695	17.50695860878265
MROH2A	GSM1385778	1.0065008364545027
MROH2A	GSM1385779	2.17663347778146
MROH2A	GSM1385780	1.076969124990565
MROH2A	GSM1385781	1.0160593920172551
MROH2A	GSM1385782	3.032922085509132
MROH2A	GSM1385783	1.072602630214062
MROH2A	GSM1415906	38.24020686168557
MROH2A	GSM1415907	28.395035611518026
MROH2A	GSM1415908	6.144686938588694
MROH2A	GSM1415909	20.274930508844935
MROH2A	GSM1415910	29.434793033324823
MROH2A	GSM1415911	17.171992131352294
MROH2A	GSM1415912	8.27758471388907
MROH2A	GSM1415913	10.758925851562708
MROH2A	GSM1415914	34.11745591160321
MROH2A	GSM1415915	26.650254155763648
MROH2A	GSM1415916	8.873116188627863
MROH2A	GSM1415917	9.068588849183469
MROH2A	GSM1415918	38.84461583563811
MROH2A	GSM1415919	11.435660966331044
MROH2A	GSM1415920	7.819554774157721
MROH2A	GSM1415921	14.025811889823832
MROH2A	GSM2769390	1.049114201454456
MROH2A	GSM2769391	1.0447696856901132
MROH2A	GSM2769392	1.0329916712135618
MROH2A	GSM2769393	1.026969767993484
MROH2A	GSM2769394	1.017679101810684
MROH2A	GSM2769395	1.0389231941618595
MROH2A	GSM2769396	1.0203367258104672
MROH2A	GSM2769397	1.0478235991023386
MROH2A	GSM2769398	1.0511612257547172
MROH2A	GSM3103946	106.01608377309256
MROH2A	GSM3103947	113.9729517594438
MROH2A	GSM3103948	36.96155528169503
MROH2A	GSM3103949	101.45932566141248
MROH2A	GSM3103950	89.85189265474115
MROH2A	GSM3103951	85
MROH2A	GSM3103952	94.51176805406624
MROH2A	GSM3103953	66.66773415701478
MROH2A	GSM3103954	48.21066981697421
MROH2A	GSM3103955	92.05204939632073
MROH2A	GSM3103956	73.57174547004587
MROH2A	GSM3103957	33.43905668204264
MROH2A	GSM3103958	104.09292070883131
MROH2A	GSM3103959	51.160937516420255
