Gene	sample	counts
MRPL15	GSM1022678	861.7289408721647
MRPL15	GSM1022679	157.85884072684232
MRPL15	GSM1022680	409.2449121629684
MRPL15	GSM1022681	811.4826362400546
MRPL15	GSM1022682	94.08417984471538
MRPL15	GSM1022683	441.01321449534794
MRPL15	GSM1022684	157.61442641587362
MRPL15	GSM1022685	333.95098608936115
MRPL15	GSM1022686	535.5385870327685
MRPL15	GSM1022687	1.1088805228290193
MRPL15	GSM1022688	101.71866405916424
MRPL15	GSM1022689	601.5046106799732
MRPL15	GSM1022690	46.33356828674552
MRPL15	GSM1022691	351.8921257233649
MRPL15	GSM1022692	436.8203478105011
MRPL15	GSM1022693	555.3901074717668
MRPL15	GSM1022694	668.595127717972
MRPL15	GSM1022695	450.0318183551775
MRPL15	GSM1385778	869.6167226966904
MRPL15	GSM1385779	372.2043247006296
MRPL15	GSM1385780	157.2374922486225
MRPL15	GSM1385781	584.2341504099217
MRPL15	GSM1385782	791.5926643178835
MRPL15	GSM1385783	205.93970500109995
MRPL15	GSM1415906	718.5133605064079
MRPL15	GSM1415907	694.6642640674945
MRPL15	GSM1415908	493.6231840666251
MRPL15	GSM1415909	776.529838488761
MRPL15	GSM1415910	737.8998115595567
MRPL15	GSM1415911	782.8408177528252
MRPL15	GSM1415912	152.54406115595572
MRPL15	GSM1415913	100.41664128125194
MRPL15	GSM1415914	292.2728723094008
MRPL15	GSM1415915	326.4656134081047
MRPL15	GSM1415916	226.2644628100105
MRPL15	GSM1415917	255.05406138328507
MRPL15	GSM1415918	93.68407348595076
MRPL15	GSM1415919	218.42112445692297
MRPL15	GSM1415920	270.33317933516696
MRPL15	GSM1415921	304.2522271484862
MRPL15	GSM2769390	180.4476426501664
MRPL15	GSM2769391	941.337486806792
MRPL15	GSM2769392	383.23991002023143
MRPL15	GSM2769393	382.032753693576
MRPL15	GSM2769394	983.0780123491206
MRPL15	GSM2769395	361.5452715683272
MRPL15	GSM2769396	484.6599447599719
MRPL15	GSM2769397	429.6076756319589
MRPL15	GSM2769398	432.0272637851887
MRPL15	GSM3103946	216.07087549944583
MRPL15	GSM3103947	361.9780947879935
MRPL15	GSM3103948	306.9688489496706
MRPL15	GSM3103949	756.4807321314914
MRPL15	GSM3103950	287.9868354318627
MRPL15	GSM3103951	443
MRPL15	GSM3103952	142.77309642210008
MRPL15	GSM3103953	204.0436712078331
MRPL15	GSM3103954	194.85145717693743
MRPL15	GSM3103955	536.344083727542
MRPL15	GSM3103956	255.4574495487704
MRPL15	GSM3103957	347.56352854365537
MRPL15	GSM3103958	153.07782457181077
MRPL15	GSM3103959	194.61219368991237
MRPL15	GSM3103960	307.64551461949435
MRPL15	GSM3103961	235.56993657548244
MRPL15	GSM3103962	424.1064116803838
MRPL15	GSM3103963	199.3815920936931
MRPL15	GSM3103964	213.13472586560783
MRPL15	GSM3103965	406.1009825556208
MRPL15	GSM4260265	438.85150795423306
MRPL15	GSM4260266	1025.9340848665047
MRPL15	GSM4260267	351.2115310849473
MRPL15	GSM4260268	386.0144463298995
MRPL15	GSM4260269	916.1704457861912
MRPL15	GSM4260270	498.1679659561866
