Gene	sample	counts
MRPL2P1	GSM1022678	1.013771518848965
MRPL2P1	GSM1022679	1.121552432745876
MRPL2P1	GSM1022680	1.0277326924293382
MRPL2P1	GSM1022681	1.0299921210590168
MRPL2P1	GSM1022682	6.074169395262115
MRPL2P1	GSM1022683	1.0177323697119474
MRPL2P1	GSM1022684	1.0622642381309608
MRPL2P1	GSM1022685	1.0377328679372595
MRPL2P1	GSM1022686	1.064467926310489
MRPL2P1	GSM1022687	1.1313477227819897
MRPL2P1	GSM1022688	1.065425427409442
MRPL2P1	GSM1022689	1.0268090659069042
MRPL2P1	GSM1022690	1.1264867493652244
MRPL2P1	GSM1022691	1.1019042413337483
MRPL2P1	GSM1022692	1.0191498027987893
MRPL2P1	GSM1022693	1.0106385913341225
MRPL2P1	GSM1022694	1.056234487088057
MRPL2P1	GSM1022695	1.0268090659069042
MRPL2P1	GSM1385778	1
MRPL2P1	GSM1385779	2.2020997340911923
MRPL2P1	GSM1385780	1.0838243203305329
MRPL2P1	GSM1385781	1.0084216173196312
MRPL2P1	GSM1385782	1.0053052229716717
MRPL2P1	GSM1385783	1.080481580454705
MRPL2P1	GSM1415906	1
MRPL2P1	GSM1415907	1.0084216173196312
MRPL2P1	GSM1415908	1.0169141582775405
MRPL2P1	GSM1415909	1.0053052229716717
MRPL2P1	GSM1415910	1.0066333406488122
MRPL2P1	GSM1415911	1.0053052229716717
MRPL2P1	GSM1415912	1.2144782022585594
MRPL2P1	GSM1415913	1.2376800740232663
MRPL2P1	GSM1415914	1.1433447914197967
MRPL2P1	GSM1415915	1.107099489315216
MRPL2P1	GSM1415916	1.1147893847364354
MRPL2P1	GSM1415917	1.1525442655723448
MRPL2P1	GSM1415918	1.1641216035965718
MRPL2P1	GSM1415919	1.1635086650764048
MRPL2P1	GSM1415920	1.1301370871413436
MRPL2P1	GSM1415921	1.0828569753747104
MRPL2P1	GSM2769390	1.0945648030738035
MRPL2P1	GSM2769391	1.0688566777393549
MRPL2P1	GSM2769392	1.052182047516338
MRPL2P1	GSM2769393	1.0383166180633372
MRPL2P1	GSM2769394	1.0194079414219277
MRPL2P1	GSM2769395	1.069818126570515
MRPL2P1	GSM2769396	1.0213903622938192
MRPL2P1	GSM2769397	1.0576052477160802
MRPL2P1	GSM2769398	1.063216079371224
MRPL2P1	GSM3103946	1.0106385913341225
MRPL2P1	GSM3103947	0.9184196988044276
MRPL2P1	GSM3103948	1.4155955106668596
MRPL2P1	GSM3103949	2.510614751655259
MRPL2P1	GSM3103950	1.3141579434160593
MRPL2P1	GSM3103951	2
MRPL2P1	GSM3103952	2.0106104459433434
MRPL2P1	GSM3103953	1.0118824951245484
MRPL2P1	GSM3103954	5.026526114858358
MRPL2P1	GSM3103955	0.5237067854096145
MRPL2P1	GSM3103956	2.0645130339017483
MRPL2P1	GSM3103957	4.070929478847789
MRPL2P1	GSM3103958	3.0831980772880145
MRPL2P1	GSM3103959	2
MRPL2P1	GSM3103960	1
MRPL2P1	GSM3103961	0.9029078365947322
MRPL2P1	GSM3103962	4.033686469278525
MRPL2P1	GSM3103963	1.0322565169508742
MRPL2P1	GSM3103964	2.024723131754038
MRPL2P1	GSM3103965	2
MRPL2P1	GSM4260265	1.0213903622938192
MRPL2P1	GSM4260266	1.0106385913341225
MRPL2P1	GSM4260267	1.061737358926767
MRPL2P1	GSM4260268	2.111924776802726
MRPL2P1	GSM4260269	1.0191498027987893
MRPL2P1	GSM4260270	2.0299302980067395
MRPL2P1	GSM4260271	1.1139413335812782
MRPL2P1	GSM4260272	1.084460786892387
MRPL2P1	GSM4260273	1.0053052229716717
MRPL2P1	GSM4260274	6.043703089738913
MRPL2P1	GSM4260275	1.074527200739522
MRPL2P1	GSM4260276	1.012361565877019
MRPL2P1	GSM4735786	3.1063693767608997
MRPL2P1	GSM4735787	1.0285596084808206
MRPL2P1	GSM4735788	1.0418861325748268
MRPL2P1	GSM4735790	2.0818995726246596
MRPL2P1	GSM4735793	2.125763209510299
MRPL2P1	GSM4735798	1.1094482823563114
MRPL2P1	GSM4735800	1.1037828089768285
MRPL2P1	GSM4735803	1.023131666858757
MRPL2P1	GSM4735804	1.044176676968467
MRPL2P1	GSM4735785	1.0811994844209347
MRPL2P1	GSM4735789	1.0363878638718522
MRPL2P1	GSM4735791	2.11364498314441
MRPL2P1	GSM4735792	3.2384951293282853
MRPL2P1	GSM4735794	1.0497162670616038
MRPL2P1	GSM4735795	1.0386663205448112
MRPL2P1	GSM4735796	1.1006471753156897
MRPL2P1	GSM4735797	1.0882962908423894
MRPL2P1	GSM4735799	1.0952338007992255
MRPL2P1	GSM4735801	1.0665119943875787
MRPL2P1	GSM4735802	1.0312048495995574
MRPL2P1	GSM5282507	1
MRPL2P1	GSM5282509	1
MRPL2P1	GSM5282510	1.0811994844209347
MRPL2P1	GSM5282511	1.0477400148936675
MRPL2P1	GSM5282512	1.0331850435179522
MRPL2P1	GSM5282515	1.0285596084808206
MRPL2P1	GSM5282516	1.0528865447675189
MRPL2P1	GSM5282519	1.100913956612852
MRPL2P1	GSM5282521	1.0275117075556537
MRPL2P1	GSM5282523	1
MRPL2P1	GSM5282524	1.0106385913341225
MRPL2P1	GSM5282526	1
MRPL2P1	GSM5282528	2.044618229260505
MRPL2P1	GSM5282529	3
MRPL2P1	GSM5282513	1.0191498027987893
MRPL2P1	GSM5282533	3.856088189751001
MRPL2P1	GSM5282534	4
MRPL2P1	GSM5282536	1.013771518848965
MRPL2P1	GSM5282525	1
MRPL2P1	GSM5282530	1.0191498027987893
MRPL2P1	GSM5282514	1
MRPL2P1	GSM5282520	2.0818995726246596
MRPL2P1	GSM5282535	1
MRPL2P1	GSM5282522	1.028745445198491
MRPL2P1	GSM5282531	1.0340163465434666
MRPL2P1	GSM5282508	1.0294848096363618
MRPL2P1	GSM5282518	3
MRPL2P1	GSM5282517	1.043238272186699
MRPL2P1	GSM5282527	2.0106104459433434
MRPL2P1	GSM5282532	1
