Gene	sample	counts
MTG2	GSM1022678	602.9793430276518
MTG2	GSM1022679	76.81530542345854
MTG2	GSM1022680	466.4628127594496
MTG2	GSM1022681	557.8685079144905
MTG2	GSM1022682	117.17720440830249
MTG2	GSM1022683	548.0748954700755
MTG2	GSM1022684	386.24032410732383
MTG2	GSM1022685	399.7887661836934
MTG2	GSM1022686	327.0311756413069
MTG2	GSM1022687	317.46024562838846
MTG2	GSM1022688	320.2372933224179
MTG2	GSM1022689	533.8131665149826
MTG2	GSM1022690	323.0451885616681
MTG2	GSM1022691	315.95403472555785
MTG2	GSM1022692	597.2311043662442
MTG2	GSM1022693	634.3867609887227
MTG2	GSM1022694	388.4388619278258
MTG2	GSM1022695	531.9163669342418
MTG2	GSM1385778	605.8309831761884
MTG2	GSM1385779	284.34993201200484
MTG2	GSM1385780	200.0313321043714
MTG2	GSM1385781	398.7993003232321
MTG2	GSM1385782	702.294280880899
MTG2	GSM1385783	229.98774030941692
MTG2	GSM1415906	745
MTG2	GSM1415907	717.8843780398673
MTG2	GSM1415908	435.9760617684437
MTG2	GSM1415909	550.9812873471251
MTG2	GSM1415910	596.6007243226794
MTG2	GSM1415911	518.5672488445189
MTG2	GSM1415912	284.78648508052714
MTG2	GSM1415913	264.7380418034564
MTG2	GSM1415914	346.8513924137752
MTG2	GSM1415915	370.37806009830695
MTG2	GSM1415916	297.3444491687896
MTG2	GSM1415917	298.23418029911556
MTG2	GSM1415918	287.49612215677786
MTG2	GSM1415919	298.51867584977333
MTG2	GSM1415920	299.09373827124165
MTG2	GSM1415921	328.60026029449017
MTG2	GSM2769390	283.3697080788468
MTG2	GSM2769391	118.92399314484562
MTG2	GSM2769392	597.6130203976799
MTG2	GSM2769393	522.0588672490863
MTG2	GSM2769394	550.2462109312104
MTG2	GSM2769395	273.09351385043203
MTG2	GSM2769396	459.6671657497674
MTG2	GSM2769397	388.9798206838783
MTG2	GSM2769398	249.31122116847587
MTG2	GSM3103946	379
MTG2	GSM3103947	320.8013909002239
MTG2	GSM3103948	428.2206920008136
MTG2	GSM3103949	513.7428453135565
MTG2	GSM3103950	330.5583386605464
MTG2	GSM3103951	418.6509286085848
MTG2	GSM3103952	393
MTG2	GSM3103953	282
MTG2	GSM3103954	295.64542485269425
MTG2	GSM3103955	368.1700875269814
MTG2	GSM3103956	216.7122858961538
MTG2	GSM3103957	449.4318165039506
MTG2	GSM3103958	248.4638498907912
MTG2	GSM3103959	367.40371709925984
MTG2	GSM3103960	422
MTG2	GSM3103961	338.0656747790034
MTG2	GSM3103962	312
MTG2	GSM3103963	293.3481622107858
MTG2	GSM3103964	213
MTG2	GSM3103965	340
MTG2	GSM4260265	552.1633347636483
MTG2	GSM4260266	585.1703348308831
MTG2	GSM4260267	296.8417678989819
MTG2	GSM4260268	277.39920050898223
MTG2	GSM4260269	511.5399467959044
MTG2	GSM4260270	431.1475553521197
MTG2	GSM4260271	151.22323662318715
MTG2	GSM4260272	139.37266843630584
MTG2	GSM4260273	365.02652719786425
MTG2	GSM4260274	101.87582021016608
MTG2	GSM4260275	180.0057375315231
MTG2	GSM4260276	350.6552851283272
MTG2	GSM4735785	363.3755076810741
MTG2	GSM4735786	630.0222594309806
MTG2	GSM4735787	772.7995897243852
MTG2	GSM4735788	517.2660426392183
MTG2	GSM4735789	650.9201465956376
MTG2	GSM4735790	509.3121659623721
MTG2	GSM4735791	624.1884244247407
MTG2	GSM4735792	401.1616415976215
MTG2	GSM4735793	346.5040308905892
MTG2	GSM4735794	654.7057872643514
MTG2	GSM4735795	343.22168170651423
MTG2	GSM4735796	307.27252714567544
MTG2	GSM4735797	247.56481978926243
MTG2	GSM4735798	239.6367822481425
MTG2	GSM4735799	182.7378351441977
MTG2	GSM4735800	206.3431129237887
MTG2	GSM4735801	334.4318128785835
MTG2	GSM4735802	479.2932012759809
MTG2	GSM4735803	420.5293906749713
MTG2	GSM4735804	320.8097861402172
MTG2	GSM5282507	344.5608516827142
MTG2	GSM5282508	166.28145294659657
MTG2	GSM5282509	270.6841941899676
MTG2	GSM5282510	98.59123492867376
MTG2	GSM5282511	221.34871222989432
MTG2	GSM5282512	124.72287109520676
MTG2	GSM5282513	323.2183379979273
MTG2	GSM5282514	275.2468611109729
MTG2	GSM5282515	499.7755991214168
MTG2	GSM5282516	174.4375472472685
MTG2	GSM5282517	161.33017034205696
MTG2	GSM5282518	356.61545873866925
MTG2	GSM5282519	224.2654457562816
MTG2	GSM5282520	162.34458574349446
MTG2	GSM5282521	205.66803803521455
MTG2	GSM5282522	276.09702043899335
MTG2	GSM5282523	304.9215544462935
MTG2	GSM5282524	229.6208028339599
MTG2	GSM5282525	273.89396664909935
MTG2	GSM5282526	275.2468611109729
MTG2	GSM5282527	295.55684186391824
MTG2	GSM5282528	233.61013941577067
MTG2	GSM5282529	450.72027739723507
MTG2	GSM5282530	289.461006294099
MTG2	GSM5282531	311.7269813881568
MTG2	GSM5282532	282.98207480076627
MTG2	GSM5282533	500
MTG2	GSM5282534	392.548412815166
MTG2	GSM5282535	314.8460277592077
MTG2	GSM5282536	257.77768472386623
MTG2	GSM4260927	823.2449745608944
MTG2	GSM4260928	524.3179596900782
MTG2	GSM4260929	391.24819921298325
MTG2	GSM4260930	749.132896559062
MTG2	GSM4260931	605.3795100202107
MTG2	GSM4260932	494.9706410238223
MTG2	GSM4260933	613
MTG2	GSM4260934	504.48851945293666
MTG2	GSM4260935	587.18780521159
MTG2	GSM4260936	522.8962663173157
MTG2	GSM4260937	716.8789377344895
MTG2	GSM4260938	419.0233841182732
MTG2	GSM4260939	596.0165417891905
MTG2	GSM4260940	439.61365730848
MTG2	GSM4260941	449.68004084895574
MTG2	GSM4260942	608
MTG2	GSM4260943	572.8066392157874
MTG2	GSM4260944	646.8776188333618
MTG2	GSM4260945	620.6099585638228
MTG2	GSM4260946	506.0203131869675
MTG2	GSM4260947	499.6655429973319
MTG2	GSM4260948	674.5113590892166
MTG2	GSM4260949	535.0085836319433
MTG2	GSM4260950	792.3948289887232
MTG2	GSM4260951	716
MTG2	GSM4260952	427
MTG2	GSM4260953	579
MTG2	GSM4260954	530.258216230347
MTG2	GSM4260955	354.7539425593771
MTG2	GSM4260956	719.7837499462051
MTG2	GSM4260957	529
MTG2	GSM4260958	501.8230912558144
MTG2	GSM4260959	298.4355084878742
MTG2	GSM4260960	402.23880632394633
MTG2	GSM4260961	921.9528784823112
MTG2	GSM4260962	687.7889703895565
MTG2	GSM4260963	572.8663326628122
MTG2	GSM4260964	592.5764361316327
MTG2	GSM4260965	281.0321902762118
MTG2	GSM4260966	434
MTG2	GSM4260967	307.54568838795586
MTG2	GSM4260968	369.11556590867104
MTG2	GSM4260969	450.3953279107057
MTG2	GSM4260970	217.68983144867693
MTG2	GSM4260971	469.4555635164016
MTG2	GSM4260972	532.6712029040385
MTG2	GSM4260973	436.50718739769263
MTG2	GSM4260974	389.9351280261529
MTG2	GSM4260975	671.6443961579017
MTG2	GSM4260976	594.8996531498434
MTG2	GSM4260977	431.58389518257275
MTG2	GSM4260978	764.9868883483607
MTG2	GSM4260979	711
MTG2	GSM4260980	753
MTG2	GSM4260981	643.5876911496496
MTG2	GSM4260982	517.6795264117742
MTG2	GSM4260983	452.69961487150505
MTG2	GSM4260984	697.4308096053205
MTG2	GSM4260985	500.16356173691895
MTG2	GSM4260986	598.2067938521604
MTG2	GSM4260987	415.3769002735744
MTG2	GSM4260988	843.1467440843968
MTG2	GSM4260989	510.77242947208777
MTG2	GSM4260990	625
MTG2	GSM4260991	503.7979059403866
MTG2	GSM4260992	842.801101906587
MTG2	GSM4260993	410.9177850974011
MTG2	GSM4260994	686
MTG2	GSM4260995	310.66116588531366
MTG2	GSM4260996	777.1425292164018
MTG2	GSM4260997	643
MTG2	GSM4260998	530.5718794103021
MTG2	GSM4260999	538.2485455525017
MTG2	GSM4261000	495.47264659123095
MTG2	GSM4261001	598.9057114202127
MTG2	GSM4261002	273.5887590424551
MTG2	GSM4261003	467.5244567126789
MTG2	GSM4261004	359.23771832874826
MTG2	GSM4261005	540.8178664998577
MTG2	GSM4261006	499.2369281627919
MTG2	GSM4261007	217.2210370996089
MTG2	GSM4261008	617.268388073154
MTG2	GSM4261009	576.9278603750768
MTG2	GSM4261010	148.6722245843948
MTG2	GSM4261011	468.7387995493466
MTG2	GSM4261012	139.6217840961055
MTG2	GSM4261013	338.63709549443735
MTG2	GSM4261014	232.2682249605034
MTG2	GSM4261015	402.19174399560063
MTG2	GSM4261016	778.382486102036
MTG2	GSM4261017	479.4725134065947
MTG2	GSM4261018	371.9122676360086
MTG2	GSM4261019	374.6053384861295
MTG2	GSM4261020	198.51589773574028
MTG2	GSM4261021	196.92029088828556
MTG2	GSM4261022	466.9300488128514
MTG2	GSM4261023	506.820693376029
MTG2	GSM4261024	339.71151650856575
MTG2	GSM4261025	818.3771742429419
MTG2	GSM4261026	515.2584604460552
MTG2	GSM4261027	833
MTG2	GSM4818000	745.4194121041829
MTG2	GSM4818001	504.15936038404834
MTG2	GSM4818002	462.8831225886786
MTG2	GSM4818003	351.58460370527894
MTG2	GSM4818004	385.8015665383685
MTG2	GSM4818005	381.0199092953571
MTG2	GSM4818006	443.58703547591745
MTG2	GSM4818007	310.7775108590599
MTG2	GSM4818008	786.1359835491901
MTG2	GSM4818009	510.21238929848647
MTG2	GSM4818010	557.719688821474
MTG2	GSM4818011	441.7345614313879
MTG2	GSM4818012	616.2127731211978
MTG2	GSM4818013	458.9009191843447
MTG2	GSM4818014	331.1082621995529
MTG2	GSM4818015	406.1064000986398
MTG2	GSM4818016	533.7245354215495
MTG2	GSM4818017	636.5918844497418
MTG2	GSM4818018	706.4322217941407
MTG2	GSM4818019	1102.3233713879915
MTG2	GSM4818020	801.423330467791
MTG2	GSM4818021	679.4207823650869
MTG2	GSM4818022	611.219831753543
MTG2	GSM4818023	682.5124158019001
MTG2	GSM3056394	421.8997975219385
MTG2	GSM3056395	283.54107822238234
MTG2	GSM3056396	289.71616445752477
MTG2	GSM3056397	375.7414749186505
MTG2	GSM3056398	803.8751875475652
MTG2	GSM3056399	272.30271183497905
MTG2	GSM3056400	252.34264338560013
MTG2	GSM3056401	503.64957824582734
MTG2	GSM3056402	356.2766467857368
MTG2	GSM3056403	364.8975210537817
MTG2	GSM3056404	524.2249252246999
MTG2	GSM3056405	198.39499805207564
MTG2	GSM3056406	266.8146357719718
MTG2	GSM3056407	388.8355520363735
MTG2	GSM3056408	348.0139670736418
MTG2	GSM3056409	391.5672288050964
MTG2	GSM3056410	204.07767082963596
MTG2	GSM3056411	109.67060064701212
MTG2	GSM3056412	217.1228384977002
MTG2	GSM3056413	399.970152197002
MTG2	GSM3056414	511.3316235050969
MTG2	GSM3056415	320.69866639092925
MTG2	GSM3056416	196.37331518291973
MTG2	GSM3056417	249.37991778781355
MTG2	GSM3056418	629.7970593837282
MTG2	GSM3056419	258.88504754756633
MTG2	GSM3056420	503.56849401025414
MTG2	GSM3056421	307.894670870759
MTG2	GSM3056422	266.7709317919087
MTG2	GSM3056423	178.24273912151355
MTG2	GSM3056424	243.27336461929391
MTG2	GSM3056425	153.68745921198413
MTG2	GSM3056426	289.828882277379
MTG2	GSM3056427	301.295677796072
MTG2	GSM3056428	422.7974830932313
MTG2	GSM3056429	239.7039936835817
MTG2	GSM3056430	363.1387186931862
MTG2	GSM3056431	367.4798192596225
MTG2	GSM3056432	380.2200221384042
MTG2	GSM3056433	274.78222724730443
MTG2	GSM3056434	522.0767791112161
MTG2	GSM3056435	168.1812636141515
MTG2	GSM3056436	308.8527537243123
MTG2	GSM3056437	252.88220811411517
MTG2	GSM3056438	281.584951014563
MTG2	GSM3056439	275.90915337960723
MTG2	GSM3056440	211.49672187891815
MTG2	GSM3056441	200.98772075902383
MTG2	GSM3056442	579.6155067130353
MTG2	GSM3056443	473.03629888159105
MTG2	GSM3056444	325.05057926300935
MTG2	GSM3056445	456.0922976160951
MTG2	GSM3056446	567.4769620698304
MTG2	GSM3056447	616.5734710284484
MTG2	GSM3056448	407.8739496522352
MTG2	GSM3056449	313.51865463703047
MTG2	GSM3056450	563.1095573556978
MTG2	GSM3056451	256.31435199098127
MTG2	GSM3056452	427.91759699279646
MTG2	GSM3056453	528.8652214260147
MTG2	GSM3056454	337.19409839712347
MTG2	GSM3056455	383.66820214129206
MTG2	GSM3056456	351.0556880091377
MTG2	GSM3056457	332.7117290674377
MTG2	GSM3056458	311.9317207247522
MTG2	GSM3056459	416.85246972370544
MTG2	GSM3056460	248.47331461343856
MTG2	GSM3056461	328.80208645373847
MTG2	GSM3056462	431.127762520077
MTG2	GSM3056463	260.6542195290983
MTG2	GSM3056464	342.04981671653337
MTG2	GSM3056465	273.4333593263618
MTG2	GSM3056466	270.9985525850696
MTG2	GSM3056467	460.6664434293696
MTG2	GSM3056468	525.3677807821916
MTG2	GSM3056469	268.00330780206843
MTG2	GSM3056470	301.4311240305721
MTG2	GSM3056471	288.61785028495564
MTG2	GSM3056472	230.62837476237536
MTG2	GSM3056473	315.1152788690196
MTG2	GSM3056474	376.6616056844961
MTG2	GSM3056475	428.55531272826113
MTG2	GSM3056476	317.6385788145566
MTG2	GSM3056477	251.2783351860378
MTG2	GSM3056478	501.59147296471355
MTG2	GSM3056479	498.4801398027019
MTG2	GSM3056480	310.7692336555891
MTG2	GSM3056481	442.4902697750715
MTG2	GSM3056482	574.123399201568
MTG2	GSM3056483	506.62132539080426
MTG2	GSM3056484	505.2719261628022
MTG2	GSM3056485	602.8600574887532
MTG2	GSM3056486	1131.4194520244048
MTG2	GSM3056487	381.8810748390188
MTG2	GSM3056488	441.7060677758243
MTG2	GSM3056489	483.691297440663
MTG2	GSM3056490	366.8710584726453
MTG2	GSM3056491	570.9745076858372
MTG2	GSM3056492	353.45378611356034
MTG2	GSM3056493	457.3061187322421
MTG2	GSM3056494	325.3456008013874
MTG2	GSM3056495	704.7642478132112
MTG2	GSM3056496	252.9789557798676
MTG2	GSM3056497	290.11898338880053
MTG2	GSM3056498	461.10987409325
MTG2	GSM3056499	393.9363636973175
MTG2	GSM3056500	550.6712647097993
MTG2	GSM3056501	669.2366525354303
MTG2	GSM3056502	502.98949647505697
MTG2	GSM3056503	441.160556283331
MTG2	GSM3056504	322.86360856675714
MTG2	GSM3056505	426.8609360453676
MTG2	GSM3056506	393.23948104315946
MTG2	GSM3056507	389.8088778421312
MTG2	GSM3056508	407.6042238098418
MTG2	GSM3056509	272.8014839478917
MTG2	GSM3056510	318.5980076891861
MTG2	GSM3056511	521.2314230680266
MTG2	GSM3056512	358.7007462440203
MTG2	GSM3056513	466.02960573980533
MTG2	GSM3056514	556.6750837434662
MTG2	GSM3056515	406.672329265301
MTG2	GSM3056516	441.71100895252454
MTG2	GSM3056517	299.2351533196584
MTG2	GSM3056518	301.35384397306444
MTG2	GSM3056519	390.59749399473054
MTG2	GSM3056520	575.3542298274875
MTG2	GSM3056521	497.28689793589194
MTG2	GSM3056522	781.0827068529171
MTG2	GSM3056523	695.4077914976416
MTG2	GSM3056524	423.79222772040333
MTG2	GSM3056525	675.1863069537103
MTG2	GSM3056526	415.9365858262291
MTG2	GSM3056527	457.7111488098333
MTG2	GSM3056528	475.4950486950541
MTG2	GSM3056529	247.88445276114984
MTG2	GSM3056530	491.9020827110128
MTG2	GSM3056531	644.4239766553176
MTG2	GSM3056532	328.20813658111877
MTG2	GSM3056533	1020.2222245658942
MTG2	GSM3056534	309.2048177708747
MTG2	GSM3056535	245.95527029596167
MTG2	GSM3056536	409.26509626173294
MTG2	GSM3056537	594.4043680905625
MTG2	GSM3056538	421.0190463656088
MTG2	GSM3056539	401.3786343601275
MTG2	GSM3056540	508.6593636842805
MTG2	GSM3056541	586.3574661725347
MTG2	GSM3056542	434.0292935642587
MTG2	GSM3056543	592.3789871613818
MTG2	GSM3056544	467.532301172987
MTG2	GSM3056545	506.58253731909485
MTG2	GSM3056546	633.2233477129204
MTG2	GSM3056547	298.6297778274779
MTG2	GSM3056548	374.71511723093937
MTG2	GSM3056549	546.8757683148128
MTG2	GSM3056550	554.0374580992972
MTG2	GSM3056551	201.71191237142833
MTG2	GSM3056552	535.9248997843823
MTG2	GSM3056553	626.0818584112876
MTG2	GSM3056554	394.8849454574569
MTG2	GSM3056555	834.9508409787816
MTG2	GSM3056556	731.075766125742
MTG2	GSM3056557	683.5084484485639
MTG2	GSM3056558	532.0765163100078
MTG2	GSM3056559	518.7924025811539
MTG2	GSM3056560	331.43350245123275
MTG2	GSM3056561	550.5251628791455
MTG2	GSM3056562	772.501981405279
MTG2	GSM3056563	455.0112137804264
MTG2	GSM3056564	565.1714719309073
MTG2	GSM3056565	917.58269809764
MTG2	GSM3056566	689.4407616367619
MTG2	GSM3056567	511.9022501727768
MTG2	GSM3056568	364.41148062982967
MTG2	GSM3056569	563.8829603519027
MTG2	GSM3056570	529.3706448453056
MTG2	GSM3056571	451.8011585615654
MTG2	GSM3056572	832.7724374488923
MTG2	GSM3056573	1097
MTG2	GSM3056574	806.0766495046187
MTG2	GSM3056575	522.0767791112161
MTG2	GSM3056576	444.95172053427314
MTG2	GSM3056577	379.27950906659015
MTG2	GSM3056578	558.0431830957426
MTG2	GSM3056579	917.5377075586572
MTG2	GSM3056580	1053.5240774068093
MTG2	GSM3056581	376.7822388692592
MTG2	GSM3056582	492.9970234590974
MTG2	GSM3056583	230.59587833098
MTG2	GSM3056584	420.13767100044913
MTG2	GSM3056585	392.7216262555616
MTG2	GSM3056586	591.7540513562403
MTG2	GSM3056587	148.34933484077592
MTG2	GSM3056588	279.3008109505638
MTG2	GSM3056589	350.4170685645201
MTG2	GSM3056590	381.6153585967781
MTG2	GSM3056591	351.24073968994986
MTG2	GSM3056592	67.55859593690575
MTG2	GSM3056593	445.5291480069971
MTG2	GSM3056594	185.20042109244451
MTG2	GSM3056595	286.59853836687057
