Gene	sample	counts
MYO3B	GSM1022678	62.66031656302682
MYO3B	GSM1022679	20.535763219245116
MYO3B	GSM1022680	28.63964786080602
MYO3B	GSM1022681	41.96297701867422
MYO3B	GSM1022682	69.62940998520939
MYO3B	GSM1022683	62.94545784741984
MYO3B	GSM1022684	29.17434367250405
MYO3B	GSM1022685	22.590173368300853
MYO3B	GSM1022686	75.47599837180886
MYO3B	GSM1022687	44.296929365481496
MYO3B	GSM1022688	22.9517366374418
MYO3B	GSM1022689	28.595561156329097
MYO3B	GSM1022690	57.23169940775149
MYO3B	GSM1022691	56.599158145042395
MYO3B	GSM1022692	56.967819796671066
MYO3B	GSM1022693	59.53819114677325
MYO3B	GSM1022694	55.242679028887174
MYO3B	GSM1022695	38.85809917289536
MYO3B	GSM1385778	15.022718513884936
MYO3B	GSM1385779	14.733015519752444
MYO3B	GSM1385780	11.516154105058678
MYO3B	GSM1385781	12.097042143148409
MYO3B	GSM1385782	14.070561922811908
MYO3B	GSM1385783	11.48796258890908
MYO3B	GSM1415906	71.10753429905536
MYO3B	GSM1415907	70.48741788763586
MYO3B	GSM1415908	54.754634356158206
MYO3B	GSM1415909	79.55008590176047
MYO3B	GSM1415910	40.303832475230934
MYO3B	GSM1415911	42.191124695842554
MYO3B	GSM1415912	38.202145116718285
MYO3B	GSM1415913	35.13598560327899
MYO3B	GSM1415914	40.21063254329017
MYO3B	GSM1415915	49.30528214019521
MYO3B	GSM1415916	39.65498979429966
MYO3B	GSM1415917	33.70616286469942
MYO3B	GSM1415918	33.89639537458252
MYO3B	GSM1415919	37.180005444256985
MYO3B	GSM1415920	36.584891747943026
MYO3B	GSM1415921	44.19630596803339
MYO3B	GSM2769390	1.0476453445591134
MYO3B	GSM2769391	1.0368437150858465
MYO3B	GSM2769392	1.033326703689763
MYO3B	GSM2769393	10.303488943225554
MYO3B	GSM2769394	40.62041774139546
MYO3B	GSM2769395	1.0397118660865767
MYO3B	GSM2769396	1.0223186155344817
MYO3B	GSM2769397	1.0460250461958456
MYO3B	GSM2769398	1.0481558953476182
MYO3B	GSM3103946	43.29941384526203
MYO3B	GSM3103947	43.93841534927731
MYO3B	GSM3103948	11.723623675398528
MYO3B	GSM3103949	32.66655741980406
MYO3B	GSM3103950	20.603057897839015
MYO3B	GSM3103951	36
MYO3B	GSM3103952	72
MYO3B	GSM3103953	32.222819605776394
MYO3B	GSM3103954	54
MYO3B	GSM3103955	43.65165700784924
MYO3B	GSM3103956	34.77577200937113
MYO3B	GSM3103957	13.18506157648124
MYO3B	GSM3103958	48.92298697928433
MYO3B	GSM3103959	26
MYO3B	GSM3103960	81
MYO3B	GSM3103961	19.924925036869844
MYO3B	GSM3103962	48.291458292560904
MYO3B	GSM3103963	72.60905587750536
MYO3B	GSM3103964	66.4595654369138
MYO3B	GSM3103965	28
MYO3B	GSM4260265	1.0263259010476733
MYO3B	GSM4260266	1.017949289364482
MYO3B	GSM4260267	1.0377901820927629
MYO3B	GSM4260268	1.038948316513042
MYO3B	GSM4260269	1.0234594842742062
MYO3B	GSM4260270	1.021939447988662
MYO3B	GSM4260271	1.0506731423640414
MYO3B	GSM4260272	1.0485732304058435
MYO3B	GSM4260273	1.017048502742336
MYO3B	GSM4260274	0.6014903808708063
MYO3B	GSM4260275	1.0472567835878563
MYO3B	GSM4260276	1.022581557181457
MYO3B	GSM4735785	36.59945843405867
MYO3B	GSM4735786	68.69024987978536
MYO3B	GSM4735787	35.20842780490386
MYO3B	GSM4735788	35.566074491199124
MYO3B	GSM4735789	39.54540331112146
MYO3B	GSM4735790	35.400932584890036
MYO3B	GSM4735791	48.45386333742066
MYO3B	GSM4735792	40.51938354931403
MYO3B	GSM4735793	36.152668749923315
MYO3B	GSM4735794	39.88692033602688
MYO3B	GSM4735795	89.47447875448616
MYO3B	GSM4735796	50.15316475650368
MYO3B	GSM4735797	49.502961084971275
MYO3B	GSM4735798	63.94663135507098
MYO3B	GSM4735799	41.17383335360454
MYO3B	GSM4735800	37.406686628285215
MYO3B	GSM4735801	40.43492932762511
MYO3B	GSM4735802	39.425886531410654
MYO3B	GSM4735803	76.40664997707583
MYO3B	GSM4735804	61.403589210194255
MYO3B	GSM5282507	1.0030314290996496
MYO3B	GSM5282508	1.0203939923164922
MYO3B	GSM5282509	1.008488226377649
MYO3B	GSM5282510	1.0507016405848535
MYO3B	GSM5282511	1.030203714172055
MYO3B	GSM5282512	1.022581557181457
MYO3B	GSM5282513	1.0161485132291883
MYO3B	GSM5282514	1.0039198009821009
MYO3B	GSM5282515	1.0238669861786047
MYO3B	GSM5282516	1.0330890196011069
MYO3B	GSM5282517	1.0281447131263994
MYO3B	GSM5282518	1.0030314290996496
MYO3B	GSM5282519	1.0551829285636198
MYO3B	GSM5282520	1.0221745668813695
MYO3B	GSM5282521	1.0229609629673868
MYO3B	GSM5282522	1.022581557181457
MYO3B	GSM5282523	1.001514567592329
MYO3B	GSM5282524	1.0111427890600695
MYO3B	GSM5282525	1.0060720477616854
MYO3B	GSM5282526	1.0040651293934055
MYO3B	GSM5282527	1.011545386933744
MYO3B	GSM5282528	1.0195819146668483
MYO3B	GSM5282529	1.0045505879962513
MYO3B	GSM5282530	1.018588891444416
MYO3B	GSM5282531	1.0256814406706618
MYO3B	GSM5282532	1.0100156499625657
MYO3B	GSM5282533	1
MYO3B	GSM5282534	1.008488226377649
MYO3B	GSM5282535	1.0078549668039407
MYO3B	GSM5282536	1.0142079967347273
MYO3B	GSM4260927	4
MYO3B	GSM4260928	55.15896895675413
MYO3B	GSM4260929	147.99165449143723
MYO3B	GSM4260930	61
MYO3B	GSM4260931	24.07275429839159
MYO3B	GSM4260932	29.02100176055994
MYO3B	GSM4260933	47.28804160259196
MYO3B	GSM4260934	25
MYO3B	GSM4260935	55.3339626268927
MYO3B	GSM4260936	40.48723861149565
MYO3B	GSM4260937	26
MYO3B	GSM4260938	20.805086384611613
MYO3B	GSM4260939	63
MYO3B	GSM4260940	8.055182139971674
MYO3B	GSM4260941	39
MYO3B	GSM4260942	26.17624232587229
MYO3B	GSM4260943	51.69941307052437
MYO3B	GSM4260944	74.16866535893561
MYO3B	GSM4260945	8.03640470397001
MYO3B	GSM4260946	46.24268674316254
MYO3B	GSM4260947	80.59039744037503
MYO3B	GSM4260948	108.3088342491814
MYO3B	GSM4260949	11.279594721281988
MYO3B	GSM4260950	15
MYO3B	GSM4260951	64.95304969423111
MYO3B	GSM4260952	11.945631650771553
MYO3B	GSM4260953	135.01469554516189
MYO3B	GSM4260954	27.163945289565508
MYO3B	GSM4260955	3.11417130913895
MYO3B	GSM4260956	12.223066697332994
MYO3B	GSM4260957	78.85109235081809
MYO3B	GSM4260958	28.02678159016206
MYO3B	GSM4260959	12.16005606720064
MYO3B	GSM4260960	46.25025404738641
MYO3B	GSM4260961	25.037864189808225
MYO3B	GSM4260962	79.11965083979399
MYO3B	GSM4260963	23
MYO3B	GSM4260964	58
MYO3B	GSM4260965	7.292808982971873
MYO3B	GSM4260966	112.99510544747406
MYO3B	GSM4260967	52.675086834982125
MYO3B	GSM4260968	30
MYO3B	GSM4260969	216.32714659994303
MYO3B	GSM4260970	25.69101291600758
MYO3B	GSM4260971	13.951998865987225
MYO3B	GSM4260972	21.21032864921388
MYO3B	GSM4260973	23.104663523913786
MYO3B	GSM4260974	35.53372620418862
MYO3B	GSM4260975	55
MYO3B	GSM4260976	116
MYO3B	GSM4260977	4.120335821681176
MYO3B	GSM4260978	127
MYO3B	GSM4260979	84.99939955667999
MYO3B	GSM4260980	11.459224583964293
MYO3B	GSM4260981	38.712528793156814
MYO3B	GSM4260982	34.10306858938809
MYO3B	GSM4260983	13.161736893731932
MYO3B	GSM4260984	99.99917332872454
MYO3B	GSM4260985	38.00333743521627
MYO3B	GSM4260986	26.728277696435462
MYO3B	GSM4260987	17.821161291569805
MYO3B	GSM4260988	50.5772693466872
MYO3B	GSM4260989	64
MYO3B	GSM4260990	38.67096887368428
MYO3B	GSM4260991	19
MYO3B	GSM4260992	44.18079590997473
MYO3B	GSM4260993	81.09711854199902
MYO3B	GSM4260994	25.741548492950923
MYO3B	GSM4260995	19.463480940104375
MYO3B	GSM4260996	13.79349885471106
MYO3B	GSM4260997	3
MYO3B	GSM4260998	44.42633394909017
MYO3B	GSM4260999	5
MYO3B	GSM4261000	23.406813393235325
MYO3B	GSM4261001	31
MYO3B	GSM4261002	25.636541252026976
MYO3B	GSM4261003	58.13929256859651
MYO3B	GSM4261004	68.56261772064445
MYO3B	GSM4261005	24
MYO3B	GSM4261006	17.289824546619712
MYO3B	GSM4261007	13.731123585283482
MYO3B	GSM4261008	155
MYO3B	GSM4261009	17.44508189179266
MYO3B	GSM4261010	19.01669915372924
MYO3B	GSM4261011	48.58468633379478
MYO3B	GSM4261012	11.80070386320921
MYO3B	GSM4261013	24.75945809271724
MYO3B	GSM4261014	17.461318869508986
MYO3B	GSM4261015	32.340808548659005
MYO3B	GSM4261016	18
MYO3B	GSM4261017	43.43067294839032
MYO3B	GSM4261018	37.947277168893166
MYO3B	GSM4261019	64.01735633343885
MYO3B	GSM4261020	7.572020243147139
MYO3B	GSM4261021	30.967703976811855
MYO3B	GSM4261022	11.043117810803109
MYO3B	GSM4261023	46
MYO3B	GSM4261024	30.114825269834142
MYO3B	GSM4261025	7.195162386975976
MYO3B	GSM4261026	90.76704266932497
MYO3B	GSM4261027	17.01327068049386
MYO3B	GSM4818000	56.56087639790368
MYO3B	GSM4818001	42.48842465814054
MYO3B	GSM4818002	27.70367390815496
MYO3B	GSM4818003	22.885595023072774
MYO3B	GSM4818004	36.175541488233726
MYO3B	GSM4818005	43.23520193028947
MYO3B	GSM4818006	41.74297456810606
MYO3B	GSM4818007	30.55782179932604
MYO3B	GSM4818008	27.31172544721109
MYO3B	GSM4818009	57.95393782233776
MYO3B	GSM4818010	43.65681854973293
MYO3B	GSM4818011	50.34105974296621
MYO3B	GSM4818012	56.68213405609391
MYO3B	GSM4818013	32.892170911890176
MYO3B	GSM4818014	51.416398753075555
MYO3B	GSM4818015	48.66016780744942
MYO3B	GSM4818016	53.099958606060895
MYO3B	GSM4818017	56.954716153570814
MYO3B	GSM4818018	82.0334161547781
MYO3B	GSM4818019	110.2584471757781
MYO3B	GSM4818020	56.48986620653368
MYO3B	GSM4818021	66.90512279714919
MYO3B	GSM4818022	23.01926137872192
MYO3B	GSM4818023	23.48355329591375
MYO3B	GSM3056394	158.51039682838444
MYO3B	GSM3056395	33.66200305426393
MYO3B	GSM3056396	35.455171007873695
MYO3B	GSM3056397	14.702259116143196
MYO3B	GSM3056398	69.07717264145379
MYO3B	GSM3056399	19.30224999383763
MYO3B	GSM3056400	28.335783754469432
MYO3B	GSM3056401	32.134761882622534
MYO3B	GSM3056402	32.62462880192595
MYO3B	GSM3056403	14.4942532086208
MYO3B	GSM3056404	39.63245471331891
MYO3B	GSM3056405	6.5942466667298545
MYO3B	GSM3056406	115.6069451102096
MYO3B	GSM3056407	81.05018738399677
MYO3B	GSM3056408	70.59591568728668
MYO3B	GSM3056409	32.178897381297176
MYO3B	GSM3056410	44.66304422640974
MYO3B	GSM3056411	36.602174889127575
MYO3B	GSM3056412	20.56432551776376
MYO3B	GSM3056413	15.503718816596177
MYO3B	GSM3056414	27.609702043899336
MYO3B	GSM3056415	23.949586868872732
MYO3B	GSM3056416	26.331341737644212
MYO3B	GSM3056417	32.51413066796688
MYO3B	GSM3056418	76.99388550041725
MYO3B	GSM3056419	10.763200270879894
MYO3B	GSM3056420	39.845390186570306
MYO3B	GSM3056421	10.898175946994275
MYO3B	GSM3056422	74.14773358972495
MYO3B	GSM3056423	50.24369497685635
MYO3B	GSM3056424	14.974610261199588
MYO3B	GSM3056425	110.23509811777468
MYO3B	GSM3056426	52.707088521123424
MYO3B	GSM3056427	89.58557931310334
MYO3B	GSM3056428	36.00767524329085
MYO3B	GSM3056429	157.08448503900635
MYO3B	GSM3056430	242.61977313634452
MYO3B	GSM3056431	25.19220184987972
MYO3B	GSM3056432	58.54785125682573
MYO3B	GSM3056433	35.13318240676303
MYO3B	GSM3056434	61.67282045979408
MYO3B	GSM3056435	75.3430656582311
MYO3B	GSM3056436	38.55338664835672
MYO3B	GSM3056437	46.920723595121174
MYO3B	GSM3056438	59.54453610871317
MYO3B	GSM3056439	85.89794648992168
MYO3B	GSM3056440	11.737767273877887
MYO3B	GSM3056441	31.77624116892273
MYO3B	GSM3056442	18.246851671949777
MYO3B	GSM3056443	27.71079932828718
MYO3B	GSM3056444	70.69564260510357
MYO3B	GSM3056445	32.18369789053687
MYO3B	GSM3056446	94.27540030507386
MYO3B	GSM3056447	31.33015828151341
MYO3B	GSM3056448	77.36414599170065
MYO3B	GSM3056449	24.45076926953338
MYO3B	GSM3056450	18.306873049362046
MYO3B	GSM3056451	19.388932727696744
MYO3B	GSM3056452	44.46217256331162
MYO3B	GSM3056453	77.59866991512943
MYO3B	GSM3056454	24.531197875888687
MYO3B	GSM3056455	31.69187708156893
MYO3B	GSM3056456	14.260244480221823
MYO3B	GSM3056457	15.26137056037461
MYO3B	GSM3056458	21.57125492954193
MYO3B	GSM3056459	6.6345844310215
MYO3B	GSM3056460	34.790183143883546
MYO3B	GSM3056461	61.873939366052035
MYO3B	GSM3056462	10.803345492075588
MYO3B	GSM3056463	15.896801426952996
MYO3B	GSM3056464	34.82145093763387
MYO3B	GSM3056465	39.50187886787438
MYO3B	GSM3056466	46.30358248959832
