Gene	sample	counts
NAA38	GSM1022678	365.9715183044765
NAA38	GSM1022679	749.1970250742452
NAA38	GSM1022680	243.57264810575313
NAA38	GSM1022681	322.3875338914723
NAA38	GSM1022682	225.75662919057527
NAA38	GSM1022683	209.65286816066117
NAA38	GSM1022684	218.8264330549779
NAA38	GSM1022685	168.11272460583606
NAA38	GSM1022686	389.595261029639
NAA38	GSM1022687	148.20655168444063
NAA38	GSM1022688	132.11275299877082
NAA38	GSM1022689	320.3644285629541
NAA38	GSM1022690	96.87786044540933
NAA38	GSM1022691	290.90271971210956
NAA38	GSM1022692	356.70243097957626
NAA38	GSM1022693	323.4043492269191
NAA38	GSM1022694	401.36910509346154
NAA38	GSM1022695	341.92741894699907
NAA38	GSM1385778	498
NAA38	GSM1385779	215.80577394093683
NAA38	GSM1385780	161.48982372924937
NAA38	GSM1385781	316.6443878383642
NAA38	GSM1385782	404.132699634612
NAA38	GSM1385783	182.60138709684517
NAA38	GSM1415906	551
NAA38	GSM1415907	500.17712219053703
NAA38	GSM1415908	285.7528784759889
NAA38	GSM1415909	433.28655110079046
NAA38	GSM1415910	408.6931363034177
NAA38	GSM1415911	403.1273944116403
NAA38	GSM1415912	199.17442517040377
NAA38	GSM1415913	202.97953213981572
NAA38	GSM1415914	222.9522343268604
NAA38	GSM1415915	226.9553953096193
NAA38	GSM1415916	208.4656149457134
NAA38	GSM1415917	205.1528792718774
NAA38	GSM1415918	190.91594298983776
NAA38	GSM1415919	272.2610276278787
NAA38	GSM1415920	203.42467568544183
NAA38	GSM1415921	194.91425556744787
NAA38	GSM2769390	151.04994282418488
NAA38	GSM2769391	324.9324300327639
NAA38	GSM2769392	295.66315535209094
NAA38	GSM2769393	354.065966759598
NAA38	GSM2769394	518.8786421837611
NAA38	GSM2769395	271.7338041489108
NAA38	GSM2769396	378.9358244110069
NAA38	GSM2769397	208.3482338000678
NAA38	GSM2769398	161.60884406442602
NAA38	GSM3103946	116.22343800342406
NAA38	GSM3103947	318.6916354851364
NAA38	GSM3103948	174.11824781202372
NAA38	GSM3103949	471.1587017273036
NAA38	GSM3103950	201.7232443143651
NAA38	GSM3103951	258
NAA38	GSM3103952	96.50930140528048
NAA38	GSM3103953	245.8874463152653
NAA38	GSM3103954	251.3263057429179
NAA38	GSM3103955	341.45682408706864
NAA38	GSM3103956	253.93510316991504
NAA38	GSM3103957	241.20257162173152
NAA38	GSM3103958	237.40625195117713
NAA38	GSM3103959	187
NAA38	GSM3103960	415
NAA38	GSM3103961	178.77575164575697
NAA38	GSM3103962	315.63596622104455
NAA38	GSM3103963	243.61253800040632
NAA38	GSM3103964	188.29925125312556
NAA38	GSM3103965	352
NAA38	GSM4260265	444.3048075978113
NAA38	GSM4260266	448.7235345523503
NAA38	GSM4260267	162.44581591579532
NAA38	GSM4260268	265.0465594887421
NAA38	GSM4260269	358.7407305851738
NAA38	GSM4260270	326.8187779790851
NAA38	GSM4260271	137.01478403049722
NAA38	GSM4260272	139.89544150911794
NAA38	GSM4260273	404.132699634612
NAA38	GSM4260274	234.1934947273829
NAA38	GSM4260275	186.96773292867684
NAA38	GSM4260276	454.5503430787816
NAA38	GSM4735786	224.6940515857051
NAA38	GSM4735787	347.6531476665174
NAA38	GSM4735788	200.04213745436675
NAA38	GSM4735790	239.41845085183584
NAA38	GSM4735793	406.02077301646705
NAA38	GSM4735798	251.84476009488267
NAA38	GSM4735800	195.36955718889865
NAA38	GSM4735803	322.28647506050845
NAA38	GSM4735804	319.5180631523509
NAA38	GSM4735785	450.8601850035298
NAA38	GSM4735789	350.299097988686
NAA38	GSM4735791	222.98954572173528
NAA38	GSM4735792	236.41014444096484
NAA38	GSM4735794	487.0683479165842
NAA38	GSM4735795	240.9705863663962
NAA38	GSM4735796	206.9216689593497
NAA38	GSM4735797	171.95081395309754
NAA38	GSM4735799	236.57050097263271
NAA38	GSM4735801	209.0363508999654
NAA38	GSM4735802	733.1866480652852
NAA38	GSM5282507	430
NAA38	GSM5282509	264
NAA38	GSM5282510	208.6715004932404
NAA38	GSM5282511	211.6434830085209
NAA38	GSM5282512	347.1501746220319
NAA38	GSM5282515	258.168461728686
NAA38	GSM5282516	242.16390529652935
NAA38	GSM5282519	243.30198441144032
NAA38	GSM5282521	276.40064933247083
NAA38	GSM5282523	391
NAA38	GSM5282524	360.7979771062817
NAA38	GSM5282526	352
NAA38	GSM5282528	322.02737110852956
NAA38	GSM5282529	327
NAA38	GSM5282513	262.9406491220876
NAA38	GSM5282533	428.0257890623611
NAA38	GSM5282534	285
NAA38	GSM5282536	279.80093920231445
NAA38	GSM5282525	308
NAA38	GSM5282530	245.6151024745082
NAA38	GSM5282514	352
NAA38	GSM5282520	215.47660576665223
NAA38	GSM5282535	384
NAA38	GSM5282522	240.7264341764469
NAA38	GSM5282531	249.19793951697548
NAA38	GSM5282508	333.55307832218125
NAA38	GSM5282518	341
NAA38	GSM5282517	273.32842731291515
NAA38	GSM5282527	369.95232205357513
NAA38	GSM5282532	343
