Gene	sample	counts
NANOG	GSM1022678	2.021300534291188
NANOG	GSM1022679	3.254473717996694
NANOG	GSM1022680	2.0456891329147155
NANOG	GSM1022681	2.0477339723572094
NANOG	GSM1022682	6.060093899775395
NANOG	GSM1022683	1.0146118150553114
NANOG	GSM1022684	3.14015483940472
NANOG	GSM1022685	1.027880340996568
NANOG	GSM1022686	1.0488429247731252
NANOG	GSM1022687	1.094806600045286
NANOG	GSM1022688	2.0990038761379832
NANOG	GSM1022689	1.0210351304622294
NANOG	GSM1022690	1.0903218103458212
NANOG	GSM1022691	1.0735439206438182
NANOG	GSM1022692	1.0161485132291883
NANOG	GSM1022693	1.008488226377649
NANOG	GSM1022694	1.0425127376380217
NANOG	GSM1022695	1.0219117298859002
NANOG	GSM1385778	1
NANOG	GSM1385779	1.078755114838832
NANOG	GSM1385780	1.065003532520631
NANOG	GSM1385781	1.0078549668039407
NANOG	GSM1385782	1.0045505879962513
NANOG	GSM1385783	1.0625040851541827
NANOG	GSM1415906	1
NANOG	GSM1415907	1.0060720477616854
NANOG	GSM1415908	1.013077440794964
NANOG	GSM1415909	2.0121440955233707
NANOG	GSM1415910	2.0139262253610246
NANOG	GSM1415911	2.006062858199299
NANOG	GSM1415912	1.15015666141387
NANOG	GSM1415913	1.163567230382469
NANOG	GSM1415914	1.1043535878805653
NANOG	GSM1415915	2.160045511126589
NANOG	GSM1415916	1.085036308355627
NANOG	GSM1415917	1.107408486899727
NANOG	GSM1415918	3.3495054760673764
NANOG	GSM1415919	1.1134638835084691
NANOG	GSM1415920	1.0918086945672336
NANOG	GSM1415921	2.1228809351057203
NANOG	GSM2769390	1.075037082938662
NANOG	GSM2769391	1.056352801733153
NANOG	GSM2769392	1.043823220986215
NANOG	GSM2769393	1.032437989175177
NANOG	GSM2769394	1.0180301231797395
NANOG	GSM2769395	1.056537995407221
NANOG	GSM2769396	1.0166087578602931
NANOG	GSM2769397	1.0437691702869765
NANOG	GSM2769398	1.0476453445591134
NANOG	GSM3103946	5.050078249812829
NANOG	GSM3103947	2.7436708980963043
NANOG	GSM3103948	2.1497682135796836
NANOG	GSM3103949	3.3899316217268836
NANOG	GSM3103950	1.3308982872000907
NANOG	GSM3103951	8
NANOG	GSM3103952	8.03640470397001
NANOG	GSM3103953	5.050078249812829
NANOG	GSM3103954	7.021220003697548
NANOG	GSM3103955	3.709092854009844
NANOG	GSM3103956	5.13940170498284
NANOG	GSM3103957	6.09689107937513
NANOG	GSM3103958	7.173416682899522
NANOG	GSM3103959	9.027282861896849
NANOG	GSM3103960	3
NANOG	GSM3103961	6.27213219005641
NANOG	GSM3103962	5.037979059403867
NANOG	GSM3103963	4.108939618163019
NANOG	GSM3103964	4.042601068582376
NANOG	GSM3103965	2
NANOG	GSM4260265	1.018588891444416
NANOG	GSM4260266	1.010650267145594
NANOG	GSM4260267	1.0522282763023092
NANOG	GSM4260268	1.0473759581317816
NANOG	GSM4260269	1.0157440832984626
NANOG	GSM4260270	1.0121809652873912
NANOG	GSM4260271	1.090378271733954
NANOG	GSM4260272	1.069256964373882
NANOG	GSM4260273	1.0069631126805123
NANOG	GSM4260274	11.189152443213498
NANOG	GSM4260275	1.0621840232928137
NANOG	GSM4260276	1.0109102076785366
NANOG	GSM4735785	1.0886027553775994
NANOG	GSM4735786	1.0466946141789792
NANOG	GSM4735787	1.039438813329853
NANOG	GSM4735788	1.053615776796551
NANOG	GSM4735789	1.0419766732598632
NANOG	GSM4735790	1.0502834584134653
NANOG	GSM4735791	1.0555669905451042
NANOG	GSM4735792	1.068955660706225
NANOG	GSM4735793	1.0738200375043596
NANOG	GSM4735794	1.0501613654387998
NANOG	GSM4735795	1.0379082793670698
NANOG	GSM4735796	2.176970141800284
NANOG	GSM4735797	1.07412271228087
NANOG	GSM4735798	1.1109774032735065
NANOG	GSM4735799	1.0789170916536617
NANOG	GSM4735800	1.10922273025617
NANOG	GSM4735801	1.0603989624734365
NANOG	GSM4735802	1.033263147305031
NANOG	GSM4735803	1.033060999088088
NANOG	GSM4735804	1.0622232944348375
NANOG	GSM5282507	1
NANOG	GSM5282508	1.0294371352498335
NANOG	GSM5282509	1.0030314290996496
NANOG	GSM5282510	1.077456568009615
NANOG	GSM5282511	14.680025225681808
NANOG	GSM5282512	2.066944647887193
NANOG	GSM5282513	1.019228895401757
NANOG	GSM5282514	1
NANOG	GSM5282515	1.027880340996568
NANOG	GSM5282516	1.052647232824813
NANOG	GSM5282517	1.0431677735246987
NANOG	GSM5282518	2
NANOG	GSM5282519	2.1879299459755295
NANOG	GSM5282520	5.206432899921556
NANOG	GSM5282521	5.135450815817387
NANOG	GSM5282522	3.085499010181004
NANOG	GSM5282523	1
NANOG	GSM5282524	1.0100156499625657
NANOG	GSM5282525	2
NANOG	GSM5282526	1
NANOG	GSM5282527	1.0060720477616854
NANOG	GSM5282528	1.0223186155344817
NANOG	GSM5282529	4
