Gene	sample	counts
NCAPH	GSM1022678	964.2432200571924
NCAPH	GSM1022679	8.709453281480956
NCAPH	GSM1022680	493.77408797496696
NCAPH	GSM1022681	748.584998615349
NCAPH	GSM1022682	65.7577601065215
NCAPH	GSM1022683	490.0146827726088
NCAPH	GSM1022684	168.19257583975778
NCAPH	GSM1022685	283.1323577714149
NCAPH	GSM1022686	351.01638080761666
NCAPH	GSM1022687	200.70737463205248
NCAPH	GSM1022688	115.49306648384272
NCAPH	GSM1022689	598.4199716508451
NCAPH	GSM1022690	122.45300190068455
NCAPH	GSM1022691	172.66756479593684
NCAPH	GSM1022692	440.9123417009976
NCAPH	GSM1022693	298.97825128498397
NCAPH	GSM1022694	235.16831779354536
NCAPH	GSM1022695	340.8707823239445
NCAPH	GSM1385778	695.4920779900614
NCAPH	GSM1385779	254.6661169004308
NCAPH	GSM1385780	98.00419037414142
NCAPH	GSM1385781	439.95371674347143
NCAPH	GSM1385782	708.6927939806338
NCAPH	GSM1385783	89.02601830776716
NCAPH	GSM1415906	514.2301501663508
NCAPH	GSM1415907	402.60104063473767
NCAPH	GSM1415908	350.24715549955556
NCAPH	GSM1415909	666.0314672155561
NCAPH	GSM1415910	392.8022380654037
NCAPH	GSM1415911	395.9659362052999
NCAPH	GSM1415912	160.8216458698448
NCAPH	GSM1415913	137.47516365885684
NCAPH	GSM1415914	278.62588994475954
NCAPH	GSM1415915	481.925429316726
NCAPH	GSM1415916	246.2289742344232
NCAPH	GSM1415917	315.13346250912554
NCAPH	GSM1415918	254.7749803337441
NCAPH	GSM1415919	403.67883211148586
NCAPH	GSM1415920	348.52872707674413
NCAPH	GSM1415921	261.09588287210516
NCAPH	GSM2769390	306.3413468247011
NCAPH	GSM2769391	229.84933085182493
NCAPH	GSM2769392	325.392376432272
NCAPH	GSM2769393	622.3436794040513
NCAPH	GSM2769394	226.9424397037825
NCAPH	GSM2769395	595.3029902547456
NCAPH	GSM2769396	232.63677348478657
NCAPH	GSM2769397	260.9080761764823
NCAPH	GSM2769398	255.43217785839624
NCAPH	GSM3103946	190.82895079156663
NCAPH	GSM3103947	212.44558207960324
NCAPH	GSM3103948	442.2857293029947
NCAPH	GSM3103949	801.9345100278042
NCAPH	GSM3103950	201.59078480230383
NCAPH	GSM3103951	552
NCAPH	GSM3103952	157.85476153711065
NCAPH	GSM3103953	176.7705072345089
NCAPH	GSM3103954	233.0182374487087
NCAPH	GSM3103955	324.06078614010863
NCAPH	GSM3103956	156.33995912384748
NCAPH	GSM3103957	532.9982974168009
NCAPH	GSM3103958	191.85754013000283
NCAPH	GSM3103959	147.46387872379955
NCAPH	GSM3103960	248.52145806395632
NCAPH	GSM3103961	206.98976044683937
NCAPH	GSM3103962	220.6159243658054
NCAPH	GSM3103963	184.0445465480244
NCAPH	GSM3103964	203.03355402363593
NCAPH	GSM3103965	212.57631679454715
NCAPH	GSM4260265	347.84543487616634
NCAPH	GSM4260266	325.5173962788615
NCAPH	GSM4260267	329.77129226871506
NCAPH	GSM4260268	344.145154532212
NCAPH	GSM4260269	322.5809847746081
NCAPH	GSM4260270	326.7336456878633
NCAPH	GSM4260271	333.2522872779982
NCAPH	GSM4260272	336.36508062715706
NCAPH	GSM4260273	363.1236516481472
NCAPH	GSM4260274	193.27528938308663
NCAPH	GSM4260275	325.5022830556582
NCAPH	GSM4260276	349.99015415378165
NCAPH	GSM4735785	342.86828865608646
NCAPH	GSM4735786	357.7054981093009
NCAPH	GSM4735787	289.4249502184835
NCAPH	GSM4735788	238.84865102393547
NCAPH	GSM4735789	302.25656205451423
NCAPH	GSM4735790	351.67846016465046
NCAPH	GSM4735791	254.38203224843983
NCAPH	GSM4735792	251.89259706365735
NCAPH	GSM4735793	294.57401819171685
NCAPH	GSM4735794	278.98119863412137
NCAPH	GSM4735795	433.0309024909303
NCAPH	GSM4735796	207.61756466115236
NCAPH	GSM4735797	559.4455509023359
NCAPH	GSM4735798	179.4716282887391
NCAPH	GSM4735799	347.0022244069477
NCAPH	GSM4735800	1.1336053776903567
NCAPH	GSM4735801	1.08578255609448
NCAPH	GSM4735802	915.5931394601488
NCAPH	GSM4735803	325.1644100099445
NCAPH	GSM4735804	698.2641877143046
NCAPH	GSM5282507	323.5225187427616
NCAPH	GSM5282508	193.6544945173662
NCAPH	GSM5282509	508
NCAPH	GSM5282510	49.74100430666825
NCAPH	GSM5282511	100.7493969112098
NCAPH	GSM5282512	111.22964487319273
NCAPH	GSM5282513	154.48596818683762
NCAPH	GSM5282514	366.6029826978328
NCAPH	GSM5282515	283.25344328453826
NCAPH	GSM5282516	410.2485698524529
NCAPH	GSM5282517	145.2331747436048
NCAPH	GSM5282518	378.1071086537549
NCAPH	GSM5282519	98.12528337805438
NCAPH	GSM5282520	106.41598774550276
NCAPH	GSM5282521	164.64910102414257
NCAPH	GSM5282522	196.1686464127217
NCAPH	GSM5282523	529.259996625668
NCAPH	GSM5282524	325
NCAPH	GSM5282525	409
NCAPH	GSM5282526	386.304865593656
NCAPH	GSM5282527	313
NCAPH	GSM5282528	502.15429536792374
NCAPH	GSM5282529	364
NCAPH	GSM5282530	415.4295516085451
NCAPH	GSM5282531	198.5211799401587
NCAPH	GSM5282532	282
NCAPH	GSM5282533	280.90190073233725
NCAPH	GSM5282534	236
NCAPH	GSM5282535	300
NCAPH	GSM5282536	236.24615378819817
NCAPH	GSM4260927	108.22708657623905
NCAPH	GSM4260928	138.7729555327931
NCAPH	GSM4260929	170.5112964872625
NCAPH	GSM4260930	156
NCAPH	GSM4260931	241.66551542581567
NCAPH	GSM4260932	225.947188826789
NCAPH	GSM4260933	375.173501691435
NCAPH	GSM4260934	181.57117040141304
NCAPH	GSM4260935	183.08521471474097
NCAPH	GSM4260936	253.79716109654348
NCAPH	GSM4260937	298
NCAPH	GSM4260938	430.0477830524469
NCAPH	GSM4260939	244.7699755687557
NCAPH	GSM4260940	399.7216510990097
NCAPH	GSM4260941	147
NCAPH	GSM4260942	166
NCAPH	GSM4260943	339.0538263378475
NCAPH	GSM4260944	200.7081646896614
NCAPH	GSM4260945	201.5995428583364
NCAPH	GSM4260946	134.45222765945266
NCAPH	GSM4260947	280.626839258209
NCAPH	GSM4260948	129.93581280562344
NCAPH	GSM4260949	292.834034763379
NCAPH	GSM4260950	166
NCAPH	GSM4260951	328.50221494539863
NCAPH	GSM4260952	333.57337768365085
NCAPH	GSM4260953	572
NCAPH	GSM4260954	222.2257805233826
NCAPH	GSM4260955	260.0551081219182
NCAPH	GSM4260956	240.11225174370884
NCAPH	GSM4260957	308.44168823746327
NCAPH	GSM4260958	214.22789569477575
NCAPH	GSM4260959	244.44379584475377
NCAPH	GSM4260960	113.06364364961622
NCAPH	GSM4260961	192.0056009181252
NCAPH	GSM4260962	291.057495395866
NCAPH	GSM4260963	171
NCAPH	GSM4260964	186.39109354796724
NCAPH	GSM4260965	76.50486300318437
NCAPH	GSM4260966	372
NCAPH	GSM4260967	489.18660376617174
NCAPH	GSM4260968	230.72579664267957
NCAPH	GSM4260969	398.0849108040711
NCAPH	GSM4260970	138.94643365778342
NCAPH	GSM4260971	123.1072895143675
NCAPH	GSM4260972	278.19350705987705
NCAPH	GSM4260973	521.5947374607189
NCAPH	GSM4260974	174.2014454615774
NCAPH	GSM4260975	304.1429483086701
NCAPH	GSM4260976	215
NCAPH	GSM4260977	192.94393358333733
NCAPH	GSM4260978	200
NCAPH	GSM4260979	176
NCAPH	GSM4260980	146.95434155935644
NCAPH	GSM4260981	152.52595009391052
NCAPH	GSM4260982	255.605593233372
NCAPH	GSM4260983	208.511043507063
NCAPH	GSM4260984	380.7214085126958
NCAPH	GSM4260985	159.7889413623168
NCAPH	GSM4260986	246.47723436594464
NCAPH	GSM4260987	128.54262178775653
NCAPH	GSM4260988	158.6029838600337
NCAPH	GSM4260989	333
NCAPH	GSM4260990	220
NCAPH	GSM4260991	93.48963814338032
NCAPH	GSM4260992	233.84495550151837
NCAPH	GSM4260993	139.6643240404466
NCAPH	GSM4260994	230
NCAPH	GSM4260995	125.73055003621444
NCAPH	GSM4260996	224.94290181952437
NCAPH	GSM4260997	132
NCAPH	GSM4260998	146.72957300625234
NCAPH	GSM4260999	142.38602351332875
NCAPH	GSM4261000	375.4274609016687
NCAPH	GSM4261001	210
NCAPH	GSM4261002	496.91367398073385
NCAPH	GSM4261003	177.11253704359635
NCAPH	GSM4261004	306.7476616965904
NCAPH	GSM4261005	328
NCAPH	GSM4261006	290.3101857926452
NCAPH	GSM4261007	347.35958915729276
NCAPH	GSM4261008	338.0634498634044
NCAPH	GSM4261009	165.91997994139135
NCAPH	GSM4261010	501.18520370754624
NCAPH	GSM4261011	164.00099535962343
NCAPH	GSM4261012	95.62957971613088
NCAPH	GSM4261013	1079.0256251892986
NCAPH	GSM4261014	348.01524094778165
NCAPH	GSM4261015	124.01328919857296
NCAPH	GSM4261016	161.77712203558778
NCAPH	GSM4261017	188.70640091965768
NCAPH	GSM4261018	151.77183624561346
NCAPH	GSM4261019	548.4628199544545
NCAPH	GSM4261020	602.3389365487403
NCAPH	GSM4261021	546.6742687159202
NCAPH	GSM4261022	276.24066699059927
NCAPH	GSM4261023	205.8997356766607
