Gene	sample	counts
NCR3LG1	GSM1022678	333.51458815804597
NCR3LG1	GSM1022679	1.080829643118164
NCR3LG1	GSM1022680	26.5939587278913
NCR3LG1	GSM1022681	267.130170777414
NCR3LG1	GSM1022682	1.0091218838436145
NCR3LG1	GSM1022683	50.76246600598374
NCR3LG1	GSM1022684	275.07238319789536
NCR3LG1	GSM1022685	20.536521243909867
NCR3LG1	GSM1022686	1.048277755164012
NCR3LG1	GSM1022687	397.59195137798025
NCR3LG1	GSM1022688	15.64891134371032
NCR3LG1	GSM1022689	22.46794090854429
NCR3LG1	GSM1022690	119.86261574076256
NCR3LG1	GSM1022691	24.56189881765991
NCR3LG1	GSM1022692	4.069129985476505
NCR3LG1	GSM1022693	274.4811524054631
NCR3LG1	GSM1022694	60.454252522178415
NCR3LG1	GSM1022695	1.022581557181457
NCR3LG1	GSM1385778	279.42256435825976
NCR3LG1	GSM1385779	1.052358251410889
NCR3LG1	GSM1385780	1.0469231004598798
NCR3LG1	GSM1385781	190.5284137545874
NCR3LG1	GSM1385782	271.3608370828011
NCR3LG1	GSM1385783	58.484173179900765
NCR3LG1	GSM1415906	201.30442808605812
NCR3LG1	GSM1415907	118.82164729630044
NCR3LG1	GSM1415908	197.72506850834907
NCR3LG1	GSM1415909	269.8661141983773
NCR3LG1	GSM1415910	79.60006913858109
NCR3LG1	GSM1415911	136.6188799674902
NCR3LG1	GSM1415912	48.3144776476143
NCR3LG1	GSM1415913	52.13726895970431
NCR3LG1	GSM1415914	64.11965729876
NCR3LG1	GSM1415915	55.73640589761198
NCR3LG1	GSM1415916	71.8076842221102
NCR3LG1	GSM1415917	46.75370978006694
NCR3LG1	GSM1415918	42.64385224544253
NCR3LG1	GSM1415919	45.92824201937628
NCR3LG1	GSM1415920	72.09375726800538
NCR3LG1	GSM1415921	88.39261193606679
NCR3LG1	GSM2769390	85.9069182538473
NCR3LG1	GSM2769391	88.13171578229694
NCR3LG1	GSM2769392	282.0981901073054
NCR3LG1	GSM2769393	216.37326780773665
NCR3LG1	GSM2769394	222.39678713414017
NCR3LG1	GSM2769395	85.25637301909929
NCR3LG1	GSM2769396	283.1822565030514
NCR3LG1	GSM2769397	145.39748142122252
NCR3LG1	GSM2769398	158.27154019749034
NCR3LG1	GSM3103946	48.33422940866459
NCR3LG1	GSM3103947	103.12077071769164
NCR3LG1	GSM3103948	0.6896249220822664
NCR3LG1	GSM3103949	118.10216913313774
NCR3LG1	GSM3103950	54.72687254113489
NCR3LG1	GSM3103951	1
NCR3LG1	GSM3103952	1
NCR3LG1	GSM3103953	73.5083072256774
NCR3LG1	GSM3103954	155
NCR3LG1	GSM3103955	45.229427743072705
NCR3LG1	GSM3103956	1.0228168238050332
NCR3LG1	GSM3103957	258.63005400020893
NCR3LG1	GSM3103958	235.44187483780584
NCR3LG1	GSM3103959	1
NCR3LG1	GSM3103960	246
NCR3LG1	GSM3103961	279.81525160473734
NCR3LG1	GSM3103962	92.55862839407506
NCR3LG1	GSM3103963	1.0226627588381034
NCR3LG1	GSM3103964	99.68934815537072
NCR3LG1	GSM3103965	219
NCR3LG1	GSM4260265	183.71233628753353
NCR3LG1	GSM4260266	493.7054053417739
NCR3LG1	GSM4260267	154.63073713182166
NCR3LG1	GSM4260268	170.3875239081389
NCR3LG1	GSM4260269	395.0553609298436
NCR3LG1	GSM4260270	202.34401070175505
NCR3LG1	GSM4260271	153.39827878515004
NCR3LG1	GSM4260272	232.78325715009723
NCR3LG1	GSM4260273	220.6995250950869
NCR3LG1	GSM4260274	81.80269179842966
NCR3LG1	GSM4260275	167.56108537405703
NCR3LG1	GSM4260276	193.26791430729537
NCR3LG1	GSM4735785	85.03991812619515
NCR3LG1	GSM4735786	105.11689754330789
NCR3LG1	GSM4735787	81.8078175466884
NCR3LG1	GSM4735788	30.33576941896396
NCR3LG1	GSM4735789	23.93537568831036
NCR3LG1	GSM4735790	60.389826174224176
NCR3LG1	GSM4735791	24.22693166871033
NCR3LG1	GSM4735792	24.52489004300586
NCR3LG1	GSM4735793	30.836099816111066
NCR3LG1	GSM4735794	152.20009075589203
NCR3LG1	GSM4735795	286.1102518312057
NCR3LG1	GSM4735796	142.82749093699962
NCR3LG1	GSM4735797	24.75148054248564
NCR3LG1	GSM4735798	55.12640634057843
NCR3LG1	GSM4735799	47.674964935752634
NCR3LG1	GSM4735800	95.71710990178865
NCR3LG1	GSM4735801	185.14941323702024
NCR3LG1	GSM4735802	120.3527062537799
NCR3LG1	GSM4735803	282.9111093745781
NCR3LG1	GSM4735804	190.56286306612012
NCR3LG1	GSM5282507	175.53050009243867
NCR3LG1	GSM5282508	151.01831086284082
NCR3LG1	GSM5282509	228.9268273877263
NCR3LG1	GSM5282510	109.27297062082478
NCR3LG1	GSM5282511	176.1648351234214
NCR3LG1	GSM5282512	159.52272292030727
NCR3LG1	GSM5282513	247.94023722792193
NCR3LG1	GSM5282514	204.79963940034852
NCR3LG1	GSM5282515	166.89031874711256
NCR3LG1	GSM5282516	143.59937372455386
NCR3LG1	GSM5282517	151.13727282958072
NCR3LG1	GSM5282518	224.67904011832152
NCR3LG1	GSM5282519	153.00152464172487
NCR3LG1	GSM5282520	174.79185093671418
NCR3LG1	GSM5282521	239.37286533436853
NCR3LG1	GSM5282522	139.07109177667814
NCR3LG1	GSM5282523	300.4543702776987
NCR3LG1	GSM5282524	869.5827985916599
NCR3LG1	GSM5282525	369.22844152853855
NCR3LG1	GSM5282526	178.72359303202617
NCR3LG1	GSM5282527	238.7247113163636
NCR3LG1	GSM5282528	157.01561485869465
NCR3LG1	GSM5282529	412.8702916664593
NCR3LG1	GSM5282530	195.5690671573279
NCR3LG1	GSM5282531	440.0173380477139
NCR3LG1	GSM5282532	226.2435055916147
NCR3LG1	GSM5282533	272
NCR3LG1	GSM5282534	424.57354330499015
NCR3LG1	GSM5282535	372.906337717458
NCR3LG1	GSM5282536	279.9214070987847
NCR3LG1	GSM4260927	58
NCR3LG1	GSM4260928	91.25064000253153
NCR3LG1	GSM4260929	70.5614217617401
NCR3LG1	GSM4260930	206
NCR3LG1	GSM4260931	54.16369717138108
