Gene	sample	counts
NDUFAB1P1	GSM1022678	9.095852404310344
NDUFAB1P1	GSM1022679	1.0848245726655648
NDUFAB1P1	GSM1022680	1.0228445664573578
NDUFAB1P1	GSM1022681	1.0238669861786047
NDUFAB1P1	GSM1022682	9.090140849663092
NDUFAB1P1	GSM1022683	1.0146118150553114
NDUFAB1P1	GSM1022684	1.0467182798015733
NDUFAB1P1	GSM1022685	1.027880340996568
NDUFAB1P1	GSM1022686	1.0488429247731252
NDUFAB1P1	GSM1022687	1.094806600045286
NDUFAB1P1	GSM1022688	4.1980077522759665
NDUFAB1P1	GSM1022689	1.0210351304622294
NDUFAB1P1	GSM1022690	1.0903218103458212
NDUFAB1P1	GSM1022691	1.0735439206438182
NDUFAB1P1	GSM1022692	1.0161485132291883
NDUFAB1P1	GSM1022693	4.033952905510596
NDUFAB1P1	GSM1022694	4.170050950552087
NDUFAB1P1	GSM1022695	1.0219117298859002
NDUFAB1P1	GSM1385778	3
NDUFAB1P1	GSM1385779	3.2362653445164953
NDUFAB1P1	GSM1385780	3.1950105975618937
NDUFAB1P1	GSM1385781	3.023564900411822
NDUFAB1P1	GSM1385782	3.013651763988754
NDUFAB1P1	GSM1385783	3.1875122554625483
NDUFAB1P1	GSM1415906	2
NDUFAB1P1	GSM1415907	2.0121440955233707
NDUFAB1P1	GSM1415908	2.0261548815899277
NDUFAB1P1	GSM1415909	2.0121440955233707
NDUFAB1P1	GSM1415910	4.027852450722049
NDUFAB1P1	GSM1415911	4.012125716398598
NDUFAB1P1	GSM1415912	2.3003133228277397
NDUFAB1P1	GSM1415913	2.327134460764938
NDUFAB1P1	GSM1415914	2.2087071757611305
NDUFAB1P1	GSM1415915	2.160045511126589
NDUFAB1P1	GSM1415916	2.170072616711254
NDUFAB1P1	GSM1415917	2.214816973799454
NDUFAB1P1	GSM1415918	2.233003650711584
NDUFAB1P1	GSM1415919	2.2269277670169383
NDUFAB1P1	GSM1415920	2.1836173891344672
NDUFAB1P1	GSM1415921	2.1228809351057203
NDUFAB1P1	GSM2769390	3.2251112488159857
NDUFAB1P1	GSM2769391	3.169058405199459
NDUFAB1P1	GSM2769392	3.131469662958646
NDUFAB1P1	GSM2769393	6.194627935051062
NDUFAB1P1	GSM2769394	3.0540903695392188
NDUFAB1P1	GSM2769395	3.169613986221663
NDUFAB1P1	GSM2769396	2.0332175157205863
NDUFAB1P1	GSM2769397	2.087538340573953
NDUFAB1P1	GSM2769398	2.095290689118227
NDUFAB1P1	GSM3103946	1.0100156499625657
NDUFAB1P1	GSM3103947	5.4873417961926085
NDUFAB1P1	GSM3103948	0.7165894045265612
NDUFAB1P1	GSM3103949	0.8474829054317209
NDUFAB1P1	GSM3103950	5.989042292400408
NDUFAB1P1	GSM3103951	1
NDUFAB1P1	GSM3103952	2.0091011759925026
NDUFAB1P1	GSM3103953	4.040062599850263
NDUFAB1P1	GSM3103954	1.0030314290996496
NDUFAB1P1	GSM3103955	4.768833669441228
NDUFAB1P1	GSM3103956	3.083641022989704
NDUFAB1P1	GSM3103957	1.0161485132291883
NDUFAB1P1	GSM3103958	1.024773811842789
NDUFAB1P1	GSM3103959	1.0030314290996496
NDUFAB1P1	GSM3103960	2
NDUFAB1P1	GSM3103961	5.376113305762637
NDUFAB1P1	GSM3103962	1.0075958118807733
NDUFAB1P1	GSM3103963	1.0272349045407547
NDUFAB1P1	GSM3103964	4.042601068582376
NDUFAB1P1	GSM3103965	7
NDUFAB1P1	GSM4260265	5.092944457222081
NDUFAB1P1	GSM4260266	4.042601068582376
NDUFAB1P1	GSM4260267	4.208913105209237
NDUFAB1P1	GSM4260268	4.1895038325271265
NDUFAB1P1	GSM4260269	7.110208583089237
NDUFAB1P1	GSM4260270	4.048723861149565
NDUFAB1P1	GSM4260271	4.361513086935815
NDUFAB1P1	GSM4260272	5.346284821869411
NDUFAB1P1	GSM4260273	4.027852450722049
NDUFAB1P1	GSM4260274	3.729717481071166
NDUFAB1P1	GSM4260275	4.248736093171254
NDUFAB1P1	GSM4260276	4.043640830714146
NDUFAB1P1	GSM4735785	4.354411021510398
NDUFAB1P1	GSM4735786	13.60702998432673
NDUFAB1P1	GSM4735787	13.512704573288092
NDUFAB1P1	GSM4735788	1.053615776796551
NDUFAB1P1	GSM4735789	4.167906693039453
NDUFAB1P1	GSM4735790	2.1005669168269305
NDUFAB1P1	GSM4735791	3.1667009716353127
NDUFAB1P1	GSM4735792	4.2758226428249
NDUFAB1P1	GSM4735793	13.959660487556675
NDUFAB1P1	GSM4735794	1.0501613654387998
NDUFAB1P1	GSM4735795	4.151633117468279
NDUFAB1P1	GSM4735796	1.088485070900142
NDUFAB1P1	GSM4735797	1.07412271228087
NDUFAB1P1	GSM4735798	2.221954806547013
NDUFAB1P1	GSM4735799	1.0789170916536617
NDUFAB1P1	GSM4735800	2.2184454605123403
NDUFAB1P1	GSM4735801	4.241595849893746
NDUFAB1P1	GSM4735802	1.033263147305031
NDUFAB1P1	GSM4735803	2.066121998176176
NDUFAB1P1	GSM4735804	4.24889317773935
NDUFAB1P1	GSM5282507	8
NDUFAB1P1	GSM5282508	7.206059946748834
NDUFAB1P1	GSM5282509	7.021220003697548
NDUFAB1P1	GSM5282510	1.077456568009615
NDUFAB1P1	GSM5282511	4.194292921623374
NDUFAB1P1	GSM5282512	2.066944647887193
NDUFAB1P1	GSM5282513	4.076915581607028
NDUFAB1P1	GSM5282514	7
NDUFAB1P1	GSM5282515	4.111521363986272
NDUFAB1P1	GSM5282516	2.105294465649626
NDUFAB1P1	GSM5282517	4.172671094098795
NDUFAB1P1	GSM5282518	6
NDUFAB1P1	GSM5282519	2.1879299459755295
NDUFAB1P1	GSM5282520	2.082573159968623
NDUFAB1P1	GSM5282521	6.162540978980864
NDUFAB1P1	GSM5282522	1.0284996700603346
NDUFAB1P1	GSM5282523	7
NDUFAB1P1	GSM5282524	6.060093899775395
NDUFAB1P1	GSM5282525	16
NDUFAB1P1	GSM5282526	10
NDUFAB1P1	GSM5282527	6.036432286570113
NDUFAB1P1	GSM5282528	2.0446372310689633
NDUFAB1P1	GSM5282529	5
NDUFAB1P1	GSM5282530	4.079951490693189
NDUFAB1P1	GSM5282531	2.066121998176176
NDUFAB1P1	GSM5282532	7.027438606874704
NDUFAB1P1	GSM5282533	14.097329057806668
NDUFAB1P1	GSM5282534	11.033345720096143
NDUFAB1P1	GSM5282535	6
NDUFAB1P1	GSM5282536	7.095997872424914
NDUFAB1P1	GSM4260927	4
