Gene	sample	counts
NHSL2	GSM1022678	198.6992176943972
NHSL2	GSM1022679	1.121552432745876
NHSL2	GSM1022680	1.0277326924293382
NHSL2	GSM1022681	185.39858179062304
NHSL2	GSM1022682	1.012361565877019
NHSL2	GSM1022683	54.95754796444516
NHSL2	GSM1022684	10.622642381309609
NHSL2	GSM1022685	10.377328679372596
NHSL2	GSM1022686	1.064467926310489
NHSL2	GSM1022687	1.1313477227819897
NHSL2	GSM1022688	6.392552564456652
NHSL2	GSM1022689	1.0268090659069042
NHSL2	GSM1022690	1.1264867493652244
NHSL2	GSM1022691	1.1019042413337483
NHSL2	GSM1022692	30.57449408396368
NHSL2	GSM1022693	67.7127856193862
NHSL2	GSM1022694	1.056234487088057
NHSL2	GSM1022695	10.268090659069042
NHSL2	GSM1385778	125
NHSL2	GSM1385779	138.7322832477451
NHSL2	GSM1385780	125.7236211583418
NHSL2	GSM1385781	125.04428054763426
NHSL2	GSM1385782	124.65784764848728
NHSL2	GSM1385783	124.25538175229109
NHSL2	GSM1415906	47
NHSL2	GSM1415907	30.252648519588934
NHSL2	GSM1415908	17.28754069071819
NHSL2	GSM1415909	8.042441783773373
NHSL2	GSM1415910	23.15256683492268
NHSL2	GSM1415911	1.0053052229716717
NHSL2	GSM1415912	1.2144782022585594
NHSL2	GSM1415913	1.2376800740232663
NHSL2	GSM1415914	4.573379165679187
NHSL2	GSM1415915	30.998785700826048
NHSL2	GSM1415916	6.688736308418612
NHSL2	GSM1415917	24.203429577019243
NHSL2	GSM1415918	15.133580846755432
NHSL2	GSM1415919	1.1635086650764048
NHSL2	GSM1415920	16.952056307120156
NHSL2	GSM1415921	22.73999648286892
NHSL2	GSM2769390	251.7499047069748
NHSL2	GSM2769391	245.8370358800516
NHSL2	GSM2769392	245.15841707130673
NHSL2	GSM2769393	238.81282215456756
NHSL2	GSM2769394	237.5220503513091
NHSL2	GSM2769395	246.0581691112184
NHSL2	GSM2769396	43.91978557863422
NHSL2	GSM2769397	37.01618367006281
NHSL2	GSM2769398	37.21256277799284
NHSL2	GSM3103946	1.0106385913341225
NHSL2	GSM3103947	0.9184196988044276
NHSL2	GSM3103948	60.87060695867496
NHSL2	GSM3103949	5.858101087195604
NHSL2	GSM3103950	17.08405326440877
NHSL2	GSM3103951	1
NHSL2	GSM3103952	85.45094395259208
NHSL2	GSM3103953	1.0118824951245484
NHSL2	GSM3103954	1.0053052229716717
NHSL2	GSM3103955	35.088354622444164
NHSL2	GSM3103956	1.0322565169508742
NHSL2	GSM3103957	1.0177323697119474
NHSL2	GSM3103958	171.63135963569948
NHSL2	GSM3103959	25
NHSL2	GSM3103960	345
NHSL2	GSM3103961	0.9029078365947322
NHSL2	GSM3103962	1.0084216173196312
NHSL2	GSM3103963	1.0322565169508742
NHSL2	GSM3103964	1.012361565877019
NHSL2	GSM3103965	1
NHSL2	GSM4260265	309.4812797750272
NHSL2	GSM4260266	553.829948051099
NHSL2	GSM4260267	335.5090054208583
NHSL2	GSM4260268	313.62082935520476
NHSL2	GSM4260269	481.03870692102856
NHSL2	GSM4260270	346.1031158101491
NHSL2	GSM4260271	329.7266347400584
NHSL2	GSM4260272	399.08156957639846
NHSL2	GSM4260273	338.78786014145334
NHSL2	GSM4260274	260.6346957449906
NHSL2	GSM4260275	409.3948634817579
NHSL2	GSM4260276	314.844446987753
NHSL2	GSM4735786	524.9764246725921
NHSL2	GSM4735787	737.4772392807484
NHSL2	GSM4735788	766.8281935750725
NHSL2	GSM4735790	1011.8031922955844
NHSL2	GSM4735793	109.4768052897804
NHSL2	GSM4735798	1.1094482823563114
NHSL2	GSM4735800	1.1037828089768285
NHSL2	GSM4735803	27.624555005186437
NHSL2	GSM4735804	15.662650154527006
NHSL2	GSM4735785	443.2917886125833
NHSL2	GSM4735789	495.3933989307453
NHSL2	GSM4735791	363.5469371008386
NHSL2	GSM4735792	783.7158212974451
NHSL2	GSM4735794	90.27559896729792
NHSL2	GSM4735795	37.3919875396132
NHSL2	GSM4735796	1.1006471753156897
NHSL2	GSM4735797	19.58933323516301
NHSL2	GSM4735799	1.0952338007992255
NHSL2	GSM4735801	3.199535983162736
NHSL2	GSM4735802	1.0312048495995574
NHSL2	GSM5282507	831
NHSL2	GSM5282509	614
NHSL2	GSM5282510	486.5397679894207
NHSL2	GSM5282511	366.70900521278367
NHSL2	GSM5282512	530.0239273247095
NHSL2	GSM5282515	401.1382473075201
NHSL2	GSM5282516	632.7848134052788
NHSL2	GSM5282519	374.3107452483697
NHSL2	GSM5282521	915.5129314320874
NHSL2	GSM5282523	813
NHSL2	GSM5282524	970.2130476807574
NHSL2	GSM5282526	627
NHSL2	GSM5282528	408.92364585210106
NHSL2	GSM5282529	345
NHSL2	GSM5282513	441.2918646118758
NHSL2	GSM5282533	553.3486552292686
NHSL2	GSM5282534	578
NHSL2	GSM5282536	505.8719879056338
NHSL2	GSM5282525	754
NHSL2	GSM5282530	614.5473310876699
NHSL2	GSM5282514	970
NHSL2	GSM5282520	490.2873493531073
NHSL2	GSM5282535	744
NHSL2	GSM5282522	478.36663201729834
NHSL2	GSM5282531	866.5056984034251
NHSL2	GSM5282508	448.85537700145375
NHSL2	GSM5282518	661
NHSL2	GSM5282517	692.7102127319681
NHSL2	GSM5282527	954.0346566001164
NHSL2	GSM5282532	331
