Gene	sample	counts
NR2C2	GSM1022678	2944.0242281951146
NR2C2	GSM1022679	544.7381401315546
NR2C2	GSM1022680	2296.286051696768
NR2C2	GSM1022681	2168.769470794407
NR2C2	GSM1022682	744.7319502765874
NR2C2	GSM1022683	2860.9725840972437
NR2C2	GSM1022684	1706.699104841487
NR2C2	GSM1022685	2125.529948744671
NR2C2	GSM1022686	1622.7339649938904
NR2C2	GSM1022687	1587.1265667778614
NR2C2	GSM1022688	1747.4617667143189
NR2C2	GSM1022689	2366.2826856862325
NR2C2	GSM1022690	1575.491498790744
NR2C2	GSM1022691	1327.4104447978812
NR2C2	GSM1022692	2607.2950381940705
NR2C2	GSM1022693	2781.1399118730014
NR2C2	GSM1022694	1538.456495219575
NR2C2	GSM1022695	1651.4692148480528
NR2C2	GSM1385778	2477.747040223422
NR2C2	GSM1385779	1802.6896846668528
NR2C2	GSM1385780	1904.3531197365216
NR2C2	GSM1385781	2108.9176802888724
NR2C2	GSM1385782	2367.8745635817754
NR2C2	GSM1385783	1995.7724097641135
NR2C2	GSM1415906	2957.4725181001477
NR2C2	GSM1415907	2305.945528038373
NR2C2	GSM1415908	2344.3095302118104
NR2C2	GSM1415909	2684.563658406246
NR2C2	GSM1415910	2428.3059066326637
NR2C2	GSM1415911	2501.3309641106657
NR2C2	GSM1415912	1387.63674173962
NR2C2	GSM1415913	1280.7633461840408
NR2C2	GSM1415914	1551.9130614004962
NR2C2	GSM1415915	1465.2243627314533
NR2C2	GSM1415916	1669.7965972842935
NR2C2	GSM1415917	1430.8809783853046
NR2C2	GSM1415918	1601.8780394762384
NR2C2	GSM1415919	1481.73256991083
NR2C2	GSM1415920	1799.1158530164923
NR2C2	GSM1415921	1832.042111674908
NR2C2	GSM2769390	2216.8175490870835
NR2C2	GSM2769391	2066.4295241660916
NR2C2	GSM2769392	2291.918628783895
NR2C2	GSM2769393	2503.74781320381
NR2C2	GSM2769394	3202.919938909032
NR2C2	GSM2769395	2161.560969593993
NR2C2	GSM2769396	3493.2627092813236
NR2C2	GSM2769397	2316.9454773237976
NR2C2	GSM2769398	2184.356885904436
NR2C2	GSM3103946	1640.3429105565544
NR2C2	GSM3103947	1704.631175081146
NR2C2	GSM3103948	1996.4641494281611
NR2C2	GSM3103949	2125.8390443964795
NR2C2	GSM3103950	1863.289048635816
NR2C2	GSM3103951	2394
NR2C2	GSM3103952	1793
NR2C2	GSM3103953	1581.9390500210848
NR2C2	GSM3103954	1711
NR2C2	GSM3103955	1887.539722905674
NR2C2	GSM3103956	1060.6610462858196
NR2C2	GSM3103957	1299.2356830363435
NR2C2	GSM3103958	1265.882288088982
NR2C2	GSM3103959	1402
NR2C2	GSM3103960	1866
NR2C2	GSM3103961	1652.9024769716375
NR2C2	GSM3103962	1481.9441263529627
NR2C2	GSM3103963	831.4248229353782
NR2C2	GSM3103964	1475.2009600769504
NR2C2	GSM3103965	1698
NR2C2	GSM4260265	2912.712907173297
NR2C2	GSM4260266	3470.1891274435197
NR2C2	GSM4260267	2764.6730450951204
NR2C2	GSM4260268	2728.2782791632485
NR2C2	GSM4260269	3467.48073272101
NR2C2	GSM4260270	3312.1057509312527
NR2C2	GSM4260271	2413.3962080102033
NR2C2	GSM4260272	2693.784628912612
NR2C2	GSM4260273	3325.7486039674386
NR2C2	GSM4260274	1279.9715304930758
NR2C2	GSM4260275	2569.9681469246
NR2C2	GSM4260276	2955.2607002544105
NR2C2	GSM4735785	1895.6366559522744
NR2C2	GSM4735786	1997.22105332285
NR2C2	GSM4735787	2462.518862354747
NR2C2	GSM4735788	2371.420319751424
NR2C2	GSM4735789	2383.1308837491615
NR2C2	GSM4735790	2113.643916097846
NR2C2	GSM4735791	2271.0115077278033
NR2C2	GSM4735792	1919.3392207569805
NR2C2	GSM4735793	1906.5216196650736
NR2C2	GSM4735794	1864.1886978100983
NR2C2	GSM4735795	1963.236528019946
NR2C2	GSM4735796	1669.2281574392855
NR2C2	GSM4735797	1656.1968936906694
NR2C2	GSM4735798	1522.591343126776
NR2C2	GSM4735799	1684.8766017067123
NR2C2	GSM4735800	1710.8058149112794
NR2C2	GSM4735801	1940.8766077260052
NR2C2	GSM4735802	2245.2004856308595
NR2C2	GSM4735803	1785.231051491407
NR2C2	GSM4735804	1830.4621680073424
NR2C2	GSM5282507	3585.8373590312476
NR2C2	GSM5282508	2404.0482458976553
NR2C2	GSM5282509	3940.163500457474
NR2C2	GSM5282510	2167.597484526553
NR2C2	GSM5282511	2442.6130063019423
NR2C2	GSM5282512	2009.3727598615624
NR2C2	GSM5282513	3018.9772328039185
NR2C2	GSM5282514	3113.155302845494
NR2C2	GSM5282515	2401.991949575007
NR2C2	GSM5282516	2187.0494544955436
NR2C2	GSM5282517	2294.8189996981237
NR2C2	GSM5282518	3830.577027731562
NR2C2	GSM5282519	1934.1503080571151
NR2C2	GSM5282520	2514.549434528169
NR2C2	GSM5282521	2874.520305938357
NR2C2	GSM5282522	2630.079765070707
NR2C2	GSM5282523	4148.273338967427
NR2C2	GSM5282524	3391.372914507473
NR2C2	GSM5282525	3998.130317804938
NR2C2	GSM5282526	3454.988110242708
NR2C2	GSM5282527	3173.217878811155
NR2C2	GSM5282528	2771.2236440644942
NR2C2	GSM5282529	4679.1966388865385
NR2C2	GSM5282530	3230.963963661688
NR2C2	GSM5282531	2712.9274105739005
NR2C2	GSM5282532	3702.717372762766
NR2C2	GSM5282533	4038
NR2C2	GSM5282534	3617.4472680166264
NR2C2	GSM5282535	3693.788453336442
NR2C2	GSM5282536	3159.257909828675
NR2C2	GSM4260927	1965
NR2C2	GSM4260928	2069.482798266368
NR2C2	GSM4260929	1768.4066055685664
NR2C2	GSM4260930	2403
NR2C2	GSM4260931	1889.71121242374
NR2C2	GSM4260932	2022.463605451436
NR2C2	GSM4260933	1942.1281647661017
NR2C2	GSM4260934	2523
NR2C2	GSM4260935	1625.8124291828838
NR2C2	GSM4260936	1799.6577562809814
NR2C2	GSM4260937	2020
NR2C2	GSM4260938	1131.7966993228715
NR2C2	GSM4260939	2212
NR2C2	GSM4260940	1945.3264868031592
NR2C2	GSM4260941	1993
NR2C2	GSM4260942	2348.3828829496856
NR2C2	GSM4260943	1936.1937051902264
NR2C2	GSM4260944	2032.0619283286871
NR2C2	GSM4260945	1584.1762772700883
NR2C2	GSM4260946	1802.8719280250932
NR2C2	GSM4260947	1770.948480461912
NR2C2	GSM4260948	2054.8382329932106
NR2C2	GSM4260949	1993.412012561108
NR2C2	GSM4260950	2055
NR2C2	GSM4260951	2233.3856317939467
NR2C2	GSM4260952	1571.3100094476424
NR2C2	GSM4260953	3447.628774977162
NR2C2	GSM4260954	2004.0955191412777
NR2C2	GSM4260955	1054.6660166950578
