Gene	sample	counts
NR2E1	GSM1022678	2.0200312999251313
NR2E1	GSM1022679	4.209057831422386
NR2E1	GSM1022680	1.0184777571167023
NR2E1	GSM1022681	1.0198693014890137
NR2E1	GSM1022682	6.009087405553974
NR2E1	GSM1022683	5.06538720397482
NR2E1	GSM1022684	1.0272349045407547
NR2E1	GSM1022685	4.079477205956055
NR2E1	GSM1022686	1.0316440871965518
NR2E1	GSM1022687	1.0546852014232175
NR2E1	GSM1022688	1.029701907789125
NR2E1	GSM1022689	1.016786983838062
NR2E1	GSM1022690	1.0522644578555964
NR2E1	GSM1022691	1.0427525898533263
NR2E1	GSM1022692	1.013974710299226
NR2E1	GSM1022693	1.0069631126805123
NR2E1	GSM1022694	1.0276160368461
NR2E1	GSM1022695	1.017048502742336
NR2E1	GSM1385778	134.40621149935305
NR2E1	GSM1385779	60.63344138491279
NR2E1	GSM1385780	173.9855857366147
NR2E1	GSM1385781	84.01102011885347
NR2E1	GSM1385782	130.98745554450053
NR2E1	GSM1385783	245.597767932228
NR2E1	GSM1415906	1
NR2E1	GSM1415907	1.0054403053779657
NR2E1	GSM1415908	1.011545386933744
NR2E1	GSM1415909	2.010880610755931
NR2E1	GSM1415910	1.0060720477616854
NR2E1	GSM1415911	1.0030314290996496
NR2E1	GSM1415912	1.0828383463137914
NR2E1	GSM1415913	1.0894569621541417
NR2E1	GSM1415914	1.057473757359071
NR2E1	GSM1415915	1.0462657064923926
NR2E1	GSM1415916	1.0469874970732027
NR2E1	GSM1415917	1.0575680152450906
NR2E1	GSM1415918	1.0648004524325103
NR2E1	GSM1415919	2.124688084340024
NR2E1	GSM1415920	1.0494517132324268
NR2E1	GSM1415921	1.033334151869466
NR2E1	GSM2769390	1.0456446792577374
NR2E1	GSM2769391	1.034121679520397
NR2E1	GSM2769392	1.0321468400650773
NR2E1	GSM2769393	1.029701907789125
NR2E1	GSM2769394	1.0152144113121964
NR2E1	GSM2769395	1.0383783796594372
NR2E1	GSM2769396	1.0214825905550386
NR2E1	GSM2769397	1.0456446792577374
NR2E1	GSM2769398	1.047526139363344
NR2E1	GSM3103946	1
NR2E1	GSM3103947	0.798013410199562
NR2E1	GSM3103948	1.280181440959084
NR2E1	GSM3103949	0.7713856536239586
NR2E1	GSM3103950	4.2147693453985875
NR2E1	GSM3103951	0.9493218335795574
NR2E1	GSM3103952	1
NR2E1	GSM3103953	1
NR2E1	GSM3103954	1.997604221977664
NR2E1	GSM3103955	1.0198617383018875
NR2E1	GSM3103956	1.012674233159597
NR2E1	GSM3103957	1.0054403053779657
NR2E1	GSM3103958	1.0100156499625657
NR2E1	GSM3103959	0.984996560587828
NR2E1	GSM3103960	1
NR2E1	GSM3103961	0.7736056631098477
NR2E1	GSM3103962	1
NR2E1	GSM3103963	1.011545386933744
NR2E1	GSM3103964	1
NR2E1	GSM3103965	4
NR2E1	GSM4260265	1.0263259010476733
NR2E1	GSM4260266	1.0176875388363185
NR2E1	GSM4260267	1.0379082793670698
NR2E1	GSM4260268	1.038948316513042
NR2E1	GSM4260269	1.0230798935918088
NR2E1	GSM4260270	1.0216766714505208
NR2E1	GSM4260271	1.0501613654387998
NR2E1	GSM4260272	1.0479148002729763
NR2E1	GSM4260273	1.016786983838062
NR2E1	GSM4260274	9.7846832970216
NR2E1	GSM4260275	1.0465449856483902
NR2E1	GSM4260276	1.0223186155344817
NR2E1	GSM4735785	1.0563241502356806
NR2E1	GSM4735786	1.0328233761163617
NR2E1	GSM4735787	1.0290274164106328
NR2E1	GSM4735788	1.036605295870177
NR2E1	GSM4735789	1.0332065818978375
NR2E1	GSM4735790	1.0309962873732228
NR2E1	GSM4735791	1.0420507920279476
NR2E1	GSM4735792	1.0501613654387998
NR2E1	GSM4735793	2.0936799449582426
NR2E1	GSM4735794	1.0392155353402404
NR2E1	GSM4735795	1.0306957408604032
NR2E1	GSM4735796	1.063226737528289
NR2E1	GSM4735797	1.0534673182521803
NR2E1	GSM4735798	1.0698070636077792
NR2E1	GSM4735799	1.0562880644173278
NR2E1	GSM4735800	1.0691353001232575
NR2E1	GSM4735801	1.0450994152455737
NR2E1	GSM4735802	1.0285261829956671
NR2E1	GSM4735803	1.0256814406706618
NR2E1	GSM4735804	1.041590214740965
NR2E1	GSM5282507	1.0045505879962513
NR2E1	GSM5282508	2.040263226338608
NR2E1	GSM5282509	3.0300469498876974
NR2E1	GSM5282510	1.0488429247731252
NR2E1	GSM5282511	1.0295288940925316
NR2E1	GSM5282512	1.0223186155344817
NR2E1	GSM5282513	1.0164098679180102
NR2E1	GSM5282514	5.022752939981257
NR2E1	GSM5282515	1.024130326068477
NR2E1	GSM5282516	7.225223850478577
NR2E1	GSM5282517	4.110322811262598
NR2E1	GSM5282518	9.04095529196626
NR2E1	GSM5282519	1.0528894166961578
NR2E1	GSM5282520	1.0210351304622294
NR2E1	GSM5282521	1.023224069826938
NR2E1	GSM5282522	1.022581557181457
NR2E1	GSM5282523	1.0030314290996496
NR2E1	GSM5282524	9.103908482403696
NR2E1	GSM5282525	1.0069631126805123
NR2E1	GSM5282526	1.0045505879962513
NR2E1	GSM5282527	1.0121809652873912
NR2E1	GSM5282528	5.100658065846521
NR2E1	GSM5282529	3.0182161432850565
NR2E1	GSM5282530	1.019228895401757
NR2E1	GSM5282531	1.0254177019347264
NR2E1	GSM5282532	7.074551870019157
NR2E1	GSM5282533	4
NR2E1	GSM5282534	2.018243767687229
NR2E1	GSM5282535	4.036487535374458
NR2E1	GSM5282536	3.0446183235102313
NR2E1	GSM4260927	2.003029135184658
NR2E1	GSM4260928	1.511002765677459
NR2E1	GSM4260929	6.676590430255687
NR2E1	GSM4260930	2.003029135184658
NR2E1	GSM4260931	1.010650267145594
NR2E1	GSM4260932	2.0161736905247345
NR2E1	GSM4260933	1
NR2E1	GSM4260934	1.0069631126805123
NR2E1	GSM4260935	3.0319508014367815
NR2E1	GSM4260936	1.0153325559559527
NR2E1	GSM4260937	4.021761221511862
NR2E1	GSM4260938	3.1038769193946165
NR2E1	GSM4260939	3.0254646791329467
NR2E1	GSM4260940	3.0388040827775114
NR2E1	GSM4260941	4.006058270369316
NR2E1	GSM4260942	2
NR2E1	GSM4260943	3.0576866862052707
NR2E1	GSM4260944	5.93465705351708
NR2E1	GSM4260945	1.0091218838436145
NR2E1	GSM4260946	1.2892237278648853
NR2E1	GSM4260947	3.059176793861216
NR2E1	GSM4260948	1.8454483148815777
NR2E1	GSM4260949	1.0229609629673868
NR2E1	GSM4260950	1.0030314290996496
NR2E1	GSM4260951	2
NR2E1	GSM4260952	5
NR2E1	GSM4260953	3
NR2E1	GSM4260954	4.040062599850263
NR2E1	GSM4260955	2.0625229218568437
NR2E1	GSM4260956	6.099862287679705
NR2E1	GSM4260957	2
NR2E1	GSM4260958	1.0325578009378895
NR2E1	GSM4260959	4.046583165937276
NR2E1	GSM4260960	4.042601068582376
NR2E1	GSM4260961	4.008490776010049
NR2E1	GSM4260962	1.008488226377649
NR2E1	GSM4260963	3.004543702776987
NR2E1	GSM4260964	2.0121440955233707
NR2E1	GSM4260965	1.0332065818978375
NR2E1	GSM4260966	3
NR2E1	GSM4260967	5.541363754737944
NR2E1	GSM4260968	4.012125716398598
NR2E1	GSM4260969	3.02278743564232
NR2E1	GSM4260970	7.256327714955898
NR2E1	GSM4260971	7.2426524525672065
NR2E1	GSM4260972	1.0146118150553114
NR2E1	GSM4260973	1.0104333041613256
NR2E1	GSM4260974	2.0415451729117953
NR2E1	GSM4260975	5.034815563402561
NR2E1	GSM4260976	2.003029135184658
NR2E1	GSM4260977	4.110322811262598
NR2E1	GSM4260978	1.0039198009821009
NR2E1	GSM4260979	1
NR2E1	GSM4260980	1
NR2E1	GSM4260981	3.378413076901048
NR2E1	GSM4260982	3.027365651530843
NR2E1	GSM4260983	1.0150215580078588
NR2E1	GSM4260984	0.9920779652991756
NR2E1	GSM4260985	2.59152104526901
NR2E1	GSM4260986	3.498285344164681
NR2E1	GSM4260987	1.038442250683936
NR2E1	GSM4260988	4.048723861149565
NR2E1	GSM4260989	1.001514567592329
NR2E1	GSM4260990	2
NR2E1	GSM4260991	4.030383247523093
NR2E1	GSM4260992	2.766305586126653
NR2E1	GSM4260993	3.043835445165934
NR2E1	GSM4260994	3
NR2E1	GSM4260995	2.0438234597718004
NR2E1	GSM4260996	5.624674517850918
NR2E1	GSM4260997	1
NR2E1	GSM4260998	4.4736246156011985
NR2E1	GSM4260999	1.0060720477616854
NR2E1	GSM4261000	1.019491042368788
NR2E1	GSM4261001	2.003029135184658
NR2E1	GSM4261002	1.0522644578555964
NR2E1	GSM4261003	1.0075958118807733
NR2E1	GSM4261004	1.0322922940481272
NR2E1	GSM4261005	3.004543702776987
NR2E1	GSM4261006	1.0188508738016162
NR2E1	GSM4261007	1.0443319091327352
NR2E1	GSM4261008	5.034815563402561
NR2E1	GSM4261009	2.0531240582742947
NR2E1	GSM4261010	1.0469874970732027
NR2E1	GSM4261011	1.016786983838062
NR2E1	GSM4261012	1.116974272768844
NR2E1	GSM4261013	1.0292920835697184
NR2E1	GSM4261014	4.110942034699175
NR2E1	GSM4261015	1.013077440794964
NR2E1	GSM4261016	6.041778676083074
NR2E1	GSM4261017	2.023090773867488
NR2E1	GSM4261018	2.1749255417310445
NR2E1	GSM4261019	4.071797157457929
NR2E1	GSM4261020	3.1847470224985073
NR2E1	GSM4261021	1.0309962873732228
NR2E1	GSM4261022	4.033952905510596
NR2E1	GSM4261023	6.04557487128464
NR2E1	GSM4261024	2.0651156018757795
NR2E1	GSM4261025	5.134110252465131
NR2E1	GSM4261026	2.0776550824437714
NR2E1	GSM4261027	5
NR2E1	GSM4818000	16.31560956725982
NR2E1	GSM4818001	3.1641800860923537
NR2E1	GSM4818002	12.454254419426327
NR2E1	GSM4818003	14.781334690312027
NR2E1	GSM4818004	67.82102466524634
NR2E1	GSM4818005	14.858715125724231
NR2E1	GSM4818006	13.307611064277523
NR2E1	GSM4818007	1.1099196816394996
NR2E1	GSM4818008	11.245118100183474
NR2E1	GSM4818009	1.0541578291291045
NR2E1	GSM4818010	6.42287549506496
NR2E1	GSM4818011	5.44008080580527
NR2E1	GSM4818012	15.328675948288502
NR2E1	GSM4818013	11.472522979608616
NR2E1	GSM4818014	1.1000274491679498
NR2E1	GSM4818015	2.126211518841046
NR2E1	GSM4818016	3.1643747159380404
NR2E1	GSM4818017	3.0902518662608824
NR2E1	GSM4818018	1.040400915749839
NR2E1	GSM4818019	1.0197255979537387
NR2E1	GSM4818020	26.47650138775421
NR2E1	GSM4818021	2.0464481396538763
NR2E1	GSM4818022	20.092001389822347
NR2E1	GSM4818023	4.2723781896832556
NR2E1	GSM3056394	7.238476918268553
NR2E1	GSM3056395	1.0579890978447102
NR2E1	GSM3056396	11.01582374363212
NR2E1	GSM3056397	1.032256799227062
NR2E1	GSM3056398	1.0137139817749876
NR2E1	GSM3056399	1.0513618217566758
NR2E1	GSM3056400	4.136764645665576
NR2E1	GSM3056401	3.0772886654531204
NR2E1	GSM3056402	4.142751706810893
NR2E1	GSM3056403	1.027880340996568
NR2E1	GSM3056404	8.111797682393808
NR2E1	GSM3056405	1.0724053948760846
NR2E1	GSM3056406	1.0422446709842648
NR2E1	GSM3056407	10.45256860312832
NR2E1	GSM3056408	1.0265898733735748
NR2E1	GSM3056409	1.0277355086747937
NR2E1	GSM3056410	2.2062450900501185
NR2E1	GSM3056411	1.1306247489382693
NR2E1	GSM3056412	19.83863498963758
NR2E1	GSM3056413	8.601508649397893
NR2E1	GSM3056414	1.018588891444416
NR2E1	GSM3056415	1.027880340996568
NR2E1	GSM3056416	1.1032208718141556
NR2E1	GSM3056417	1.0347714431029609
NR2E1	GSM3056418	1.0109102076785366
NR2E1	GSM3056419	4.209512968253111
NR2E1	GSM3056420	3.051930266728813
NR2E1	GSM3056421	1.0617057616233068
NR2E1	GSM3056422	2.125664795154651
NR2E1	GSM3056423	3.36307054946252
NR2E1	GSM3056424	1.0440916936450384
NR2E1	GSM3056425	5.488837828999434
NR2E1	GSM3056426	1.024130326068477
NR2E1	GSM3056427	2.167594804288288
NR2E1	GSM3056428	5.118613596770355
NR2E1	GSM3056429	1.0513333056297445
NR2E1	GSM3056430	3.0949322615896553
NR2E1	GSM3056431	10.65158896404703
NR2E1	GSM3056432	6.199239491387025
NR2E1	GSM3056433	58.02174519564595
NR2E1	GSM3056434	14.30347340030729
NR2E1	GSM3056435	17.249360370682204
NR2E1	GSM3056436	3.2172161846282537
NR2E1	GSM3056437	1.062530286193761
NR2E1	GSM3056438	1.042907225979863
NR2E1	GSM3056439	1.049084233382537
NR2E1	GSM3056440	12.374808195043084
NR2E1	GSM3056441	2.2582889972924027
