Gene	sample	counts
NSUN3	GSM1022678	465.3211271516751
NSUN3	GSM1022679	84.11643245594071
NSUN3	GSM1022680	389.51069043071914
NSUN3	GSM1022681	273.9779042016985
NSUN3	GSM1022682	107.31032598296405
NSUN3	GSM1022683	578.0719859963862
NSUN3	GSM1022684	273.00190919965695
NSUN3	GSM1022685	402.6403527596568
NSUN3	GSM1022686	350.2099477561509
NSUN3	GSM1022687	283.9682784182794
NSUN3	GSM1022688	298.3191196746438
NSUN3	GSM1022689	343.9810370788129
NSUN3	GSM1022690	215.15896912875783
NSUN3	GSM1022691	344.8960275374633
NSUN3	GSM1022692	482.05785672382734
NSUN3	GSM1022693	443.6703415956797
NSUN3	GSM1022694	351.7260842003229
NSUN3	GSM1022695	435.3670439445274
NSUN3	GSM1385778	434
NSUN3	GSM1385779	284.0708656977638
NSUN3	GSM1385780	303.47080969254915
NSUN3	GSM1385781	379.1665281121813
NSUN3	GSM1385782	432.2812458778188
NSUN3	GSM1385783	290.6495451423157
NSUN3	GSM1415906	463
NSUN3	GSM1415907	502.1939654251763
NSUN3	GSM1415908	429.1377747931221
NSUN3	GSM1415909	430.27063543187546
NSUN3	GSM1415910	553.6483373568467
NSUN3	GSM1415911	500.6420010398924
NSUN3	GSM1415912	234.3942930359019
NSUN3	GSM1415913	217.8316930280949
NSUN3	GSM1415914	286.979542646369
NSUN3	GSM1415915	288.95296671127136
NSUN3	GSM1415916	264.2050841825352
NSUN3	GSM1415917	277.7631680029351
NSUN3	GSM1415918	260.76323920563203
NSUN3	GSM1415919	231.53822435020456
NSUN3	GSM1415920	306.2671506153041
NSUN3	GSM1415921	338.9342332922844
NSUN3	GSM2769390	323.9911817098458
NSUN3	GSM2769391	416.8541043183484
NSUN3	GSM2769392	274.6195144017642
NSUN3	GSM2769393	361.3341830860413
NSUN3	GSM2769394	566.7908154305917
NSUN3	GSM2769395	335.92289174314163
NSUN3	GSM2769396	430.0053425256978
NSUN3	GSM2769397	269.68933816760045
NSUN3	GSM2769398	257.2982912078362
NSUN3	GSM3103946	299.1490230349002
NSUN3	GSM3103947	352.6731643409002
NSUN3	GSM3103948	398.49013625272096
NSUN3	GSM3103949	234.32404348782416
NSUN3	GSM3103950	367.9642241564966
NSUN3	GSM3103951	386
NSUN3	GSM3103952	259.36874752669127
NSUN3	GSM3103953	353.1469907984674
NSUN3	GSM3103954	305.61278778338817
NSUN3	GSM3103955	370.2606972845974
NSUN3	GSM3103956	156.9029905765329
NSUN3	GSM3103957	272.75227508280193
NSUN3	GSM3103958	211.71293464044365
NSUN3	GSM3103959	267
NSUN3	GSM3103960	265
NSUN3	GSM3103961	317.82355848134574
NSUN3	GSM3103962	315.63596622104455
NSUN3	GSM3103963	302.45115946660616
NSUN3	GSM3103964	275.36234591854924
NSUN3	GSM3103965	239
NSUN3	GSM4260265	328.88769665860974
NSUN3	GSM4260266	501.27674130172466
NSUN3	GSM4260267	307.9038340887624
NSUN3	GSM4260268	331.57218995802793
NSUN3	GSM4260269	541.1685452861572
NSUN3	GSM4260270	407.0010247503513
NSUN3	GSM4260271	340.86604807587116
NSUN3	GSM4260272	317.7470105594694
NSUN3	GSM4260273	461.43509734399726
NSUN3	GSM4260274	226.63886586520923
NSUN3	GSM4260275	336.3270138314704
NSUN3	GSM4260276	446.45145055176545
NSUN3	GSM4735786	645.0893739073468
NSUN3	GSM4735787	590.3932152679911
NSUN3	GSM4735788	471.9744180563966
NSUN3	GSM4735790	400.76566773024695
NSUN3	GSM4735793	425.15264190205977
NSUN3	GSM4735798	264.0486912008021
NSUN3	GSM4735800	295.81379280579
NSUN3	GSM4735803	614.9021317821129
NSUN3	GSM4735804	323.69476986022477
NSUN3	GSM4735785	216.23989688418695
NSUN3	GSM4735789	355.4810373080453
NSUN3	GSM4735791	270.5465578424845
NSUN3	GSM4735792	243.96663307606417
NSUN3	GSM4735794	495.466078053077
NSUN3	GSM4735795	399.8865334097523
NSUN3	GSM4735796	353.3077432763364
NSUN3	GSM4735797	390.69836841241784
NSUN3	GSM4735799	235.4752671718335
NSUN3	GSM4735801	290.0912624734214
NSUN3	GSM4735802	256.7700075502898
NSUN3	GSM5282507	704
NSUN3	GSM5282509	536
NSUN3	GSM5282510	380.58221851616906
NSUN3	GSM5282511	385.5683254808697
NSUN3	GSM5282512	295.49092244613433
NSUN3	GSM5282515	277.7110942898216
NSUN3	GSM5282516	355.87565213142136
NSUN3	GSM5282519	230.0910169320861
NSUN3	GSM5282521	378.12430838048056
NSUN3	GSM5282523	515
NSUN3	GSM5282524	370.9043630196229
NSUN3	GSM5282526	508
NSUN3	GSM5282528	354.7412627766976
NSUN3	GSM5282529	617
NSUN3	GSM5282513	366.8939290075641
NSUN3	GSM5282533	575.5211623203369
NSUN3	GSM5282534	422
NSUN3	GSM5282536	288.92488287195516
NSUN3	GSM5282525	359
NSUN3	GSM5282530	485.1153061322237
NSUN3	GSM5282514	670
NSUN3	GSM5282520	235.25465170658651
NSUN3	GSM5282535	463
NSUN3	GSM5282522	348.74470592228846
NSUN3	GSM5282531	333.98727993353975
NSUN3	GSM5282508	277.9608986018177
NSUN3	GSM5282518	535
NSUN3	GSM5282517	384.95492243689193
NSUN3	GSM5282527	486.56772791828905
NSUN3	GSM5282532	352
