Gene	sample	counts
OGFOD3	GSM1022678	493.70672967944614
OGFOD3	GSM1022679	1.121552432745876
OGFOD3	GSM1022680	249.73904426032917
OGFOD3	GSM1022681	434.6566750869051
OGFOD3	GSM1022682	62.76641708437519
OGFOD3	GSM1022683	299.2133166953125
OGFOD3	GSM1022684	207.14152643553737
OGFOD3	GSM1022685	286.4142715506837
OGFOD3	GSM1022686	263.9880457250013
OGFOD3	GSM1022687	167.43946297173449
OGFOD3	GSM1022688	265.29093142495105
OGFOD3	GSM1022689	328.57890109020934
OGFOD3	GSM1022690	58.577310966991675
OGFOD3	GSM1022691	186.2218167854035
OGFOD3	GSM1022692	417.8514191475036
OGFOD3	GSM1022693	362.8192542889499
OGFOD3	GSM1022694	219.69677331431575
OGFOD3	GSM1022695	367.5976455946717
OGFOD3	GSM1385778	471
OGFOD3	GSM1385779	179.47112832843217
OGFOD3	GSM1385780	152.8192291666051
OGFOD3	GSM1385781	291.4338474053734
OGFOD3	GSM1385782	465.45631823588394
OGFOD3	GSM1385783	175.03801603366222
OGFOD3	GSM1415906	524
OGFOD3	GSM1415907	450.76446294187514
OGFOD3	GSM1415908	356.9368695554167
OGFOD3	GSM1415909	362.91518549277345
OGFOD3	GSM1415910	430.8390697976916
OGFOD3	GSM1415911	410.164530972442
OGFOD3	GSM1415912	172.4559047207154
OGFOD3	GSM1415913	169.56217014118752
OGFOD3	GSM1415914	253.8225436951949
OGFOD3	GSM1415915	266.81097692496706
OGFOD3	GSM1415916	201.7768786372948
OGFOD3	GSM1415917	145.22057746211544
OGFOD3	GSM1415918	161.81290289992347
OGFOD3	GSM1415919	136.13051381393936
OGFOD3	GSM1415920	145.78768424123334
OGFOD3	GSM1415921	165.6771172323307
OGFOD3	GSM2769390	123.6858227473398
OGFOD3	GSM2769391	59.85597395340387
OGFOD3	GSM2769392	203.0711351706532
OGFOD3	GSM2769393	337.4529008705846
OGFOD3	GSM2769394	312.95823801653177
OGFOD3	GSM2769395	192.5672627826927
OGFOD3	GSM2769396	527.0374269436106
OGFOD3	GSM2769397	380.7378891777889
OGFOD3	GSM2769398	294.51085398582904
OGFOD3	GSM3103946	257.7128407902012
OGFOD3	GSM3103947	226.84966560469363
OGFOD3	GSM3103948	175.5338433226906
OGFOD3	GSM3103949	438.5207099557852
OGFOD3	GSM3103950	325.25409099547466
OGFOD3	GSM3103951	233
OGFOD3	GSM3103952	219.1565386078244
OGFOD3	GSM3103953	139.6397843271877
OGFOD3	GSM3103954	188.99738191867425
OGFOD3	GSM3103955	270.23270127136107
OGFOD3	GSM3103956	152.7739645087294
OGFOD3	GSM3103957	121.11015199572174
OGFOD3	GSM3103958	163.40949809626477
OGFOD3	GSM3103959	172
OGFOD3	GSM3103960	279
OGFOD3	GSM3103961	292.5421390566932
OGFOD3	GSM3103962	116.97690760907722
OGFOD3	GSM3103963	105.29016472898915
OGFOD3	GSM3103964	132.6193651298895
OGFOD3	GSM3103965	282
OGFOD3	GSM4260265	391.1925087585327
OGFOD3	GSM4260266	527.5533446764118
OGFOD3	GSM4260267	186.86577517111095
OGFOD3	GSM4260268	252.3750108279257
OGFOD3	GSM4260269	365.87477920476533
OGFOD3	GSM4260270	420.1955716873951
OGFOD3	GSM4260271	138.12872536407852
OGFOD3	GSM4260272	124.71299049262451
OGFOD3	GSM4260273	336.77724969550997
OGFOD3	GSM4260274	144.29341126751655
OGFOD3	GSM4260275	133.2413728917007
OGFOD3	GSM4260276	290.5477694067045
OGFOD3	GSM4735786	537.4019021796357
OGFOD3	GSM4735787	341.48179001563244
OGFOD3	GSM4735788	89.60220740143511
OGFOD3	GSM4735790	80.15313354604939
OGFOD3	GSM4735793	261.4688747697667
OGFOD3	GSM4735798	196.3723459770671
OGFOD3	GSM4735800	189.85064314401447
OGFOD3	GSM4735803	334.5640550628135
OGFOD3	GSM4735804	261.04416924211677
OGFOD3	GSM4735785	310.3042520288083
OGFOD3	GSM4735789	254.9514145124756
OGFOD3	GSM4735791	269.4897353509123
OGFOD3	GSM4735792	78.80338148032162
OGFOD3	GSM4735794	348.50580066445247
OGFOD3	GSM4735795	239.93192004585137
OGFOD3	GSM4735796	254.24949749792432
OGFOD3	GSM4735797	272.07407271059736
OGFOD3	GSM4735799	268.33228119581025
OGFOD3	GSM4735801	295.4238224453593
OGFOD3	GSM4735802	562.0066430317587
OGFOD3	GSM5282507	425
OGFOD3	GSM5282509	253
OGFOD3	GSM5282510	240.02628554144752
OGFOD3	GSM5282511	223.1686231723512
OGFOD3	GSM5282512	212.83611896469816
OGFOD3	GSM5282515	306.51076332728456
OGFOD3	GSM5282516	107.39442756628692
OGFOD3	GSM5282519	286.23762871934156
OGFOD3	GSM5282521	299.00590689869523
OGFOD3	GSM5282523	382
OGFOD3	GSM5282524	204.1489954494927
OGFOD3	GSM5282526	284
OGFOD3	GSM5282528	219.7964596455043
OGFOD3	GSM5282529	360
OGFOD3	GSM5282513	344.4726333459908
OGFOD3	GSM5282533	312.34314336983107
OGFOD3	GSM5282534	316
OGFOD3	GSM5282536	263.580594900731
OGFOD3	GSM5282525	360
OGFOD3	GSM5282530	209.9448593765506
OGFOD3	GSM5282514	309
OGFOD3	GSM5282520	217.5585053392769
OGFOD3	GSM5282535	385
OGFOD3	GSM5282522	200.60536181370577
OGFOD3	GSM5282531	183.0208933381936
OGFOD3	GSM5282508	230.60459735854505
OGFOD3	GSM5282518	329
OGFOD3	GSM5282517	235.77184951419397
OGFOD3	GSM5282527	377.9947638373485
OGFOD3	GSM5282532	347
