Gene	sample	counts
PABPC1P7	GSM1022678	2.021300534291188
PABPC1P7	GSM1022679	1.0848245726655648
PABPC1P7	GSM1022680	1.0228445664573578
PABPC1P7	GSM1022681	1.0238669861786047
PABPC1P7	GSM1022682	2.0200312999251313
PABPC1P7	GSM1022683	1.0146118150553114
PABPC1P7	GSM1022684	2.0934365596031466
PABPC1P7	GSM1022685	1.027880340996568
PABPC1P7	GSM1022686	1.0488429247731252
PABPC1P7	GSM1022687	1.094806600045286
PABPC1P7	GSM1022688	1.0495019380689916
PABPC1P7	GSM1022689	1.0210351304622294
PABPC1P7	GSM1022690	1.0903218103458212
PABPC1P7	GSM1022691	1.0735439206438182
PABPC1P7	GSM1022692	1.0161485132291883
PABPC1P7	GSM1022693	3.0254646791329467
PABPC1P7	GSM1022694	2.0850254752760433
PABPC1P7	GSM1022695	1.0219117298859002
PABPC1P7	GSM1385778	1
PABPC1P7	GSM1385779	1.078755114838832
PABPC1P7	GSM1385780	1.065003532520631
PABPC1P7	GSM1385781	2.0157099336078814
PABPC1P7	GSM1385782	1.0045505879962513
PABPC1P7	GSM1385783	1.0625040851541827
PABPC1P7	GSM1415906	1
PABPC1P7	GSM1415907	2.0121440955233707
PABPC1P7	GSM1415908	3.0392323223848914
PABPC1P7	GSM1415909	2.0121440955233707
PABPC1P7	GSM1415910	1.0069631126805123
PABPC1P7	GSM1415911	2.006062858199299
PABPC1P7	GSM1415912	1.15015666141387
PABPC1P7	GSM1415913	1.163567230382469
PABPC1P7	GSM1415914	1.1043535878805653
PABPC1P7	GSM1415915	1.0800227555632944
PABPC1P7	GSM1415916	1.085036308355627
PABPC1P7	GSM1415917	1.107408486899727
PABPC1P7	GSM1415918	3.3495054760673764
PABPC1P7	GSM1415919	1.1134638835084691
PABPC1P7	GSM1415920	1.0918086945672336
PABPC1P7	GSM1415921	2.1228809351057203
PABPC1P7	GSM2769390	1.075037082938662
PABPC1P7	GSM2769391	1.056352801733153
PABPC1P7	GSM2769392	2.08764644197243
PABPC1P7	GSM2769393	1.032437989175177
PABPC1P7	GSM2769394	1.0180301231797395
PABPC1P7	GSM2769395	1.056537995407221
PABPC1P7	GSM2769396	1.0166087578602931
PABPC1P7	GSM2769397	1.0437691702869765
PABPC1P7	GSM2769398	1.0476453445591134
PABPC1P7	GSM3103946	9.090140849663092
PABPC1P7	GSM3103947	6.40189876222471
PABPC1P7	GSM3103948	7.882483449792173
PABPC1P7	GSM3103949	2.5424487162951626
PABPC1P7	GSM3103950	5.323593148800363
PABPC1P7	GSM3103951	11
PABPC1P7	GSM3103952	12.054607055955016
PABPC1P7	GSM3103953	8.080125199700525
PABPC1P7	GSM3103954	15.045471436494744
PABPC1P7	GSM3103955	3.179222446294152
PABPC1P7	GSM3103956	5.13940170498284
PABPC1P7	GSM3103957	4.064594052916753
PABPC1P7	GSM3103958	8.198190494742311
PABPC1P7	GSM3103959	7.021220003697548
PABPC1P7	GSM3103960	16
PABPC1P7	GSM3103961	9.8562077272315
PABPC1P7	GSM3103962	4.030383247523093
PABPC1P7	GSM3103963	7.1906443317852835
