Gene	sample	counts
PCDHGB3	GSM1022678	13.194907221835264
PCDHGB3	GSM1022679	1.0886816601851197
PCDHGB3	GSM1022680	6.1850616447803795
PCDHGB3	GSM1022681	13.404414575756938
PCDHGB3	GSM1022682	7.081604934548469
PCDHGB3	GSM1022683	1.020863922442935
PCDHGB3	GSM1022684	16.925039078214617
PCDHGB3	GSM1022685	7.2598040454208945
PCDHGB3	GSM1022686	1.0604724495698388
PCDHGB3	GSM1022687	14.41544679677725
PCDHGB3	GSM1022688	4.238277669131843
PCDHGB3	GSM1022689	7.197491067965491
PCDHGB3	GSM1022690	2.2063603946069295
PCDHGB3	GSM1022691	4.371330754327515
PCDHGB3	GSM1022692	11.252983198865367
PCDHGB3	GSM1022693	39.52593830547246
PCDHGB3	GSM1022694	1.0545664475046876
PCDHGB3	GSM1022695	2.059642189268547
PCDHGB3	GSM1385778	9.058507528090525
PCDHGB3	GSM1385779	8.70653391112584
PCDHGB3	GSM1385780	9.692722124915086
PCDHGB3	GSM1385781	8.128475136138041
PCDHGB3	GSM1385782	9.098766256527396
PCDHGB3	GSM1385783	10.72602630214062
PCDHGB3	GSM1415906	19.120103430842786
PCDHGB3	GSM1415907	11.155192561667794
PCDHGB3	GSM1415908	20.48228979529565
PCDHGB3	GSM1415909	21.288677034287183
PCDHGB3	GSM1415910	17.254878674707655
PCDHGB3	GSM1415911	3.030351552591581
PCDHGB3	GSM1415912	1.182512101984153
PCDHGB3	GSM1415913	1.1954362057291898
PCDHGB3	GSM1415914	5.686242651933868
PCDHGB3	GSM1415915	1.1104272564901518
PCDHGB3	GSM1415916	9.982255712206346
PCDHGB3	GSM1415917	2.267147212295867
PCDHGB3	GSM1415918	1.14248870104818
PCDHGB3	GSM1415919	3.4306982898993135
PCDHGB3	GSM1415920	6.702475520706618
PCDHGB3	GSM1415921	5.3945430345476275
PCDHGB3	GSM2769390	6.294685208726735
PCDHGB3	GSM2769391	3.13430905707034
PCDHGB3	GSM2769392	7.230941698494933
PCDHGB3	GSM2769393	3.080909303980452
PCDHGB3	GSM2769394	4.0707164072427355
PCDHGB3	GSM2769395	3.116769582485579
PCDHGB3	GSM2769396	34.69144867755589
PCDHGB3	GSM2769397	14.669530387432742
PCDHGB3	GSM2769398	26.279030643867927
PCDHGB3	GSM3103946	9.087092894836507
PCDHGB3	GSM3103947	14.588537825208808
PCDHGB3	GSM3103948	5.638203348055174
PCDHGB3	GSM3103949	6.493396842330399
PCDHGB3	GSM3103950	12.095447088138233
PCDHGB3	GSM3103951	6
PCDHGB3	GSM3103952	31.16877457102185
PCDHGB3	GSM3103953	3.030351552591581
PCDHGB3	GSM3103954	16.070223272324736
PCDHGB3	GSM3103955	7.984106325191082
PCDHGB3	GSM3103956	1.0218297981950817
PCDHGB3	GSM3103957	1.0133047479406865
PCDHGB3	GSM3103958	1.0205188304787385
PCDHGB3	GSM3103959	8.025245100614942
PCDHGB3	GSM3103960	17.035745109222812
