Gene	sample	counts
PDCD1	GSM1022678	8.110172150791723
PDCD1	GSM1022679	5.60776216372938
PDCD1	GSM1022680	34.9429115425975
PDCD1	GSM1022681	1.0299921210590168
PDCD1	GSM1022682	1.012361565877019
PDCD1	GSM1022683	16.283717915391158
PDCD1	GSM1022684	1.0622642381309608
PDCD1	GSM1022685	1.0377328679372595
PDCD1	GSM1022686	8.515743410483912
PDCD1	GSM1022687	1.1313477227819897
PDCD1	GSM1022688	1.065425427409442
PDCD1	GSM1022689	1.0268090659069042
PDCD1	GSM1022690	1.1264867493652244
PDCD1	GSM1022691	6.611425448002491
PDCD1	GSM1022692	26.497894872768523
PDCD1	GSM1022693	1.0106385913341225
PDCD1	GSM1022694	1.056234487088057
PDCD1	GSM1022695	1.0268090659069042
PDCD1	GSM1385778	8
PDCD1	GSM1385779	9.909448803410363
PDCD1	GSM1385780	8.670594562644261
PDCD1	GSM1385781	8.06737293855705
PDCD1	GSM1385782	8.042441783773373
PDCD1	GSM1385783	8.64385264363764
PDCD1	GSM1415906	35
PDCD1	GSM1415907	4.033686469278525
PDCD1	GSM1415908	1.0169141582775405
PDCD1	GSM1415909	3.0159156689150146
PDCD1	GSM1415910	21.139300153625054
PDCD1	GSM1415911	6.031831337830029
PDCD1	GSM1415912	1.2144782022585594
PDCD1	GSM1415913	1.2376800740232663
PDCD1	GSM1415914	1.1433447914197967
PDCD1	GSM1415915	1.107099489315216
PDCD1	GSM1415916	2.229578769472871
PDCD1	GSM1415917	1.1525442655723448
PDCD1	GSM1415918	1.1641216035965718
PDCD1	GSM1415919	1.1635086650764048
PDCD1	GSM1415920	1.1301370871413436
PDCD1	GSM1415921	1.0828569753747104
PDCD1	GSM2769390	16.418472046107052
PDCD1	GSM2769391	16.032850166090324
PDCD1	GSM2769392	15.782730712745067
PDCD1	GSM2769393	18.68969912514007
PDCD1	GSM2769394	15.291119121328911
PDCD1	GSM2769395	16.04727189855772
PDCD1	GSM2769396	3.064171086881457
PDCD1	GSM2769397	3.1728157431482407
PDCD1	GSM2769398	3.1896482381136715
PDCD1	GSM3103946	1.0106385913341225
PDCD1	GSM3103947	0.9184196988044276
PDCD1	GSM3103948	7.077977553334298
PDCD1	GSM3103949	32.637991771518365
PDCD1	GSM3103950	9.856184575620444
PDCD1	GSM3103951	17
PDCD1	GSM3103952	1.0053052229716717
PDCD1	GSM3103953	1.0118824951245484
PDCD1	GSM3103954	1.0053052229716717
PDCD1	GSM3103955	9.950428922782674
PDCD1	GSM3103956	1.0322565169508742
PDCD1	GSM3103957	5.088661848559737
PDCD1	GSM3103958	1.0277326924293382
PDCD1	GSM3103959	1
PDCD1	GSM3103960	1
PDCD1	GSM3103961	6.320354856163125
PDCD1	GSM3103962	1.0084216173196312
PDCD1	GSM3103963	1.0322565169508742
PDCD1	GSM3103964	1.012361565877019
PDCD1	GSM3103965	1
PDCD1	GSM4260265	22.47058797046402
PDCD1	GSM4260266	22.23404900935069
PDCD1	GSM4260267	23.35822189638887
PDCD1	GSM4260268	23.231172544829985
PDCD1	GSM4260269	24.459595267170943
PDCD1	GSM4260270	22.32923327807414
PDCD1	GSM4260271	24.506709338788124
PDCD1	GSM4260272	26.02705888541729
PDCD1	GSM4260273	28.148546243206805
PDCD1	GSM4260274	23.41934947273829
PDCD1	GSM4260275	23.63959841626949
PDCD1	GSM4260276	22.271954449294423
PDCD1	GSM4735786	25.8864114730075
PDCD1	GSM4735787	26.74254982050134
PDCD1	GSM4735788	37.507900772693766
PDCD1	GSM4735790	14.573297008372617
PDCD1	GSM4735793	21.257632095102988
PDCD1	GSM4735798	1.1094482823563114
PDCD1	GSM4735800	1.1037828089768285
PDCD1	GSM4735803	1.023131666858757
PDCD1	GSM4735804	2.088353353936934
PDCD1	GSM4735785	45.41037834567926
PDCD1	GSM4735789	50.78300532972075
PDCD1	GSM4735791	29.591029764021744
PDCD1	GSM4735792	25.907961034626283
PDCD1	GSM4735794	75.57957122843547
PDCD1	GSM4735795	1.0386663205448112
PDCD1	GSM4735796	33.01941525947069
PDCD1	GSM4735797	1.0882962908423894
PDCD1	GSM4735799	1.0952338007992255
PDCD1	GSM4735801	1.0665119943875787
PDCD1	GSM4735802	1.0312048495995574
PDCD1	GSM5282507	37
PDCD1	GSM5282509	24
PDCD1	GSM5282510	33.51718401704898
PDCD1	GSM5282511	32.4799404617037
PDCD1	GSM5282512	25.829626087948803
PDCD1	GSM5282515	48.342301598598574
PDCD1	GSM5282516	27.37505016395549
PDCD1	GSM5282519	24.220107045482745
PDCD1	GSM5282521	32.88037464178092
PDCD1	GSM5282523	41
PDCD1	GSM5282524	58.61703829737909
PDCD1	GSM5282526	31
PDCD1	GSM5282528	47.02621927299162
PDCD1	GSM5282529	44
PDCD1	GSM5282513	36.68939290075642
PDCD1	GSM5282533	44.34501418213651
PDCD1	GSM5282534	32
PDCD1	GSM5282536	52.7161189801462
PDCD1	GSM5282525	53
PDCD1	GSM5282530	22.421295661573364
PDCD1	GSM5282514	54
PDCD1	GSM5282520	30.18754380305756
PDCD1	GSM5282535	69
PDCD1	GSM5282522	27.776127020359255
PDCD1	GSM5282531	33.08852308939093
PDCD1	GSM5282508	23.678150621636323
PDCD1	GSM5282518	36
PDCD1	GSM5282517	40.68629261528126
PDCD1	GSM5282527	67.355449939102
PDCD1	GSM5282532	32
