Gene	sample	counts
PEX5L	GSM1022678	17.23411582043241
PEX5L	GSM1022679	14.580181625696389
PEX5L	GSM1022680	17.47145577129875
PEX5L	GSM1022681	9.269929089531152
PEX5L	GSM1022682	26.3214007128025
PEX5L	GSM1022683	5.088661848559737
PEX5L	GSM1022684	9.560378143178648
PEX5L	GSM1022685	9.339595811435338
PEX5L	GSM1022686	9.580211336794402
PEX5L	GSM1022687	14.707520396165863
PEX5L	GSM1022688	13.850530556322749
PEX5L	GSM1022689	5.134045329534521
PEX5L	GSM1022690	14.64432774174792
PEX5L	GSM1022691	9.917138172003735
PEX5L	GSM1022692	9.172348225189104
PEX5L	GSM1022693	17.180856052680078
PEX5L	GSM1022694	17.955986280496962
PEX5L	GSM1022695	13.348517856789757
PEX5L	GSM1385778	26
PEX5L	GSM1385779	12.111548537501555
PEX5L	GSM1385780	13.005891843966392
PEX5L	GSM1385781	12.101059407835573
PEX5L	GSM1385782	11.058357452688387
PEX5L	GSM1385783	11.885297385001756
PEX5L	GSM1415906	12
PEX5L	GSM1415907	10.084216173196312
PEX5L	GSM1415908	18.30445484899573
PEX5L	GSM1415909	16.084883567546747
PEX5L	GSM1415910	12.079600087785746
PEX5L	GSM1415911	16.084883567546747
PEX5L	GSM1415912	14.573738427102713
PEX5L	GSM1415913	12.376800740232666
PEX5L	GSM1415914	13.720137497037562
PEX5L	GSM1415915	11.07099489315216
PEX5L	GSM1415916	11.147893847364353
PEX5L	GSM1415917	13.830531186868138
PEX5L	GSM1415918	11.641216035965718
PEX5L	GSM1415919	13.962103980916858
PEX5L	GSM1415920	13.561645045696125
PEX5L	GSM1415921	12.994283704496524
PEX5L	GSM2769390	8.756518424590428
PEX5L	GSM2769391	11.757423455132905
PEX5L	GSM2769392	10.52182047516338
PEX5L	GSM2769393	12.459799416760044
PEX5L	GSM2769394	10.194079414219274
PEX5L	GSM2769395	9.628363139134631
PEX5L	GSM2769396	63.326202462216784
PEX5L	GSM2769397	30.67055218376633
PEX5L	GSM2769398	26.5804019842806
PEX5L	GSM3103946	1.0106385913341225
PEX5L	GSM3103947	21.123653072501835
PEX5L	GSM3103948	14.863752862002023
PEX5L	GSM3103949	3.3474863355403452
PEX5L	GSM3103950	13.141579434160592
PEX5L	GSM3103951	7
PEX5L	GSM3103952	1.0053052229716717
PEX5L	GSM3103953	15.178237426868227
PEX5L	GSM3103954	14.074273121603404
PEX5L	GSM3103955	7.855601781144217
PEX5L	GSM3103956	12.387078203410493
PEX5L	GSM3103957	9.159591327407526
PEX5L	GSM3103958	18.499188463728085
PEX5L	GSM3103959	18
PEX5L	GSM3103960	6
PEX5L	GSM3103961	13.543617548920984
PEX5L	GSM3103962	21.176853963712254
PEX5L	GSM3103963	9.290308652557869
PEX5L	GSM3103964	20.247231317540383
PEX5L	GSM3103965	4
PEX5L	GSM4260265	16.342245796701107
PEX5L	GSM4260266	8.085108730672978
PEX5L	GSM4260267	15.926060383901502
PEX5L	GSM4260268	13.727511049217718
PEX5L	GSM4260269	8.153198422390314
PEX5L	GSM4260270	26.389093874087617
PEX5L	GSM4260271	10.025472002231504
PEX5L	GSM4260272	8.675686295139096
PEX5L	GSM4260273	26.13793579726346
PEX5L	GSM4260274	44.57231028682448
PEX5L	GSM4260275	7.521690405176654
PEX5L	GSM4260276	10.123615658770191
PEX5L	GSM4735786	3.1063693767608997
PEX5L	GSM4735787	3.085678825442462
PEX5L	GSM4735788	22.92149491664619
PEX5L	GSM4735790	3.122849358936989
PEX5L	GSM4735793	3.188644814265448
PEX5L	GSM4735798	28.845655341264095
PEX5L	GSM4735800	28.698353033397535
PEX5L	GSM4735803	26.60142333832768
PEX5L	GSM4735804	27.148593601180146
PEX5L	GSM4735785	3.2435984532628046
PEX5L	GSM4735789	12.436654366462225
PEX5L	GSM4735791	3.1704674747166157
PEX5L	GSM4735792	3.2384951293282853
PEX5L	GSM4735794	3.1491488011848117
PEX5L	GSM4735795	27.005324334165092
PEX5L	GSM4735796	28.616826558207933
PEX5L	GSM4735797	28.29570356190213
PEX5L	GSM4735799	28.476078820779865
PEX5L	GSM4735801	27.729311854077046
PEX5L	GSM4735802	26.81132608958849
PEX5L	GSM5282507	9
PEX5L	GSM5282509	19
PEX5L	GSM5282510	30.273585563786177
PEX5L	GSM5282511	10.477400148936676
PEX5L	GSM5282512	39.26103165368218
PEX5L	GSM5282515	11.314155693289027
PEX5L	GSM5282516	33.692369432560604
PEX5L	GSM5282519	81.46763278935106
PEX5L	GSM5282521	10.275117075556537
PEX5L	GSM5282523	16
PEX5L	GSM5282524	4.042554365336489
PEX5L	GSM5282526	23
PEX5L	GSM5282528	24.535418751126063
PEX5L	GSM5282529	9
PEX5L	GSM5282513	12.229797633585472
PEX5L	GSM5282533	22.172507091068255
PEX5L	GSM5282534	15
PEX5L	GSM5282536	14.192801263885515
PEX5L	GSM5282525	22
PEX5L	GSM5282530	4.076599211195157
PEX5L	GSM5282514	56
PEX5L	GSM5282520	10.409497863123296
PEX5L	GSM5282535	19
PEX5L	GSM5282522	36.006090581947184
PEX5L	GSM5282531	6.2040980792608
PEX5L	GSM5282508	38.09093795654539
PEX5L	GSM5282518	28
PEX5L	GSM5282517	10.43238272186699
PEX5L	GSM5282527	4.021220891886687
PEX5L	GSM5282532	18
