Gene	sample	counts
PHTF1	GSM1022678	283.1830088378492
PHTF1	GSM1022679	1.0886816601851197
PHTF1	GSM1022680	228.847280856874
PHTF1	GSM1022681	301.0837735477712
PHTF1	GSM1022682	40.46631391170554
PHTF1	GSM1022683	396.0952019078588
PHTF1	GSM1022684	25.387558617321925
PHTF1	GSM1022685	56.00420263610404
PHTF1	GSM1022686	71.0516541211792
PHTF1	GSM1022687	34.3752962076996
PHTF1	GSM1022688	78.40813687893909
PHTF1	GSM1022689	123.38556116512272
PHTF1	GSM1022690	1.1031801973034647
PHTF1	GSM1022691	22.94948646021945
PHTF1	GSM1022692	247.56563037503813
PHTF1	GSM1022693	232.0882018449537
PHTF1	GSM1022694	119.16600856802972
PHTF1	GSM1022695	212.14314549466033
PHTF1	GSM1385778	456.95137975034424
PHTF1	GSM1385779	88.15365585014912
PHTF1	GSM1385780	59.23330187448108
PHTF1	GSM1385781	249.95061043624472
PHTF1	GSM1385782	365.9725983181019
PHTF1	GSM1385783	22.524655234495302
PHTF1	GSM1415906	200.25792540724817
PHTF1	GSM1415907	144.00339488698427
PHTF1	GSM1415908	145.42425754659908
PHTF1	GSM1415909	322.37139509063445
PHTF1	GSM1415910	204.0135655068376
PHTF1	GSM1415911	186.87167907648083
PHTF1	GSM1415912	47.30048407936611
PHTF1	GSM1415913	60.967246492188686
PHTF1	GSM1415914	147.84230895028057
PHTF1	GSM1415915	144.35554334371977
PHTF1	GSM1415916	99.82255712206346
PHTF1	GSM1415917	80.48372603650328
PHTF1	GSM1415918	102.8239830943362
PHTF1	GSM1415919	93.77241992391455
PHTF1	GSM1415920	110.5908460916592
PHTF1	GSM1415921	129.46903282914306
PHTF1	GSM2769390	155.26890181525943
PHTF1	GSM2769391	144.17821662523562
PHTF1	GSM2769392	157.0147340244614
PHTF1	GSM2769393	217.7175908146186
PHTF1	GSM2769394	233.0485143146466
PHTF1	GSM2769395	198.4343300849152
PHTF1	GSM2769396	608.1206885830385
PHTF1	GSM2769397	448.468500415801
PHTF1	GSM2769398	490.8922924274529
PHTF1	GSM3103946	63.60965026385555
PHTF1	GSM3103947	127.64970597057706
PHTF1	GSM3103948	221.14286465149735
PHTF1	GSM3103949	254.86582606146817
PHTF1	GSM3103950	198.71091644798523
PHTF1	GSM3103951	328
PHTF1	GSM3103952	8.043554728005638
PHTF1	GSM3103953	53.53621076245127
