Gene	sample	counts
PLA2G10	GSM1022678	40.599714528723894
PLA2G10	GSM1022679	22.86231486388751
PLA2G10	GSM1022680	21.647715756731326
PLA2G10	GSM1022681	34.02659084615223
PLA2G10	GSM1022682	40.46631391170554
PLA2G10	GSM1022683	21.43814237130163
PLA2G10	GSM1022684	30.676633329263996
PLA2G10	GSM1022685	25.927871590788907
PLA2G10	GSM1022686	22.269921440966616
PLA2G10	GSM1022687	23.286490979409404
PLA2G10	GSM1022688	22.250957762942175
PLA2G10	GSM1022689	21.592473203896475
PLA2G10	GSM1022690	23.16678414337276
PLA2G10	GSM1022691	22.94948646021945
PLA2G10	GSM1022692	25.57496181560311
PLA2G10	GSM1022693	29.391082329710287
PLA2G10	GSM1022694	22.145895397598444
PLA2G10	GSM1022695	37.07355940683384
PLA2G10	GSM1385778	23.149519238453564
PLA2G10	GSM1385779	22.854651516705328
PLA2G10	GSM1385780	22.616351624801865
PLA2G10	GSM1385781	21.337247232362355
PLA2G10	GSM1385782	24.263376684073055
PLA2G10	GSM1385783	22.524655234495302
PLA2G10	GSM1415906	28.176994529663055
PLA2G10	GSM1415907	28.395035611518026
PLA2G10	GSM1415908	24.578747754354776
PLA2G10	GSM1415909	28.384902712382907
PLA2G10	GSM1415910	24.359828717234336
PLA2G10	GSM1415911	28.283281157521422
PLA2G10	GSM1415912	28.380290447619664
PLA2G10	GSM1415913	28.69046893750056
PLA2G10	GSM1415914	27.293964729282564
PLA2G10	GSM1415915	26.650254155763648
PLA2G10	GSM1415916	26.61934856588359
PLA2G10	GSM1415917	27.205766547550407
PLA2G10	GSM1415918	29.70470622725268
PLA2G10	GSM1415919	32.019850705726924
PLA2G10	GSM1415920	29.04406058972868
PLA2G10	GSM1415921	28.051623779647663
PLA2G10	GSM2769390	11.540256215999014
PLA2G10	GSM2769391	20.895393713802267
PLA2G10	GSM2769392	11.36290838334918
PLA2G10	GSM2769393	11.296667447928323
PLA2G10	GSM2769394	22.388940239835044
PLA2G10	GSM2769395	11.428155135780456
PLA2G10	GSM2769396	21.427071242019817
PLA2G10	GSM2769397	22.004295581149112
PLA2G10	GSM2769398	22.07438574084906
PLA2G10	GSM3103946	20.19353976630335
PLA2G10	GSM3103947	31.000642878568712
PLA2G10	GSM3103948	11.276406696110348
PLA2G10	GSM3103949	27.596936579904195
PLA2G10	GSM3103950	21.886999492821563
PLA2G10	GSM3103951	18
PLA2G10	GSM3103952	25.136108525017622
PLA2G10	GSM3103953	30.30351552591581
PLA2G10	GSM3103954	25.109723863007403
PLA2G10	GSM3103955	15.49855933713563
PLA2G10	GSM3103956	16.349276771121307
PLA2G10	GSM3103957	20.266094958813724
PLA2G10	GSM3103958	26.5334895924472
PLA2G10	GSM3103959	21.06626838911422
PLA2G10	GSM3103960	31.06518225799454
PLA2G10	GSM3103961	28.580176128643092
PLA2G10	GSM3103962	31.228738152237295
PLA2G10	GSM3103963	28.62915168524824
PLA2G10	GSM3103964	18.18210931554949
PLA2G10	GSM3103965	26.070680361595407
PLA2G10	GSM4260265	13.145321666831869
PLA2G10	GSM4260266	9.070144168760848
PLA2G10	GSM4260267	13.272528791000916
PLA2G10	GSM4260268	13.275629106583848
PLA2G10	GSM4260269	9.101030918405872
PLA2G10	GSM4260270	9.075934602440649
PLA2G10	GSM4260271	7.267183834722703
PLA2G10	GSM4260272	9.286152532651574
PLA2G10	GSM4260273	9.052944223915029
PLA2G10	GSM4260274	5.715129524768692
PLA2G10	GSM4260275	7.210493611992429
PLA2G10	GSM4260276	13.112023066280004
PLA2G10	GSM4735785	21.35900814578899
PLA2G10	GSM4735786	19.989424894343284
PLA2G10	GSM4735787	19.78084192140715
PLA2G10	GSM4735788	20.169441642021216
PLA2G10	GSM4735789	20.010016303260524
PLA2G10	GSM4735790	20.18698109706453
PLA2G10	GSM4735791	20.65495133641178
PLA2G10	GSM4735792	21.270930418708843
PLA2G10	GSM4735793	20.806343292351748
PLA2G10	GSM4735794	20.387087592493486
PLA2G10	GSM4735795	110.09260232820264
PLA2G10	GSM4735796	18.152355380210043
PLA2G10	GSM4735797	17.866524579715318
PLA2G10	GSM4735798	18.29010224598615
PLA2G10	GSM4735799	18.084806483749716
PLA2G10	GSM4735800	18.137686043045708
PLA2G10	GSM4735801	17.37252089751168
PLA2G10	GSM4735802	19.76848823834412
PLA2G10	GSM4735803	18.52202335499684
PLA2G10	GSM4735804	20.101544797836045
PLA2G10	GSM5282507	2.821417314617107
PLA2G10	GSM5282508	10.086171589446156
PLA2G10	GSM5282509	6
PLA2G10	GSM5282510	1.0362709230555889
PLA2G10	GSM5282511	1.0176706758708058
PLA2G10	GSM5282512	1.0111785897562977
PLA2G10	GSM5282513	1.0031556375768678
PLA2G10	GSM5282514	2.8790810159515665
PLA2G10	GSM5282515	1.0116194403019223
PLA2G10	GSM5282516	1.0205188304787385
PLA2G10	GSM5282517	1.015616606598635
PLA2G10	GSM5282518	27.759762407490864
PLA2G10	GSM5282519	1.0438859933835571
PLA2G10	GSM5282520	1.0134855975762167
PLA2G10	GSM5282521	1.0101171841971937
PLA2G10	GSM5282522	1.0111785897562977
PLA2G10	GSM5282523	3.863211654201956
PLA2G10	GSM5282524	1
PLA2G10	GSM5282525	12
PLA2G10	GSM5282526	7.6876590167891745
PLA2G10	GSM5282527	1
PLA2G10	GSM5282528	16.10113973123603
PLA2G10	GSM5282529	31
PLA2G10	GSM5282530	1.005882691546114
PLA2G10	GSM5282531	1.0128631629599931
PLA2G10	GSM5282532	1
PLA2G10	GSM5282533	6.2771374465326755
PLA2G10	GSM5282534	14
