Gene	sample	counts
PLCG2	GSM1022678	3033.972101971073
PLCG2	GSM1022679	2514.623359438779
PLCG2	GSM1022680	2952.952263362392
PLCG2	GSM1022681	2915.9731766366663
PLCG2	GSM1022682	2507.868858857051
PLCG2	GSM1022683	3059.054622391764
PLCG2	GSM1022684	2546.6655747572277
PLCG2	GSM1022685	2710.52045920795
PLCG2	GSM1022686	2724.8939185605796
PLCG2	GSM1022687	2573.8903167064677
PLCG2	GSM1022688	2664.6854207571696
PLCG2	GSM1022689	2786.4048710314237
PLCG2	GSM1022690	2660.385217243804
PLCG2	GSM1022691	2750.4195246894624
PLCG2	GSM1022692	2883.829480544436
PLCG2	GSM1022693	2841.9198219322143
PLCG2	GSM1022694	2711.575630596494
PLCG2	GSM1022695	3044.2750433300967
PLCG2	GSM1385778	3093
PLCG2	GSM1385779	1790.7334906324609
PLCG2	GSM1385780	3426.1163641188705
PLCG2	GSM1385781	2565.998745482833
PLCG2	GSM1385782	2100.5152795001613
PLCG2	GSM1385783	3826.077210640212
PLCG2	GSM1415906	2796
PLCG2	GSM1415907	2743.558474246116
PLCG2	GSM1415908	2851.812995837823
PLCG2	GSM1415909	2862.274975881995
PLCG2	GSM1415910	2897.032875181834
PLCG2	GSM1415911	2708.184858569054
PLCG2	GSM1415912	2838.586640369431
PLCG2	GSM1415913	2878.665327966228
PLCG2	GSM1415914	2898.9281681864836
PLCG2	GSM1415915	2745.4178446418946
PLCG2	GSM1415916	2762.5024410734263
PLCG2	GSM1415917	2836.0731349502007
PLCG2	GSM1415918	2904.0212477504156
PLCG2	GSM1415919	2897.2330248890366
PLCG2	GSM1415920	2932.5981536075897
PLCG2	GSM1415921	2731.086323013509
PLCG2	GSM2769390	2907.9753093490804
PLCG2	GSM2769391	2841.5890366621816
PLCG2	GSM2769392	2850.6812165133533
PLCG2	GSM2769393	2811.328644524007
PLCG2	GSM2769394	2852.5204051496303
PLCG2	GSM2769395	2847.3698976224605
PLCG2	GSM2769396	2729.594514854887
PLCG2	GSM2769397	2756.5943787279048
PLCG2	GSM2769398	2753.21196550135
PLCG2	GSM3103946	2515.948984056751
PLCG2	GSM3103947	2377.8481116834637
PLCG2	GSM3103948	2793.982088249062
PLCG2	GSM3103949	3000.936968133723
PLCG2	GSM3103950	2016.9763542517371
PLCG2	GSM3103951	2749
PLCG2	GSM3103952	2371.743938259149
PLCG2	GSM3103953	2345.256339213078
PLCG2	GSM3103954	2560.7392384914056
PLCG2	GSM3103955	1836.000962734873
PLCG2	GSM3103956	2517.2789551005953
PLCG2	GSM3103957	2302.5925309773406
PLCG2	GSM3103958	2336.484291001558
PLCG2	GSM3103959	2352.1087012386783
PLCG2	GSM3103960	2584
PLCG2	GSM3103961	2455.987761849231
PLCG2	GSM3103962	2500.8528050880795
PLCG2	GSM3103963	2381.1305087254696
PLCG2	GSM3103964	2695.4042624772987
PLCG2	GSM3103965	2615
PLCG2	GSM4260265	2831.6771182154766
PLCG2	GSM4260266	2810.6183929318963
PLCG2	GSM4260267	2925.194608120419
PLCG2	GSM4260268	2925.321051062066
PLCG2	GSM4260269	2830.878760152815
PLCG2	GSM4260270	2842.2041505269945
PLCG2	GSM4260271	3027.98046060519
PLCG2	GSM4260272	2969.3265900662705
PLCG2	GSM4260273	2800.364416364505
PLCG2	GSM4260274	2147.5713256007775
PLCG2	GSM4260275	2947.5606646375577
PLCG2	GSM4260276	2821.450389630795
PLCG2	GSM4735785	3002.366399331419
PLCG2	GSM4735786	4184.685067487559
PLCG2	GSM4735787	5360.385960342053
PLCG2	GSM4735788	4311.395758651487
PLCG2	GSM4735789	3520.8391789450775
PLCG2	GSM4735790	3733.757694659869
PLCG2	GSM4735791	3751.485084397301
PLCG2	GSM4735792	3889.929649309952
PLCG2	GSM4735793	2503.0745074226625
PLCG2	GSM4735794	3364.7170148659143
PLCG2	GSM4735795	2330.1040871790715
PLCG2	GSM4735796	2402.286551476613
PLCG2	GSM4735797	2219.1375235722776
PLCG2	GSM4735798	1705.3503140248324
PLCG2	GSM4735799	2229.042711356464
PLCG2	GSM4735800	1707.0937818642458
PLCG2	GSM4735801	2214.113033644535
PLCG2	GSM4735802	2214.282924674682
PLCG2	GSM4735803	1889.4685673321128
PLCG2	GSM4735804	1648.5705529628676
PLCG2	GSM5282507	2633
PLCG2	GSM5282508	2498.443927251346
PLCG2	GSM5282509	2548.70286134221
PLCG2	GSM5282510	2902.667994217903
PLCG2	GSM5282511	2546.9843766557938
PLCG2	GSM5282512	3296.776713380073
PLCG2	GSM5282513	2558.2645274584097
PLCG2	GSM5282514	2594
PLCG2	GSM5282515	2745.4683908018333
PLCG2	GSM5282516	2563.19601192842
PLCG2	GSM5282517	2637.128131470438
PLCG2	GSM5282518	2713
PLCG2	GSM5282519	2567.5357916022836
PLCG2	GSM5282520	2583.432004941076
PLCG2	GSM5282521	2772.1163503782254
PLCG2	GSM5282522	2580.50567218138
PLCG2	GSM5282523	3503
PLCG2	GSM5282524	7183.231302533768
PLCG2	GSM5282525	2994
PLCG2	GSM5282526	3657
PLCG2	GSM5282527	3263.6977229389076
PLCG2	GSM5282528	2478.1003240555833
PLCG2	GSM5282529	2519
PLCG2	GSM5282530	2511.210142521658
PLCG2	GSM5282531	2870.876516465796
PLCG2	GSM5282532	2528.8739786739116
PLCG2	GSM5282533	3232.047641986476
PLCG2	GSM5282534	3387.237136069517
PLCG2	GSM5282535	2682
PLCG2	GSM5282536	2477.5169714580697
PLCG2	GSM4260927	3403
PLCG2	GSM4260928	1749.855455288455
PLCG2	GSM4260929	1823.3910985614111
PLCG2	GSM4260930	2665
PLCG2	GSM4260931	3058.6254894269728
PLCG2	GSM4260932	1763
PLCG2	GSM4260933	2303.020004188592
PLCG2	GSM4260934	2147
PLCG2	GSM4260935	2766.051530513121
PLCG2	GSM4260936	3387.788850469685
