Gene	sample	counts
POMC	GSM1022678	2.0236111153852674
POMC	GSM1022679	14.13532852739565
POMC	GSM1022680	5.120175816295284
POMC	GSM1022681	3.0762531058041787
POMC	GSM1022682	9.095852404310344
POMC	GSM1022683	4.062041774139546
POMC	GSM1022684	8.360876636577393
POMC	GSM1022685	5.149694063003557
POMC	GSM1022686	10.512971560936307
POMC	GSM1022687	5.436350340122817
POMC	GSM1022688	4.189733197103755
POMC	GSM1022689	6.135489343088741
POMC	GSM1022690	4.351832287473574
POMC	GSM1022691	11.836288506687447
POMC	GSM1022692	17.293802438275144
POMC	GSM1022693	10.096136609284548
POMC	GSM1022694	9.400311722530562
POMC	GSM1022695	24.548269594976585
POMC	GSM1385778	1.0030314290996496
POMC	GSM1385779	1.077256250738088
POMC	GSM1385780	1.0665550545786855
POMC	GSM1385781	1.0118859036434402
POMC	GSM1385782	1.0069631126805123
POMC	GSM1385783	1.06319017904285
POMC	GSM1415906	50.07572837961645
POMC	GSM1415907	42.31902409899248
POMC	GSM1415908	9.136647352846015
POMC	GSM1415909	16.121532990092373
POMC	GSM1415910	76.64510520470131
POMC	GSM1415911	8.03640470397001
POMC	GSM1415912	4.536803766647824
POMC	GSM1415913	1.1473079818540426
POMC	GSM1415914	3.282676810073625
POMC	GSM1415915	1.0757363896737755
POMC	GSM1415916	16.140393418210156
POMC	GSM1415917	2.190773434426385
POMC	GSM1415918	3.30728958529431
POMC	GSM1415919	1.102372776327608
POMC	GSM1415920	3.2470223954270976
POMC	GSM1415921	1.0549402171424924
POMC	GSM2769390	1.0754464105331571
POMC	GSM2769391	1.0585243543160967
POMC	GSM2769392	1.0476453445591134
POMC	GSM2769393	1.0359543069535193
POMC	GSM2769394	1.0203663161311838
POMC	GSM2769395	1.059075372841705
POMC	GSM2769396	1.0181834902363824
POMC	GSM2769397	1.045256860312832
POMC	GSM2769398	1.0492468388860623
POMC	GSM3103946	34.31014405068289
POMC	GSM3103947	44.962647576022135
POMC	GSM3103948	18.62151836460641
POMC	GSM3103949	31.86563337400032
POMC	GSM3103950	15.37197238875476
POMC	GSM3103951	15
POMC	GSM3103952	30.090942872989487
POMC	GSM3103953	41.37399723758819
POMC	GSM3103954	53.16066574228143
POMC	GSM3103955	61.173950339927835
POMC	GSM3103956	78.04977824295545
POMC	GSM3103957	42.678237555625905
POMC	GSM3103958	61.39344418961629
POMC	GSM3103959	48.07269924443179
POMC	GSM3103960	75
POMC	GSM3103961	16.04119002650607
POMC	GSM3103962	40.303832475230934
POMC	GSM3103963	55.43244349280231
POMC	GSM3103964	126.25195624532071
POMC	GSM3103965	55.0833012175781
POMC	GSM4260265	8.171311699851682
POMC	GSM4260266	10.124412995178409
POMC	GSM4260267	5.272543978312288
POMC	GSM4260268	4.204365918769909
POMC	GSM4260269	8.14661581161668
POMC	GSM4260270	13.185840677446182
POMC	GSM4260271	4.36212772763033
POMC	GSM4260272	7.501952724290926
POMC	GSM4260273	4.036487535374458
POMC	GSM4260274	7.2344659862615615
