Gene	sample	counts
PPP1R8	GSM1022678	860.0347240387387
PPP1R8	GSM1022679	65.23997781874915
PPP1R8	GSM1022680	646.166188016465
PPP1R8	GSM1022681	829.5629208651935
PPP1R8	GSM1022682	96.01177537883142
PPP1R8	GSM1022683	836.7806054727464
PPP1R8	GSM1022684	514.1939131495097
PPP1R8	GSM1022685	725.0769240709009
PPP1R8	GSM1022686	865.2175594650581
PPP1R8	GSM1022687	429.47167686970255
PPP1R8	GSM1022688	526.8589495357973
PPP1R8	GSM1022689	852.8330186893351
PPP1R8	GSM1022690	411.24815116625274
PPP1R8	GSM1022691	579.978136827685
PPP1R8	GSM1022692	1030.5071688219248
PPP1R8	GSM1022693	921.7772724276792
PPP1R8	GSM1022694	692.4896302264181
PPP1R8	GSM1022695	887.8290836849866
PPP1R8	GSM1385778	1005.0374919578488
PPP1R8	GSM1385779	502.001412843949
PPP1R8	GSM1385780	392.49226008495634
PPP1R8	GSM1385781	705.2844748394779
PPP1R8	GSM1385782	999.9143708917488
PPP1R8	GSM1385783	378.49570373925457
PPP1R8	GSM1415906	1058.6008979450917
PPP1R8	GSM1415907	1021.702153247104
PPP1R8	GSM1415908	908.5888200885762
PPP1R8	GSM1415909	993.4894705144424
PPP1R8	GSM1415910	1007.4797381512712
PPP1R8	GSM1415911	1010.5778915242288
PPP1R8	GSM1415912	445.74097007314873
PPP1R8	GSM1415913	426.79856924970386
PPP1R8	GSM1415914	515.380259181559
PPP1R8	GSM1415915	555.0799770716682
PPP1R8	GSM1415916	479.9076976347821
PPP1R8	GSM1415917	452.3947142090486
PPP1R8	GSM1415918	404.59175926767057
PPP1R8	GSM1415919	482.8392760314922
PPP1R8	GSM1415920	468.65356573997775
PPP1R8	GSM1415921	493.7120216226865
PPP1R8	GSM2769390	445.2348139607271
PPP1R8	GSM2769391	837.2927642640325
PPP1R8	GSM2769392	610.7772358779631
PPP1R8	GSM2769393	767.6421414525578
PPP1R8	GSM2769394	1057.0995035119065
PPP1R8	GSM2769395	660.863032653224
PPP1R8	GSM2769396	866.4741501911614
PPP1R8	GSM2769397	405.5596618013788
PPP1R8	GSM2769398	349.39919734905874
PPP1R8	GSM3103946	416.76733802741273
PPP1R8	GSM3103947	632.2298812220255
PPP1R8	GSM3103948	508.51069380271343
PPP1R8	GSM3103949	808.6981010320621
PPP1R8	GSM3103950	605.522042791818
PPP1R8	GSM3103951	537
PPP1R8	GSM3103952	319.9670258827882
PPP1R8	GSM3103953	622.6282023315101
PPP1R8	GSM3103954	577.7461031613982
PPP1R8	GSM3103955	746.3221941471196
PPP1R8	GSM3103956	404.6264819437427
PPP1R8	GSM3103957	687.9325434561605
PPP1R8	GSM3103958	432.82378153679485
PPP1R8	GSM3103959	466.7057884980253
PPP1R8	GSM3103960	621
PPP1R8	GSM3103961	466.9768652160656
PPP1R8	GSM3103962	737.5601342967261
PPP1R8	GSM3103963	554.324434928023
PPP1R8	GSM3103964	465.6172146327428
PPP1R8	GSM3103965	717.0844303961076
PPP1R8	GSM4260265	580.1631306894694
PPP1R8	GSM4260266	1165.3199357450349
PPP1R8	GSM4260267	448.1662381565445
PPP1R8	GSM4260268	516.0859165290063
PPP1R8	GSM4260269	1093.6831727095391
PPP1R8	GSM4260270	661.3206247457623
PPP1R8	GSM4260271	374.0524526443008
PPP1R8	GSM4260272	610.8732932636897
PPP1R8	GSM4260273	672.0751746398472
PPP1R8	GSM4260274	312.52893060649944
PPP1R8	GSM4260275	575.3308908537433
PPP1R8	GSM4260276	669.4485895630459
PPP1R8	GSM4735785	742.0480702542891
PPP1R8	GSM4735786	572.4625735431897
PPP1R8	GSM4735787	796.4324458675732
PPP1R8	GSM4735788	583.1400848711813
PPP1R8	GSM4735789	608.9666356383957
PPP1R8	GSM4735790	508.1840923773728
PPP1R8	GSM4735791	960.4882593791976
PPP1R8	GSM4735792	624.9296076041819
PPP1R8	GSM4735793	677.7235088710427
PPP1R8	GSM4735794	849.3798976834347
PPP1R8	GSM4735795	706.0580410612525
PPP1R8	GSM4735796	503.4815399289881
PPP1R8	GSM4735797	481.20956945828493
PPP1R8	GSM4735798	568.1885401095666
PPP1R8	GSM4735799	531.2672285485233
PPP1R8	GSM4735800	432.5815866374205
PPP1R8	GSM4735801	488.27748954884106
PPP1R8	GSM4735802	1086.5854472937506
PPP1R8	GSM4735803	997.12214464258
PPP1R8	GSM4735804	844.7296641549226
PPP1R8	GSM5282507	922
PPP1R8	GSM5282508	300.0199196256078
PPP1R8	GSM5282509	692.1353551294171
PPP1R8	GSM5282510	1415.4336417266447
PPP1R8	GSM5282511	765.2628028095252
PPP1R8	GSM5282512	385.1225678515923
PPP1R8	GSM5282513	485.70754034265025
PPP1R8	GSM5282514	532
PPP1R8	GSM5282515	525.012938977415
PPP1R8	GSM5282516	611.9198645368668
PPP1R8	GSM5282517	880.082405227185
PPP1R8	GSM5282518	678
PPP1R8	GSM5282519	320.64159969045625
PPP1R8	GSM5282520	525.8917831112074
PPP1R8	GSM5282521	838.3462949207889
PPP1R8	GSM5282522	575.7357962437977
PPP1R8	GSM5282523	787
PPP1R8	GSM5282524	792.3498094421456
PPP1R8	GSM5282525	461
PPP1R8	GSM5282526	818
PPP1R8	GSM5282527	740.1178878201765
PPP1R8	GSM5282528	759.7093037445247
PPP1R8	GSM5282529	837
PPP1R8	GSM5282530	922.2068472916131
PPP1R8	GSM5282531	611.3231052458825
PPP1R8	GSM5282532	550.4937222219457
PPP1R8	GSM5282533	843.9393423004188
PPP1R8	GSM5282534	423.65415601444647
PPP1R8	GSM5282535	783.1843918572013
PPP1R8	GSM5282536	547.8903801298682
PPP1R8	GSM4260927	726
PPP1R8	GSM4260928	712.5393047987343
PPP1R8	GSM4260929	729.8753394107963
PPP1R8	GSM4260930	1371
PPP1R8	GSM4260931	736.2250689591428
PPP1R8	GSM4260932	936.4161206988276
PPP1R8	GSM4260933	839.8177291187894
PPP1R8	GSM4260934	662
