Gene	sample	counts
PRELID1P3	GSM1022678	1.010650267145594
PRELID1P3	GSM1022679	3.242488929354492
PRELID1P3	GSM1022680	1.0228445664573578
PRELID1P3	GSM1022681	1.023487244357908
PRELID1P3	GSM1022682	1.0091218838436145
PRELID1P3	GSM1022683	1.0152493201196748
PRELID1P3	GSM1022684	1.0419408454465733
PRELID1P3	GSM1022685	2.0536521243909864
PRELID1P3	GSM1022686	1.048277755164012
PRELID1P3	GSM1022687	1.080412911353207
PRELID1P3	GSM1022688	1.0432607562473546
PRELID1P3	GSM1022689	1.0212700412974676
PRELID1P3	GSM1022690	2.15968677010383
PRELID1P3	GSM1022691	1.067908644246083
PRELID1P3	GSM1022692	1.0172824963691265
PRELID1P3	GSM1022693	1.0091218838436145
PRELID1P3	GSM1022694	1.0423146986582486
PRELID1P3	GSM1022695	2.045163114362914
PRELID1P3	GSM1385778	1.001514567592329
PRELID1P3	GSM1385779	1.052358251410889
PRELID1P3	GSM1385780	1.0469231004598798
PRELID1P3	GSM1385781	1.0080868452623672
PRELID1P3	GSM1385782	2.0100802746874153
PRELID1P3	GSM1385783	1.0443602353553707
PRELID1P3	GSM1415906	2.003029135184658
PRELID1P3	GSM1415907	2.0139262253610246
PRELID1P3	GSM1415908	1.013974710299226
PRELID1P3	GSM1415909	2.0139262253610246
PRELID1P3	GSM1415910	1.0075958118807733
PRELID1P3	GSM1415911	1.0045505879962513
PRELID1P3	GSM1415912	2.2471850068657813
PRELID1P3	GSM1415913	1.1334188904283546
PRELID1P3	GSM1415914	1.086773852521356
PRELID1P3	GSM1415915	1.0718539595694612
PRELID1P3	GSM1415916	1.0717564809270177
PRELID1P3	GSM1415917	1.087295576280627
PRELID1P3	GSM1415918	1.0934321088575003
PRELID1P3	GSM1415919	1.0935295718899114
PRELID1P3	GSM1415920	1.0760262278806771
PRELID1P3	GSM1415921	1.0522929992388903
PRELID1P3	GSM2769390	1.0476453445591134
PRELID1P3	GSM2769391	1.0368437150858465
PRELID1P3	GSM2769392	1.033326703689763
PRELID1P3	GSM2769393	1.0303488943225554
PRELID1P3	GSM2769394	1.0155104435348865
PRELID1P3	GSM2769395	1.0397118660865767
PRELID1P3	GSM2769396	1.0223186155344817
PRELID1P3	GSM2769397	1.0460250461958456
PRELID1P3	GSM2769398	1.0481558953476182
PRELID1P3	GSM3103946	44.30637695794254
PRELID1P3	GSM3103947	58.285653014347446
PRELID1P3	GSM3103948	38.61899563660692
PRELID1P3	GSM3103949	36.01697356542498
PRELID1P3	GSM3103950	28.973050168836117
PRELID1P3	GSM3103951	35
PRELID1P3	GSM3103952	64
PRELID1P3	GSM3103953	46.320303183303565
PRELID1P3	GSM3103954	66
PRELID1P3	GSM3103955	32.081338282877155
PRELID1P3	GSM3103956	23.524786947515764
PRELID1P3	GSM3103957	33.46977169414468
PRELID1P3	GSM3103958	29.55763796665095
PRELID1P3	GSM3103959	46
PRELID1P3	GSM3103960	40
PRELID1P3	GSM3103961	38.98354898518013
PRELID1P3	GSM3103962	50.30360238808427
PRELID1P3	GSM3103963	35.79319655933362
PRELID1P3	GSM3103964	51.355118746706125
PRELID1P3	GSM3103965	50
PRELID1P3	GSM4260265	1.0263259010476733
PRELID1P3	GSM4260266	1.017949289364482
PRELID1P3	GSM4260267	2.0755803641855257
PRELID1P3	GSM4260268	1.038948316513042
PRELID1P3	GSM4260269	2.0469189685484124
PRELID1P3	GSM4260270	2.043878895977324
PRELID1P3	GSM4260271	2.101346284728083
PRELID1P3	GSM4260272	1.0485732304058435
PRELID1P3	GSM4260273	1.017048502742336
PRELID1P3	GSM4260274	1.2029807617416126
PRELID1P3	GSM4260275	1.0472567835878563
PRELID1P3	GSM4260276	1.022581557181457
PRELID1P3	GSM4735785	1.0764546598252551
PRELID1P3	GSM4735786	1.0407613618149296
PRELID1P3	GSM4735787	1.0355419942618784
PRELID1P3	GSM4735788	1.046061014447033
PRELID1P3	GSM4735789	1.0406685081874067
PRELID1P3	GSM4735790	1.0412038995555892
