Gene	sample	counts
PRKAG2-AS1	GSM1022678	47.50056255584291
PRKAG2-AS1	GSM1022679	11.889126074299805
PRKAG2-AS1	GSM1022680	20.456891329147155
PRKAG2-AS1	GSM1022681	33.77507906381096
PRKAG2-AS1	GSM1022682	20.182437676872286
PRKAG2-AS1	GSM1022683	36.5489755243083
PRKAG2-AS1	GSM1022684	3.1258225363397196
PRKAG2-AS1	GSM1022685	24.64382549269184
PRKAG2-AS1	GSM1022686	14.675888572296168
PRKAG2-AS1	GSM1022687	21.60825822706414
PRKAG2-AS1	GSM1022688	11.4758683187209
PRKAG2-AS1	GSM1022689	14.297780578164549
PRKAG2-AS1	GSM1022690	5.399216925259575
PRKAG2-AS1	GSM1022691	25.62980746190599
PRKAG2-AS1	GSM1022692	27.46662740196641
PRKAG2-AS1	GSM1022693	25.22804709609036
PRKAG2-AS1	GSM1022694	41.692587946329944
PRKAG2-AS1	GSM1022695	29.65486515826225
PRKAG2-AS1	GSM1385778	24.036349622215894
PRKAG2-AS1	GSM1385779	14.733015519752444
PRKAG2-AS1	GSM1385780	28.266923712416755
PRKAG2-AS1	GSM1385781	27.21834482208391
PRKAG2-AS1	GSM1385782	23.115923158905275
PRKAG2-AS1	GSM1385783	17.754124001041305
PRKAG2-AS1	GSM1415906	43.06512640647015
PRKAG2-AS1	GSM1415907	32.222819605776394
PRKAG2-AS1	GSM1415908	27.377317178079103
PRKAG2-AS1	GSM1415909	26.18104092969332
PRKAG2-AS1	GSM1415910	45.3418115346348
PRKAG2-AS1	GSM1415911	49.22297881181632
PRKAG2-AS1	GSM1415912	10.112332530896015
PRKAG2-AS1	GSM1415913	15.867864465996965
PRKAG2-AS1	GSM1415914	22.822250902948475
PRKAG2-AS1	GSM1415915	19.2933712722503
PRKAG2-AS1	GSM1415916	12.861077771124211
PRKAG2-AS1	GSM1415917	9.78566018652564
PRKAG2-AS1	GSM1415918	15.308049524005009
PRKAG2-AS1	GSM1415919	12.028825290789026
