Gene	sample	counts
PRPF38A	GSM1022678	1532.2744807809252
PRPF38A	GSM1022679	348.21739837289573
PRPF38A	GSM1022680	1287.7263811705368
PRPF38A	GSM1022681	1432.389913663868
PRPF38A	GSM1022682	321.1849766880959
PRPF38A	GSM1022683	1572.6483133357326
PRPF38A	GSM1022684	900.1777206293531
PRPF38A	GSM1022685	1061.8003922494547
PRPF38A	GSM1022686	1144.202405296186
PRPF38A	GSM1022687	839.6715410437018
PRPF38A	GSM1022688	924.6112074387815
PRPF38A	GSM1022689	1414.1336556901877
PRPF38A	GSM1022690	878.8448870175669
PRPF38A	GSM1022691	1061.7349375167362
PRPF38A	GSM1022692	1678.677343854619
PRPF38A	GSM1022693	1646.861273674701
PRPF38A	GSM1022694	1342.7199864443771
PRPF38A	GSM1022695	1412.97883661607
PRPF38A	GSM1385778	1748
PRPF38A	GSM1385779	925.4477302154517
PRPF38A	GSM1385780	739.0500843916275
PRPF38A	GSM1385781	1300.132907177083
PRPF38A	GSM1385782	1550.0215572782158
PRPF38A	GSM1385783	735.115613741849
PRPF38A	GSM1415906	1800
PRPF38A	GSM1415907	1729.4378501023373
PRPF38A	GSM1415908	1499.3546123765466
PRPF38A	GSM1415909	1609.7152764186967
PRPF38A	GSM1415910	1658.468246584804
PRPF38A	GSM1415911	1714.1807123313013
PRPF38A	GSM1415912	859.1289443698101
PRPF38A	GSM1415913	813.2188921974039
PRPF38A	GSM1415914	948.60711351716
PRPF38A	GSM1415915	934.196159927661
PRPF38A	GSM1415916	890.8644882343953
PRPF38A	GSM1415917	844.9526755044917
PRPF38A	GSM1415918	832.87362225442
PRPF38A	GSM1415919	885.2428352221283
PRPF38A	GSM1415920	900.7975779903044
PRPF38A	GSM1415921	938.2902353543092
PRPF38A	GSM2769390	1225.5755158816996
PRPF38A	GSM2769391	1004.5740369679156
PRPF38A	GSM2769392	1213.966406006968
PRPF38A	GSM2769393	1216.1817006427032
PRPF38A	GSM2769394	1267.3468652587803
PRPF38A	GSM2769395	1320.6270836382746
PRPF38A	GSM2769396	1170.15691551989
PRPF38A	GSM2769397	1037.4140853973863
PRPF38A	GSM2769398	981.5385968726956
PRPF38A	GSM3103946	947.3946796648868
PRPF38A	GSM3103947	1198.42853970861
PRPF38A	GSM3103948	927.119390296126
PRPF38A	GSM3103949	1194.1034137532947
PRPF38A	GSM3103950	1003.3847152903523
PRPF38A	GSM3103951	1139
PRPF38A	GSM3103952	865.6701810942586
PRPF38A	GSM3103953	848.4131459685552
PRPF38A	GSM3103954	1042.149654834536
PRPF38A	GSM3103955	1177.3035440964636
PRPF38A	GSM3103956	735.9623241535427
PRPF38A	GSM3103957	1014.11621620273
PRPF38A	GSM3103958	836.1639977179755
PRPF38A	GSM3103959	1109.3527605842123
PRPF38A	GSM3103960	890
PRPF38A	GSM3103961	1292.5375541652038
PRPF38A	GSM3103962	1030.7705155540311
PRPF38A	GSM3103963	868.0134943369378
PRPF38A	GSM3103964	796.3924105107279
PRPF38A	GSM3103965	1322
PRPF38A	GSM4260265	1159.1541584637455
PRPF38A	GSM4260266	1531.1351547255747
PRPF38A	GSM4260267	1053.1942767290127
PRPF38A	GSM4260268	1152.11355394496
PRPF38A	GSM4260269	1495.1752906153367
PRPF38A	GSM4260270	1404.9071798188988
PRPF38A	GSM4260271	942.061274521076
PRPF38A	GSM4260272	967.6442796807842
PRPF38A	GSM4260273	1230.508923695586
PRPF38A	GSM4260274	658.5998814962898
PRPF38A	GSM4260275	944.264697172022
PRPF38A	GSM4260276	1102.9030365772833
PRPF38A	GSM4735785	1255.261740193468
PRPF38A	GSM4735786	1529.2745226228053
PRPF38A	GSM4735787	1268.313357601351
PRPF38A	GSM4735788	980.9941812781692
PRPF38A	GSM4735789	1799.240159084632
PRPF38A	GSM4735790	1080.804916199974
