Gene	sample	counts
PRSS16	GSM1022678	62.62097029767908
PRSS16	GSM1022679	1.0522644578555964
PRSS16	GSM1022680	35.64672149908458
PRSS16	GSM1022681	27.53647114020337
PRSS16	GSM1022682	1.001514567592329
PRSS16	GSM1022683	45.58848483577337
PRSS16	GSM1022684	10.272349045407548
PRSS16	GSM1022685	47.933857169983646
PRSS16	GSM1022686	24.75945809271724
PRSS16	GSM1022687	2.109370402846435
PRSS16	GSM1022688	20.5940381557825
PRSS16	GSM1022689	42.705053321198605
PRSS16	GSM1022690	5.261322289277982
PRSS16	GSM1022691	2.0855051797066526
PRSS16	GSM1022692	76.04810327244195
PRSS16	GSM1022693	94.65453259196816
PRSS16	GSM1022694	30.828481105383
PRSS16	GSM1022695	57.97176465631315
PRSS16	GSM1385778	44.13338288038458
PRSS16	GSM1385779	1.0454041618088412
PRSS16	GSM1385780	9.376468692392407
PRSS16	GSM1385781	1.0121809652873912
PRSS16	GSM1385782	1.0075958118807733
PRSS16	GSM1385783	26.01671270468517
PRSS16	GSM1415906	91
PRSS16	GSM1415907	63.342739238811824
PRSS16	GSM1415908	91.03908482403696
PRSS16	GSM1415909	69.37538107107962
PRSS16	GSM1415910	53.32181853136933
PRSS16	GSM1415911	108.32739434276216
PRSS16	GSM1415912	7.5798684241965395
PRSS16	GSM1415913	3.268370886462425
PRSS16	GSM1415914	2.114947514718142
PRSS16	GSM1415915	14.647719890893496
PRSS16	GSM1415916	5.2349374853660136
PRSS16	GSM1415917	8.460544121960725
PRSS16	GSM1415918	4.259201809730042
PRSS16	GSM1415919	5.311720210850059
PRSS16	GSM1415920	7.346161992626987
PRSS16	GSM1415921	23.766685492997716
PRSS16	GSM2769390	1.0456446792577374
PRSS16	GSM2769391	24.81892030848952
PRSS16	GSM2769392	1.0321468400650773
PRSS16	GSM2769393	1.029701907789125
PRSS16	GSM2769394	95.43015466334644
PRSS16	GSM2769395	1.0383783796594372
PRSS16	GSM2769396	1.0214825905550386
PRSS16	GSM2769397	1.0456446792577374
PRSS16	GSM2769398	1.047526139363344
PRSS16	GSM3103946	16
PRSS16	GSM3103947	2.394040230598686
PRSS16	GSM3103948	8.321179366234047
