Gene	sample	counts
PTER	GSM1022678	397.1855549882184
PTER	GSM1022679	108.0829643118164
PTER	GSM1022680	422.43480594688873
PTER	GSM1022681	384.8312038785734
PTER	GSM1022682	102.93043215204868
PTER	GSM1022683	520.8229012213932
PTER	GSM1022684	320.91778039754456
PTER	GSM1022685	448.72298917943056
PTER	GSM1022686	386.8144916555204
PTER	GSM1022687	271.183640749655
PTER	GSM1022688	334.8867027554008
PTER	GSM1022689	413.6143667254744
PTER	GSM1022690	275.3600631882383
PTER	GSM1022691	259.50180055179817
PTER	GSM1022692	534.0733105937912
PTER	GSM1022693	466.2143103357499
PTER	GSM1022694	413.7989353673247
PTER	GSM1022695	306.77446715443705
PTER	GSM1385778	390.5906813610083
PTER	GSM1385779	176.79618623702933
PTER	GSM1385780	137.14692616024425
PTER	GSM1385781	296.377532507136
PTER	GSM1385782	520.6107911440406
PTER	GSM1385783	186.94048212861136
PTER	GSM1415906	479.7254778767256
PTER	GSM1415907	525.6347448192274
PTER	GSM1415908	416.7436059329819
PTER	GSM1415909	612.2335725097515
PTER	GSM1415910	489.6915645740558
PTER	GSM1415911	460.0841693022831
PTER	GSM1415912	224.71850068657812
PTER	GSM1415913	225.55035919524255
PTER	GSM1415914	283.6479755080739
PTER	GSM1415915	247.5982646605455
PTER	GSM1415916	301.163571140492
PTER	GSM1415917	294.6571011720498
PTER	GSM1415918	250.3959529283676
PTER	GSM1415919	277.7565112600375
PTER	GSM1415920	313.123632313277
PTER	GSM1415921	325.1585367648171
PTER	GSM2769390	75.43046480825616
PTER	GSM2769391	245.73196047534557
PTER	GSM2769392	51.66633518448817
PTER	GSM2769393	133.9453562619322
PTER	GSM2769394	509.786242654513
PTER	GSM2769395	89.4152204834456
PTER	GSM2769396	154.37011094570673
PTER	GSM2769397	69.0376530489258
PTER	GSM2769398	75.46722446502851
PTER	GSM3103946	279.93574532518244
PTER	GSM3103947	336.2633827750814
PTER	GSM3103948	368.25970839193025
PTER	GSM3103949	373.5714002367335
PTER	GSM3103950	334.799690839884
PTER	GSM3103951	517
PTER	GSM3103952	233
PTER	GSM3103953	397.7504295088024
PTER	GSM3103954	211
PTER	GSM3103955	351.842873954833
PTER	GSM3103956	273.0920919559439
PTER	GSM3103957	329.626539412031
PTER	GSM3103958	270.09565728146555
PTER	GSM3103959	303
PTER	GSM3103960	262
PTER	GSM3103961	256.42512221362927
PTER	GSM3103962	283.7123174687953
PTER	GSM3103963	241.34841108579243
PTER	GSM3103964	233.61544214187884
PTER	GSM3103965	246
PTER	GSM4260265	1.0263259010476733
PTER	GSM4260266	163.88983558768163
PTER	GSM4260267	1.0377901820927629
PTER	GSM4260268	1.038948316513042
PTER	GSM4260269	68.5717854463718
PTER	GSM4260270	68.46994301524035
PTER	GSM4260271	1.0506731423640414
