Gene	sample	counts
PTGES	GSM1022678	445.04569677469584
PTGES	GSM1022679	247.8630876368386
PTGES	GSM1022680	1201.4195174498964
PTGES	GSM1022681	257.4980302647542
PTGES	GSM1022682	240.94205267873056
PTGES	GSM1022683	987.200398620589
PTGES	GSM1022684	66.92264700225053
PTGES	GSM1022685	350.75370936279376
PTGES	GSM1022686	435.36738186099
PTGES	GSM1022687	15.838868118947856
PTGES	GSM1022688	51.14042051565322
PTGES	GSM1022689	314.20357416751267
PTGES	GSM1022690	3.3794602480956732
PTGES	GSM1022691	539.9330782535367
PTGES	GSM1022692	1039.5327988547651
PTGES	GSM1022693	37.393627879362526
PTGES	GSM1022694	301.0268288200961
PTGES	GSM1022695	928.2353955798412
PTGES	GSM1385778	1188
PTGES	GSM1385779	400.782151604597
PTGES	GSM1385780	306.7222826535408
PTGES	GSM1385781	520.3455545369296
PTGES	GSM1385782	630.3263748032381
PTGES	GSM1385783	7.563371063182935
PTGES	GSM1415906	147
PTGES	GSM1415907	403.36864692785247
PTGES	GSM1415908	222.70420066278135
PTGES	GSM1415909	337.78255491848165
PTGES	GSM1415910	316.08286896372704
PTGES	GSM1415911	143.75864688494903
PTGES	GSM1415912	643.6734471970365
PTGES	GSM1415913	561.906753606563
PTGES	GSM1415914	421.894228033905
PTGES	GSM1415915	657.6170966532383
PTGES	GSM1415916	712.3504168465822
PTGES	GSM1415917	779.1199235269052
PTGES	GSM1415918	370.1906699437098
PTGES	GSM1415919	124.49542716317532
PTGES	GSM1415920	498.3904554293325
PTGES	GSM1415921	332.4370914400361
PTGES	GSM2769390	255.03359911619623
PTGES	GSM2769391	315.3127199331097
PTGES	GSM2769392	487.1602880000645
PTGES	GSM2769393	638.5647201089523
PTGES	GSM2769394	1123.3875514469642
PTGES	GSM2769395	332.7134373634301
PTGES	GSM2769396	134.82352782278411
PTGES	GSM2769397	1.0576052477160802
PTGES	GSM2769398	1.063216079371224
PTGES	GSM3103946	272.87241966021304
PTGES	GSM3103947	169.9076442788191
PTGES	GSM3103948	842.2793288467815
PTGES	GSM3103949	831.0134827978907
PTGES	GSM3103950	245.74753541880307
PTGES	GSM3103951	923
PTGES	GSM3103952	159.84353045249577
PTGES	GSM3103953	317.73110346910823
PTGES	GSM3103954	153.81169911466574
PTGES	GSM3103955	255.56891127989184
PTGES	GSM3103956	124.90303855105576
PTGES	GSM3103957	540.415888317044
PTGES	GSM3103958	186.0196173297102
PTGES	GSM3103959	238
PTGES	GSM3103960	212
PTGES	GSM3103961	220.30951212911464
PTGES	GSM3103962	170.42325332701765
PTGES	GSM3103963	263.2254118224729
PTGES	GSM3103964	147.8047886180448
PTGES	GSM3103965	176
PTGES	GSM4260265	1373.7700372851866
PTGES	GSM4260266	1.0106385913341225
PTGES	GSM4260267	328.07684390837096
PTGES	GSM4260268	580.7793136207496
PTGES	GSM4260269	1.0191498027987893
PTGES	GSM4260270	314.6391961910447
PTGES	GSM4260271	320.81510407140814
PTGES	GSM4260272	36.87166675434116
PTGES	GSM4260273	451.3820451142805
PTGES	GSM4260274	208.5077565959925
PTGES	GSM4260275	1.074527200739522
PTGES	GSM4260276	235.88024484934547
PTGES	GSM4735786	290.9632649566043
PTGES	GSM4735787	289.0252499831106
PTGES	GSM4735788	341.7386514845432
PTGES	GSM4735790	303.9573376032003
PTGES	GSM4735793	298.66973093619697
PTGES	GSM4735798	1.1094482823563114
PTGES	GSM4735800	1.1037828089768285
PTGES	GSM4735803	137.09964335907344
PTGES	GSM4735804	188.99597853129256
PTGES	GSM4735785	349.22743346796193
PTGES	GSM4735789	351.3354858525579
PTGES	GSM4735791	330.78543986210025
PTGES	GSM4735792	303.3390437804161
PTGES	GSM4735794	377.8978561421774
PTGES	GSM4735795	1335.7248882206272
PTGES	GSM4735796	925.644274440495
PTGES	GSM4735797	379.81540550399393
PTGES	GSM4735799	450.1410921284817
PTGES	GSM4735801	1.0665119943875787
PTGES	GSM4735802	353.70326341264814
PTGES	GSM5282507	201
PTGES	GSM5282509	199
PTGES	GSM5282510	220.56469482187072
PTGES	GSM5282511	210.5957429936272
PTGES	GSM5282512	207.6701937471084
PTGES	GSM5282515	234.51159073362712
PTGES	GSM5282516	217.9475147668764
PTGES	GSM5282519	219.0818773659576
PTGES	GSM5282521	214.7499468791316
PTGES	GSM5282523	215
PTGES	GSM5282524	303.19157740023667
PTGES	GSM5282526	230
PTGES	GSM5282528	219.7964596455043
PTGES	GSM5282529	204
PTGES	GSM5282513	202.81081075695903
PTGES	GSM5282533	214.9769165786183
PTGES	GSM5282534	233
PTGES	GSM5282536	206.80938984518895
PTGES	GSM5282525	217
PTGES	GSM5282530	204.84911036255664
PTGES	GSM5282514	204
PTGES	GSM5282520	242.5413002107728
PTGES	GSM5282535	212
PTGES	GSM5282522	206.7778344848967
PTGES	GSM5282531	252.29998855660588
PTGES	GSM5282508	206.92644673690873
PTGES	GSM5282518	201
PTGES	GSM5282517	224.2962285201403
PTGES	GSM5282527	231.22020128348447
PTGES	GSM5282532	201
