Gene	sample	counts
PUDP	GSM1022678	678.7305167748442
PUDP	GSM1022679	148.3692885576391
PUDP	GSM1022680	320.82049349176117
PUDP	GSM1022681	569.0870702308697
PUDP	GSM1022682	191.28928241013483
PUDP	GSM1022683	304.93630967928414
PUDP	GSM1022684	137.64947720846115
PUDP	GSM1022685	267.2057569901216
PUDP	GSM1022686	256.8793777119414
PUDP	GSM1022687	139.21844658786472
PUDP	GSM1022688	150.33647853721226
PUDP	GSM1022689	301.9857341999044
PUDP	GSM1022690	148.3692885576391
PUDP	GSM1022691	223.14905422861185
PUDP	GSM1022692	256.5356017057042
PUDP	GSM1022693	263.82433552229423
PUDP	GSM1022694	241.4897686588335
PUDP	GSM1022695	265.4496592157497
PUDP	GSM1385778	394.1913516361623
PUDP	GSM1385779	166.21926172760575
PUDP	GSM1385780	158.35813791596067
PUDP	GSM1385781	271.2644986970208
PUDP	GSM1385782	463.49407346515574
PUDP	GSM1385783	161.30361876904806
PUDP	GSM1415906	497
PUDP	GSM1415907	272.47432275742864
PUDP	GSM1415908	396.5257916780277
PUDP	GSM1415909	294.5940094757439
PUDP	GSM1415910	349.10700057330484
PUDP	GSM1415911	518.5672488445189
PUDP	GSM1415912	103.95248124612397
PUDP	GSM1415913	224.42813420375316
PUDP	GSM1415914	210.4372777144551
PUDP	GSM1415915	400.71976558658633
PUDP	GSM1415916	164.37703704049284
PUDP	GSM1415917	176.61385854593013
PUDP	GSM1415918	117.12804976757616
PUDP	GSM1415919	96.67330783747109
PUDP	GSM1415920	292.7970279918471
PUDP	GSM1415921	279.0002210047558
PUDP	GSM2769390	99.33624452948506
PUDP	GSM2769391	204.75609254503857
PUDP	GSM2769392	173.400669130933
PUDP	GSM2769393	328.4749085847309
PUDP	GSM2769394	520.8049930031567
PUDP	GSM2769395	287.6308111656641
PUDP	GSM2769396	363.64780223759374
PUDP	GSM2769397	283.3697080788468
PUDP	GSM2769398	157.1289209045016
PUDP	GSM3103946	152
PUDP	GSM3103947	140.4503601951229
PUDP	GSM3103948	209.30966559681025
PUDP	GSM3103949	318.5822749466949
PUDP	GSM3103950	166.78444409648696
PUDP	GSM3103951	468.9649857883013
PUDP	GSM3103952	241
PUDP	GSM3103953	274
PUDP	GSM3103954	248.70172563621915
PUDP	GSM3103955	346.7529910226417
PUDP	GSM3103956	170.1292711708123
PUDP	GSM3103957	206.11526260248291
PUDP	GSM3103958	134.33208144502126
PUDP	GSM3103959	154.64446001228902
PUDP	GSM3103960	151
PUDP	GSM3103961	202.6846837347801
PUDP	GSM3103962	257
PUDP	GSM3103963	218.4938035776887
PUDP	GSM3103964	202
PUDP	GSM3103965	222
PUDP	GSM4260265	359.2140653666857
PUDP	GSM4260266	349.0668258208572
PUDP	GSM4260267	279.19732714974174
PUDP	GSM4260268	152.72540252741717
PUDP	GSM4260269	165.73894276187303
PUDP	GSM4260270	218.63880769041145
PUDP	GSM4260271	194.2798526061779
PUDP	GSM4260272	149.85181643903562
PUDP	GSM4260273	499.24240906448847
PUDP	GSM4260274	144.4679710324954
PUDP	GSM4260275	158.0282928329069
PUDP	GSM4260276	362.923108514741
PUDP	GSM4735785	158.4486225353521
PUDP	GSM4735786	340.83171411839936
PUDP	GSM4735787	446.59789872221467
PUDP	GSM4735788	242.56563923362145
