Gene	sample	counts
RARB	GSM1022678	1403.0597820869682
RARB	GSM1022679	109.91213840909586
RARB	GSM1022680	792.3819058630197
RARB	GSM1022681	886.8232162318136
RARB	GSM1022682	261.18928399627094
RARB	GSM1022683	1076.7608471552403
RARB	GSM1022684	116.8490661944057
RARB	GSM1022685	516.7909682327553
RARB	GSM1022686	283.14846839859007
RARB	GSM1022687	101.82129505037908
RARB	GSM1022688	270.6180585619983
RARB	GSM1022689	290.5869656516539
RARB	GSM1022690	255.71249210590597
RARB	GSM1022691	236.90941188675592
RARB	GSM1022692	277.2087463612707
RARB	GSM1022693	445.6916187783479
RARB	GSM1022694	257.7212148494858
RARB	GSM1022695	294.6942019152815
RARB	GSM1385778	327
RARB	GSM1385779	352.33595745459075
RARB	GSM1385780	420.5238362882467
RARB	GSM1385781	329.75386886351936
RARB	GSM1385782	336.77724969550997
RARB	GSM1385783	661.2547272382795
RARB	GSM1415906	15
RARB	GSM1415907	272.2738366763004
RARB	GSM1415908	469.81434112422374
RARB	GSM1415909	273.4430206482947
RARB	GSM1415910	873.7577396831689
RARB	GSM1415911	348.84091237117
RARB	GSM1415912	1.2144782022585594
RARB	GSM1415913	350.2634609485844
RARB	GSM1415914	890.6655925160217
RARB	GSM1415915	690.8300813326948
RARB	GSM1415916	573.0017437545278
RARB	GSM1415917	240.88175150462007
RARB	GSM1415918	580.8966801946892
RARB	GSM1415919	390.938911465672
RARB	GSM1415920	858.9041862274212
RARB	GSM1415921	752.5855978854237
RARB	GSM2769390	400.61071792501207
RARB	GSM2769391	395.47697076356127
RARB	GSM2769392	393.5160857711104
RARB	GSM2769393	380.0238822111814
RARB	GSM2769394	377.1809383261131
RARB	GSM2769395	395.8327068310905
RARB	GSM2769396	454.5187112207495
RARB	GSM2769397	447.3670197839019
RARB	GSM2769398	449.7404015740277
RARB	GSM3103946	209.20218840616332
RARB	GSM3103947	645.6490482595126
RARB	GSM3103948	607.2904740760828
RARB	GSM3103949	593.3419529745262
RARB	GSM3103950	766.1540810115625
RARB	GSM3103951	1127
RARB	GSM3103952	379.0000690603202
RARB	GSM3103953	336.9568708764746
RARB	GSM3103954	371.9629324995185
RARB	GSM3103955	690.7692499552815
RARB	GSM3103956	101.16113866118567
RARB	GSM3103957	135.358405171689
RARB	GSM3103958	104.8287346277925
RARB	GSM3103959	84
RARB	GSM3103960	344
RARB	GSM3103961	148.07688520153607
RARB	GSM3103962	113.95164275711832
RARB	GSM3103963	172.386838330796
RARB	GSM3103964	117.43394164173422
RARB	GSM3103965	62
RARB	GSM4260265	406.51336419294
RARB	GSM4260266	303.19157740023667
RARB	GSM4260267	384.3489239314896
RARB	GSM4260268	350.5795129492525
RARB	GSM4260269	277.2087463612707
RARB	GSM4260270	367.41738393921986
RARB	GSM4260271	454.4880641011616
RARB	GSM4260272	305.81794190365315
RARB	GSM4260273	520.7481054993259
RARB	GSM4260274	278.01034212799
RARB	GSM4260275	279.37707219227576
RARB	GSM4260276	394.8210106920375
RARB	GSM4735786	356.1970218685832
RARB	GSM4735787	340.45323040715164
RARB	GSM4735788	351.11562667771665
RARB	GSM4735790	338.30868055150717
RARB	GSM4735793	345.43652154542355
RARB	GSM4735798	1.1094482823563114
RARB	GSM4735800	1.1037828089768285
RARB	GSM4735803	649.6886084553106
RARB	GSM4735804	984.6586063812643
RARB	GSM4735785	351.38983243680383
RARB	GSM4735789	343.0443829415831
RARB	GSM4735791	349.8082447103999
RARB	GSM4735792	371.34744149631007
RARB	GSM4735794	347.45608439739084
RARB	GSM4735795	479.86384009170274
RARB	GSM4735796	1.1006471753156897
RARB	GSM4735797	1124.2100684401885
RARB	GSM4735799	407.4269738973119
RARB	GSM4735801	143.97911924232312
RARB	GSM4735802	919.8347258428053
RARB	GSM5282507	442
RARB	GSM5282509	870
RARB	GSM5282510	498.43296231805095
RARB	GSM5282511	262.98274373831055
RARB	GSM5282512	273.79403653225734
RARB	GSM5282515	1.0285596084808206
RARB	GSM5282516	249.53411110990197
RARB	GSM5282519	36.33016056822412
RARB	GSM5282521	116.10882295378886
RARB	GSM5282523	531
RARB	GSM5282524	172.81919911813492
RARB	GSM5282526	407
RARB	GSM5282528	244.33187839663037
RARB	GSM5282529	630
RARB	GSM5282513	257.84490010809367
RARB	GSM5282533	351.86804731477883
RARB	GSM5282534	419
RARB	GSM5282536	325.4206575505179
RARB	GSM5282525	94
RARB	GSM5282530	341.4151839375944
RARB	GSM5282514	428
RARB	GSM5282520	412.21611537968255
RARB	GSM5282535	379
RARB	GSM5282522	303.4799063335549
RARB	GSM5282531	24.8163923170432
RARB	GSM5282508	354.14277451490847
RARB	GSM5282518	478
RARB	GSM5282517	122.05887784584378
RARB	GSM5282527	287.51729376989806
RARB	GSM5282532	337
