Gene	sample	counts
RBM42	GSM1022678	792.8622852206141
RBM42	GSM1022679	11.57490903641156
RBM42	GSM1022680	654.8811978260395
RBM42	GSM1022681	780.2000156390955
RBM42	GSM1022682	65.09844689350139
RBM42	GSM1022683	601.7679998322085
RBM42	GSM1022684	399.5943778663536
RBM42	GSM1022685	560.9281158189575
RBM42	GSM1022686	559.1510952605311
RBM42	GSM1022687	230.97605911168463
RBM42	GSM1022688	278.0195151030637
RBM42	GSM1022689	633.4582909311126
RBM42	GSM1022690	358.82218012875836
RBM42	GSM1022691	719.4992869987951
RBM42	GSM1022692	622.5804721237248
RBM42	GSM1022693	793.4869327922437
RBM42	GSM1022694	577.5202127075082
RBM42	GSM1022695	740.4113099964206
RBM42	GSM1385778	919.7798204843788
RBM42	GSM1385779	409.7984314290658
RBM42	GSM1385780	354.22215060149097
RBM42	GSM1385781	624.5156555823204
RBM42	GSM1385782	879.631143771915
RBM42	GSM1385783	318.4445635053465
RBM42	GSM1415906	1029
RBM42	GSM1415907	1052.69599973073
RBM42	GSM1415908	636.262048381325
RBM42	GSM1415909	685.7102882677725
RBM42	GSM1415910	745.499387391409
RBM42	GSM1415911	687.07652893326
RBM42	GSM1415912	364.9165227077477
RBM42	GSM1415913	343.1789430785546
RBM42	GSM1415914	411.3572916126785
RBM42	GSM1415915	422.6913454229266
RBM42	GSM1415916	381.1034489346458
RBM42	GSM1415917	327.8460847259781
RBM42	GSM1415918	308.79213120542806
RBM42	GSM1415919	319.7655566931736
RBM42	GSM1415920	345.2696136534684
RBM42	GSM1415921	338.93360181318485
RBM42	GSM2769390	402.5732015142289
RBM42	GSM2769391	75.49088260498897
RBM42	GSM2769392	801.9780947305651
RBM42	GSM2769393	977.1871104918796
RBM42	GSM2769394	743.1369490805276
RBM42	GSM2769395	474.53891950436287
RBM42	GSM2769396	649.6629275930046
RBM42	GSM2769397	606.4739139694877
RBM42	GSM2769398	652.6087848233633
RBM42	GSM3103946	414
RBM42	GSM3103947	362.29808823060114
RBM42	GSM3103948	485.1887661234928
RBM42	GSM3103949	792.9844519254295
RBM42	GSM3103950	456.3993091160185
RBM42	GSM3103951	447.1305836159715
RBM42	GSM3103952	445
RBM42	GSM3103953	316
RBM42	GSM3103954	398.52204228454394
RBM42	GSM3103955	551.7452004213211
RBM42	GSM3103956	440.5132914244247
RBM42	GSM3103957	434.3502119232811
RBM42	GSM3103958	315.1248827883205
RBM42	GSM3103959	442.2634557039348
RBM42	GSM3103960	538
RBM42	GSM3103961	354.3113937043102
RBM42	GSM3103962	310
RBM42	GSM3103963	308.52134301479197
RBM42	GSM3103964	237
RBM42	GSM3103965	570
RBM42	GSM4260265	816.955417233948
RBM42	GSM4260266	1169.32298212293
RBM42	GSM4260267	489.8927078612569
RBM42	GSM4260268	537.1362796372428
RBM42	GSM4260269	1204.165034757559
RBM42	GSM4260270	714.1519933439139
RBM42	GSM4260271	330.80083011322193
RBM42	GSM4260272	492.5199561282989
RBM42	GSM4260273	658.8779655270642
RBM42	GSM4260274	305.0518910247911
RBM42	GSM4260275	600.7168217621759
RBM42	GSM4260276	661.4401442508096
RBM42	GSM4735785	695.0612908550778
RBM42	GSM4735786	782.8801190962022
RBM42	GSM4735787	671.9549029161433
RBM42	GSM4735788	455.0697248870077
RBM42	GSM4735789	734.6098797293624
RBM42	GSM4735790	308.26788992459365
RBM42	GSM4735791	642.9453386812437
RBM42	GSM4735792	406.41244842481547
RBM42	GSM4735793	547.4973056065805
RBM42	GSM4735794	910.3528089580506
RBM42	GSM4735795	517.4092619119224
RBM42	GSM4735796	337.0428757964675
