Gene	sample	counts
RBMS2P1	GSM1022678	10.100156499625658
RBMS2P1	GSM1022679	1.0522644578555964
RBMS2P1	GSM1022680	6.110866542700213
RBMS2P1	GSM1022681	6.119215808934082
RBMS2P1	GSM1022682	1.001514567592329
RBMS2P1	GSM1022683	5.06538720397482
RBMS2P1	GSM1022684	14.381288663570569
RBMS2P1	GSM1022685	6.119215808934082
RBMS2P1	GSM1022686	2.0632881743931035
RBMS2P1	GSM1022687	5.273426007116088
RBMS2P1	GSM1022688	6.17821144673475
RBMS2P1	GSM1022689	2.033573967676124
RBMS2P1	GSM1022690	5.261322289277982
RBMS2P1	GSM1022691	4.171010359413305
RBMS2P1	GSM1022692	4.055898841196904
RBMS2P1	GSM1022693	7.048741788763586
RBMS2P1	GSM1022694	1.0276160368461
RBMS2P1	GSM1022695	4.068194010969344
RBMS2P1	GSM1385778	11.033345720096143
RBMS2P1	GSM1385779	5.227020809044206
RBMS2P1	GSM1385780	5.209149273551338
RBMS2P1	GSM1385781	10.121809652873912
RBMS2P1	GSM1385782	8.060766495046186
RBMS2P1	GSM1385783	7.284679557311848
RBMS2P1	GSM1415906	5
RBMS2P1	GSM1415907	16.087044886047448
RBMS2P1	GSM1415908	9.103908482403696
RBMS2P1	GSM1415909	5.027201526889828
RBMS2P1	GSM1415910	6.036432286570113
RBMS2P1	GSM1415911	7.021220003697548
RBMS2P1	GSM1415912	3.248515038941374
RBMS2P1	GSM1415913	3.268370886462425
RBMS2P1	GSM1415914	2.114947514718142
RBMS2P1	GSM1415915	3.1387971194771778
RBMS2P1	GSM1415916	6.281924982439216
RBMS2P1	GSM1415917	3.172704045735272
RBMS2P1	GSM1415918	3.1944013572975316
RBMS2P1	GSM1415919	3.1870321265100356
RBMS2P1	GSM1415920	4.197806852929707
RBMS2P1	GSM1415921	3.100002455608398
RBMS2P1	GSM2769390	5.228223396288687
RBMS2P1	GSM2769391	3.10236503856119
RBMS2P1	GSM2769392	6.192881040390464
RBMS2P1	GSM2769393	12.3564228934695
RBMS2P1	GSM2769394	13.19778734705855
RBMS2P1	GSM2769395	8.307027037275498
RBMS2P1	GSM2769396	13.279273677215503
RBMS2P1	GSM2769397	11.502091471835111
RBMS2P1	GSM2769398	8.380209114906751
RBMS2P1	GSM3103946	2
RBMS2P1	GSM3103947	7.98013410199562
RBMS2P1	GSM3103948	2.560362881918168
RBMS2P1	GSM3103949	7.713856536239587
RBMS2P1	GSM3103950	1.8063297194565375
RBMS2P1	GSM3103951	1.8986436671591147
RBMS2P1	GSM3103952	2
RBMS2P1	GSM3103953	5
RBMS2P1	GSM3103954	5.992812665932992
RBMS2P1	GSM3103955	4.589377822358493
RBMS2P1	GSM3103956	6.076045398957582
RBMS2P1	GSM3103957	3.0163209161338966
RBMS2P1	GSM3103958	1.0100156499625657
RBMS2P1	GSM3103959	6.894975924114796
RBMS2P1	GSM3103960	3
RBMS2P1	GSM3103961	3.0944226524393907
RBMS2P1	GSM3103962	4
RBMS2P1	GSM3103963	6.069272321602464
RBMS2P1	GSM3103964	7
RBMS2P1	GSM3103965	2
RBMS2P1	GSM4260265	12.31591081257208
RBMS2P1	GSM4260266	17.300688160217415
