Gene	sample	counts
RGP1	GSM1022678	1132.2275436080365
RGP1	GSM1022679	245.17761868035396
RGP1	GSM1022680	817.8376389647119
RGP1	GSM1022681	965.816228510096
RGP1	GSM1022682	281.42559349344447
RGP1	GSM1022683	828.6973465702804
RGP1	GSM1022684	529.0259758384888
RGP1	GSM1022685	839.3524351254583
RGP1	GSM1022686	494.1575177671483
RGP1	GSM1022687	557.9284715528821
RGP1	GSM1022688	630.1775675669445
RGP1	GSM1022689	809.3624391350974
RGP1	GSM1022690	568.222807242022
RGP1	GSM1022691	541.1885941338763
RGP1	GSM1022692	776.7046280892072
RGP1	GSM1022693	1026.095411821442
RGP1	GSM1022694	526.1394108652032
RGP1	GSM1022695	719.0532914388316
RGP1	GSM1385778	1324.0014864115376
RGP1	GSM1385779	752.6909965023657
RGP1	GSM1385780	788.6652000156726
RGP1	GSM1385781	998.0104317733676
RGP1	GSM1385782	1228.2592946826626
RGP1	GSM1385783	776.3387071078055
RGP1	GSM1415906	1092
RGP1	GSM1415907	955.1682901090672
RGP1	GSM1415908	1000.4183876774728
RGP1	GSM1415909	984.3260589650282
RGP1	GSM1415910	924.5802118929888
RGP1	GSM1415911	857.5918718802004
RGP1	GSM1415912	500.2713159969716
RGP1	GSM1415913	528.3866266447586
RGP1	GSM1415914	592.1853041210796
RGP1	GSM1415915	573.3536071578311
RGP1	GSM1415916	595.7358858346523
RGP1	GSM1415917	465.3299267078399
RGP1	GSM1415918	501.5210130957125
RGP1	GSM1415919	454.6832500487651
RGP1	GSM1415920	493.24230521924056
RGP1	GSM1415921	517.7004100866025
RGP1	GSM2769390	817.6941391795507
RGP1	GSM2769391	556.3574635819734
RGP1	GSM2769392	1025.953959024687
RGP1	GSM2769393	1242.8502027014738
RGP1	GSM2769394	1233.4855097443185
RGP1	GSM2769395	990.6129741951032
RGP1	GSM2769396	1507.7083036592371
RGP1	GSM2769397	1253.7279704300272
RGP1	GSM2769398	1055.9063484782507
RGP1	GSM3103946	590
RGP1	GSM3103947	493.9703009135288
RGP1	GSM3103948	528.0748443956221
RGP1	GSM3103949	844.6672907182348
RGP1	GSM3103950	573.8107408806934
RGP1	GSM3103951	636.0456284983034
RGP1	GSM3103952	620
RGP1	GSM3103953	471
RGP1	GSM3103954	532.3615251570475
RGP1	GSM3103955	666.9895768494343
RGP1	GSM3103956	536.7173435745865
RGP1	GSM3103957	524.839839407298
RGP1	GSM3103958	430.266666884053
RGP1	GSM3103959	524.0181702327245
RGP1	GSM3103960	699
RGP1	GSM3103961	577.1098246799463
RGP1	GSM3103962	543
RGP1	GSM3103963	520.9458742708782
RGP1	GSM3103964	460
RGP1	GSM3103965	683
RGP1	GSM4260265	1526.1466148578904
RGP1	GSM4260266	1981.437638114312
RGP1	GSM4260267	1446.844141437695
RGP1	GSM4260268	1408.813917191685
RGP1	GSM4260269	1857.9130867627248
RGP1	GSM4260270	1725.6118980799297
RGP1	GSM4260271	1315.852190894816
RGP1	GSM4260272	1404.2058323657882
RGP1	GSM4260273	1690.9167541226973
RGP1	GSM4260274	707.3750454140911
RGP1	GSM4260275	1452.6044400799651
RGP1	GSM4260276	1555.968932843481
RGP1	GSM4735785	619.0059520381088
RGP1	GSM4735786	762.2236515738749
RGP1	GSM4735787	901.4280167757144
RGP1	GSM4735788	1001.3607158105908
RGP1	GSM4735789	734.6098797293624
RGP1	GSM4735790	568.0789543426458
RGP1	GSM4735791	676.290964026138
RGP1	GSM4735792	761.3669899431297
RGP1	GSM4735793	656.3686627444091
RGP1	GSM4735794	674.450882435816
RGP1	GSM4735795	918.3499051066192
RGP1	GSM4735796	675.1489783304634
RGP1	GSM4735797	552.0168747641426
RGP1	GSM4735798	471.78491505103057
RGP1	GSM4735799	641.1668551013179
RGP1	GSM4735800	626.513285872229
RGP1	GSM4735801	613.4733567491517
RGP1	GSM4735802	731.2821161099193
RGP1	GSM4735803	962.0891913490808
RGP1	GSM4735804	544.7516823095247
RGP1	GSM5282507	2169.829270071903
RGP1	GSM5282508	1908.6662482397685
RGP1	GSM5282509	1963.470423527228
RGP1	GSM5282510	1851.207762224566
RGP1	GSM5282511	1979.7840633399385
RGP1	GSM5282512	1823.816410113515
RGP1	GSM5282513	1913.8997812896132
RGP1	GSM5282514	2077.410615976248
RGP1	GSM5282515	1945.8476195301064
RGP1	GSM5282516	2186.146302187661
RGP1	GSM5282517	2246.2914163550095
RGP1	GSM5282518	2217.043147707727
RGP1	GSM5282519	2074.19215089143
RGP1	GSM5282520	2063.5119986641653
RGP1	GSM5282521	2242.9071610606484
RGP1	GSM5282522	2548.2732404961903
RGP1	GSM5282523	2161.532729709745
RGP1	GSM5282524	1985.6635945509397
RGP1	GSM5282525	2291.848044460846
RGP1	GSM5282526	2262.247924167558
RGP1	GSM5282527	1888.729681226272
RGP1	GSM5282528	1884.183089523705
RGP1	GSM5282529	2194.243136168236
RGP1	GSM5282530	2330.976483783818
RGP1	GSM5282531	2107.2333774758627
RGP1	GSM5282532	2226.4625385217432
RGP1	GSM5282533	2345
RGP1	GSM5282534	2100.991762162405
RGP1	GSM5282535	2137.320149980775
RGP1	GSM5282536	1932.3177626544937
RGP1	GSM4260927	1.001514567592329
RGP1	GSM4260928	0.7555013828387295
RGP1	GSM4260929	0.6676590430255687
RGP1	GSM4260930	1.001514567592329
RGP1	GSM4260931	1.010650267145594
RGP1	GSM4260932	1.0080868452623672
RGP1	GSM4260933	1
RGP1	GSM4260934	1.0069631126805123
RGP1	GSM4260935	1.010650267145594
RGP1	GSM4260936	1.0153325559559527
RGP1	GSM4260937	1.0054403053779657
RGP1	GSM4260938	1.0346256397982054
RGP1	GSM4260939	1.008488226377649
RGP1	GSM4260940	1.0129346942591704
RGP1	GSM4260941	1.001514567592329
RGP1	GSM4260942	1
RGP1	GSM4260943	1.019228895401757
RGP1	GSM4260944	0.9891095089195134
RGP1	GSM4260945	1.0091218838436145
RGP1	GSM4260946	28.36292201302748
RGP1	GSM4260947	1.0197255979537387
RGP1	GSM4260948	0.9227241574407888
RGP1	GSM4260949	1.0229609629673868
RGP1	GSM4260950	1.0030314290996496
RGP1	GSM4260951	1
RGP1	GSM4260952	1
RGP1	GSM4260953	1
RGP1	GSM4260954	1.0100156499625657
RGP1	GSM4260955	1.031261460928422
RGP1	GSM4260956	1.016643714613284
RGP1	GSM4260957	1
RGP1	GSM4260958	1.0325578009378895
RGP1	GSM4260959	1.011645791484319
RGP1	GSM4260960	1.010650267145594
RGP1	GSM4260961	111.23561903427888
RGP1	GSM4260962	1.008488226377649
RGP1	GSM4260963	27.040893324992883
RGP1	GSM4260964	1.0060720477616854
RGP1	GSM4260965	1.0332065818978375
RGP1	GSM4260966	1
RGP1	GSM4260967	0.9235606257896573
RGP1	GSM4260968	1.0030314290996496
RGP1	GSM4260969	1.0075958118807733
RGP1	GSM4260970	0.8062586349950998
RGP1	GSM4260971	0.6584229502333824
RGP1	GSM4260972	1.0146118150553114
RGP1	GSM4260973	1.0104333041613256
RGP1	GSM4260974	1.0207725864558976
RGP1	GSM4260975	1.0069631126805123
RGP1	GSM4260976	1.001514567592329
RGP1	GSM4260977	1.0275807028156494
RGP1	GSM4260978	1.0039198009821009
RGP1	GSM4260979	1
RGP1	GSM4260980	1
RGP1	GSM4260981	0.844603269225262
RGP1	GSM4260982	1.0091218838436145
RGP1	GSM4260983	1.0150215580078588
RGP1	GSM4260984	156.74831851726978
RGP1	GSM4260985	0.8638403484230034
RGP1	GSM4260986	0.8745713360411702
