Gene	sample	counts
RHOU	GSM1022678	336.9776305884083
RHOU	GSM1022679	146.97202412499112
RHOU	GSM1022680	412.3374429853586
RHOU	GSM1022681	229.93726541490747
RHOU	GSM1022682	116.34065249615342
RHOU	GSM1022683	367.5110120794566
RHOU	GSM1022684	296.1881838687558
RHOU	GSM1022685	298.68908072588823
RHOU	GSM1022686	369.0444124503039
RHOU	GSM1022687	180.74752522113013
RHOU	GSM1022688	267.0114931553061
RHOU	GSM1022689	188.16298077681213
RHOU	GSM1022690	286.8268512989008
RHOU	GSM1022691	332.22113732889113
RHOU	GSM1022692	482.8552790785867
RHOU	GSM1022693	372.9626999080478
RHOU	GSM1022694	527.2832237523439
RHOU	GSM1022695	403.6898690966352
RHOU	GSM1385778	254.6447116229892
RHOU	GSM1385779	226.36988168927184
RHOU	GSM1385780	540.6385007452636
RHOU	GSM1385781	213.37247232362355
RHOU	GSM1385782	252.743507125761
RHOU	GSM1385783	438.69447575755146
RHOU	GSM1415906	404.5411357473053
RHOU	GSM1415907	367.10724612034016
RHOU	GSM1415908	647.2403575313424
RHOU	GSM1415909	311.22018331076976
RHOU	GSM1415910	448.62684554239905
RHOU	GSM1415911	451.5223813361456
RHOU	GSM1415912	235.3199082948464
RHOU	GSM1415913	209.20133600260823
RHOU	GSM1415914	258.1554163977976
RHOU	GSM1415915	222.0854512980304
RHOU	GSM1415916	241.79241614010928
RHOU	GSM1415917	226.71472122958673
RHOU	GSM1415918	230.78271761173235
RHOU	GSM1415919	218.42112445692297
RHOU	GSM1415920	268.0990208282647
RHOU	GSM1415921	244.9122537684623
RHOU	GSM2769390	388.17225453814865
RHOU	GSM2769391	377.1618565341309
RHOU	GSM2769392	382.2069183490179
RHOU	GSM2769393	367.65517694166726
RHOU	GSM2769394	392.824133298924
RHOU	GSM2769395	371.9345035099458
RHOU	GSM2769396	334.67044606583323
RHOU	GSM2769397	343.6861405055671
RHOU	GSM2769398	325.8599799839623
RHOU	GSM3103946	330.16437517905973
RHOU	GSM3103947	448.5975381251708
RHOU	GSM3103948	211.74585907140545
RHOU	GSM3103949	178.56841316408597
RHOU	GSM3103950	199.28689011884896
RHOU	GSM3103951	244
RHOU	GSM3103952	406.19951376428475
RHOU	GSM3103953	245.4584757599181
RHOU	GSM3103954	309.3517979922512
RHOU	GSM3103955	168.6055394555058
RHOU	GSM3103956	241.1518323740393
RHOU	GSM3103957	134.76953147611127
RHOU	GSM3103958	270.4374900768657
RHOU	GSM3103959	282.8898897966767
RHOU	GSM3103960	442.92937283979313
RHOU	GSM3103961	229.50747497243697
RHOU	GSM3103962	242.77825466739316
RHOU	GSM3103963	316.9656079438198
RHOU	GSM3103964	241.4180070231293
RHOU	GSM3103965	255.6932112387242
RHOU	GSM4260265	560.1929387249887
RHOU	GSM4260266	358.774591564318
RHOU	GSM4260267	504.3560940580349
RHOU	GSM4260268	368.65400826744377
RHOU	GSM4260269	340.7830466114199
RHOU	GSM4260270	531.4463928318023
RHOU	GSM4260271	349.8629931859358
RHOU	GSM4260272	349.7784120632093
RHOU	GSM4260273	468.7413342604892
RHOU	GSM4260274	155.34761162780353
RHOU	GSM4260275	309.0211547996755
RHOU	GSM4260276	304.60238200127395
RHOU	GSM4735785	370.97224674265095
RHOU	GSM4735786	437.663197686674
RHOU	GSM4735787	148.87686288216958
RHOU	GSM4735788	395.9579859196797
RHOU	GSM4735789	195.8875280213925
RHOU	GSM4735790	472.8003467470376
RHOU	GSM4735791	265.25305926760393
RHOU	GSM4735792	562.0003721153599
RHOU	GSM4735793	423.7923607442172
RHOU	GSM4735794	245.71805572005303
RHOU	GSM4735795	504.32896876062347
RHOU	GSM4735796	399.3518183646209
RHOU	GSM4735797	297.03097113776715
RHOU	GSM4735798	304.07294983951977
RHOU	GSM4735799	413.6899483157747
RHOU	GSM4735800	284.53494980027955
RHOU	GSM4735801	272.5314215797145
RHOU	GSM4735802	261.15213409601967
RHOU	GSM4735803	273.7143451349533
RHOU	GSM4735804	311.044956345463
RHOU	GSM5282507	282.1417314617107
RHOU	GSM5282508	165.41321406691696
RHOU	GSM5282509	322
RHOU	GSM5282510	192.7463916883395
RHOU	GSM5282511	147.56224800126685
RHOU	GSM5282512	198.1910035922343
RHOU	GSM5282513	296.93406872275284
RHOU	GSM5282514	225.528012916206
RHOU	GSM5282515	330.7995569787287
RHOU	GSM5282516	534.751867170859
RHOU	GSM5282517	369.6844448019031
RHOU	GSM5282518	710.26702435718
RHOU	GSM5282519	87.6864234442188
RHOU	GSM5282520	353.70647355409966
RHOU	GSM5282521	713.1427320432188
RHOU	GSM5282522	517.7234379552243
RHOU	GSM5282523	923.3075853542676
RHOU	GSM5282524	679
RHOU	GSM5282525	555
RHOU	GSM5282526	1122.3982164512197
RHOU	GSM5282527	937
RHOU	GSM5282528	289.82051516224857
RHOU	GSM5282529	337
RHOU	GSM5282530	248.45302481189017
RHOU	GSM5282531	680.6440455091156
RHOU	GSM5282532	174
RHOU	GSM5282533	308.3643770609177
RHOU	GSM5282534	531
RHOU	GSM5282535	490
RHOU	GSM5282536	186.19400256188496
RHOU	GSM4260927	79.1661096252119
RHOU	GSM4260928	214.936717174047
RHOU	GSM4260929	987.5688400644522
RHOU	GSM4260930	521
RHOU	GSM4260931	396.7342211573808
RHOU	GSM4260932	830.4814451544644
RHOU	GSM4260933	1060.4904314477897
RHOU	GSM4260934	87.27454046918749
RHOU	GSM4260935	1.0115205232858615
RHOU	GSM4260936	1.019265707215034
RHOU	GSM4260937	648
RHOU	GSM4260938	1.0463449709305277
RHOU	GSM4260939	2300.2358769637576
RHOU	GSM4260940	1690.741832300104
RHOU	GSM4260941	714
RHOU	GSM4260942	1
RHOU	GSM4260943	679.1258323343673
RHOU	GSM4260944	1412.8590490752542
RHOU	GSM4260945	18.143958857250272
RHOU	GSM4260946	600.6267547082107
RHOU	GSM4260947	618.6080690217453
RHOU	GSM4260948	172.7555692983857
RHOU	GSM4260949	1.031105756209081
RHOU	GSM4260950	148
RHOU	GSM4260951	196.5840026444905
RHOU	GSM4260952	4.876803767304836
RHOU	GSM4260953	651
RHOU	GSM4260954	1.0101171841971937
RHOU	GSM4260955	1.0443980245860167
RHOU	GSM4260956	1.0217542627391865
RHOU	GSM4260957	0.9152572351260038
RHOU	GSM4260958	1.0450141253403695
RHOU	GSM4260959	125.2774453704363
RHOU	GSM4260960	185.74741456722663
RHOU	GSM4260961	1.0052649262729068
RHOU	GSM4260962	574.058035901881
RHOU	GSM4260963	1
RHOU	GSM4260964	1169.453796615472
RHOU	GSM4260965	1.0480118219614296
RHOU	GSM4260966	852
RHOU	GSM4260967	417.3480116047059
RHOU	GSM4260968	774.4361522093419
RHOU	GSM4260969	637.3379632570229
RHOU	GSM4260970	0.7676598544628919
