Gene	sample	counts
RN7SKP9	GSM1022678	177.8893856315586
RN7SKP9	GSM1022679	209.36435478494977
RN7SKP9	GSM1022680	184.107028284906
RN7SKP9	GSM1022681	180.20058956743443
RN7SKP9	GSM1022682	188.8729265429998
RN7SKP9	GSM1022683	182.63012670995604
RN7SKP9	GSM1022684	184.2224172450769
RN7SKP9	GSM1022685	198.38090581233763
RN7SKP9	GSM1022686	184.58260617060375
RN7SKP9	GSM1022687	200.3388422568415
RN7SKP9	GSM1022688	184.7123411001425
RN7SKP9	GSM1022689	179.70218296135235
RN7SKP9	GSM1022690	196.2680889121117
RN7SKP9	GSM1022691	188.943730033312
RN7SKP9	GSM1022692	178.84213832833714
RN7SKP9	GSM1022693	188.58729833262035
RN7SKP9	GSM1022694	183.47726522842424
RN7SKP9	GSM1022695	183.9018008610937
RN7SKP9	GSM1385778	177
RN7SKP9	GSM1385779	190.91404224724351
RN7SKP9	GSM1385780	188.48971892985313
RN7SKP9	GSM1385781	178.3903291242975
RN7SKP9	GSM1385782	177.80545407533648
RN7SKP9	GSM1385783	188.02812663628217
RN7SKP9	GSM1415906	180
RN7SKP9	GSM1415907	180.0868965493417
RN7SKP9	GSM1415908	181.34086190229857
RN7SKP9	GSM1415909	180.0868965493417
RN7SKP9	GSM1415910	180.2463971698117
RN7SKP9	GSM1415911	179.54262580883727
RN7SKP9	GSM1415912	205.868917057826
RN7SKP9	GSM1415913	208.24918698617353
RN7SKP9	GSM1415914	197.6724951333779
RN7SKP9	GSM1415915	193.3192053491923
RN7SKP9	GSM1415916	194.23233056511177
RN7SKP9	GSM1415917	198.22611915505112
RN7SKP9	GSM1415918	199.8450112379909
RN7SKP9	GSM1415919	199.31882705001377
RN7SKP9	GSM1415920	195.44577752759332
RN7SKP9	GSM1415921	189.9931585163137
RN7SKP9	GSM2769390	192.4368573182669
RN7SKP9	GSM2769391	189.08386184779903
RN7SKP9	GSM2769392	186.8443565565325
RN7SKP9	GSM2769393	184.8018034083564
RN7SKP9	GSM2769394	182.2129227962423
RN7SKP9	GSM2769395	189.11379837700093
RN7SKP9	GSM2769396	185.02915605961772
RN7SKP9	GSM2769397	187.86170560516055
RN7SKP9	GSM2769398	188.55597378557655
RN7SKP9	GSM3103946	80.80125199700527
RN7SKP9	GSM3103947	13.711997021837645
RN7SKP9	GSM3103948	141.145687703506
RN7SKP9	GSM3103949	26.271970068383347
