Gene	sample	counts
RNPEP	GSM1022678	744.8492468863027
RNPEP	GSM1022679	1.080829643118164
RNPEP	GSM1022680	586.089936580066
RNPEP	GSM1022681	665.2667088326401
RNPEP	GSM1022682	1.0091218838436145
RNPEP	GSM1022683	729.9642611660462
RNPEP	GSM1022684	507.4251917324811
RNPEP	GSM1022685	610.9615070063185
RNPEP	GSM1022686	773.6289833110408
RNPEP	GSM1022687	469.9796164386451
RNPEP	GSM1022688	357.8384393928426
RNPEP	GSM1022689	659.7404466781641
RNPEP	GSM1022690	314.23442505010723
RNPEP	GSM1022691	614.0474704414977
RNPEP	GSM1022692	614.4386278069522
RNPEP	GSM1022693	1164.526653955531
RNPEP	GSM1022694	685.8430717171276
RNPEP	GSM1022695	774.0942387863628
RNPEP	GSM1385778	1443.182491900546
RNPEP	GSM1385779	573.5352470189345
RNPEP	GSM1385780	770.5354019384715
RNPEP	GSM1385781	912.3185949624424
RNPEP	GSM1385782	1261.3253723663531
RNPEP	GSM1385783	791.625058399371
RNPEP	GSM1415906	1171.7720440830249
RNPEP	GSM1415907	1089.5340879203145
RNPEP	GSM1415908	926.7728852134926
RNPEP	GSM1415909	1033.1441536102056
RNPEP	GSM1415910	820.1829908709494
RNPEP	GSM1415911	856.8816515608024
RNPEP	GSM1415912	307.86434594061205
RNPEP	GSM1415913	287.88839816880204
RNPEP	GSM1415914	386.8914914976027
RNPEP	GSM1415915	342.9932670622276
RNPEP	GSM1415916	301.163571140492
RNPEP	GSM1415917	264.21282503619227
RNPEP	GSM1415918	265.70400245237266
RNPEP	GSM1415919	311.65592798862474
RNPEP	GSM1415920	341.1003142381747
RNPEP	GSM1415921	305.1649697792782
RNPEP	GSM2769390	1107.3611291989828
RNPEP	GSM2769391	811.8486289122176
RNPEP	GSM2769392	1290.6250529085144
RNPEP	GSM2769393	1863.9011498295029
RNPEP	GSM2769394	1757.8485777588885
RNPEP	GSM2769395	1272.6073240899698
RNPEP	GSM2769396	1889.244801507722
RNPEP	GSM2769397	1726.987351269341
RNPEP	GSM2769398	1709.5422653119651
RNPEP	GSM3103946	686.7488428481093
RNPEP	GSM3103947	238.5228261817911
RNPEP	GSM3103948	473.08269654843474
RNPEP	GSM3103949	1061.2443141254291
RNPEP	GSM3103950	466.14418493860774
RNPEP	GSM3103951	268
RNPEP	GSM3103952	306
RNPEP	GSM3103953	472.26569984716025
RNPEP	GSM3103954	329
RNPEP	GSM3103955	673.7081039404202
RNPEP	GSM3103956	417.30926411245355
RNPEP	GSM3103957	178.50544903543832
RNPEP	GSM3103958	144.7305031470495
RNPEP	GSM3103959	343
RNPEP	GSM3103960	428
RNPEP	GSM3103961	558.7642021209152
RNPEP	GSM3103962	419.5320439166228
RNPEP	GSM3103963	468.3795435478514
RNPEP	GSM3103964	221.5318847897127
RNPEP	GSM3103965	677
RNPEP	GSM4260265	2539.130279191944
