Gene	sample	counts
RNU6-2	GSM1022678	1.0100156499625657
RNU6-2	GSM1022679	3.156793373566789
RNU6-2	GSM1022680	1.0184777571167023
RNU6-2	GSM1022681	1.0198693014890137
RNU6-2	GSM1022682	1.001514567592329
RNU6-2	GSM1022683	1.013077440794964
RNU6-2	GSM1022684	1.0272349045407547
RNU6-2	GSM1022685	1.0198693014890137
RNU6-2	GSM1022686	1.0316440871965518
RNU6-2	GSM1022687	1.0546852014232175
RNU6-2	GSM1022688	1.029701907789125
RNU6-2	GSM1022689	1.016786983838062
RNU6-2	GSM1022690	1.0522644578555964
RNU6-2	GSM1022691	1.0427525898533263
RNU6-2	GSM1022692	1.013974710299226
RNU6-2	GSM1022693	3.020889338041537
RNU6-2	GSM1022694	1.0276160368461
RNU6-2	GSM1022695	1.017048502742336
RNU6-2	GSM1385778	1.0030314290996496
RNU6-2	GSM1385779	1.0454041618088412
RNU6-2	GSM1385780	1.0418298547102676
RNU6-2	GSM1385781	1.0121809652873912
RNU6-2	GSM1385782	1.0075958118807733
RNU6-2	GSM1385783	1.0406685081874067
RNU6-2	GSM1415906	6
RNU6-2	GSM1415907	9.04896274840169
RNU6-2	GSM1415908	2.023090773867488
RNU6-2	GSM1415909	2.010880610755931
RNU6-2	GSM1415910	1.0060720477616854
RNU6-2	GSM1415911	1.0030314290996496
RNU6-2	GSM1415912	1.0828383463137914
RNU6-2	GSM1415913	1.0894569621541417
RNU6-2	GSM1415914	1.057473757359071
RNU6-2	GSM1415915	1.0462657064923926
RNU6-2	GSM1415916	1.0469874970732027
RNU6-2	GSM1415917	1.0575680152450906
RNU6-2	GSM1415918	1.0648004524325103
RNU6-2	GSM1415919	1.062344042170012
RNU6-2	GSM1415920	1.0494517132324268
RNU6-2	GSM1415921	1.033334151869466
RNU6-2	GSM2769390	1.0456446792577374
RNU6-2	GSM2769391	1.034121679520397
RNU6-2	GSM2769392	1.0321468400650773
RNU6-2	GSM2769393	2.05940381557825
RNU6-2	GSM2769394	2.0304288226243927
RNU6-2	GSM2769395	1.0383783796594372
RNU6-2	GSM2769396	1.0214825905550386
RNU6-2	GSM2769397	1.0456446792577374
RNU6-2	GSM2769398	2.095052278726688
RNU6-2	GSM3103946	169
RNU6-2	GSM3103947	254.56627785366027
RNU6-2	GSM3103948	16.00226801198855
RNU6-2	GSM3103949	20.827412647846884
RNU6-2	GSM3103950	12.644308036195763
RNU6-2	GSM3103951	17.087793004432033
RNU6-2	GSM3103952	22
RNU6-2	GSM3103953	152
RNU6-2	GSM3103954	31.961667551642623
RNU6-2	GSM3103955	19.88730389688681
RNU6-2	GSM3103956	133.67299877706682
RNU6-2	GSM3103957	203.09894168634904
RNU6-2	GSM3103958	28.28043819895184
RNU6-2	GSM3103959	24.6249140146957
RNU6-2	GSM3103960	35
RNU6-2	GSM3103961	155.4947382850794
RNU6-2	GSM3103962	22
RNU6-2	GSM3103963	202.3090773867488
RNU6-2	GSM3103964	23
RNU6-2	GSM3103965	25
RNU6-2	GSM4260265	1.0263259010476733
RNU6-2	GSM4260266	2.035375077672637
RNU6-2	GSM4260267	1.0379082793670698
RNU6-2	GSM4260268	1.038948316513042
RNU6-2	GSM4260269	1.0230798935918088
RNU6-2	GSM4260270	1.0216766714505208
RNU6-2	GSM4260271	1.0501613654387998
RNU6-2	GSM4260272	1.0479148002729763
RNU6-2	GSM4260273	2.033573967676124
RNU6-2	GSM4260274	0.575569605707153
RNU6-2	GSM4260275	1.0465449856483902
RNU6-2	GSM4260276	1.0223186155344817
RNU6-2	GSM4735785	1.0563241502356806
RNU6-2	GSM4735786	1.0328233761163617
RNU6-2	GSM4735787	1.0290274164106328
RNU6-2	GSM4735788	1.036605295870177
RNU6-2	GSM4735789	1.0332065818978375
RNU6-2	GSM4735790	1.0309962873732228
RNU6-2	GSM4735791	1.0420507920279476
RNU6-2	GSM4735792	1.0501613654387998
RNU6-2	GSM4735793	1.0468399724791213
RNU6-2	GSM4735794	1.0392155353402404
RNU6-2	GSM4735795	1.0306957408604032
RNU6-2	GSM4735796	1.063226737528289
RNU6-2	GSM4735797	1.0534673182521803
RNU6-2	GSM4735798	1.0698070636077792
RNU6-2	GSM4735799	1.0562880644173278
RNU6-2	GSM4735800	1.0691353001232575
RNU6-2	GSM4735801	1.0450994152455737
RNU6-2	GSM4735802	1.0285261829956671
RNU6-2	GSM4735803	1.0256814406706618
RNU6-2	GSM4735804	1.041590214740965
RNU6-2	GSM5282507	4.018202351985005
RNU6-2	GSM5282508	2.040263226338608
RNU6-2	GSM5282509	1.0100156499625657
RNU6-2	GSM5282510	1.0488429247731252
RNU6-2	GSM5282511	1.0295288940925316
RNU6-2	GSM5282512	1.0223186155344817
RNU6-2	GSM5282513	2.0328197358360205
RNU6-2	GSM5282514	1.0045505879962513
RNU6-2	GSM5282515	1.024130326068477
RNU6-2	GSM5282516	1.032174835782654
RNU6-2	GSM5282517	1.0275807028156494
RNU6-2	GSM5282518	3.013651763988754
RNU6-2	GSM5282519	1.0528894166961578
RNU6-2	GSM5282520	1.0210351304622294
RNU6-2	GSM5282521	1.023224069826938
RNU6-2	GSM5282522	1.022581557181457
RNU6-2	GSM5282523	1.0030314290996496
RNU6-2	GSM5282524	1.011545386933744
RNU6-2	GSM5282525	1.0069631126805123
RNU6-2	GSM5282526	2.0091011759925026
RNU6-2	GSM5282527	1.0121809652873912
RNU6-2	GSM5282528	2.040263226338608
RNU6-2	GSM5282529	3.0182161432850565
RNU6-2	GSM5282530	1.019228895401757
RNU6-2	GSM5282531	2.0508354038694527
RNU6-2	GSM5282532	1.010650267145594
RNU6-2	GSM5282533	1
RNU6-2	GSM5282534	3.027365651530843
RNU6-2	GSM5282535	2.018243767687229
RNU6-2	GSM5282536	2.029745549006821
RNU6-2	GSM4260927	11.016660243515618
RNU6-2	GSM4260928	13.59902489109713
RNU6-2	GSM4260929	23.368066505894905
RNU6-2	GSM4260930	29.04392246017754
RNU6-2	GSM4260931	30.319508014367813
RNU6-2	GSM4260932	28.226431667346283
RNU6-2	GSM4260933	17
RNU6-2	GSM4260934	12.083557352166148
RNU6-2	GSM4260935	8.085202137164751
RNU6-2	GSM4260936	22.33731623103096
RNU6-2	GSM4260937	27.14688824520507
RNU6-2	GSM4260938	23.79638971535873
RNU6-2	GSM4260939	39.331040828728305
RNU6-2	GSM4260940	16.206955108146726
RNU6-2	GSM4260941	35.05300986573152
RNU6-2	GSM4260942	19
RNU6-2	GSM4260943	19.36534901263338
RNU6-2	GSM4260944	13.847533124873188
RNU6-2	GSM4260945	33.301022166839275
RNU6-2	GSM4260946	13.536849142581296
RNU6-2	GSM4260947	27.532591144750945
RNU6-2	GSM4260948	21.222655621138145
RNU6-2	GSM4260949	24.551063111217285
RNU6-2	GSM4260950	14.042440007395095
RNU6-2	GSM4260951	14
RNU6-2	GSM4260952	17
RNU6-2	GSM4260953	26
RNU6-2	GSM4260954	22.22034429917645
RNU6-2	GSM4260955	37.125412593423185
