Gene	sample	counts
RNU6-312P	GSM1022678	3.0319508014367815
RNU6-312P	GSM1022679	1.080829643118164
RNU6-312P	GSM1022680	2.0456891329147155
RNU6-312P	GSM1022681	2.046974488715816
RNU6-312P	GSM1022682	2.018243767687229
RNU6-312P	GSM1022683	5.076246600598374
RNU6-312P	GSM1022684	3.1258225363397196
RNU6-312P	GSM1022685	1.0268260621954932
RNU6-312P	GSM1022686	4.193111020656048
RNU6-312P	GSM1022687	3.2412387340596216
RNU6-312P	GSM1022688	8.346086049978837
RNU6-312P	GSM1022689	1.0212700412974676
RNU6-312P	GSM1022690	2.15968677010383
RNU6-312P	GSM1022691	3.203725932738249
RNU6-312P	GSM1022692	3.0518474891073786
RNU6-312P	GSM1022693	5.045609419218072
RNU6-312P	GSM1022694	5.211573493291243
RNU6-312P	GSM1022695	13.29356024335894
RNU6-312P	GSM1385778	4.006058270369316
RNU6-312P	GSM1385779	2.104716502821778
RNU6-312P	GSM1385780	2.0938462009197596
RNU6-312P	GSM1385781	5.040434226311836
RNU6-312P	GSM1385782	2.0100802746874153
RNU6-312P	GSM1385783	2.0887204707107414
RNU6-312P	GSM1415906	4.006058270369316
RNU6-312P	GSM1415907	2.0139262253610246
RNU6-312P	GSM1415908	5.06987355149613
RNU6-312P	GSM1415909	6.041778676083074
RNU6-312P	GSM1415910	2.0151916237615466
RNU6-312P	GSM1415911	7.0318541159737595
RNU6-312P	GSM1415912	1.1235925034328906
RNU6-312P	GSM1415913	1.1334188904283546
RNU6-312P	GSM1415914	2.173547705042712
RNU6-312P	GSM1415915	1.0718539595694612
RNU6-312P	GSM1415916	1.0717564809270177
RNU6-312P	GSM1415917	2.1745911525612533
RNU6-312P	GSM1415918	7.654024762002504
RNU6-312P	GSM1415919	4.374118287559646
RNU6-312P	GSM1415920	4.304104911522709
RNU6-312P	GSM1415921	2.1045859984777806
RNU6-312P	GSM2769390	1.0476453445591134
RNU6-312P	GSM2769391	4.147374860343385
RNU6-312P	GSM2769392	4.133306814759053
RNU6-312P	GSM2769393	1.0303488943225554
RNU6-312P	GSM2769394	4.062041774139546
RNU6-312P	GSM2769395	4.158847464346307
RNU6-312P	GSM2769396	4.089274462137927
RNU6-312P	GSM2769397	1.0460250461958456
RNU6-312P	GSM2769398	1.0481558953476182
RNU6-312P	GSM3103946	2.0139262253610246
RNU6-312P	GSM3103947	0.8967023540668838
RNU6-312P	GSM3103948	1.379249844164533
RNU6-312P	GSM3103949	2.5128121092156968
RNU6-312P	GSM3103950	2.575382237229877
RNU6-312P	GSM3103951	6
RNU6-312P	GSM3103952	5
RNU6-312P	GSM3103953	5.034815563402561
RNU6-312P	GSM3103954	4
RNU6-312P	GSM3103955	1.0518471568156444
RNU6-312P	GSM3103956	2.0456336476100665
RNU6-312P	GSM3103957	2.0284710117663445
RNU6-312P	GSM3103958	2.038457790803514
RNU6-312P	GSM3103959	1
RNU6-312P	GSM3103960	9
RNU6-312P	GSM3103961	6.930408708476468
RNU6-312P	GSM3103962	7.042504334331798
RNU6-312P	GSM3103963	1.0226627588381034
RNU6-312P	GSM3103964	1.0069631126805123
RNU6-312P	GSM3103965	1
RNU6-312P	GSM4260265	1.0263259010476733
RNU6-312P	GSM4260266	1.017949289364482
RNU6-312P	GSM4260267	4.151160728371051
RNU6-312P	GSM4260268	3.1168449495391264
RNU6-312P	GSM4260269	2.0469189685484124
RNU6-312P	GSM4260270	4.0877577919546475
RNU6-312P	GSM4260271	3.1520194270921245
RNU6-312P	GSM4260272	1.0485732304058435
RNU6-312P	GSM4260273	6.102291016454016
RNU6-312P	GSM4260274	1.804471142612419
RNU6-312P	GSM4260275	1.0472567835878563
RNU6-312P	GSM4260276	3.0677446715443706
RNU6-312P	GSM4735785	3.229363979475765
RNU6-312P	GSM4735786	3.1222840854447886
RNU6-312P	GSM4735787	3.1066259827856353
RNU6-312P	GSM4735788	3.1381830433410993
RNU6-312P	GSM4735789	2.0813370163748135
RNU6-312P	GSM4735790	3.1236116986667675
RNU6-312P	GSM4735791	2.1066897103226374
RNU6-312P	GSM4735792	2.1325991341744226
RNU6-312P	GSM4735793	3.1899413602873516
RNU6-312P	GSM4735794	2.0993115966329934
RNU6-312P	GSM4735795	2.080801831499678
RNU6-312P	GSM4735796	2.180572380717551
RNU6-312P	GSM4735797	9.685361951407424
RNU6-312P	GSM4735798	3.307584380434706
RNU6-312P	GSM4735799	2.1670438607160287
RNU6-312P	GSM4735800	3.300589996613401
RNU6-312P	GSM4735801	2.128154175138164
RNU6-312P	GSM4735802	9.33770996796568
RNU6-312P	GSM4735803	3.097566890962534
RNU6-312P	GSM4735804	3.176047717768669
RNU6-312P	GSM5282507	3.009094287298949
RNU6-312P	GSM5282508	1.0203939923164922
RNU6-312P	GSM5282509	2.016976452755298
RNU6-312P	GSM5282510	1.0507016405848535
RNU6-312P	GSM5282511	6.18122228503233
RNU6-312P	GSM5282512	1.022581557181457
RNU6-312P	GSM5282513	1.0161485132291883
RNU6-312P	GSM5282514	1.0039198009821009
RNU6-312P	GSM5282515	1.0238669861786047
RNU6-312P	GSM5282516	1.0330890196011069
RNU6-312P	GSM5282517	1.0281447131263994
RNU6-312P	GSM5282518	3.009094287298949
RNU6-312P	GSM5282519	1.0551829285636198
RNU6-312P	GSM5282520	1.0221745668813695
RNU6-312P	GSM5282521	8.183687703739094
RNU6-312P	GSM5282522	2.045163114362914
RNU6-312P	GSM5282523	4.006058270369316
RNU6-312P	GSM5282524	1.0111427890600695
RNU6-312P	GSM5282525	3.0182161432850565
RNU6-312P	GSM5282526	4.016260517573622
RNU6-312P	GSM5282527	1.011545386933744
RNU6-312P	GSM5282528	1.0195819146668483
RNU6-312P	GSM5282529	5.022752939981257
RNU6-312P	GSM5282530	1.018588891444416
RNU6-312P	GSM5282531	5.128407203353309
RNU6-312P	GSM5282532	1.0100156499625657
RNU6-312P	GSM5282533	4
RNU6-312P	GSM5282534	1.008488226377649
RNU6-312P	GSM5282535	3.023564900411822
RNU6-312P	GSM5282536	4.056831986938909
RNU6-312P	GSM4260927	1
RNU6-312P	GSM4260928	2.0429247761760787
RNU6-312P	GSM4260929	1.8733120821700917
RNU6-312P	GSM4260930	11
RNU6-312P	GSM4260931	3.009094287298949
RNU6-312P	GSM4260932	3.0021725959199936
RNU6-312P	GSM4260933	2.488844294873261
RNU6-312P	GSM4260934	5
RNU6-312P	GSM4260935	2.0121440955233707
RNU6-312P	GSM4260936	7.0852667570117385
RNU6-312P	GSM4260937	1
RNU6-312P	GSM4260938	3.120762957691742
RNU6-312P	GSM4260939	9
RNU6-312P	GSM4260940	2.0137955349929184
RNU6-312P	GSM4260941	3
RNU6-312P	GSM4260942	2.8045973920577456
RNU6-312P	GSM4260943	7.095997872424914
RNU6-312P	GSM4260944	0.7975125307412431
RNU6-312P	GSM4260945	2.0091011759925026
RNU6-312P	GSM4260946	5.335694624211062
RNU6-312P	GSM4260947	2.040263226338608
RNU6-312P	GSM4260948	2.2722133059268823
RNU6-312P	GSM4260949	2.0508354038694527
RNU6-312P	GSM4260950	2
RNU6-312P	GSM4260951	0.8327314063362963
RNU6-312P	GSM4260952	8.270052681303381
RNU6-312P	GSM4260953	8.557269435960965
RNU6-312P	GSM4260954	2.0121440955233707
RNU6-312P	GSM4260955	1.0380571030463166
RNU6-312P	GSM4260956	3.055766674333249
RNU6-312P	GSM4260957	0.8570770907697618
RNU6-312P	GSM4260958	2.0760578955675597
RNU6-312P	GSM4260959	2.0266760112001068
RNU6-312P	GSM4260960	2.010880610755931
RNU6-312P	GSM4260961	1.001514567592329
RNU6-312P	GSM4260962	2.003029135184658
RNU6-312P	GSM4260963	3
RNU6-312P	GSM4260964	7
RNU6-312P	GSM4260965	1.0418298547102676
