Gene	sample	counts
RP11-1102P22.2	GSM1022678	2.021300534291188
RP11-1102P22.2	GSM1022679	1.080829643118164
RP11-1102P22.2	GSM1022680	1.0228445664573578
RP11-1102P22.2	GSM1022681	1.023487244357908
RP11-1102P22.2	GSM1022682	5.045609419218072
RP11-1102P22.2	GSM1022683	1.0152493201196748
RP11-1102P22.2	GSM1022684	3.1258225363397196
RP11-1102P22.2	GSM1022685	1.0268260621954932
RP11-1102P22.2	GSM1022686	1.048277755164012
RP11-1102P22.2	GSM1022687	3.2412387340596216
RP11-1102P22.2	GSM1022688	3.1297822687420642
RP11-1102P22.2	GSM1022689	1.0212700412974676
RP11-1102P22.2	GSM1022690	3.239530155155745
RP11-1102P22.2	GSM1022691	1.067908644246083
RP11-1102P22.2	GSM1022692	4.069129985476505
RP11-1102P22.2	GSM1022693	2.018243767687229
RP11-1102P22.2	GSM1022694	2.084629397316497
RP11-1102P22.2	GSM1022695	3.0677446715443706
RP11-1102P22.2	GSM1385778	1.001514567592329
RP11-1102P22.2	GSM1385779	1.052358251410889
RP11-1102P22.2	GSM1385780	1.0469231004598798
RP11-1102P22.2	GSM1385781	1.0080868452623672
RP11-1102P22.2	GSM1385782	1.0050401373437077
RP11-1102P22.2	GSM1385783	1.0443602353553707
RP11-1102P22.2	GSM1415906	3.004543702776987
RP11-1102P22.2	GSM1415907	1.0069631126805123
RP11-1102P22.2	GSM1415908	1.013974710299226
RP11-1102P22.2	GSM1415909	1.0069631126805123
RP11-1102P22.2	GSM1415910	2.0151916237615466
RP11-1102P22.2	GSM1415911	1.0045505879962513
RP11-1102P22.2	GSM1415912	1.1235925034328906
RP11-1102P22.2	GSM1415913	1.1334188904283546
RP11-1102P22.2	GSM1415914	1.086773852521356
RP11-1102P22.2	GSM1415915	1.0718539595694612
RP11-1102P22.2	GSM1415916	1.0717564809270177
RP11-1102P22.2	GSM1415917	1.087295576280627
RP11-1102P22.2	GSM1415918	1.0934321088575003
RP11-1102P22.2	GSM1415919	1.0935295718899114
RP11-1102P22.2	GSM1415920	1.0760262278806771
RP11-1102P22.2	GSM1415921	1.0522929992388903
RP11-1102P22.2	GSM2769390	1.0476453445591134
RP11-1102P22.2	GSM2769391	1.0368437150858465
RP11-1102P22.2	GSM2769392	1.033326703689763
RP11-1102P22.2	GSM2769393	1.0303488943225554
RP11-1102P22.2	GSM2769394	1.0155104435348865
RP11-1102P22.2	GSM2769395	1.0397118660865767
RP11-1102P22.2	GSM2769396	2.0446372310689633
RP11-1102P22.2	GSM2769397	1.0460250461958456
RP11-1102P22.2	GSM2769398	2.0963117906952364
RP11-1102P22.2	GSM3103946	88.61275391588508
RP11-1102P22.2	GSM3103947	121.05481779902932
RP11-1102P22.2	GSM3103948	37.239745792442385
RP11-1102P22.2	GSM3103949	40.20499374745115
RP11-1102P22.2	GSM3103950	61.16532813420958
RP11-1102P22.2	GSM3103951	43
RP11-1102P22.2	GSM3103952	121
RP11-1102P22.2	GSM3103953	62.43171298619176
RP11-1102P22.2	GSM3103954	111
RP11-1102P22.2	GSM3103955	53.11828141919004
RP11-1102P22.2	GSM3103956	76.71126178537749
RP11-1102P22.2	GSM3103957	68.96801440005571
RP11-1102P22.2	GSM3103958	85.61522721374757
RP11-1102P22.2	GSM3103959	93
RP11-1102P22.2	GSM3103960	91
RP11-1102P22.2	GSM3103961	169.79501335767344
RP11-1102P22.2	GSM3103962	120.72864573140224
RP11-1102P22.2	GSM3103963	56.24645173609569
RP11-1102P22.2	GSM3103964	127.88431531042508
RP11-1102P22.2	GSM3103965	114
RP11-1102P22.2	GSM4260265	1.0263259010476733
RP11-1102P22.2	GSM4260266	6.107695736186893
RP11-1102P22.2	GSM4260267	1.0377901820927629
RP11-1102P22.2	GSM4260268	1.038948316513042
RP11-1102P22.2	GSM4260269	2.0469189685484124
RP11-1102P22.2	GSM4260270	1.021939447988662
RP11-1102P22.2	GSM4260271	1.0506731423640414
RP11-1102P22.2	GSM4260272	4.194292921623374
RP11-1102P22.2	GSM4260273	1.017048502742336
RP11-1102P22.2	GSM4260274	4.8119230469664505
RP11-1102P22.2	GSM4260275	1.0472567835878563
RP11-1102P22.2	GSM4260276	1.022581557181457
RP11-1102P22.2	GSM4735785	6.45872795895153
RP11-1102P22.2	GSM4735786	12.489136341779156
RP11-1102P22.2	GSM4735787	8.284335954095027
RP11-1102P22.2	GSM4735788	17.783037245599562
RP11-1102P22.2	GSM4735789	17.691364639185917
RP11-1102P22.2	GSM4735790	16.659262392889428
RP11-1102P22.2	GSM4735791	17.906862537742416
RP11-1102P22.2	GSM4735792	9.596696103784902
RP11-1102P22.2	GSM4735793	6.379882720574703
RP11-1102P22.2	GSM4735794	1.0496557983164967
RP11-1102P22.2	GSM4735795	1.040400915749839
RP11-1102P22.2	GSM4735796	1.0902861903587755
RP11-1102P22.2	GSM4735797	1.076151327934158
RP11-1102P22.2	GSM4735798	1.1025281268115683
RP11-1102P22.2	GSM4735799	2.1670438607160287
RP11-1102P22.2	GSM4735800	5.500983327689002
RP11-1102P22.2	GSM4735801	5.32038543784541
RP11-1102P22.2	GSM4735802	1.0375233297739646
RP11-1102P22.2	GSM4735803	8.26017837590009
RP11-1102P22.2	GSM4735804	1.058682572589556
RP11-1102P22.2	GSM5282507	78.23645146977267
RP11-1102P22.2	GSM5282508	89.7946713238513
RP11-1102P22.2	GSM5282509	121.01858716531788
RP11-1102P22.2	GSM5282510	153.40243952538862
RP11-1102P22.2	GSM5282511	63.87263027866741
RP11-1102P22.2	GSM5282512	59.3097303165245
RP11-1102P22.2	GSM5282513	119.90552456104422
RP11-1102P22.2	GSM5282514	94.36846129231746
RP11-1102P22.2	GSM5282515	228.3223379178289
RP11-1102P22.2	GSM5282516	299.595815684321
RP11-1102P22.2	GSM5282517	152.16541754270713
RP11-1102P22.2	GSM5282518	374.1307230541693
RP11-1102P22.2	GSM5282519	5.275914642818099
RP11-1102P22.2	GSM5282520	163.5479307010191
RP11-1102P22.2	GSM5282521	189.24777814896655
RP11-1102P22.2	GSM5282522	291.4357437967152
RP11-1102P22.2	GSM5282523	239.36198165456665
RP11-1102P22.2	GSM5282524	434.79139929582993
RP11-1102P22.2	GSM5282525	524.1635368838381
RP11-1102P22.2	GSM5282526	412.67076818068966
RP11-1102P22.2	GSM5282527	130.48935491445295
RP11-1102P22.2	GSM5282528	128.4673212480229
RP11-1102P22.2	GSM5282529	406.8429881384818
RP11-1102P22.2	GSM5282530	146.67680036799592
RP11-1102P22.2	GSM5282531	200.00788093077904
RP11-1102P22.2	GSM5282532	233.3136151413527
RP11-1102P22.2	GSM5282533	323
RP11-1102P22.2	GSM5282534	423.56505507861255
RP11-1102P22.2	GSM5282535	158.2332297882187
RP11-1102P22.2	GSM5282536	104.4634236636769
RP11-1102P22.2	GSM4260927	61
RP11-1102P22.2	GSM4260928	49.03019462822589
RP11-1102P22.2	GSM4260929	56.199362465102745
RP11-1102P22.2	GSM4260930	53
RP11-1102P22.2	GSM4260931	61.184917175078624
RP11-1102P22.2	GSM4260932	44.03186474015991
RP11-1102P22.2	GSM4260933	51.43611542738073
RP11-1102P22.2	GSM4260934	68
RP11-1102P22.2	GSM4260935	78.47361972541147
RP11-1102P22.2	GSM4260936	53.64559116023173
RP11-1102P22.2	GSM4260937	50
RP11-1102P22.2	GSM4260938	19.764832065381032
RP11-1102P22.2	GSM4260939	54
RP11-1102P22.2	GSM4260940	54.3724794448088
RP11-1102P22.2	GSM4260941	50
RP11-1102P22.2	GSM4260942	94.42144553261076
RP11-1102P22.2	GSM4260943	60.822838906499264
RP11-1102P22.2	GSM4260944	66.19354005152317
RP11-1102P22.2	GSM4260945	57.259383515786325
RP11-1102P22.2	GSM4260946	29.049892954038
RP11-1102P22.2	GSM4260947	67.32868646917407
RP11-1102P22.2	GSM4260948	81.04227457805881
RP11-1102P22.2	GSM4260949	117.92303572249352
RP11-1102P22.2	GSM4260950	73
RP11-1102P22.2	GSM4260951	72.44763235125777
RP11-1102P22.2	GSM4260952	36.755789694681695
RP11-1102P22.2	GSM4260953	96.98238694089092
RP11-1102P22.2	GSM4260954	48.291458292560904
RP11-1102P22.2	GSM4260955	31.141713091389494
RP11-1102P22.2	GSM4260956	46.855089006443144
RP11-1102P22.2	GSM4260957	89.13601744005523
RP11-1102P22.2	GSM4260958	47.74933159805388
RP11-1102P22.2	GSM4260959	55.73359030800293
RP11-1102P22.2	GSM4260960	63.342739238811824
RP11-1102P22.2	GSM4260961	116.17568984071016
RP11-1102P22.2	GSM4260962	99.14994219164058
RP11-1102P22.2	GSM4260963	82
RP11-1102P22.2	GSM4260964	53
RP11-1102P22.2	GSM4260965	45.84051360725177
RP11-1102P22.2	GSM4260966	39.26101121480031
RP11-1102P22.2	GSM4260967	54.32118329857531
RP11-1102P22.2	GSM4260968	65
RP11-1102P22.2	GSM4260969	49.07421381202412
RP11-1102P22.2	GSM4260970	74.80618466719854
RP11-1102P22.2	GSM4260971	53.15047187042752
RP11-1102P22.2	GSM4260972	45.45070424831546
RP11-1102P22.2	GSM4260973	50.22752939981257
RP11-1102P22.2	GSM4260974	33.50322756394927
RP11-1102P22.2	GSM4260975	60
RP11-1102P22.2	GSM4260976	48
RP11-1102P22.2	GSM4260977	48.413945904753824
RP11-1102P22.2	GSM4260978	58
RP11-1102P22.2	GSM4260979	68.57906100595771
RP11-1102P22.2	GSM4260980	59.751671044956666
RP11-1102P22.2	GSM4260981	36.561832749092545
RP11-1102P22.2	GSM4260982	39.11822573488634
RP11-1102P22.2	GSM4260983	43.53497587926716
RP11-1102P22.2	GSM4260984	58.59326562229953
RP11-1102P22.2	GSM4260985	43.11917132072615
RP11-1102P22.2	GSM4260986	48.11089985358384
RP11-1102P22.2	GSM4260987	61.84991271780108
RP11-1102P22.2	GSM4260988	78.90054018083204
RP11-1102P22.2	GSM4260989	93
RP11-1102P22.2	GSM4260990	82.8663618721806
RP11-1102P22.2	GSM4260991	65
RP11-1102P22.2	GSM4260992	89.8342850169486
RP11-1102P22.2	GSM4260993	64.87769483359921
RP11-1102P22.2	GSM4260994	45.7627528763572
RP11-1102P22.2	GSM4260995	70.68316762458957
RP11-1102P22.2	GSM4260996	41.38049656413318
RP11-1102P22.2	GSM4260997	108
RP11-1102P22.2	GSM4260998	68.22615570753133
RP11-1102P22.2	GSM4260999	100
RP11-1102P22.2	GSM4261000	31.54831370392587
RP11-1102P22.2	GSM4261001	89
RP11-1102P22.2	GSM4261002	28.841108908530348
RP11-1102P22.2	GSM4261003	92.22094683294618
RP11-1102P22.2	GSM4261004	59.21316984964748
RP11-1102P22.2	GSM4261005	61
RP11-1102P22.2	GSM4261006	85.43207423035622
RP11-1102P22.2	GSM4261007	45.41833185901459
RP11-1102P22.2	GSM4261008	95
RP11-1102P22.2	GSM4261009	28.733076057070264
RP11-1102P22.2	GSM4261010	8.451866290546329
RP11-1102P22.2	GSM4261011	86.03538204942825
RP11-1102P22.2	GSM4261012	8.260492704246445
RP11-1102P22.2	GSM4261013	22.696169918324134
RP11-1102P22.2	GSM4261014	45.19400177990561
RP11-1102P22.2	GSM4261015	87.92657324166666
RP11-1102P22.2	GSM4261016	60
RP11-1102P22.2	GSM4261017	51.510798148090856
RP11-1102P22.2	GSM4261018	65.052475146674
RP11-1102P22.2	GSM4261019	44.710534582084286
RP11-1102P22.2	GSM4261020	15.144040486294278
RP11-1102P22.2	GSM4261021	41.290271969082475
RP11-1102P22.2	GSM4261022	86.33710288446066
RP11-1102P22.2	GSM4261023	39
RP11-1102P22.2	GSM4261024	56.07588153693254
RP11-1102P22.2	GSM4261025	63.72858114178722
RP11-1102P22.2	GSM4261026	37.55877627696204
RP11-1102P22.2	GSM4261027	34.02654136098772
RP11-1102P22.2	GSM4818000	6.060093899775395
RP11-1102P22.2	GSM4818001	3.1089091213273568
RP11-1102P22.2	GSM4818002	2.052123993196664
RP11-1102P22.2	GSM4818003	4.161017276922323
RP11-1102P22.2	GSM4818004	2.260971343014608
RP11-1102P22.2	GSM4818005	2.1090342405019253
RP11-1102P22.2	GSM4818006	2.256377003681408
RP11-1102P22.2	GSM4818007	5.658855888764081
RP11-1102P22.2	GSM4818008	7.080817708536209
RP11-1102P22.2	GSM4818009	3.10467524048238
RP11-1102P22.2	GSM4818010	2.129600904865021
RP11-1102P22.2	GSM4818011	3.283112591932579
RP11-1102P22.2	GSM4818012	1.0121809652873912
RP11-1102P22.2	GSM4818013	1.027880340996568
RP11-1102P22.2	GSM4818014	6.70648679387942
RP11-1102P22.2	GSM4818015	1.057829734944553
RP11-1102P22.2	GSM4818016	8.329405271538963
RP11-1102P22.2	GSM4818017	4.068194010969344
RP11-1102P22.2	GSM4818018	1.0254177019347264
RP11-1102P22.2	GSM4818019	8.092363095469953
RP11-1102P22.2	GSM4818020	2.0174952216619175
RP11-1102P22.2	GSM4818021	3.0411419453249633
RP11-1102P22.2	GSM4818022	2.092660125338356
RP11-1102P22.2	GSM4818023	1.0674342407233524
RP11-1102P22.2	GSM3056394	1.0497377273402944
RP11-1102P22.2	GSM3056395	1.0858710662665785
RP11-1102P22.2	GSM3056396	1.1437151938023773
RP11-1102P22.2	GSM3056397	1.0501613654387998
RP11-1102P22.2	GSM3056398	1.0158407741390263
RP11-1102P22.2	GSM3056399	1.0723472218798682
RP11-1102P22.2	GSM3056400	1.0494734723877568
RP11-1102P22.2	GSM3056401	1.036605222020082
RP11-1102P22.2	GSM3056402	1.052407380707289
RP11-1102P22.2	GSM3056403	1.0353038006157715
RP11-1102P22.2	GSM3056404	1.0162167875209975
RP11-1102P22.2	GSM3056405	2.198082222243285
RP11-1102P22.2	GSM3056406	1.0606141753230238
RP11-1102P22.2	GSM3056407	1.0664498339999575
RP11-1102P22.2	GSM3056408	2.076350461390785
RP11-1102P22.2	GSM3056409	3.11408684335134
RP11-1102P22.2	GSM3056410	1.1452062622156345
RP11-1102P22.2	GSM3056411	1.1807153190041153
RP11-1102P22.2	GSM3056412	1.1424625287646533
RP11-1102P22.2	GSM3056413	1.107408486899727
RP11-1102P22.2	GSM3056414	1.022581557181457
RP11-1102P22.2	GSM3056415	1.0412863856031622
RP11-1102P22.2	GSM3056416	1.1448409451149657
RP11-1102P22.2	GSM3056417	1.0488429247731252
RP11-1102P22.2	GSM3056418	1.013077440794964
RP11-1102P22.2	GSM3056419	1.0763200270879894
RP11-1102P22.2	GSM3056420	3.065030014351562
RP11-1102P22.2	GSM3056421	1.0898175946994275
RP11-1102P22.2	GSM3056422	1.09040784690772
RP11-1102P22.2	GSM3056423	1.1684580227175894
RP11-1102P22.2	GSM3056424	1.0696150186571134
RP11-1102P22.2	GSM3056425	1.1364443104925224
RP11-1102P22.2	GSM3056426	1.0334723239435966
RP11-1102P22.2	GSM3056427	1.1198197414137918
RP11-1102P22.2	GSM3056428	3.086372163710644
RP11-1102P22.2	GSM3056429	1.0759211304041532
RP11-1102P22.2	GSM3056430	2.082573159968623
RP11-1102P22.2	GSM3056431	1.095313123907814
RP11-1102P22.2	GSM3056432	1.045497343871888
RP11-1102P22.2	GSM3056433	2.2666569294685823
RP11-1102P22.2	GSM3056434	2.055760681993136
