Gene	sample	counts
RP11-110I1.11	GSM1022678	87.87136154674322
RP11-110I1.11	GSM1022679	14.731702409978348
RP11-110I1.11	GSM1022680	54.99779888430192
RP11-110I1.11	GSM1022681	50.99346507445068
RP11-110I1.11	GSM1022682	28.04240789258521
RP11-110I1.11	GSM1022683	66.86311109246762
RP11-110I1.11	GSM1022684	34.92598675438566
RP11-110I1.11	GSM1022685	50.99346507445068
RP11-110I1.11	GSM1022686	20.632881743931037
RP11-110I1.11	GSM1022687	47.46083406404479
RP11-110I1.11	GSM1022688	55.60390302061275
RP11-110I1.11	GSM1022689	61.00721903028372
RP11-110I1.11	GSM1022690	29.463404819956697
RP11-110I1.11	GSM1022691	11.470278488386588
RP11-110I1.11	GSM1022692	35.48911486047291
RP11-110I1.11	GSM1022693	80.55704901444098
RP11-110I1.11	GSM1022694	14.3866245158454
RP11-110I1.11	GSM1022695	41.69898861243578
RP11-110I1.11	GSM1385778	48.14550859678318
RP11-110I1.11	GSM1385779	41.81616647235365
RP11-110I1.11	GSM1385780	46.88234346196205
RP11-110I1.11	GSM1385781	44.53596247264521
RP11-110I1.11	GSM1385782	50.37979059403867
RP11-110I1.11	GSM1385783	46.83008286843331
RP11-110I1.11	GSM1415906	95
RP11-110I1.11	GSM1415907	43.23393313125251
RP11-110I1.11	GSM1415908	44.50799702508474
RP11-110I1.11	GSM1415909	60.32641832267793
RP11-110I1.11	GSM1415910	38.23073781494405
RP11-110I1.11	GSM1415911	44.13338288038458
RP11-110I1.11	GSM1415912	30.31947369678616
RP11-110I1.11	GSM1415913	30.504794940315964
RP11-110I1.11	GSM1415914	28.55179144869491
RP11-110I1.11	GSM1415915	33.48050260775656
RP11-110I1.11	GSM1415916	38.738537391708505
RP11-110I1.11	GSM1415917	39.13001656406835
RP11-110I1.11	GSM1415918	37.268015835137874
RP11-110I1.11	GSM1415919	31.87032126510036
RP11-110I1.11	GSM1415920	43.0275202425295
RP11-110I1.11	GSM1415921	59.93338080842903
RP11-110I1.11	GSM2769390	47.05401056659818
RP11-110I1.11	GSM2769391	32.0577720651323
RP11-110I1.11	GSM2769392	46.44660780292848
RP11-110I1.11	GSM2769393	60.75241255955837
RP11-110I1.11	GSM2769394	62.943293501356166
RP11-110I1.11	GSM2769395	35.30486490842087
RP11-110I1.11	GSM2769396	68.43933356718759
RP11-110I1.11	GSM2769397	40.780142491051755
RP11-110I1.11	GSM2769398	40.85351943517042
RP11-110I1.11	GSM3103946	20
RP11-110I1.11	GSM3103947	54.264911893570215
RP11-110I1.11	GSM3103948	44.1662597130884
RP11-110I1.11	GSM3103949	52.45422444642919
RP11-110I1.11	GSM3103950	34.922374576159726
RP11-110I1.11	GSM3103951	66.45252835056901
RP11-110I1.11	GSM3103952	37
RP11-110I1.11	GSM3103953	24
RP11-110I1.11	GSM3103954	38.95328232856445
RP11-110I1.11	GSM3103955	47.93350170018871
RP11-110I1.11	GSM3103956	16.202787730553553
RP11-110I1.11	GSM3103957	44.23937343663048
RP11-110I1.11	GSM3103958	23.23035994913901
RP11-110I1.11	GSM3103959	28.564900257047015
RP11-110I1.11	GSM3103960	26
RP11-110I1.11	GSM3103961	52.60518509146964
RP11-110I1.11	GSM3103962	37
RP11-110I1.11	GSM3103963	26.300180060277345
RP11-110I1.11	GSM3103964	13
RP11-110I1.11	GSM3103965	40
RP11-110I1.11	GSM4260265	60.55322816181273
RP11-110I1.11	GSM4260266	60.04356479134279
RP11-110I1.11	GSM4260267	53.97123052708762
RP11-110I1.11	GSM4260268	60.25900235775645
RP11-110I1.11	GSM4260269	57.29247404114129
RP11-110I1.11	GSM4260270	60.27892361558072
RP11-110I1.11	GSM4260271	50.40774554106238
RP11-110I1.11	GSM4260272	44.01242161146501
RP11-110I1.11	GSM4260273	52.87292315957923
RP11-110I1.11	GSM4260274	24.173923439700427
RP11-110I1.11	GSM4260275	46.04797936852916
RP11-110I1.11	GSM4260276	52.138249392258565
RP11-110I1.11	GSM4735785	46.478262610369946
