Gene	sample	counts
RP11-120K19.3	GSM1022678	50.74964316090487
RP11-120K19.3	GSM1022679	32.66044980555358
RP11-120K19.3	GSM1022680	35.048682653755485
RP11-120K19.3	GSM1022681	43.30657016783011
RP11-120K19.3	GSM1022682	54.62952378080248
RP11-120K19.3	GSM1022683	42.87628474260327
RP11-120K19.3	GSM1022684	52.89074711942068
RP11-120K19.3	GSM1022685	64.30112154515649
RP11-120K19.3	GSM1022686	36.05606328537452
RP11-120K19.3	GSM1022687	42.137459867502734
RP11-120K19.3	GSM1022688	44.50191552588435
RP11-120K19.3	GSM1022689	39.072094368955526
RP11-120K19.3	GSM1022690	37.50812670831779
RP11-120K19.3	GSM1022691	41.52764216611139
RP11-120K19.3	GSM1022692	34.78194806922023
RP11-120K19.3	GSM1022693	46.620337488505974
RP11-120K19.3	GSM1022694	35.855259215159386
RP11-120K19.3	GSM1022695	35.0139172175653
RP11-120K19.3	GSM1385778	39.25353262172561
RP11-120K19.3	GSM1385779	44.62098629451993
RP11-120K19.3	GSM1385780	42.00179587463204
RP11-120K19.3	GSM1385781	39.626316288672946
RP11-120K19.3	GSM1385782	39.42798711161872
RP11-120K19.3	GSM1385783	41.83150257834843
RP11-120K19.3	GSM1415906	43.27181302769684
RP11-120K19.3	GSM1415907	42.59255341727703
RP11-120K19.3	GSM1415908	40.96457959059129
RP11-120K19.3	GSM1415909	42.577354068574365
RP11-120K19.3	GSM1415910	40.599714528723894
RP11-120K19.3	GSM1415911	40.404687367887746
RP11-120K19.3	GSM1415912	44.93545987539781
RP11-120K19.3	GSM1415913	45.426575817709214
RP11-120K19.3	GSM1415914	43.215444154697394
RP11-120K19.3	GSM1415915	42.196235746625774
RP11-120K19.3	GSM1415916	49.91127856103173
RP11-120K19.3	GSM1415917	43.07579703362148
RP11-120K19.3	GSM1415918	45.699548041927194
RP11-120K19.3	GSM1415919	43.455511672057966
RP11-120K19.3	GSM1415920	44.68317013804412
RP11-120K19.3	GSM1415921	43.15634427638102
RP11-120K19.3	GSM2769390	40.91545385672377
RP11-120K19.3	GSM2769391	43.88032679898476
RP11-120K19.3	GSM2769392	40.28667517732891
RP11-120K19.3	GSM2769393	43.13273025572633
RP11-120K19.3	GSM2769394	42.74252227604872
RP11-120K19.3	GSM2769395	43.63477415479811
RP11-120K19.3	GSM2769396	42.85414248403963
RP11-120K19.3	GSM2769397	44.008591162298224
RP11-120K19.3	GSM2769398	40.99528780443397
RP11-120K19.3	GSM3103946	24.23224771956402
RP11-120K19.3	GSM3103947	39.20669540524867
RP11-120K19.3	GSM3103948	77.68191279542684
RP11-120K19.3	GSM3103949	32.46698421165199
RP11-120K19.3	GSM3103950	39.16620961873332
RP11-120K19.3	GSM3103951	50
RP11-120K19.3	GSM3103952	6.032666046004229
RP11-120K19.3	GSM3103953	13.131523394563516
RP11-120K19.3	GSM3103954	32.14044654464947
RP11-120K19.3	GSM3103955	34.284691866997
RP11-120K19.3	GSM3103956	19.41476616570655
RP11-120K19.3	GSM3103957	1.0133047479406865
RP11-120K19.3	GSM3103958	27.55400842292594
RP11-120K19.3	GSM3103959	42.13253677822844
RP11-120K19.3	GSM3103960	1.002102653483695
RP11-120K19.3	GSM3103961	92.669055932267
RP11-120K19.3	GSM3103962	33.24349545238164
RP11-120K19.3	GSM3103963	79.75263683747724
RP11-120K19.3	GSM3103964	9.091054657774745
RP11-120K19.3	GSM3103965	50.13592377229886
RP11-120K19.3	GSM4260265	40.4471435902519
RP11-120K19.3	GSM4260266	45.35072084380424
RP11-120K19.3	GSM4260267	43.90144138561841
RP11-120K19.3	GSM4260268	40.84808955871953
RP11-120K19.3	GSM4260269	43.482703276828055
RP11-120K19.3	GSM4260270	43.36279865610531
RP11-120K19.3	GSM4260271	39.45042653135181
RP11-120K19.3	GSM4260272	39.20819958230665
RP11-120K19.3	GSM4260273	47.27648650266736
RP11-120K19.3	GSM4260274	24.419189787648044
RP11-120K19.3	GSM4260275	39.1426796079589
