Gene	sample	counts
RP11-34A14.3	GSM1022678	24.255606411494252
RP11-34A14.3	GSM1022679	6.508947435993388
RP11-34A14.3	GSM1022680	24.548269594976585
RP11-34A14.3	GSM1022681	28.668275613000933
RP11-34A14.3	GSM1022682	17.17026604936362
RP11-34A14.3	GSM1022683	31.452966266714657
RP11-34A14.3	GSM1022684	8.373746238412586
RP11-34A14.3	GSM1022685	8.223042727972544
RP11-34A14.3	GSM1022686	6.293057548638751
RP11-34A14.3	GSM1022687	8.758452800362289
RP11-34A14.3	GSM1022688	12.5940232568279
RP11-34A14.3	GSM1022689	11.231386435084522
RP11-34A14.3	GSM1022690	8.72257448276657
RP11-34A14.3	GSM1022691	6.44126352386291
RP11-34A14.3	GSM1022692	12.19378215875026
RP11-34A14.3	GSM1022693	8.067905811021191
RP11-34A14.3	GSM1022694	6.25507642582813
RP11-34A14.3	GSM1022695	8.175293839087201
RP11-34A14.3	GSM1385778	11
RP11-34A14.3	GSM1385779	9.708796033549486
RP11-34A14.3	GSM1385780	11.715038857726942
RP11-34A14.3	GSM1385781	13.102114568451228
RP11-34A14.3	GSM1385782	16.07280940794002
RP11-34A14.3	GSM1385783	15.937561277312742
RP11-34A14.3	GSM1415906	10
RP11-34A14.3	GSM1415907	8.048576382093483
RP11-34A14.3	GSM1415908	8.104619526359711
RP11-34A14.3	GSM1415909	8.048576382093483
RP11-34A14.3	GSM1415910	10.069631126805122
RP11-34A14.3	GSM1415911	8.024251432797197
RP11-34A14.3	GSM1415912	12.65172327555257
RP11-34A14.3	GSM1415913	25.598479068414314
RP11-34A14.3	GSM1415914	16.565303818208477
RP11-34A14.3	GSM1415915	19.4404096001393
RP11-34A14.3	GSM1415916	16.275544625334405
RP11-34A14.3	GSM1415917	18.825944277295356
RP11-34A14.3	GSM1415918	27.912545633894805
RP11-34A14.3	GSM1415919	8.907711068067753
RP11-34A14.3	GSM1415920	13.101704334806804
RP11-34A14.3	GSM1415921	10.6144046755286
RP11-34A14.3	GSM2769390	12.900444995263944
RP11-34A14.3	GSM2769391	12.676233620797836
RP11-34A14.3	GSM2769392	12.52587865183458
RP11-34A14.3	GSM2769393	12.389255870102124
RP11-34A14.3	GSM2769394	12.216361478156877
RP11-34A14.3	GSM2769395	12.678455944886652
RP11-34A14.3	GSM2769396	13.21591385218381
RP11-34A14.3	GSM2769397	13.568999213730692
RP11-34A14.3	GSM2769398	15.7146801683867
RP11-34A14.3	GSM3103946	9.090140849663092
RP11-34A14.3	GSM3103947	11.88924055841732
RP11-34A14.3	GSM3103948	27.946986776535887
RP11-34A14.3	GSM3103949	19.49210682492958
RP11-34A14.3	GSM3103950	12.64353372840086
RP11-34A14.3	GSM3103951	23
RP11-34A14.3	GSM3103952	9.04095529196626
RP11-34A14.3	GSM3103953	5.050078249812829
RP11-34A14.3	GSM3103954	13.039408578295443
RP11-34A14.3	GSM3103955	13.776630600607993
RP11-34A14.3	GSM3103956	4.111521363986272
RP11-34A14.3	GSM3103957	11.177633645521071
