Gene	sample	counts
RP11-396F22.1	GSM1022678	2.021300534291188
RP11-396F22.1	GSM1022679	1.0848245726655648
RP11-396F22.1	GSM1022680	1.0228445664573578
RP11-396F22.1	GSM1022681	3.071600958535814
RP11-396F22.1	GSM1022682	3.0300469498876974
RP11-396F22.1	GSM1022683	1.0146118150553114
RP11-396F22.1	GSM1022684	3.14015483940472
RP11-396F22.1	GSM1022685	1.027880340996568
RP11-396F22.1	GSM1022686	2.0976858495462505
RP11-396F22.1	GSM1022687	2.189613200090572
RP11-396F22.1	GSM1022688	2.0990038761379832
RP11-396F22.1	GSM1022689	2.0420702609244588
RP11-396F22.1	GSM1022690	2.1806436206916424
RP11-396F22.1	GSM1022691	1.0735439206438182
RP11-396F22.1	GSM1022692	2.0322970264583766
RP11-396F22.1	GSM1022693	2.016976452755298
RP11-396F22.1	GSM1022694	8.340101901104173
RP11-396F22.1	GSM1022695	3.0657351896577003
RP11-396F22.1	GSM1385778	3
RP11-396F22.1	GSM1385779	1.078755114838832
RP11-396F22.1	GSM1385780	3.1950105975618937
RP11-396F22.1	GSM1385781	2.0157099336078814
RP11-396F22.1	GSM1385782	2.0091011759925026
RP11-396F22.1	GSM1385783	3.1875122554625483
RP11-396F22.1	GSM1415906	4
RP11-396F22.1	GSM1415907	1.0060720477616854
RP11-396F22.1	GSM1415908	5.06538720397482
RP11-396F22.1	GSM1415909	2.0121440955233707
RP11-396F22.1	GSM1415910	2.0139262253610246
RP11-396F22.1	GSM1415911	3.009094287298949
RP11-396F22.1	GSM1415912	1.15015666141387
RP11-396F22.1	GSM1415913	1.163567230382469
RP11-396F22.1	GSM1415914	2.2087071757611305
RP11-396F22.1	GSM1415915	3.2400682666898835
RP11-396F22.1	GSM1415916	1.085036308355627
RP11-396F22.1	GSM1415917	1.107408486899727
RP11-396F22.1	GSM1415918	1.116501825355792
RP11-396F22.1	GSM1415919	1.1134638835084691
RP11-396F22.1	GSM1415920	1.0918086945672336
RP11-396F22.1	GSM1415921	1.06144046755286
RP11-396F22.1	GSM2769390	1.075037082938662
RP11-396F22.1	GSM2769391	1.056352801733153
RP11-396F22.1	GSM2769392	1.043823220986215
RP11-396F22.1	GSM2769393	1.032437989175177
RP11-396F22.1	GSM2769394	3.0540903695392188
RP11-396F22.1	GSM2769395	2.113075990814442
RP11-396F22.1	GSM2769396	6.099652547161758
RP11-396F22.1	GSM2769397	2.087538340573953
RP11-396F22.1	GSM2769398	1.0476453445591134
RP11-396F22.1	GSM3103946	3.0300469498876974
RP11-396F22.1	GSM3103947	1.829113932064203
RP11-396F22.1	GSM3103948	2.1497682135796836
RP11-396F22.1	GSM3103949	5.084897432590325
RP11-396F22.1	GSM3103950	1.3308982872000907
RP11-396F22.1	GSM3103951	1
RP11-396F22.1	GSM3103952	1.0045505879962513
RP11-396F22.1	GSM3103953	1.0100156499625657
RP11-396F22.1	GSM3103954	2.006062858199299
RP11-396F22.1	GSM3103955	1.059740815431384
RP11-396F22.1	GSM3103956	1.027880340996568
RP11-396F22.1	GSM3103957	2.0322970264583766
RP11-396F22.1	GSM3103958	1.024773811842789
RP11-396F22.1	GSM3103959	1.0030314290996496
RP11-396F22.1	GSM3103960	5
RP11-396F22.1	GSM3103961	0.8960188842937727
RP11-396F22.1	GSM3103962	2.0151916237615466
RP11-396F22.1	GSM3103963	4.108939618163019
RP11-396F22.1	GSM3103964	1.010650267145594
RP11-396F22.1	GSM3103965	1
RP11-396F22.1	GSM4260265	2.037177782888832
RP11-396F22.1	GSM4260266	1.010650267145594
RP11-396F22.1	GSM4260267	1.0522282763023092
RP11-396F22.1	GSM4260268	3.142127874395345
RP11-396F22.1	GSM4260269	2.031488166596925
RP11-396F22.1	GSM4260270	3.0365428958621736
RP11-396F22.1	GSM4260271	2.1807565434679077
RP11-396F22.1	GSM4260272	1.069256964373882
RP11-396F22.1	GSM4260273	5.034815563402561
RP11-396F22.1	GSM4260274	2.2378304886427
RP11-396F22.1	GSM4260275	1.0621840232928137
RP11-396F22.1	GSM4260276	3.0327306230356093
RP11-396F22.1	GSM4735785	6.531616532265597
RP11-396F22.1	GSM4735786	1.0466946141789792
RP11-396F22.1	GSM4735787	1.039438813329853
RP11-396F22.1	GSM4735788	1.053615776796551
RP11-396F22.1	GSM4735789	2.0839533465197264
RP11-396F22.1	GSM4735790	1.0502834584134653
RP11-396F22.1	GSM4735791	2.1111339810902083
RP11-396F22.1	GSM4735792	2.13791132141245
RP11-396F22.1	GSM4735793	1.0738200375043596
RP11-396F22.1	GSM4735794	2.1003227308775996
RP11-396F22.1	GSM4735795	2.0758165587341395
RP11-396F22.1	GSM4735796	2.176970141800284
RP11-396F22.1	GSM4735797	2.14824542456174
RP11-396F22.1	GSM4735798	1.1109774032735065
RP11-396F22.1	GSM4735799	2.157834183307323
RP11-396F22.1	GSM4735800	1.10922273025617
RP11-396F22.1	GSM4735801	2.120797924946873
RP11-396F22.1	GSM4735802	2.066526294610062
RP11-396F22.1	GSM4735803	1.033060999088088
RP11-396F22.1	GSM4735804	1.0622232944348375
RP11-396F22.1	GSM5282507	2
RP11-396F22.1	GSM5282508	2.058874270499667
RP11-396F22.1	GSM5282509	2.006062858199299
RP11-396F22.1	GSM5282510	2.15491313601923
RP11-396F22.1	GSM5282511	2.097146460811687
RP11-396F22.1	GSM5282512	2.066944647887193
RP11-396F22.1	GSM5282513	2.038457790803514
RP11-396F22.1	GSM5282514	2
RP11-396F22.1	GSM5282515	2.055760681993136
RP11-396F22.1	GSM5282516	2.105294465649626
RP11-396F22.1	GSM5282517	2.0863355470493974
RP11-396F22.1	GSM5282518	2
RP11-396F22.1	GSM5282519	2.1879299459755295
RP11-396F22.1	GSM5282520	2.082573159968623
RP11-396F22.1	GSM5282521	2.054180326326955
RP11-396F22.1	GSM5282522	2.056999340120669
RP11-396F22.1	GSM5282523	2
RP11-396F22.1	GSM5282524	2.0200312999251313
RP11-396F22.1	GSM5282525	2
RP11-396F22.1	GSM5282526	2
