Gene	sample	counts
RP11-410L14.1	GSM1022678	19.261658858130343
RP11-410L14.1	GSM1022679	7.850867029221132
RP11-410L14.1	GSM1022680	11.30505961672272
RP11-410L14.1	GSM1022681	23.68981878435739
RP11-410L14.1	GSM1022682	15.185423488155289
RP11-410L14.1	GSM1022683	19.336915024527
RP11-410L14.1	GSM1022684	7.435849666916726
RP11-410L14.1	GSM1022685	23.867855962556973
RP11-410L14.1	GSM1022686	11.70914718941538
RP11-410L14.1	GSM1022687	7.919434059473928
RP11-410L14.1	GSM1022688	7.457977991866094
RP11-410L14.1	GSM1022689	11.294899724975949
RP11-410L14.1	GSM1022690	7.885407245556571
RP11-410L14.1	GSM1022691	7.713329689336239
RP11-410L14.1	GSM1022692	7.134048619591525
RP11-410L14.1	GSM1022693	19.202133235348324
RP11-410L14.1	GSM1022694	11.618579357968622
RP11-410L14.1	GSM1022695	11.294899724975949
RP11-410L14.1	GSM1385778	12
RP11-410L14.1	GSM1385779	12.111548537501555
RP11-410L14.1	GSM1385780	13.005891843966392
RP11-410L14.1	GSM1385781	12.101059407835573
RP11-410L14.1	GSM1385782	13.06896789863173
RP11-410L14.1	GSM1385783	14.046260545911167
RP11-410L14.1	GSM1415906	13
RP11-410L14.1	GSM1415907	13.109481025155205
RP11-410L14.1	GSM1415908	10.169141582775405
RP11-410L14.1	GSM1415909	13.06896789863173
RP11-410L14.1	GSM1415910	13.086233428434555
RP11-410L14.1	GSM1415911	19.10079923646176
RP11-410L14.1	GSM1415912	15.788216629361273
RP11-410L14.1	GSM1415913	12.376800740232666
RP11-410L14.1	GSM1415914	11.433447914197968
RP11-410L14.1	GSM1415915	11.07099489315216
RP11-410L14.1	GSM1415916	11.147893847364353
RP11-410L14.1	GSM1415917	11.525442655723449
RP11-410L14.1	GSM1415918	17.461824053948575
RP11-410L14.1	GSM1415919	11.635086650764048
RP11-410L14.1	GSM1415920	11.301370871413436
RP11-410L14.1	GSM1415921	16.242854630620656
RP11-410L14.1	GSM2769390	12.040212833811838
RP11-410L14.1	GSM2769391	14.963993488350969
RP11-410L14.1	GSM2769392	11.574002522679717
RP11-410L14.1	GSM2769393	11.421482798696708
RP11-410L14.1	GSM2769394	11.213487355641202
RP11-410L14.1	GSM2769395	11.767999392275664
RP11-410L14.1	GSM2769396	18.385026521288744
RP11-410L14.1	GSM2769397	19.03689445888944
RP11-410L14.1	GSM2769398	10.63216079371224
RP11-410L14.1	GSM3103946	16.170217461345956
RP11-410L14.1	GSM3103947	20.205233373697407
RP11-410L14.1	GSM3103948	12.032561840668306
RP11-410L14.1	GSM3103949	5.021229503310518
RP11-410L14.1	GSM3103950	14.455737377576652
RP11-410L14.1	GSM3103951	1
RP11-410L14.1	GSM3103952	15.079578344575074
RP11-410L14.1	GSM3103953	2.023764990249097
RP11-410L14.1	GSM3103954	9.047747006745045
RP11-410L14.1	GSM3103955	10.47413570819229
RP11-410L14.1	GSM3103956	5.161282584754371
RP11-410L14.1	GSM3103957	1.0177323697119474
RP11-410L14.1	GSM3103958	9.249594231864045
RP11-410L14.1	GSM3103959	17
RP11-410L14.1	GSM3103960	1
RP11-410L14.1	GSM3103961	33.40758995400509
RP11-410L14.1	GSM3103962	6.050529703917786
RP11-410L14.1	GSM3103963	9.290308652557869
RP11-410L14.1	GSM3103964	8.098892527016153
RP11-410L14.1	GSM3103965	26
RP11-410L14.1	GSM4260265	15.320855434407289
RP11-410L14.1	GSM4260266	17.180856052680078
RP11-410L14.1	GSM4260267	11.679110948194436
RP11-410L14.1	GSM4260268	13.727511049217718
RP11-410L14.1	GSM4260269	7.134048619591525
RP11-410L14.1	GSM4260270	21.314268129070765
RP11-410L14.1	GSM4260271	14.481237336556616
RP11-410L14.1	GSM4260272	11.929068655816256
RP11-410L14.1	GSM4260273	15.079578344575074
RP11-410L14.1	GSM4260274	9.821017520825734
RP11-410L14.1	GSM4260275	11.819799208134745
RP11-410L14.1	GSM4260276	11.135977224647212
RP11-410L14.1	GSM4735786	6.2127387535217995
RP11-410L14.1	GSM4735787	6.171357650884924
RP11-410L14.1	GSM4735788	6.251316795448961
RP11-410L14.1	GSM4735790	6.245698717873978
RP11-410L14.1	GSM4735793	46.766790609226575
RP11-410L14.1	GSM4735798	12.203931105919423
RP11-410L14.1	GSM4735800	12.141610898745112
RP11-410L14.1	GSM4735803	33.76334500633898
RP11-410L14.1	GSM4735804	11.485943446653136
RP11-410L14.1	GSM4735785	15.136792781893089
RP11-410L14.1	GSM4735789	6.2183271832311124
RP11-410L14.1	GSM4735791	6.340934949433231
RP11-410L14.1	GSM4735792	31.305452916840093
RP11-410L14.1	GSM4735794	6.298297602369623
RP11-410L14.1	GSM4735795	11.425329525992924
RP11-410L14.1	GSM4735796	12.107118928472586
RP11-410L14.1	GSM4735797	11.971259199266283
RP11-410L14.1	GSM4735799	12.04757180879148
RP11-410L14.1	GSM4735801	11.731631938263366
RP11-410L14.1	GSM4735802	11.34325334559513
RP11-410L14.1	GSM5282507	26
RP11-410L14.1	GSM5282509	15
RP11-410L14.1	GSM5282510	1.0811994844209347
RP11-410L14.1	GSM5282511	23.050280327660687
RP11-410L14.1	GSM5282512	1.0331850435179522
RP11-410L14.1	GSM5282515	5.142798042404103
RP11-410L14.1	GSM5282516	9.47597890290767
RP11-410L14.1	GSM5282519	91.37585839886673
RP11-410L14.1	GSM5282521	12.330140490667844
RP11-410L14.1	GSM5282523	4
RP11-410L14.1	GSM5282524	1.0106385913341225
RP11-410L14.1	GSM5282526	6
RP11-410L14.1	GSM5282528	1.0223091146302523
RP11-410L14.1	GSM5282529	27
RP11-410L14.1	GSM5282513	11.210647830786682
RP11-410L14.1	GSM5282533	26.992617328257005
RP11-410L14.1	GSM5282534	18
RP11-410L14.1	GSM5282536	11.15148670733862
RP11-410L14.1	GSM5282525	17
RP11-410L14.1	GSM5282530	23.440445464372154
RP11-410L14.1	GSM5282514	21
RP11-410L14.1	GSM5282520	2.0818995726246596
RP11-410L14.1	GSM5282535	12
RP11-410L14.1	GSM5282522	16.459927123175856
RP11-410L14.1	GSM5282531	13.442212505065068
RP11-410L14.1	GSM5282508	1.0294848096363618
RP11-410L14.1	GSM5282518	10
RP11-410L14.1	GSM5282517	11.475620994053688
RP11-410L14.1	GSM5282527	3.0159156689150146
RP11-410L14.1	GSM5282532	19
