Gene	sample	counts
RP11-66B24.9	GSM1022678	3.0319508014367815
RP11-66B24.9	GSM1022679	1.0848245726655648
RP11-66B24.9	GSM1022680	1.0228445664573578
RP11-66B24.9	GSM1022681	1.0238669861786047
RP11-66B24.9	GSM1022682	5.050078249812829
RP11-66B24.9	GSM1022683	1.0146118150553114
RP11-66B24.9	GSM1022684	12.56061935761888
RP11-66B24.9	GSM1022685	1.027880340996568
RP11-66B24.9	GSM1022686	5.244214623865626
RP11-66B24.9	GSM1022687	6.568839600271716
RP11-66B24.9	GSM1022688	3.148505814206975
RP11-66B24.9	GSM1022689	6.126210782773376
RP11-66B24.9	GSM1022690	32.70965431037464
RP11-66B24.9	GSM1022691	1.0735439206438182
RP11-66B24.9	GSM1022692	1.0161485132291883
RP11-66B24.9	GSM1022693	70.59417584643542
RP11-66B24.9	GSM1022694	3.127538212914065
RP11-66B24.9	GSM1022695	1.0219117298859002
RP11-66B24.9	GSM1385778	13
RP11-66B24.9	GSM1385779	3.2362653445164953
RP11-66B24.9	GSM1385780	3.1950105975618937
RP11-66B24.9	GSM1385781	13.102114568451228
RP11-66B24.9	GSM1385782	8.03640470397001
RP11-66B24.9	GSM1385783	2.1250081703083654
RP11-66B24.9	GSM1415906	12
RP11-66B24.9	GSM1415907	27.163945289565508
RP11-66B24.9	GSM1415908	41.536175072593515
RP11-66B24.9	GSM1415909	44.26717010151416
RP11-66B24.9	GSM1415910	1.0069631126805123
RP11-66B24.9	GSM1415911	23.06972286929194
RP11-66B24.9	GSM1415912	1.15015666141387
RP11-66B24.9	GSM1415913	1.163567230382469
RP11-66B24.9	GSM1415914	1.1043535878805653
RP11-66B24.9	GSM1415915	1.0800227555632944
RP11-66B24.9	GSM1415916	7.5952541584893885
RP11-66B24.9	GSM1415917	1.107408486899727
RP11-66B24.9	GSM1415918	1.116501825355792
RP11-66B24.9	GSM1415919	1.1134638835084691
RP11-66B24.9	GSM1415920	1.0918086945672336
RP11-66B24.9	GSM1415921	1.06144046755286
RP11-66B24.9	GSM2769390	1.075037082938662
RP11-66B24.9	GSM2769391	1.056352801733153
RP11-66B24.9	GSM2769392	5.219116104931075
RP11-66B24.9	GSM2769393	21.681197772678715
RP11-66B24.9	GSM2769394	13.234391601336617
RP11-66B24.9	GSM2769395	3.169613986221663
RP11-66B24.9	GSM2769396	32.53148025152938
RP11-66B24.9	GSM2769397	3.131307510860929
RP11-66B24.9	GSM2769398	1.0476453445591134
RP11-66B24.9	GSM3103946	1.0100156499625657
RP11-66B24.9	GSM3103947	44.81329133557297
RP11-66B24.9	GSM3103948	2.8663576181062447
RP11-66B24.9	GSM3103949	27.11945297381507
RP11-66B24.9	GSM3103950	0.6654491436000454
RP11-66B24.9	GSM3103951	1
RP11-66B24.9	GSM3103952	8.03640470397001
RP11-66B24.9	GSM3103953	1.0100156499625657
RP11-66B24.9	GSM3103954	4.012125716398598
RP11-66B24.9	GSM3103955	11.657148969745224
RP11-66B24.9	GSM3103956	24.669128183917632
RP11-66B24.9	GSM3103957	1.0161485132291883
RP11-66B24.9	GSM3103958	1.024773811842789
RP11-66B24.9	GSM3103959	1.0030314290996496
RP11-66B24.9	GSM3103960	5
RP11-66B24.9	GSM3103961	18.81639657016923
RP11-66B24.9	GSM3103962	2.0151916237615466
RP11-66B24.9	GSM3103963	27.73534242260038
RP11-66B24.9	GSM3103964	26.27690694578544
RP11-66B24.9	GSM3103965	1
RP11-66B24.9	GSM4260265	7.130122240110913
RP11-66B24.9	GSM4260266	1.010650267145594
RP11-66B24.9	GSM4260267	11.5745110393254
RP11-66B24.9	GSM4260268	13.615887455713162
RP11-66B24.9	GSM4260269	1.0157440832984626
RP11-66B24.9	GSM4260270	26.31670509747217
RP11-66B24.9	GSM4260271	4.361513086935815
RP11-66B24.9	GSM4260272	1.069256964373882
RP11-66B24.9	GSM4260273	4.027852450722049
RP11-66B24.9	GSM4260274	11.189152443213498
RP11-66B24.9	GSM4260275	1.0621840232928137
RP11-66B24.9	GSM4260276	9.098191869106827
RP11-66B24.9	GSM4735785	4.354411021510398
RP11-66B24.9	GSM4735786	4.186778456715917
RP11-66B24.9	GSM4735787	4.157755253319412
RP11-66B24.9	GSM4735788	4.214463107186204
RP11-66B24.9	GSM4735789	6.251860039559179
RP11-66B24.9	GSM4735790	4.201133833653861
RP11-66B24.9	GSM4735791	6.3334019432706254
RP11-66B24.9	GSM4735792	6.413733964237349
RP11-66B24.9	GSM4735793	4.2952801500174385
RP11-66B24.9	GSM4735794	6.300968192632798
RP11-66B24.9	GSM4735795	6.227449676202418
RP11-66B24.9	GSM4735796	15.238790992601986
RP11-66B24.9	GSM4735797	6.44473627368522
RP11-66B24.9	GSM4735798	4.443909613094026
RP11-66B24.9	GSM4735799	6.473502549921968
RP11-66B24.9	GSM4735800	31.058236447172764
RP11-66B24.9	GSM4735801	14.845585474628107
RP11-66B24.9	GSM4735802	14.465684062270435
RP11-66B24.9	GSM4735803	4.132243996352352
RP11-66B24.9	GSM4735804	4.24889317773935
RP11-66B24.9	GSM5282507	7
RP11-66B24.9	GSM5282508	7.206059946748834
RP11-66B24.9	GSM5282509	7.021220003697548
RP11-66B24.9	GSM5282510	7.542195976067306
RP11-66B24.9	GSM5282511	7.340012612840904
RP11-66B24.9	GSM5282512	7.234306267605176
RP11-66B24.9	GSM5282513	7.134602267812298
RP11-66B24.9	GSM5282514	7
RP11-66B24.9	GSM5282515	7.195162386975976
RP11-66B24.9	GSM5282516	7.368530629773692
RP11-66B24.9	GSM5282517	7.302174414672891
RP11-66B24.9	GSM5282518	7
RP11-66B24.9	GSM5282519	7.657754810914353
RP11-66B24.9	GSM5282520	7.289006059890179
RP11-66B24.9	GSM5282521	7.189631142144342
RP11-66B24.9	GSM5282522	7.1994976904223424
RP11-66B24.9	GSM5282523	7
RP11-66B24.9	GSM5282524	7.0701095497379605
RP11-66B24.9	GSM5282525	7
RP11-66B24.9	GSM5282526	7
RP11-66B24.9	GSM5282527	7.042504334331798
RP11-66B24.9	GSM5282528	7.156230308741371
RP11-66B24.9	GSM5282529	7
RP11-66B24.9	GSM5282530	7.1399151087130805
RP11-66B24.9	GSM5282531	7.231426993616615
RP11-66B24.9	GSM5282532	7.027438606874704
RP11-66B24.9	GSM5282533	6.578753560309779
RP11-66B24.9	GSM5282534	7.021220003697548
RP11-66B24.9	GSM5282535	10
RP11-66B24.9	GSM5282536	7.095997872424914
RP11-66B24.9	GSM4260927	6
RP11-66B24.9	GSM4260928	4.209756508312242
RP11-66B24.9	GSM4260929	3.8685808314598535
RP11-66B24.9	GSM4260930	12
RP11-66B24.9	GSM4260931	6.009087405553974
RP11-66B24.9	GSM4260932	12
RP11-66B24.9	GSM4260933	9.96978356791598
RP11-66B24.9	GSM4260934	6
RP11-66B24.9	GSM4260935	6.0438125211503015
RP11-66B24.9	GSM4260936	6.087670890331868
RP11-66B24.9	GSM4260937	6
RP11-66B24.9	GSM4260938	6.284986363630637
RP11-66B24.9	GSM4260939	6
RP11-66B24.9	GSM4260940	6.036432286570113
RP11-66B24.9	GSM4260941	6
RP11-66B24.9	GSM4260942	5.688711558221126
RP11-66B24.9	GSM4260943	6.083848261795357
RP11-66B24.9	GSM4260944	4.8153905828388055
RP11-66B24.9	GSM4260945	12.054607055955016
RP11-66B24.9	GSM4260946	3.636068057283715
RP11-66B24.9	GSM4260947	6.137067398744146
RP11-66B24.9	GSM4260948	4.5914250447831355
RP11-66B24.9	GSM4260949	6.169358139269133
RP11-66B24.9	GSM4260950	6
RP11-66B24.9	GSM4260951	5.075273382024262
RP11-66B24.9	GSM4260952	5.50013992865968
RP11-66B24.9	GSM4260953	5.709976648688386
RP11-66B24.9	GSM4260954	6.036432286570113
RP11-66B24.9	GSM4260955	6.262939325917291
RP11-66B24.9	GSM4260956	12.249271037470772
RP11-66B24.9	GSM4260957	5.237922436504767
RP11-66B24.9	GSM4260958	6.262939325917291
RP11-66B24.9	GSM4260959	6.0984592075080615
RP11-66B24.9	GSM4260960	6.032641832267793
RP11-66B24.9	GSM4260961	6.014409576061708
RP11-66B24.9	GSM4260962	6.018188574597898
RP11-66B24.9	GSM4260963	6
RP11-66B24.9	GSM4260964	6
RP11-66B24.9	GSM4260965	6.2826553263015725
RP11-66B24.9	GSM4260966	5.685636468730448
RP11-66B24.9	GSM4260967	10.223440044340062
RP11-66B24.9	GSM4260968	6
RP11-66B24.9	GSM4260969	12.018174811107947
RP11-66B24.9	GSM4260970	4.753173442516241
RP11-66B24.9	GSM4260971	4.189920171349053
RP11-66B24.9	GSM4260972	6.066856734360417
RP11-66B24.9	GSM4260973	6.018188574597898
RP11-66B24.9	GSM4260974	6.090637605346028
RP11-66B24.9	GSM4260975	6
RP11-66B24.9	GSM4260976	6
RP11-66B24.9	GSM4260977	12.420451051596126
RP11-66B24.9	GSM4260978	12
RP11-66B24.9	GSM4260979	5.6766572920680725
RP11-66B24.9	GSM4260980	4.952499661245505
RP11-66B24.9	GSM4260981	4.352874372383682
RP11-66B24.9	GSM4260982	6.018188574597898
RP11-66B24.9	GSM4260983	6.083848261795357
RP11-66B24.9	GSM4260984	4.761269485923924
RP11-66B24.9	GSM4260985	4.472260106909283
RP11-66B24.9	GSM4260986	4.683923479865852
RP11-66B24.9	GSM4260987	6.318444019137346
RP11-66B24.9	GSM4260988	6.082283890649927
RP11-66B24.9	GSM4260989	6
RP11-66B24.9	GSM4260990	11.016119941001318
RP11-66B24.9	GSM4260991	6
RP11-66B24.9	GSM4260992	8.934223758498462
RP11-66B24.9	GSM4260993	6.0984592075080615
RP11-66B24.9	GSM4260994	5.665103100637185
RP11-66B24.9	GSM4260995	6.167282045979408
RP11-66B24.9	GSM4260996	4.9841605977893355
RP11-66B24.9	GSM4260997	6
RP11-66B24.9	GSM4260998	9.769599323894912
RP11-66B24.9	GSM4260999	6
RP11-66B24.9	GSM4261000	12.230746744821085
RP11-66B24.9	GSM4261001	12
RP11-66B24.9	GSM4261002	6.462451480883023
RP11-66B24.9	GSM4261003	6.009087405553974
RP11-66B24.9	GSM4261004	6.269789888352207
RP11-66B24.9	GSM4261005	6
RP11-66B24.9	GSM4261006	6.119215808934082
RP11-66B24.9	GSM4261007	6.37781465911043
RP11-66B24.9	GSM4261008	6
RP11-66B24.9	GSM4261009	6.174164498463797
RP11-66B24.9	GSM4261010	6.362221287693336
RP11-66B24.9	GSM4261011	6.082283890649927
RP11-66B24.9	GSM4261012	7.096234449786614
RP11-66B24.9	GSM4261013	6.210225525798063
RP11-66B24.9	GSM4261014	6.18122228503233
RP11-66B24.9	GSM4261015	6.074647797107046
RP11-66B24.9	GSM4261016	6
RP11-66B24.9	GSM4261017	6.073085791724347
RP11-66B24.9	GSM4261018	4.269712167254647
RP11-66B24.9	GSM4261019	6.109961858712511
RP11-66B24.9	GSM4261020	6.529487975068
RP11-66B24.9	GSM4261021	6.208628658617765
RP11-66B24.9	GSM4261022	17.077359995936273
RP11-66B24.9	GSM4261023	12
RP11-66B24.9	GSM4261024	6.271371058626021
RP11-66B24.9	GSM4261025	6.182093365935333
RP11-66B24.9	GSM4261026	6.289666530984071
RP11-66B24.9	GSM4261027	19.55017616023155
RP11-66B24.9	GSM4818000	7.059417584643542
RP11-66B24.9	GSM4818001	7.245263113431074
RP11-66B24.9	GSM4818002	7.179770084694632
RP11-66B24.9	GSM4818003	7.280105291643289
RP11-66B24.9	GSM4818004	7.975751886590625
RP11-66B24.9	GSM4818005	7.391951332148699
RP11-66B24.9	GSM4818006	8.001848189696657
RP11-66B24.9	GSM4818007	14.906159083253304
RP11-66B24.9	GSM4818008	7.0701095497379605
RP11-66B24.9	GSM4818009	7.234551167020687
RP11-66B24.9	GSM4818010	7.492857417700756
RP11-66B24.9	GSM4818011	7.720788799520312
RP11-66B24.9	GSM4818012	7.074551870019157
RP11-66B24.9	GSM4818013	7.176912516258348
RP11-66B24.9	GSM4818014	7.899493026503925
RP11-66B24.9	GSM4818015	7.433041644090433
RP11-66B24.9	GSM4818016	7.304883721528016
RP11-66B24.9	GSM4818017	7.113039592604318
RP11-66B24.9	GSM4818018	7.1679021549683295
RP11-66B24.9	GSM4818019	7.073555038255789
RP11-66B24.9	GSM4818020	7.053170683165413
RP11-66B24.9	GSM4818021	7.0852667570117385
RP11-66B24.9	GSM4818022	7.330511874873758
RP11-66B24.9	GSM4818023	7.507303259455003
RP11-66B24.9	GSM3056394	7.354911484093975
RP11-66B24.9	GSM3056395	7.678101039842374
RP11-66B24.9	GSM3056396	8.163955862703268
RP11-66B24.9	GSM3056397	7.351129558071598
