Gene	sample	counts
RP11-692D12.1	GSM1022678	10.107351456338558
RP11-692D12.1	GSM1022679	4.339157612123311
RP11-692D12.1	GSM1022680	10.228168238050332
RP11-692D12.1	GSM1022681	7.167068903250233
RP11-692D12.1	GSM1022682	7.0701095497379605
RP11-692D12.1	GSM1022683	4.058447260221246
RP11-692D12.1	GSM1022684	4.186873119206293
RP11-692D12.1	GSM1022685	7.195162386975976
RP11-692D12.1	GSM1022686	10.487648077875216
RP11-692D12.1	GSM1022687	7.663234403267161
RP11-692D12.1	GSM1022688	4.1980077522759665
RP11-692D12.1	GSM1022689	10.210351304622291
RP11-692D12.1	GSM1022690	7.632647902137677
RP11-692D12.1	GSM1022691	7.514807444506728
RP11-692D12.1	GSM1022692	10.161485132291885
RP11-692D12.1	GSM1022693	7.059417584643542
RP11-692D12.1	GSM1022694	7.297391230675963
RP11-692D12.1	GSM1022695	16.346826743208332
RP11-692D12.1	GSM1385778	9
RP11-692D12.1	GSM1385779	7.55027285723562
RP11-692D12.1	GSM1385780	7.454395663892496
RP11-692D12.1	GSM1385781	9.070694701235466
RP11-692D12.1	GSM1385782	8.03640470397001
RP11-692D12.1	GSM1385783	8.498446401639871
RP11-692D12.1	GSM1415906	11
RP11-692D12.1	GSM1415907	8.048576382093483
RP11-692D12.1	GSM1415908	9.117696967154677
RP11-692D12.1	GSM1415909	12.072864573140226
RP11-692D12.1	GSM1415910	6.041778676083074
RP11-692D12.1	GSM1415911	11.033345720096143
RP11-692D12.1	GSM1415912	6.900634091323776
RP11-692D12.1	GSM1415913	6.980419675514196
RP11-692D12.1	GSM1415914	6.625893691621608
RP11-692D12.1	GSM1415915	8.639964484880101
RP11-692D12.1	GSM1415916	11.936065006794577
RP11-692D12.1	GSM1415917	6.644450921398362
RP11-692D12.1	GSM1415918	8.931620613988418
RP11-692D12.1	GSM1415919	6.68107800167644
RP11-692D12.1	GSM1415920	6.551255112656759
RP11-692D12.1	GSM1415921	9.552728640485046
RP11-692D12.1	GSM2769390	9.67559617801342
RP11-692D12.1	GSM2769391	6.338006542384326
RP11-692D12.1	GSM2769392	9.394408988875936
RP11-692D12.1	GSM2769393	6.194473857263343
RP11-692D12.1	GSM2769394	14.251290051102751
RP11-692D12.1	GSM2769395	9.508515002195578
RP11-692D12.1	GSM2769396	9.149793431519557
RP11-692D12.1	GSM2769397	6.262056853505352
RP11-692D12.1	GSM2769398	6.285199126185885
RP11-692D12.1	GSM3103946	6.060093899775395
RP11-692D12.1	GSM3103947	18.28266269578352
RP11-692D12.1	GSM3103948	9.3141824372872
RP11-692D12.1	GSM3103949	8.474829054317208
RP11-692D12.1	GSM3103950	13.307489592710244
RP11-692D12.1	GSM3103951	11
RP11-692D12.1	GSM3103952	7.029804254825766
RP11-692D12.1	GSM3103953	11.110172149588225
RP11-692D12.1	GSM3103954	3.009094287298949
RP11-692D12.1	GSM3103955	7.947593682019331
RP11-692D12.1	GSM3103956	1.027880340996568
RP11-692D12.1	GSM3103957	1.0161485132291883
RP11-692D12.1	GSM3103958	1.0247107815171268
RP11-692D12.1	GSM3103959	12.036377149195795
RP11-692D12.1	GSM3103960	7
RP11-692D12.1	GSM3103961	6.274454146433029
RP11-692D12.1	GSM3103962	6.04557487128464
RP11-692D12.1	GSM3103963	5.136174522703774
RP11-692D12.1	GSM3103964	10.10650267145594
RP11-692D12.1	GSM3103965	8
RP11-692D12.1	GSM4260265	12.223066697332994
RP11-692D12.1	GSM4260266	14.149103740038314
RP11-692D12.1	GSM4260267	5.260710672972092
RP11-692D12.1	GSM4260268	7.331631706922472
RP11-692D12.1	GSM4260269	9.141696749686162
RP11-692D12.1	GSM4260270	9.10962868758652
RP11-692D12.1	GSM4260271	5.451743486811782
RP11-692D12.1	GSM4260272	5.346100992711515
RP11-692D12.1	GSM4260273	14.097483577527171
RP11-692D12.1	GSM4260274	6.712796074141118
RP11-692D12.1	GSM4260275	5.310825068459066
RP11-692D12.1	GSM4260276	8.087281661428293
RP11-692D12.1	GSM4735785	4.354767528858519
RP11-692D12.1	GSM4735786	11.514045002635768
RP11-692D12.1	GSM4735787	29.108831158063794
RP11-692D12.1	GSM4735788	4.214797771334777
RP11-692D12.1	GSM4735789	6.250979128261606
RP11-692D12.1	GSM4735790	4.2013796548103945
RP11-692D12.1	GSM4735791	6.332897705148844
RP11-692D12.1	GSM4735792	12.826324654479556
RP11-692D12.1	GSM4735793	4.2952801500174385
RP11-692D12.1	GSM4735794	9.451452288949197
RP11-692D12.1	GSM4735795	12.453482185113154
RP11-692D12.1	GSM4735796	9.796310008983069
RP11-692D12.1	GSM4735797	6.4440029663182035
RP11-692D12.1	GSM4735798	8.888960826033774
RP11-692D12.1	GSM4735799	6.472928816704277
RP11-692D12.1	GSM4735800	4.437636546430662
RP11-692D12.1	GSM4735801	6.3622831647685025
RP11-692D12.1	GSM4735802	9.298859237080537
RP11-692D12.1	GSM4735803	18.595097983585585
RP11-692D12.1	GSM4735804	4.249045570335798
RP11-692D12.1	GSM5282507	13
RP11-692D12.1	GSM5282508	12.3564228934695
RP11-692D12.1	GSM5282509	8.024251432797197
RP11-692D12.1	GSM5282510	1.0775306673725653
RP11-692D12.1	GSM5282511	31.465287743193755
RP11-692D12.1	GSM5282512	7.234306267605176
RP11-692D12.1	GSM5282513	7.1359254995018615
RP11-692D12.1	GSM5282514	23
RP11-692D12.1	GSM5282515	5.13940170498284
RP11-692D12.1	GSM5282516	3.158622645901596
RP11-692D12.1	GSM5282517	7.303605652728248
RP11-692D12.1	GSM5282518	11
RP11-692D12.1	GSM5282519	10.94246342168918
RP11-692D12.1	GSM5282520	3.1243303519346153
RP11-692D12.1	GSM5282521	6.163409427244529
RP11-692D12.1	GSM5282522	4.1141047319826685
RP11-692D12.1	GSM5282523	10
RP11-692D12.1	GSM5282524	7.0701095497379605
