Gene	sample	counts
RP3-395M20.3	GSM1022678	14.149103740038314
RP3-395M20.3	GSM1022679	1.080829643118164
RP3-395M20.3	GSM1022680	4.091378265829431
RP3-395M20.3	GSM1022681	8.187897954863264
RP3-395M20.3	GSM1022682	2.018243767687229
RP3-395M20.3	GSM1022683	6.0914959207180495
RP3-395M20.3	GSM1022684	4.167763381786293
RP3-395M20.3	GSM1022685	1.0268260621954932
RP3-395M20.3	GSM1022686	1.048277755164012
RP3-395M20.3	GSM1022687	6.482477468119243
RP3-395M20.3	GSM1022688	4.173043024989418
RP3-395M20.3	GSM1022689	5.106350206487338
RP3-395M20.3	GSM1022690	1.079843385051915
RP3-395M20.3	GSM1022691	1.067908644246083
RP3-395M20.3	GSM1022692	1.0172824963691265
RP3-395M20.3	GSM1022693	14.127706373810602
RP3-395M20.3	GSM1022694	1.0423146986582486
RP3-395M20.3	GSM1022695	1.022581557181457
RP3-395M20.3	GSM1385778	8.012116540738631
RP3-395M20.3	GSM1385779	9.471224262698
RP3-395M20.3	GSM1385780	8.375384803679038
RP3-395M20.3	GSM1385781	9.072781607361303
RP3-395M20.3	GSM1385782	11.055441510780785
RP3-395M20.3	GSM1385783	8.354881882842966
RP3-395M20.3	GSM1415906	12.018174811107947
RP3-395M20.3	GSM1415907	8.055704901444098
RP3-395M20.3	GSM1415908	6.083848261795357
RP3-395M20.3	GSM1415909	12.083557352166148
RP3-395M20.3	GSM1415910	5.037979059403867
RP3-395M20.3	GSM1415911	6.027303527977508
RP3-395M20.3	GSM1415912	1.1235925034328906
RP3-395M20.3	GSM1415913	3.4002566712850637
RP3-395M20.3	GSM1415914	1.086773852521356
RP3-395M20.3	GSM1415915	1.0718539595694612
RP3-395M20.3	GSM1415916	1.0717564809270177
RP3-395M20.3	GSM1415917	1.087295576280627
RP3-395M20.3	GSM1415918	1.0934321088575003
RP3-395M20.3	GSM1415919	1.0935295718899114
RP3-395M20.3	GSM1415920	1.0760262278806771
RP3-395M20.3	GSM1415921	2.1045859984777806
RP3-395M20.3	GSM2769390	19.90526154662315
RP3-395M20.3	GSM2769391	9.331593435772616
RP3-395M20.3	GSM2769392	14.466573851656689
RP3-395M20.3	GSM2769393	19.576628992128555
RP3-395M20.3	GSM2769394	15.232656653023296
RP3-395M20.3	GSM2769395	14.555966125212072
RP3-395M20.3	GSM2769396	28.624921234965484
RP3-395M20.3	GSM2769397	21.966525970112755
RP3-395M20.3	GSM2769398	13.626026639519036
RP3-395M20.3	GSM3103946	8.055704901444098
RP3-395M20.3	GSM3103947	5.380214124401302
RP3-395M20.3	GSM3103948	3.448124610411332
RP3-395M20.3	GSM3103949	4.188020182026161
RP3-395M20.3	GSM3103950	11.589220067534448
RP3-395M20.3	GSM3103951	3
RP3-395M20.3	GSM3103952	9
RP3-395M20.3	GSM3103953	1.0069631126805123
RP3-395M20.3	GSM3103954	2
RP3-395M20.3	GSM3103955	2.103694313631289
RP3-395M20.3	GSM3103956	1.0228168238050332
RP3-395M20.3	GSM3103957	1.0142355058831722
RP3-395M20.3	GSM3103958	1.019228895401757
RP3-395M20.3	GSM3103959	4
RP3-395M20.3	GSM3103960	2
RP3-395M20.3	GSM3103961	6.930408708476468
RP3-395M20.3	GSM3103962	1.0060720477616854
RP3-395M20.3	GSM3103963	1.0226627588381034
RP3-395M20.3	GSM3103964	1.0069631126805123
RP3-395M20.3	GSM3103965	2
RP3-395M20.3	GSM4260265	26.684473427239507
RP3-395M20.3	GSM4260266	28.502580102205503
RP3-395M20.3	GSM4260267	26.982544734411835
RP3-395M20.3	GSM4260268	27.012656229339093
RP3-395M20.3	GSM4260269	28.65686555967777
RP3-395M20.3	GSM4260270	26.570425647705207
RP3-395M20.3	GSM4260271	27.317501701465076
RP3-395M20.3	GSM4260272	27.26290399055193
RP3-395M20.3	GSM4260273	26.443261071300736
RP3-395M20.3	GSM4260274	17.443221045253384
RP3-395M20.3	GSM4260275	27.228676373284262
