Gene	sample	counts
RP4-671O14.5	GSM1022678	3.032205436901567
RP4-671O14.5	GSM1022679	3.2543682090924833
RP4-671O14.5	GSM1022680	2.0456336476100665
RP4-671O14.5	GSM1022681	4.095467944714419
RP4-671O14.5	GSM1022682	8.080125199700525
RP4-671O14.5	GSM1022683	2.029223630110623
RP4-671O14.5	GSM1022684	1.0467182798015733
RP4-671O14.5	GSM1022685	3.083641022989704
RP4-671O14.5	GSM1022686	1.0487648077875216
RP4-671O14.5	GSM1022687	1.0947477718953087
RP4-671O14.5	GSM1022688	1.0495019380689916
RP4-671O14.5	GSM1022689	1.0210351304622294
RP4-671O14.5	GSM1022690	3.2711348152018616
RP4-671O14.5	GSM1022691	1.0735439206438182
RP4-671O14.5	GSM1022692	1.0161485132291883
RP4-671O14.5	GSM1022693	1.008488226377649
RP4-671O14.5	GSM1022694	1.0424844615251376
RP4-671O14.5	GSM1022695	1.0216766714505208
RP4-671O14.5	GSM1385778	2
RP4-671O14.5	GSM1385779	1.078610408176517
RP4-671O14.5	GSM1385780	2.1298273325407133
RP4-671O14.5	GSM1385781	1.0078549668039407
RP4-671O14.5	GSM1385782	2.0091011759925026
RP4-671O14.5	GSM1385783	1.062305800204984
RP4-671O14.5	GSM1415906	1
RP4-671O14.5	GSM1415907	1.0060720477616854
RP4-671O14.5	GSM1415908	1.013077440794964
RP4-671O14.5	GSM1415909	1.0060720477616854
RP4-671O14.5	GSM1415910	1.0069631126805123
RP4-671O14.5	GSM1415911	1.0030314290996496
RP4-671O14.5	GSM1415912	1.150105681887296
RP4-671O14.5	GSM1415913	1.163403279252366
RP4-671O14.5	GSM1415914	1.1043156152702678
RP4-671O14.5	GSM1415915	1.079995560610013
RP4-671O14.5	GSM1415916	1.0850968187995071
RP4-671O14.5	GSM1415917	1.107408486899727
RP4-671O14.5	GSM1415918	1.1164525767485525
RP4-671O14.5	GSM1415919	1.1135130002794067
RP4-671O14.5	GSM1415920	1.0918758521094598
RP4-671O14.5	GSM1415921	1.0614142933872277
RP4-671O14.5	GSM2769390	1.075066242001491
RP4-671O14.5	GSM2769391	1.0563344237307208
RP4-671O14.5	GSM2769392	1.043823220986215
RP4-671O14.5	GSM2769393	1.0324123095438906
RP4-671O14.5	GSM2769394	1.017949289364482
RP4-671O14.5	GSM2769395	1.0565016669106198
RP4-671O14.5	GSM2769396	1.016643714613284
RP4-671O14.5	GSM2769397	1.043676142250892
RP4-671O14.5	GSM2769398	1.0475331876976477
RP4-671O14.5	GSM3103946	10.100156499625658
RP4-671O14.5	GSM3103947	18.28266269578352
RP4-671O14.5	GSM3103948	26.509596167663567
RP4-671O14.5	GSM3103949	7.627346148885487
RP4-671O14.5	GSM3103950	11.97674063343922
RP4-671O14.5	GSM3103951	16
RP4-671O14.5	GSM3103952	8.03406200551516
RP4-671O14.5	GSM3103953	4.040062599850263
RP4-671O14.5	GSM3103954	7.021220003697548
RP4-671O14.5	GSM3103955	10.066951997224486
RP4-671O14.5	GSM3103956	12.334564091958816
RP4-671O14.5	GSM3103957	7.113039592604318
RP4-671O14.5	GSM3103958	5.1235539075856344
RP4-671O14.5	GSM3103959	5.015157145498248
RP4-671O14.5	GSM3103960	5
RP4-671O14.5	GSM3103961	9.85985651582333
RP4-671O14.5	GSM3103962	5.037979059403867
RP4-671O14.5	GSM3103963	3.0817047136222646
RP4-671O14.5	GSM3103964	13.13845347289272
RP4-671O14.5	GSM3103965	9
RP4-671O14.5	GSM4260265	1.018588891444416
RP4-671O14.5	GSM4260266	1.010650267145594
RP4-671O14.5	GSM4260267	1.0521421345944184
RP4-671O14.5	GSM4260268	2.0947519162635633
RP4-671O14.5	GSM4260269	1.0157440832984626
RP4-671O14.5	GSM4260270	1.0121809652873912
RP4-671O14.5	GSM4260271	1.0903486973623564
RP4-671O14.5	GSM4260272	1.0692201985423029
RP4-671O14.5	GSM4260273	1.0069631126805123
RP4-671O14.5	GSM4260274	4.475197382760745
RP4-671O14.5	GSM4260275	1.0621650136918133
RP4-671O14.5	GSM4260276	1.0109102076785366
RP4-671O14.5	GSM4735785	2.1773837644292593
RP4-671O14.5	GSM4735786	6.280388183255874
RP4-671O14.5	GSM4735787	8.316808902303942
RP4-671O14.5	GSM4735788	6.3221966570021655
RP4-671O14.5	GSM4735789	7.292808982971873
RP4-671O14.5	GSM4735790	4.2013796548103945
RP4-671O14.5	GSM4735791	2.1109659017162814
RP4-671O14.5	GSM4735792	3.2065811636198887
