Gene	sample	counts
RP5-1116H23.4	GSM1022678	3.0413145565468964
RP5-1116H23.4	GSM1022679	3.364657298237628
RP5-1116H23.4	GSM1022680	3.0831980772880145
RP5-1116H23.4	GSM1022681	8.239936968472135
RP5-1116H23.4	GSM1022682	8.098892527016153
RP5-1116H23.4	GSM1022683	3.053197109135842
RP5-1116H23.4	GSM1022684	3.1867927143928823
RP5-1116H23.4	GSM1022685	3.113198603811779
RP5-1116H23.4	GSM1022686	3.1934037789314673
RP5-1116H23.4	GSM1022687	3.394043168345969
RP5-1116H23.4	GSM1022688	3.196276282228326
RP5-1116H23.4	GSM1022689	3.0804271977207125
RP5-1116H23.4	GSM1022690	3.3794602480956732
RP5-1116H23.4	GSM1022691	3.3057127240012454
RP5-1116H23.4	GSM1022692	3.057449408396368
RP5-1116H23.4	GSM1022693	8.085108730672978
RP5-1116H23.4	GSM1022694	8.449875896704453
RP5-1116H23.4	GSM1022695	3.0804271977207125
RP5-1116H23.4	GSM1385778	5
RP5-1116H23.4	GSM1385779	4.404199468182385
RP5-1116H23.4	GSM1385780	4.335297281322131
RP5-1116H23.4	GSM1385781	4.033686469278525
RP5-1116H23.4	GSM1385782	4.021220891886687
RP5-1116H23.4	GSM1385783	4.32192632181882
RP5-1116H23.4	GSM1415906	6
RP5-1116H23.4	GSM1415907	4.033686469278525
RP5-1116H23.4	GSM1415908	4.067656633110162
RP5-1116H23.4	GSM1415909	4.021220891886687
RP5-1116H23.4	GSM1415910	4.026533362595249
RP5-1116H23.4	GSM1415911	4.021220891886687
RP5-1116H23.4	GSM1415912	4.857912809034238
RP5-1116H23.4	GSM1415913	4.950720296093066
RP5-1116H23.4	GSM1415914	4.573379165679187
RP5-1116H23.4	GSM1415915	4.428397957260864
RP5-1116H23.4	GSM1415916	4.459157538945742
RP5-1116H23.4	GSM1415917	4.610177062289379
RP5-1116H23.4	GSM1415918	4.656486414386287
RP5-1116H23.4	GSM1415919	4.654034660305619
RP5-1116H23.4	GSM1415920	4.520548348565375
RP5-1116H23.4	GSM1415921	8.662855802997683
RP5-1116H23.4	GSM2769390	4.378259212295214
RP5-1116H23.4	GSM2769391	4.2754267109574196
RP5-1116H23.4	GSM2769392	4.208728190065352
RP5-1116H23.4	GSM2769393	8.306532944506698
RP5-1116H23.4	GSM2769394	4.07763176568771
RP5-1116H23.4	GSM2769395	4.27927250628206
RP5-1116H23.4	GSM2769396	4.085561449175277
RP5-1116H23.4	GSM2769397	4.230420990864321
RP5-1116H23.4	GSM2769398	4.252864317484896
RP5-1116H23.4	GSM3103946	1.0106385913341225
RP5-1116H23.4	GSM3103947	4.592098494022139
RP5-1116H23.4	GSM3103948	3.538988776667149
RP5-1116H23.4	GSM3103949	4.184357919425431
RP5-1116H23.4	GSM3103950	3.942473830248178
RP5-1116H23.4	GSM3103951	3
RP5-1116H23.4	GSM3103952	1.0053052229716717
RP5-1116H23.4	GSM3103953	5.059412475622742
RP5-1116H23.4	GSM3103954	3.0159156689150146
RP5-1116H23.4	GSM3103955	5.760774639505759
RP5-1116H23.4	GSM3103956	3.0967695508526227
RP5-1116H23.4	GSM3103957	1.0177323697119474
RP5-1116H23.4	GSM3103958	5.138663462146691
RP5-1116H23.4	GSM3103959	8
RP5-1116H23.4	GSM3103960	6
RP5-1116H23.4	GSM3103961	5.417447019568393
RP5-1116H23.4	GSM3103962	3.025264851958893
RP5-1116H23.4	GSM3103963	1.0322565169508742
RP5-1116H23.4	GSM3103964	3.0370846976310575
RP5-1116H23.4	GSM3103965	1
RP5-1116H23.4	GSM4260265	8.171122898350553
RP5-1116H23.4	GSM4260266	2.0212771826682445
RP5-1116H23.4	GSM4260267	2.123474717853534
RP5-1116H23.4	GSM4260268	4.223849553605452
RP5-1116H23.4	GSM4260269	8.153198422390314
RP5-1116H23.4	GSM4260270	8.119721192026958
RP5-1116H23.4	GSM4260271	4.455765334325113
RP5-1116H23.4	GSM4260272	2.168921573784774
RP5-1116H23.4	GSM4260273	8.042441783773373
RP5-1116H23.4	GSM4260274	6.799165975956277
RP5-1116H23.4	GSM4260275	2.1490544014790443
RP5-1116H23.4	GSM4260276	2.024723131754038
RP5-1116H23.4	GSM4735786	1.0354564589203
RP5-1116H23.4	GSM4735787	7.199917259365745
RP5-1116H23.4	GSM4735788	1.0418861325748268
RP5-1116H23.4	GSM4735790	1.0409497863123298
RP5-1116H23.4	GSM4735793	20.19475049034784
RP5-1116H23.4	GSM4735798	4.437793129425246
RP5-1116H23.4	GSM4735800	4.415131235907314
RP5-1116H23.4	GSM4735803	4.092526667435028
RP5-1116H23.4	GSM4735804	4.176706707873868
RP5-1116H23.4	GSM4735785	1.0811994844209347
RP5-1116H23.4	GSM4735789	7.254715047102965
RP5-1116H23.4	GSM4735791	13.738692390438668
RP5-1116H23.4	GSM4735792	1.079498376442762
RP5-1116H23.4	GSM4735794	1.0497162670616038
RP5-1116H23.4	GSM4735795	4.154665282179245
RP5-1116H23.4	GSM4735796	4.402588701262759
RP5-1116H23.4	GSM4735797	4.353185163369558
RP5-1116H23.4	GSM4735799	4.380935203196902
RP5-1116H23.4	GSM4735801	4.266047977550315
RP5-1116H23.4	GSM4735802	4.1248193983982295
RP5-1116H23.4	GSM5282507	11
RP5-1116H23.4	GSM5282509	20
RP5-1116H23.4	GSM5282510	1.0811994844209347
RP5-1116H23.4	GSM5282511	14.668360208511348
RP5-1116H23.4	GSM5282512	1.0331850435179522
RP5-1116H23.4	GSM5282515	1.0285596084808206
RP5-1116H23.4	GSM5282516	3.1586596343025564
RP5-1116H23.4	GSM5282519	19.81645121903134
RP5-1116H23.4	GSM5282521	7.192581952889575
RP5-1116H23.4	GSM5282523	4
RP5-1116H23.4	GSM5282524	1.0106385913341225
RP5-1116H23.4	GSM5282526	6
RP5-1116H23.4	GSM5282528	3.066927343890758
RP5-1116H23.4	GSM5282529	12
RP5-1116H23.4	GSM5282513	6.114898816792736
RP5-1116H23.4	GSM5282533	3.856088189751001
RP5-1116H23.4	GSM5282534	5
RP5-1116H23.4	GSM5282536	5.068857594244827
RP5-1116H23.4	GSM5282525	1
RP5-1116H23.4	GSM5282530	8.153198422390314
RP5-1116H23.4	GSM5282514	3
RP5-1116H23.4	GSM5282520	6.245698717873978
RP5-1116H23.4	GSM5282535	1
RP5-1116H23.4	GSM5282522	18.51741801357284
RP5-1116H23.4	GSM5282531	6.2040980792608
RP5-1116H23.4	GSM5282508	7.206393667454533
RP5-1116H23.4	GSM5282518	1
RP5-1116H23.4	GSM5282517	3.129714816560097
RP5-1116H23.4	GSM5282527	1.0053052229716717
RP5-1116H23.4	GSM5282532	6
