Gene	sample	counts
RPA1	GSM1022678	2017.427350685176
RPA1	GSM1022679	36.88283970304814
RPA1	GSM1022680	1384.893979432015
RPA1	GSM1022681	1800.9820286881657
RPA1	GSM1022682	119.18184669558276
RPA1	GSM1022683	1570.619089705622
RPA1	GSM1022684	880.2900733131231
RPA1	GSM1022685	1312.6031954526177
RPA1	GSM1022686	1630.829276109596
RPA1	GSM1022687	862.6612442535034
RPA1	GSM1022688	934.0567248814024
RPA1	GSM1022689	1972.6398720530271
RPA1	GSM1022690	654.2269630403723
RPA1	GSM1022691	1018.7931806909836
RPA1	GSM1022692	1921.536838516395
RPA1	GSM1022693	1493.571063265298
RPA1	GSM1022694	1193.6447084462825
RPA1	GSM1022695	1716.4168080368747
RPA1	GSM1385778	1858
RPA1	GSM1385779	986.9285234815133
RPA1	GSM1385780	716.68689739995
RPA1	GSM1385781	1300.132907177083
RPA1	GSM1385782	1989.0101642325776
RPA1	GSM1385783	734.0533079416439
RPA1	GSM1415906	2141
RPA1	GSM1415907	1974.9194297561885
RPA1	GSM1415908	1719.1924170290538
RPA1	GSM1415909	2219.394937362278
RPA1	GSM1415910	1727.948701359759
RPA1	GSM1415911	1793.4201952301737
RPA1	GSM1415912	771.7209125463756
RPA1	GSM1415913	707.3491937854386
RPA1	GSM1415914	1051.308465737295
RPA1	GSM1415915	1058.3956493978126
RPA1	GSM1415916	877.8433264088012
RPA1	GSM1415917	706.5266146420258
RPA1	GSM1415918	788.2155191844779
RPA1	GSM1415919	1067.858967267951
RPA1	GSM1415920	934.6457294056976
RPA1	GSM1415921	929.7989210072112
RPA1	GSM2769390	764.3720980630601
RPA1	GSM2769391	917.9546142219964
RPA1	GSM2769392	1316.2610816636172
RPA1	GSM2769393	1730.3230307955607
RPA1	GSM2769394	1681.652226030125
RPA1	GSM2769395	1169.547345270056
RPA1	GSM2769396	1701.8615782626375
RPA1	GSM2769397	1110.4714153549492
RPA1	GSM2769398	1016.107192066718
RPA1	GSM3103946	800.9424104203147
RPA1	GSM3103947	1115.242424442795
RPA1	GSM3103948	1058.2344199902457
RPA1	GSM3103949	2167.0137891889103
RPA1	GSM3103950	1008.042336647801
RPA1	GSM3103951	1505
RPA1	GSM3103952	895.7979136149404
RPA1	GSM3103953	840.3330207688547
RPA1	GSM3103954	846.5585261601043
RPA1	GSM3103955	1261.0181975470673
RPA1	GSM3103956	559.166905502133
RPA1	GSM3103957	1148.2478199489826
RPA1	GSM3103958	933.5115219621024
RPA1	GSM3103959	889.6888776113892
RPA1	GSM3103960	905
RPA1	GSM3103961	1229.7930127008735
RPA1	GSM3103962	1120.44654281142
RPA1	GSM3103963	828.9785679643891
RPA1	GSM3103964	819.6373666550766
RPA1	GSM3103965	1481
RPA1	GSM4260265	1669.467193077398
RPA1	GSM4260266	1620.0723782343869
RPA1	GSM4260267	1126.844226150622
RPA1	GSM4260268	1243.2352623024249
RPA1	GSM4260269	1430.1676692842352
RPA1	GSM4260270	1716.6589171274154
RPA1	GSM4260271	810.1290821402307
RPA1	GSM4260272	745.2464783839852
RPA1	GSM4260273	1860.8678322335868
RPA1	GSM4260274	642.190824426167
RPA1	GSM4260275	765.8209748717974
RPA1	GSM4260276	1488.0598257028057
RPA1	GSM4735785	802.365917192182
RPA1	GSM4735786	1623.4803453716434
RPA1	GSM4735787	2002.2717432296736
RPA1	GSM4735788	1733.335583461427
RPA1	GSM4735789	1678.3878959382412
RPA1	GSM4735790	1571.3159908990876
RPA1	GSM4735791	2042.3595099105023
RPA1	GSM4735792	1371.347877641439
RPA1	GSM4735793	1121.0681191545516
RPA1	GSM4735794	1302.2000931441116
RPA1	GSM4735795	831.269935856303
RPA1	GSM4735796	844.659618552318
RPA1	GSM4735797	562.7762590584564
RPA1	GSM4735798	908.8962444619534
RPA1	GSM4735799	630.0317381592163
RPA1	GSM4735800	798.7745783575191
RPA1	GSM4735801	863.1497493535935
RPA1	GSM4735802	2510.691994011745
RPA1	GSM4735803	1625.004951565562
RPA1	GSM4735804	1140.8687356351616
RPA1	GSM5282507	1635
RPA1	GSM5282508	942.1772456270494
RPA1	GSM5282509	1617.8896951377349
RPA1	GSM5282510	690.6971577858144
RPA1	GSM5282511	782.4368218807514
RPA1	GSM5282512	1077.9116338731712
RPA1	GSM5282513	1206.990827344315
RPA1	GSM5282514	1390
RPA1	GSM5282515	1381.4711782993877
RPA1	GSM5282516	986.5431397365984
RPA1	GSM5282517	844.0881390081647
RPA1	GSM5282518	1626
RPA1	GSM5282519	590.8930247712157
RPA1	GSM5282520	821.6988825588038
RPA1	GSM5282521	1029.2893743498364
RPA1	GSM5282522	924.6450385131049
RPA1	GSM5282523	1703
RPA1	GSM5282524	1909.939594079212
RPA1	GSM5282525	1804
RPA1	GSM5282526	1566
RPA1	GSM5282527	1477.919838161916
RPA1	GSM5282528	1273.1140386909135
RPA1	GSM5282529	1810
RPA1	GSM5282530	1093.5810893174942
RPA1	GSM5282531	1025.8295720944711
RPA1	GSM5282532	1344.2486135150327
RPA1	GSM5282533	1696.594441182447
RPA1	GSM5282534	1385.186403586616
RPA1	GSM5282535	1532
RPA1	GSM5282536	1093.0647377025657
RPA1	GSM4260927	1184
RPA1	GSM4260928	1224.1827140366238
RPA1	GSM4260929	902.0415629318312
RPA1	GSM4260930	2419
RPA1	GSM4260931	1550.3445506329251
RPA1	GSM4260932	1415
RPA1	GSM4260933	1051.0935770831688
RPA1	GSM4260934	1472
RPA1	GSM4260935	708.240047922593
RPA1	GSM4260936	596.5917472525231
RPA1	GSM4260937	1445
RPA1	GSM4260938	1566.0515783481992
RPA1	GSM4260939	2031
RPA1	GSM4260940	1624.806357135122
RPA1	GSM4260941	1741
RPA1	GSM4260942	1002.9659916276394
RPA1	GSM4260943	1569.632851543202
RPA1	GSM4260944	1164.518929641971
RPA1	GSM4260945	1571.117119626137
RPA1	GSM4260946	1296.8087221721628
RPA1	GSM4260947	790.6588498715375
RPA1	GSM4260948	1235.8357702790745
RPA1	GSM4260949	792.7625208960836
RPA1	GSM4260950	1037
RPA1	GSM4260951	1592.198938394134
RPA1	GSM4260952	1375.719870869477
RPA1	GSM4260953	1846.97994624705
RPA1	GSM4260954	1041.2845694333444
RPA1	GSM4260955	745.2897797841575
RPA1	GSM4260956	734.9562622482463
RPA1	GSM4260957	1153.8820930176707
RPA1	GSM4260958	745.2897797841575
RPA1	GSM4260959	804.9966153910641
RPA1	GSM4260960	1301.0397551590877
RPA1	GSM4260961	1088.608133267169
RPA1	GSM4260962	1413.2712836014064
RPA1	GSM4260963	1178
RPA1	GSM4260964	1760
RPA1	GSM4260965	967.639022013078
RPA1	GSM4260966	2088.794306163724
RPA1	GSM4260967	878.4557259822
RPA1	GSM4260968	768
RPA1	GSM4260969	1407.1279674672223
RPA1	GSM4260970	580.557890843172
RPA1	GSM4260971	604.3837300650431
RPA1	GSM4260972	1276.0621997938078
RPA1	GSM4260973	1889.71121242374
RPA1	GSM4260974	1796.850554253334
RPA1	GSM4260975	1079
RPA1	GSM4260976	1861
RPA1	GSM4260977	715.2109730544103
RPA1	GSM4260978	1709
RPA1	GSM4260979	1504.381864075728
RPA1	GSM4260980	1344.5761424006466
RPA1	GSM4260981	1491.6495084826197
RPA1	GSM4260982	2845.600164355706
RPA1	GSM4260983	2203.367045480218
RPA1	GSM4260984	2440.3723604470583
RPA1	GSM4260985	1415.8798157719104
RPA1	GSM4260986	1045.8349687075277
RPA1	GSM4260987	601.3052558212374
RPA1	GSM4260988	917.411153506364
RPA1	GSM4260989	1982
RPA1	GSM4260990	1275.5243656565622
RPA1	GSM4260991	918
RPA1	GSM4260992	1424.1376209977766
RPA1	GSM4260993	698.273579259673
RPA1	GSM4260994	947.6911190709956
RPA1	GSM4260995	830.527315525227
RPA1	GSM4260996	935.1216023035128
RPA1	GSM4260997	1115
RPA1	GSM4260998	1230.7428215247282
RPA1	GSM4260999	1245
RPA1	GSM4261000	1056.940364531622
RPA1	GSM4261001	867
RPA1	GSM4261002	1073.8996291732176
RPA1	GSM4261003	851.2873824534796
RPA1	GSM4261004	875.6699073058307
RPA1	GSM4261005	1071
RPA1	GSM4261006	611.9215808934082
RPA1	GSM4261007	1059.8003602300184
RPA1	GSM4261008	1529
RPA1	GSM4261009	968.0920686839054
RPA1	GSM4261010	316.0069476029968
RPA1	GSM4261011	1298.5676106537592
RPA1	GSM4261012	1.1829871654168171
RPA1	GSM4261013	1406.9397035223492
RPA1	GSM4261014	869.4919347612145
RPA1	GSM4261015	733.0075008509168
RPA1	GSM4261016	1054
RPA1	GSM4261017	752.0504572085316
RPA1	GSM4261018	874.2146367266473
RPA1	GSM4261019	1028.510246216606
RPA1	GSM4261020	546.3764877947674
RPA1	GSM4261021	1104.2294938649
RPA1	GSM4261022	717.2491198293235
RPA1	GSM4261023	594
RPA1	GSM4261024	912.40316200646
RPA1	GSM4261025	1170.476343950423
RPA1	GSM4261026	2157.408819885333
RPA1	GSM4261027	976.5241360917856
RPA1	GSM4818000	2003.866105812388
RPA1	GSM4818001	1468.718336851242
RPA1	GSM4818002	1455.441964311669
RPA1	GSM4818003	1931.46129461409
RPA1	GSM4818004	393.1041453730506
RPA1	GSM4818005	652.6983121978518
RPA1	GSM4818006	460.7558463176751
RPA1	GSM4818007	841.8691316849643
RPA1	GSM4818008	1529.1636940433243
RPA1	GSM4818009	1511.2841606730035
RPA1	GSM4818010	1244.9673667934246
RPA1	GSM4818011	1150.429597713365
RPA1	GSM4818012	1886.8840487608236
RPA1	GSM4818013	1990.2673228196247
RPA1	GSM4818014	588.0438910069661
RPA1	GSM4818015	1134.151601192952
RPA1	GSM4818016	1241.9746092785615
RPA1	GSM4818017	1781.308343690767
RPA1	GSM4818018	1658.0669979048644
RPA1	GSM4818019	2147.631817684387
RPA1	GSM4818020	1662.533089603276
RPA1	GSM4818021	1473.7354854584414
RPA1	GSM4818022	539.3372435477461
RPA1	GSM4818023	498.7988939280417
RPA1	GSM3056394	1139.0901885427108
RPA1	GSM3056395	974.0219604828612
RPA1	GSM3056396	787.3338446052362
RPA1	GSM3056397	1144.6758883282916
RPA1	GSM3056398	2308.2418792508333
RPA1	GSM3056399	1073.663509647173
RPA1	GSM3056400	884.9235746755929
RPA1	GSM3056401	1054.9876661822016
RPA1	GSM3056402	1217.2785283012065
RPA1	GSM3056403	2020.154175561892
RPA1	GSM3056404	1741.0738746349143
RPA1	GSM3056405	766.2742963265764
RPA1	GSM3056406	942.4924518480072
RPA1	GSM3056407	941.064944603227
RPA1	GSM3056408	1488.1823364328743
RPA1	GSM3056409	1449.546829804158
RPA1	GSM3056410	568.4439712464662
RPA1	GSM3056411	822.6601079181652
RPA1	GSM3056412	666.0873989940033
RPA1	GSM3056413	745.9763195572891
RPA1	GSM3056414	1804.725932854027
RPA1	GSM3056415	1269.1274075667566
RPA1	GSM3056416	1027.7975801031023
RPA1	GSM3056417	1409.2418640505318
RPA1	GSM3056418	2550.460601509071
RPA1	GSM3056419	942.2852001149035
RPA1	GSM3056420	1735.620043006119
RPA1	GSM3056421	1231.899611777992
RPA1	GSM3056422	873.7208870161444
RPA1	GSM3056423	445.7198785690277
RPA1	GSM3056424	1164.7951538985428
RPA1	GSM3056425	777.5919388862989
RPA1	GSM3056426	1163.3868894604464
RPA1	GSM3056427	840.2619230996072
RPA1	GSM3056428	1759.9798706030756
RPA1	GSM3056429	1311.491151561046
RPA1	GSM3056430	1664.1296993653211
RPA1	GSM3056431	1175.690704833907
RPA1	GSM3056432	1304.483489906511
RPA1	GSM3056433	756.0045853379486
RPA1	GSM3056434	1399.0294850747823
RPA1	GSM3056435	761.0127229133855
RPA1	GSM3056436	810.7716951584307
RPA1	GSM3056437	1014.519753153478
RPA1	GSM3056438	1210.4812297558922
RPA1	GSM3056439	1186.8043616096447
RPA1	GSM3056440	535.5832008261623
RPA1	GSM3056441	763.5696196906085
RPA1	GSM3056442	2068.8978930474277
RPA1	GSM3056443	1656.166346424394
RPA1	GSM3056444	868.490039807385
RPA1	GSM3056445	1458.367960974912
RPA1	GSM3056446	1370.4930269991276
RPA1	GSM3056447	1843.7519854374575
RPA1	GSM3056448	1830.216570908512
RPA1	GSM3056449	1278.6733509659489
RPA1	GSM3056450	1983.24241190435
RPA1	GSM3056451	866.5561943651411
RPA1	GSM3056452	1734.3953299434731
RPA1	GSM3056453	1688.8622796807113
RPA1	GSM3056454	1013.771608592554
RPA1	GSM3056455	1479.0994777745957
RPA1	GSM3056456	1300.4705523288817
RPA1	GSM3056457	1076.5554011816866
RPA1	GSM3056458	486.6282575840434
RPA1	GSM3056459	637.1818364294847
RPA1	GSM3056460	1112.3358559204278
RPA1	GSM3056461	940.8743612784376
RPA1	GSM3056462	777.3443446251408
RPA1	GSM3056463	943.9286538993792
RPA1	GSM3056464	963.5587427997845
RPA1	GSM3056465	793.1477045519221
RPA1	GSM3056466	1247.5705745285852
RPA1	GSM3056467	472.69296157777313
RPA1	GSM3056468	1617.7172543963893
RPA1	GSM3056469	768.0038997343463
RPA1	GSM3056470	781.0679595685253
RPA1	GSM3056471	765.6146412547802
RPA1	GSM3056472	954.4463124921116
RPA1	GSM3056473	728.4584093089223
RPA1	GSM3056474	1099.2966423362966
RPA1	GSM3056475	1204.1178016244992
RPA1	GSM3056476	1265.142887708021
RPA1	GSM3056477	717.4365382509872
RPA1	GSM3056478	1427.6158371352342
RPA1	GSM3056479	776.7145480994079
RPA1	GSM3056480	963.5311819213778
RPA1	GSM3056481	855.802200286573
RPA1	GSM3056482	2039.5036277388836
RPA1	GSM3056483	1416.101846371857
RPA1	GSM3056484	1539.035632056653
RPA1	GSM3056485	2055.326737776531
RPA1	GSM3056486	3606.453957899977
RPA1	GSM3056487	1298.93888574036
RPA1	GSM3056488	1528.428300489979
RPA1	GSM3056489	1542.0388702661703
RPA1	GSM3056490	834.3259676134412
RPA1	GSM3056491	871.9336328516057
RPA1	GSM3056492	614.317036596672
RPA1	GSM3056493	1370.9578944931518
RPA1	GSM3056494	1040.5004821144337
RPA1	GSM3056495	1316.891739951896
RPA1	GSM3056496	939.7260951495408
RPA1	GSM3056497	1250.9618049168123
RPA1	GSM3056498	1545.739028004021
RPA1	GSM3056499	871.5186826193329
RPA1	GSM3056500	1890.3744301632853
RPA1	GSM3056501	1169.1940679903655
RPA1	GSM3056502	1236.296646674979
RPA1	GSM3056503	1053.637079201131
RPA1	GSM3056504	903.0820854056734
RPA1	GSM3056505	965.6673818750432
RPA1	GSM3056506	972.0652298193525
RPA1	GSM3056507	1568.790661814609
RPA1	GSM3056508	1413.399584672649
RPA1	GSM3056509	980.5336381858176
RPA1	GSM3056510	1172.751281496529
RPA1	GSM3056511	1896.4246688817368
RPA1	GSM3056512	1271.4879818127547
RPA1	GSM3056513	1695.4031168563802
RPA1	GSM3056514	1503.6739978115545
RPA1	GSM3056515	1869.6683087544527
RPA1	GSM3056516	1423.5580567433851
RPA1	GSM3056517	698.933265038103
RPA1	GSM3056518	833.4168006042358
