Gene	sample	counts
RPL10	GSM1022678	13102.070063275478
RPL10	GSM1022679	30877.361811779967
RPL10	GSM1022680	11741.23277836401
RPL10	GSM1022681	12148.181791009143
RPL10	GSM1022682	12743.367455577692
RPL10	GSM1022683	12529.44130411804
RPL10	GSM1022684	10733.049241085331
RPL10	GSM1022685	12001.530861475929
RPL10	GSM1022686	18932.663635079683
RPL10	GSM1022687	9544.523939194803
RPL10	GSM1022688	10167.57477601239
RPL10	GSM1022689	12952.85166504384
RPL10	GSM1022690	10690.605350440776
RPL10	GSM1022691	13478.343923683138
RPL10	GSM1022692	16091.727855497424
RPL10	GSM1022693	15962.351647105426
RPL10	GSM1022694	16372.662544605131
RPL10	GSM1022695	16914.68295307142
RPL10	GSM1385778	17355
RPL10	GSM1385779	12247.106818765258
RPL10	GSM1385780	12542.546602495471
RPL10	GSM1385781	14009.184038574776
RPL10	GSM1385782	15675.007375093506
RPL10	GSM1385783	12763.861574957198
RPL10	GSM1415906	27193
RPL10	GSM1415907	24745.348086746413
RPL10	GSM1415908	20092.36488328652
RPL10	GSM1415909	21294.52096292383
RPL10	GSM1415910	23361.544214187885
RPL10	GSM1415911	26544.223739693127
RPL10	GSM1415912	7902.726420574701
RPL10	GSM1415913	7293.239400037314
RPL10	GSM1415914	11309.685093484868
RPL10	GSM1415915	10212.695176606512
RPL10	GSM1415916	8824.600295856313
RPL10	GSM1415917	7851.526172119064
RPL10	GSM1415918	7361.096534570738
RPL10	GSM1415919	10109.13859837339
RPL10	GSM1415920	9987.865937901051
RPL10	GSM1415921	10563.455533086064
RPL10	GSM2769390	6026.657886954139
RPL10	GSM2769391	18960.476438308364
RPL10	GSM2769392	11673.075080288843
RPL10	GSM2769393	11921.56146100577
RPL10	GSM2769394	19811.884227200913
RPL10	GSM2769395	7853.246919861874
RPL10	GSM2769396	27035.693306536636
RPL10	GSM2769397	13768.359125255503
RPL10	GSM2769398	12980.325819087411
RPL10	GSM3103946	10292.059473118545
RPL10	GSM3103947	15153.29437018589
RPL10	GSM3103948	11400.937426017588
RPL10	GSM3103949	16601.34263450198
RPL10	GSM3103950	13694.277926145332
RPL10	GSM3103951	10087
RPL10	GSM3103952	7116.236365365445
RPL10	GSM3103953	7958.923321705018
RPL10	GSM3103954	12586.038372342404
RPL10	GSM3103955	16795.30231336429
RPL10	GSM3103956	9230.36546214918
RPL10	GSM3103957	9859.689023862811
RPL10	GSM3103958	6534.982598121465
RPL10	GSM3103959	11623.12820040674
RPL10	GSM3103960	20829
RPL10	GSM3103961	8887.611313309932
RPL10	GSM3103962	11109.751421797406
RPL10	GSM3103963	11084.891854899284
RPL10	GSM3103964	12707.916459088696
RPL10	GSM3103965	22335
RPL10	GSM4260265	14992.609893170362
RPL10	GSM4260266	18460.537779681417
RPL10	GSM4260267	12879.274101940264
RPL10	GSM4260268	12748.660162380049
RPL10	GSM4260269	16430.676291435928
RPL10	GSM4260270	14295.031772753826
RPL10	GSM4260271	11936.370940671592
RPL10	GSM4260272	12631.132520148669
RPL10	GSM4260273	17790.01731172661
RPL10	GSM4260274	9206.434630276066
RPL10	GSM4260275	13117.972687666248
RPL10	GSM4260276	15631.704541333209
RPL10	GSM4735785	15489.72860626786
RPL10	GSM4735786	15597.843140495148
RPL10	GSM4735787	15119.676978696045
RPL10	GSM4735788	14206.955134324691
RPL10	GSM4735789	19887.166785837748
RPL10	GSM4735790	14661.957079451977
RPL10	GSM4735791	18834.481812296293
RPL10	GSM4735792	15144.963800885796
RPL10	GSM4735793	17711.587698596908
RPL10	GSM4735794	21615.471384826815
RPL10	GSM4735795	12723.717596760907
RPL10	GSM4735796	13611.505811606274
RPL10	GSM4735797	12937.80806942308
RPL10	GSM4735798	10784.257653575927
RPL10	GSM4735799	13850.05870555805
RPL10	GSM4735800	11240.863148416029
RPL10	GSM4735801	14242.218464980724
RPL10	GSM4735802	14802.527848291877
RPL10	GSM4735803	12416.360148039728
RPL10	GSM4735804	11934.0787129754
RPL10	GSM5282507	22223
RPL10	GSM5282508	17700.142103485636
RPL10	GSM5282509	16378.50020576818
RPL10	GSM5282510	11681.784110360246
RPL10	GSM5282511	6252.642172910044
RPL10	GSM5282512	26681.154987251834
RPL10	GSM5282513	11042.325852782637
RPL10	GSM5282514	18675
RPL10	GSM5282515	25932.393123002417
RPL10	GSM5282516	5332.710881490503
RPL10	GSM5282517	5734.293251065268
RPL10	GSM5282518	15852
RPL10	GSM5282519	4288.342694112038
RPL10	GSM5282520	5695.837592514183
RPL10	GSM5282521	6224.166388770673
RPL10	GSM5282522	3859.959261736436
RPL10	GSM5282523	16808
RPL10	GSM5282524	18073.22004043015
RPL10	GSM5282525	18501
RPL10	GSM5282526	19756
RPL10	GSM5282527	19450.390899376664
RPL10	GSM5282528	17370.215596546375
RPL10	GSM5282529	21892
RPL10	GSM5282530	8607.677657489956
RPL10	GSM5282531	7299.609019556428
RPL10	GSM5282532	12605.217021131257
RPL10	GSM5282533	17089.72210581043
RPL10	GSM5282534	14493.804150489936
RPL10	GSM5282535	22549
RPL10	GSM5282536	15007.021786196918
RPL10	GSM4260927	13136
RPL10	GSM4260928	13314.7582097069
RPL10	GSM4260929	12171.20005924461
RPL10	GSM4260930	33000
RPL10	GSM4260931	17069.814290043654
RPL10	GSM4260932	17820
RPL10	GSM4260933	13385.26525522453
RPL10	GSM4260934	21602
RPL10	GSM4260935	11126.658851437704
RPL10	GSM4260936	14804.200993472048
RPL10	GSM4260937	17079
RPL10	GSM4260938	12079.743790898085
RPL10	GSM4260939	16027
RPL10	GSM4260940	16811.463918097765
RPL10	GSM4260941	32876
RPL10	GSM4260942	15417.356441372289
RPL10	GSM4260943	13589.289067430229
RPL10	GSM4260944	14198.179133500218
RPL10	GSM4260945	13861.793563760271
RPL10	GSM4260946	14598.813249994117
RPL10	GSM4260947	5137.748257315308
RPL10	GSM4260948	20375.979111240093
RPL10	GSM4260949	7528.673382621432
RPL10	GSM4260950	10083
RPL10	GSM4260951	13080.671263270531
RPL10	GSM4260952	16736.009112923297
RPL10	GSM4260953	17483.948498283837
RPL10	GSM4260954	10329.341714369224
RPL10	GSM4260955	8579.183053285702
RPL10	GSM4260956	2129.3316153470023
RPL10	GSM4260957	19875.296685317335
RPL10	GSM4260958	3939.388836001975
RPL10	GSM4260959	5910.423381943229
RPL10	GSM4260960	11758.624371395306
RPL10	GSM4260961	8001.169539354092
RPL10	GSM4260962	18828.905987058624
RPL10	GSM4260963	11503
RPL10	GSM4260964	15522
RPL10	GSM4260965	7597.824507940702
RPL10	GSM4260966	33707.29580486846
RPL10	GSM4260967	18197.72327892531
RPL10	GSM4260968	13157
RPL10	GSM4260969	13617.593575552895
RPL10	GSM4260970	12846.243423973892
RPL10	GSM4260971	6504.851066019404
RPL10	GSM4260972	8185.200877441263
RPL10	GSM4260973	20165.946882048454
RPL10	GSM4260974	23353.534791431783
RPL10	GSM4260975	9513
RPL10	GSM4260976	12450
RPL10	GSM4260977	11618.296921180545
RPL10	GSM4260978	13444
RPL10	GSM4260979	21355.58473276009
RPL10	GSM4260980	30470.254165812967
RPL10	GSM4260981	17917.1563957933
RPL10	GSM4260982	16901.079580329097
RPL10	GSM4260983	10960.052643624334
RPL10	GSM4260984	16151.019641168268
RPL10	GSM4260985	16695.69235577684
RPL10	GSM4260986	11371.785555200977
RPL10	GSM4260987	4361.832521211149
RPL10	GSM4260988	4841.497976957341
RPL10	GSM4260989	18654
RPL10	GSM4260990	17006.135158920784
RPL10	GSM4260991	18759
RPL10	GSM4260992	14387.07832576869
RPL10	GSM4260993	10976.210163646592
RPL10	GSM4260994	16063.39984185674
RPL10	GSM4260995	3338.555347556853
RPL10	GSM4260996	12384.808392073532
RPL10	GSM4260997	15879
RPL10	GSM4260998	12105.347695582788
RPL10	GSM4260999	9100
RPL10	GSM4261000	8816.329945225198
RPL10	GSM4261001	13568
RPL10	GSM4261002	6367.668859163406
RPL10	GSM4261003	15191.974475808038
RPL10	GSM4261004	6961.556706033734
RPL10	GSM4261005	14365
RPL10	GSM4261006	10205.83210000056
RPL10	GSM4261007	4447.462755619674
RPL10	GSM4261008	15932
RPL10	GSM4261009	10043.307584167776
RPL10	GSM4261010	12351.192259841995
RPL10	GSM4261011	16515.4281910781
RPL10	GSM4261012	1.1827057416311022
RPL10	GSM4261013	13789.8057800346
RPL10	GSM4261014	9837.415266628954
RPL10	GSM4261015	11393.001943474264
RPL10	GSM4261016	14522
RPL10	GSM4261017	8920.350847077778
RPL10	GSM4261018	9275.238064666177
RPL10	GSM4261019	11379.80396185205
RPL10	GSM4261020	3034.0354124149308
RPL10	GSM4261021	7293.069130989667
RPL10	GSM4261022	19325.54421187188
RPL10	GSM4261023	14633
RPL10	GSM4261024	5737.259290133038
RPL10	GSM4261025	4977.615508472265
RPL10	GSM4261026	12684.160837484544
RPL10	GSM4261027	19360.00626485475
RPL10	GSM4818000	16330.449849733268
RPL10	GSM4818001	13516.555856899486
RPL10	GSM4818002	9369.599960526495
RPL10	GSM4818003	10095.426009425915
RPL10	GSM4818004	4443.633193957634
RPL10	GSM4818005	6795.315260339555
