Gene	sample	counts
RPL37AP8	GSM1022678	1.0107351456338556
RPL37AP8	GSM1022679	1.0847894030308278
RPL37AP8	GSM1022680	1.0228168238050332
RPL37AP8	GSM1022681	1.0238669861786047
RPL37AP8	GSM1022682	4.040062599850263
RPL37AP8	GSM1022683	1.0146118150553114
RPL37AP8	GSM1022684	1.0467182798015733
RPL37AP8	GSM1022685	1.027880340996568
RPL37AP8	GSM1022686	1.0487648077875216
RPL37AP8	GSM1022687	4.378991087581235
RPL37AP8	GSM1022688	4.1980077522759665
RPL37AP8	GSM1022689	1.0210351304622294
RPL37AP8	GSM1022690	1.090378271733954
RPL37AP8	GSM1022691	1.0735439206438182
RPL37AP8	GSM1022692	1.0161485132291883
RPL37AP8	GSM1022693	4.033952905510596
RPL37AP8	GSM1022694	10.424844615251375
RPL37AP8	GSM1022695	1.0216766714505208
RPL37AP8	GSM1385778	4
RPL37AP8	GSM1385779	1.078610408176517
RPL37AP8	GSM1385780	1.0649136662703569
RPL37AP8	GSM1385781	2.0157099336078814
RPL37AP8	GSM1385782	6.027303527977508
RPL37AP8	GSM1385783	1.062305800204984
RPL37AP8	GSM1415906	8
RPL37AP8	GSM1415907	11.06679252537854
RPL37AP8	GSM1415908	1.013077440794964
RPL37AP8	GSM1415909	1.0060720477616854
RPL37AP8	GSM1415910	7.048741788763586
RPL37AP8	GSM1415911	3.009094287298949
RPL37AP8	GSM1415912	2.300211363774592
RPL37AP8	GSM1415913	1.163403279252366
RPL37AP8	GSM1415914	2.2086312305405356
RPL37AP8	GSM1415915	1.079995560610013
RPL37AP8	GSM1415916	1.0850968187995071
RPL37AP8	GSM1415917	1.107408486899727
RPL37AP8	GSM1415918	1.1164525767485525
RPL37AP8	GSM1415919	1.1135130002794067
RPL37AP8	GSM1415920	1.0918758521094598
RPL37AP8	GSM1415921	2.122828586774455
RPL37AP8	GSM2769390	2.150132484002982
RPL37AP8	GSM2769391	6.338006542384326
RPL37AP8	GSM2769392	2.08764644197243
RPL37AP8	GSM2769393	2.0648246190877813
RPL37AP8	GSM2769394	4.071797157457929
RPL37AP8	GSM2769395	2.1130033338212395
RPL37AP8	GSM2769396	2.033287429226568
RPL37AP8	GSM2769397	2.087352284501784
RPL37AP8	GSM2769398	2.095066375395295
RPL37AP8	GSM3103946	2.0200312999251313
