Gene	sample	counts
RPP25	GSM1022678	414.6325512092269
RPP25	GSM1022679	1.121552432745876
RPP25	GSM1022680	264.1273019543399
RPP25	GSM1022681	331.65746298100345
RPP25	GSM1022682	33.40793167394163
RPP25	GSM1022683	129.2520109534173
RPP25	GSM1022684	73.2962324310363
RPP25	GSM1022685	142.16940290740456
RPP25	GSM1022686	328.92058922994113
RPP25	GSM1022687	30.546388515113723
RPP25	GSM1022688	4.261701709637768
RPP25	GSM1022689	320.3644285629541
RPP25	GSM1022690	1.1264867493652244
RPP25	GSM1022691	179.61039133740098
RPP25	GSM1022692	275.1704467556731
RPP25	GSM1022693	367.8724472456205
RPP25	GSM1022694	199.6283180596427
RPP25	GSM1022695	253.62183927900537
RPP25	GSM1385778	511
RPP25	GSM1385779	245.53412035116793
RPP25	GSM1385780	72.6162294621457
RPP25	GSM1385781	343.8717715059942
RPP25	GSM1385782	552.9178726344194
RPP25	GSM1385783	111.28960278683462
RPP25	GSM1415906	444
RPP25	GSM1415907	501.1855438078567
RPP25	GSM1415908	271.5160802601033
RPP25	GSM1415909	437.30777199267715
RPP25	GSM1415910	351.31503588643545
RPP25	GSM1415911	298.5756512225865
RPP25	GSM1415912	68.01077932647932
RPP25	GSM1415913	49.50720296093066
RPP25	GSM1415914	107.4744103934609
RPP25	GSM1415915	205.92050501263017
RPP25	GSM1415916	70.23173123839543
RPP25	GSM1415917	59.93230180976193
RPP25	GSM1415918	20.954188864738292
RPP25	GSM1415919	1.1635086650764048
RPP25	GSM1415920	42.94520931137106
RPP25	GSM1415921	36.81713716274015
RPP25	GSM2769390	131.34777636885642
RPP25	GSM2769391	138.95136810611612
RPP25	GSM2769392	210.4364095032676
RPP25	GSM2769393	225.31470611974416
RPP25	GSM2769394	410.8214003930368
RPP25	GSM2769395	175.45017275756445
RPP25	GSM2769396	141.97326035884086
RPP25	GSM2769397	94.12686704673114
RPP25	GSM2769398	70.17226123850078
RPP25	GSM3103946	172.81919911813492
RPP25	GSM3103947	84.49461229000734
RPP25	GSM3103948	152.1765173966874
RPP25	GSM3103949	436.84696678801504
RPP25	GSM3103950	107.10387238840885
RPP25	GSM3103951	106
RPP25	GSM3103952	99.52521707419548
RPP25	GSM3103953	93.09318955145848
RPP25	GSM3103954	102.5411327431105
RPP25	GSM3103955	271.2801148421803
RPP25	GSM3103956	169.29006877994337
RPP25	GSM3103957	151.64212308708017
RPP25	GSM3103958	49.33116923660823
RPP25	GSM3103959	141
RPP25	GSM3103960	221
RPP25	GSM3103961	72.23262692757858
RPP25	GSM3103962	150.25482098062503
RPP25	GSM3103963	102.19339517813654
RPP25	GSM3103964	56.692247689113074
RPP25	GSM3103965	242
RPP25	GSM4260265	178.74331340141833
RPP25	GSM4260266	201.11707967549032
RPP25	GSM4260267	124.22327099443172
RPP25	GSM4260268	205.91266573826576
RPP25	GSM4260269	176.31291588419057
RPP25	GSM4260270	195.8882737576504
RPP25	GSM4260271	165.97725870361046
RPP25	GSM4260272	131.21975521397883
RPP25	GSM4260273	208.098181155136
RPP25	GSM4260274	95.94378654960524
RPP25	GSM4260275	82.7385944569432
RPP25	GSM4260276	169.0643815014622
RPP25	GSM4735786	154.2830123791247
RPP25	GSM4735787	122.39859340921764
RPP25	GSM4735788	210.460998780115
RPP25	GSM4735790	91.60358119548502
RPP25	GSM4735793	191.3186888559269
RPP25	GSM4735798	180.84007002407876
RPP25	GSM4735800	145.69933078494134
RPP25	GSM4735803	368.3274000691525
RPP25	GSM4735804	209.87951207066183
RPP25	GSM4735785	227.05189172839633
RPP25	GSM4735789	99.4932349316978
RPP25	GSM4735791	150.06879380325313
RPP25	GSM4735792	136.01679543178798
RPP25	GSM4735794	379.99728867630057
RPP25	GSM4735795	294.98123503472635
RPP25	GSM4735796	1.1006471753156897
RPP25	GSM4735797	1.0882962908423894
RPP25	GSM4735799	128.1423546935094
RPP25	GSM4735801	52.25908772499135
RPP25	GSM4735802	465.07338716940035
RPP25	GSM5282507	143
RPP25	GSM5282509	143
RPP25	GSM5282510	131.90633709935406
RPP25	GSM5282511	129.9197618468148
RPP25	GSM5282512	147.74546122306717
RPP25	GSM5282515	163.5409777484505
RPP25	GSM5282516	135.82236427500993
RPP25	GSM5282519	134.31150270676795
RPP25	GSM5282521	157.209291256015
RPP25	GSM5282523	140
RPP25	GSM5282524	152.60642729145246
RPP25	GSM5282526	161
RPP25	GSM5282528	170.7256221432522
RPP25	GSM5282529	151
RPP25	GSM5282513	150.8341708142208
RPP25	GSM5282533	168.7038583016063
RPP25	GSM5282534	153
RPP25	GSM5282536	171.32738668547515
RPP25	GSM5282525	172
RPP25	GSM5282530	147.77672140582445
RPP25	GSM5282514	167
RPP25	GSM5282520	154.0605683742248
RPP25	GSM5282535	175
RPP25	GSM5282522	138.8806351017963
RPP25	GSM5282531	131.32007601102026
RPP25	GSM5282508	135.89199487199977
RPP25	GSM5282518	153
RPP25	GSM5282517	142.92364328957777
RPP25	GSM5282527	135.71620510117566
RPP25	GSM5282532	161
