Gene	sample	counts
RPS15	GSM1022678	4399.36061288477
RPS15	GSM1022679	10638.874584131192
RPS15	GSM1022680	3374.3642247428234
RPS15	GSM1022681	4063.728068142882
RPS15	GSM1022682	3801.6989064590975
RPS15	GSM1022683	3301.546846189983
RPS15	GSM1022684	3371.4795792408677
RPS15	GSM1022685	3250.157638231148
RPS15	GSM1022686	5308.194042276787
RPS15	GSM1022687	3006.338923724356
RPS15	GSM1022688	2945.951940159659
RPS15	GSM1022689	4350.630690899559
RPS15	GSM1022690	2936.2366352612967
RPS15	GSM1022691	3560.9451847755454
RPS15	GSM1022692	4869.3836753942705
RPS15	GSM1022693	4479.704701569516
RPS15	GSM1022694	4789.303516709072
RPS15	GSM1022695	4541.37572761294
RPS15	GSM1385778	5015
RPS15	GSM1385779	3796.139249117849
RPS15	GSM1385780	3599.711939919733
RPS15	GSM1385781	4196.708081771609
RPS15	GSM1385782	5047.866704681163
RPS15	GSM1385783	3601.8888486726796
RPS15	GSM1415906	9034
RPS15	GSM1415907	8169.305027824886
RPS15	GSM1415908	4381.559931438219
RPS15	GSM1415909	5468.00157958476
RPS15	GSM1415910	6423.417695788988
RPS15	GSM1415911	5745.364025882793
RPS15	GSM1415912	2672.9640811258337
RPS15	GSM1415913	2593.591356522523
RPS15	GSM1415914	3422.3917688418715
RPS15	GSM1415915	3322.1499961126938
RPS15	GSM1415916	2893.791834384457
RPS15	GSM1415917	2934.632490284276
RPS15	GSM1415918	2618.196780459333
RPS15	GSM1415919	3103.2238433381035
RPS15	GSM1415920	2914.0374057999466
RPS15	GSM1415921	3183.259962191027
RPS15	GSM2769390	2395.1826207873387
RPS15	GSM2769391	4639.501505212008
RPS15	GSM2769392	4532.280425522145
RPS15	GSM2769393	4119.4275768089565
RPS15	GSM2769394	6782.116680623425
RPS15	GSM2769395	2874.839885503048
RPS15	GSM2769396	6884.474508229905
RPS15	GSM2769397	3342.1488832588984
RPS15	GSM2769398	3234.081178653983
RPS15	GSM3103946	3159.3289530829056
RPS15	GSM3103947	4751.123438536767
RPS15	GSM3103948	3081.334439464213
RPS15	GSM3103949	6899.35833311964
RPS15	GSM3103950	3891.546591773065
RPS15	GSM3103951	2761
RPS15	GSM3103952	2858.9509734373314
RPS15	GSM3103953	2591.7001578039435
RPS15	GSM3103954	3834.5891534479606
RPS15	GSM3103955	5247.836518016214
RPS15	GSM3103956	3271.743125392076
RPS15	GSM3103957	2765.9562530098506
RPS15	GSM3103958	2105.9101833369314
RPS15	GSM3103959	3093.3489273433192
RPS15	GSM3103960	5107
RPS15	GSM3103961	3231.0440967633444
RPS15	GSM3103962	3842.9704265132696
RPS15	GSM3103963	2122.2673127811995
RPS15	GSM3103964	2867.2148078920495
RPS15	GSM3103965	5968
RPS15	GSM4260265	5244.714202047298
RPS15	GSM4260266	5493.894852203448
RPS15	GSM4260267	3669.119999466152
RPS15	GSM4260268	3880.5279248782513
RPS15	GSM4260269	4695.784897088792
RPS15	GSM4260270	4423.230818305899
RPS15	GSM4260271	3270.0444369301276
RPS15	GSM4260272	3559.5564344006534
RPS15	GSM4260273	4914.98695299358
RPS15	GSM4260274	2703.2992302803814
RPS15	GSM4260275	3736.763393944118
RPS15	GSM4260276	4738.136143389301
RPS15	GSM4735785	5175.217499065107
RPS15	GSM4735786	4596.036050859898
RPS15	GSM4735787	4994.503498049945
RPS15	GSM4735788	4151.246160578411
RPS15	GSM4735789	6637.391408665328
RPS15	GSM4735790	4394.385990001939
RPS15	GSM4735791	5239.834541065898
RPS15	GSM4735792	3986.1356587735127
RPS15	GSM4735793	6017.687490174431
RPS15	GSM4735794	6580.311115839519
RPS15	GSM4735795	3118.914379498044
RPS15	GSM4735796	3423.2855479809464
RPS15	GSM4735797	2671.343185442524
RPS15	GSM4735798	3326.2663454008784
RPS15	GSM4735799	3600.346334848268
RPS15	GSM4735800	3353.1803135644022
RPS15	GSM4735801	3279.8139909303386
RPS15	GSM4735802	5718.078257186043
RPS15	GSM4735803	3879.14405157577
RPS15	GSM4735804	3997.146256958293
RPS15	GSM5282507	6465
RPS15	GSM5282508	4699.380522415489
RPS15	GSM5282509	3150.5217188019997
RPS15	GSM5282510	2073.0264368504995
RPS15	GSM5282511	1599.0741763689111
RPS15	GSM5282512	6530.511614999587
RPS15	GSM5282513	3612.1472053038265
RPS15	GSM5282514	6528
RPS15	GSM5282515	12002.558741816923
RPS15	GSM5282516	1887.3964884548895
RPS15	GSM5282517	1906.910690003149
RPS15	GSM5282518	5030
RPS15	GSM5282519	1437.469974505923
RPS15	GSM5282520	1569.2188760363572
RPS15	GSM5282521	2026.448891921541
RPS15	GSM5282522	1743.306940752267
RPS15	GSM5282523	5385
RPS15	GSM5282524	4920.7962466176205
RPS15	GSM5282525	5864
RPS15	GSM5282526	5453
RPS15	GSM5282527	5796.987139202832
RPS15	GSM5282528	5657.511218367821
RPS15	GSM5282529	5810
